client,bank,context,family,counts,count_min,count_median,singular_values,rank,condition,matrix_sha256
19,B,gaussian_blur,S,"[164, 188, 218, 195, 182, 225, 163, 229, 185, 231]",163,191.5,"[1.1916113354899722, 0.732832527470044, 0.3192331472954053, 0.22567926193402862, 0.13598545326647293, 0.07828255160258715, 0.06734537114217122, 0.024163499729402522, 0.015457528209205873, 0.01518477794258896]",10,78.47407054586179,34f7fe592ff298b496e9c5922254badc3d6d80f1a5e02b8dc0c1daf343ad6680
20,A,clean,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4318155576559426, 1.048259897670755, 0.6695423600108651, 0.45196454650524887, 0.193513237635111, 0.14271942305811283, 0.12371295085002951, 0.06425290549910229, 0.0007253965365574596, 0.0]",9,inf,1097a7feec91dfe1069b731fb420baf9f52e7803edeceb57157a1e39ee158c38
20,A,clean,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1827855065727815, 0.7492018065970726, 0.3549059650375358, 0.2482313001551944, 0.14354654510015538, 0.07842511366955487, 0.07669270542133129, 0.025253172228925237, 0.016989570991282208, 0.015801276275286758]",10,74.85379572931468,e75dbb2a0b4718dad021e4678947b8f6d9c61a538c2d7dbfaa7ec9ce10bd96ce
20,A,brightness_dark,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4406136777431304, 1.0427987216493722, 0.6606277031296117, 0.45155087635300767, 0.1694119345282951, 0.12145370493252237, 0.11434482082807645, 0.0286087545421136, 0.0015634413288862037, 0.0]",9,inf,bf5e7ba7824a3146f9ead76e02bf7a96b7d3a0d0068e616f782956648e147ac8
20,A,brightness_dark,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1808168736482636, 0.7396820002136588, 0.3253249901704863, 0.222268073002436, 0.11048026706244019, 0.07038013267412173, 0.056076202415231105, 0.015605505666937355, 0.01142728771655184, 0.006022871095871824]",10,196.05547833451308,5a25147855f5f509536f8992e6a9b707db9011a180f0c3f46934849bf6c491b2
20,A,contrast_low,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.5369707783784579, 1.0008354492526688, 0.5848652749577905, 0.32354959315157006, 0.10825263367025996, 0.0957044345286372, 0.041385463600098676, 0.023293148487372014, 5.691114786740298e-18, 0.0]",8,inf,741b84ce73de964465043485eee6b4a4e0fdf344b6da1f065c1cf77f445eb219
20,A,contrast_low,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1932168603335602, 0.6760093632665065, 0.2943325167981887, 0.157974249445867, 0.08992674605384535, 0.052831040754085894, 0.03356973154137467, 0.014076915171059155, 0.00725596917481447, 0.007128988938539316]",10,167.37532778077824,5668a6c65255db8fe7690d6d1c98976c8c2fb8ecf8de88ee4520a479b978a916
20,A,gaussian_noise,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4410761317667455, 1.0200094612360626, 0.6322962808979442, 0.41433173339094104, 0.18251691829008732, 0.13545305992893567, 0.09121136555155321, 0.05185620964925125, 0.002169294673132185, 0.0]",9,inf,02df6139bbb705cbae49bf7795401c21050bcaba759cf5e120952dc82e57d7d5
20,A,gaussian_noise,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.184229948950923, 0.7135661371296003, 0.32472022034499304, 0.22915922837325123, 0.1368484662039058, 0.07507878125042981, 0.06526294489991045, 0.023211354497356968, 0.015650300089124755, 0.014183743859941762]",10,83.49205686768411,5d6b50137928087440f59165db5a5432cfe22edc307e144a93fad3583b70851f
20,A,gaussian_blur,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4385776767173737, 1.0299569733360123, 0.6426125830944076, 0.40966688497990417, 0.19441655953300904, 0.13117757925446188, 0.11388224047643895, 0.06798629006043058, 0.0022117484064274337, 0.0]",9,inf,02c191a67cf7ad9b802a5e044acb3f79b91893ef63370ddf0bfcfc66c4352bb9
