salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction
T013-S1,A,clean,BBSE-S-01,38.30125718172857,38.366912693663146,36.92389911833835,"{""clean"": 19, ""brightness_dark"": 71, ""contrast_low"": 10, ""gaussian_noise"": 85, ""gaussian_blur"": 15}",0.62,0.0,3.5469171917191717,11.132075471698112,0.31,0.24
T013-S1,A,clean,BBSE-S-11,37.97743598491472,38.041093157789746,36.47720904519389,"{""clean"": 17, ""brightness_dark"": 71, ""contrast_low"": 8, ""gaussian_noise"": 81, ""gaussian_blur"": 23}",0.585,0.0,5.555555555555555,11.455342902711319,0.335,0.27
T013-S1,A,brightness_dark,BBSE-H-01,31.75561675380523,31.817275084779574,30.87056486395011,"{""clean"": 4, ""brightness_dark"": 97, ""contrast_low"": 40, ""gaussian_noise"": 48, ""gaussian_blur"": 11}",0.6,0.0,7.901250651380927,14.414772727272725,0.345,0.3
T013-S1,A,brightness_dark,BBSE-H-11,31.75561675380523,31.817275084779574,30.87056486395011,"{""clean"": 4, ""brightness_dark"": 97, ""contrast_low"": 40, ""gaussian_noise"": 48, ""gaussian_blur"": 11}",0.6,0.0,7.901250651380927,14.414772727272725,0.345,0.3
T013-S1,A,brightness_dark,BBSE-S-01,33.28304734730341,33.339982711616464,32.58875320038172,"{""clean"": 4, ""brightness_dark"": 118, ""contrast_low"": 37, ""gaussian_noise"": 32, ""gaussian_blur"": 9}",0.69,0.0,2.1875,11.212121212121206,0.26,0.2
T013-S1,A,brightness_dark,BBSE-S-11,33.28304734730341,33.339982711616464,32.58875320038172,"{""clean"": 4, ""brightness_dark"": 118, ""contrast_low"": 37, ""gaussian_noise"": 32, ""gaussian_blur"": 9}",0.69,0.0,2.1875,11.212121212121206,0.26,0.2
T013-S1,A,contrast_low,BBSE-H-01,29.30923217045616,29.403550768003193,29.72573686411089,"{""clean"": 2, ""brightness_dark"": 48, ""contrast_low"": 103, ""gaussian_noise"": 37, ""gaussian_blur"": 10}",0.615,0.0,4.241795888928958,16.71428571428571,0.355,0.215
T013-S1,A,contrast_low,BBSE-H-11,29.30923217045616,29.403550768003193,29.72573686411089,"{""clean"": 2, ""brightness_dark"": 48, ""contrast_low"": 103, ""gaussian_noise"": 37, ""gaussian_blur"": 10}",0.615,0.0,4.241795888928958,16.71428571428571,0.355,0.215
T013-S1,A,contrast_low,BBSE-S-01,29.76348753680693,29.849059112972938,29.802406328740798,"{""clean"": 3, ""brightness_dark"": 62, ""contrast_low"": 78, ""gaussian_noise"": 45, ""gaussian_blur"": 12}",0.625,0.0,4.590193271295634,14.793840039741676,0.335,0.235
T013-S1,A,contrast_low,BBSE-S-11,29.76348753680693,29.849059112972938,29.802406328740798,"{""clean"": 3, ""brightness_dark"": 62, ""contrast_low"": 78, ""gaussian_noise"": 45, ""gaussian_blur"": 12}",0.625,0.0,4.590193271295634,14.793840039741676,0.335,0.235
