client,target,n_query,none,oracle_correct_pair,oracle_target_permuted,oracle_wrong_alt,oracle_noise_source,oracle_target_permuted_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
1,contrast_low,99,1.0101010091602802,7.070706784725189,0.0,3.030303120613098,0.0,7.070706784725189,4.040403664112091,7.070706784725189
2,contrast_low,140,0.0,0.7142857182770967,0.0,0.0,0.0,0.7142857182770967,0.7142857182770967,0.7142857182770967
3,contrast_low,216,4.16666679084301,6.94444477558136,0.0,4.16666679084301,0.0,6.94444477558136,2.77777798473835,6.94444477558136
4,contrast_low,105,0.9523809887468815,4.76190485060215,0.0,0.9523809887468815,0.0,4.76190485060215,3.8095238618552685,4.76190485060215
5,contrast_low,158,24.683545529842377,20.253165066242218,7.594937086105347,19.620253145694733,5.0632912665605545,12.658227980136871,0.6329119205474854,15.189873799681664
6,contrast_low,261,44.06130015850067,46.74329459667206,50.957852602005005,48.65900278091431,54.7892689704895,-4.214558005332947,-1.9157081842422485,-8.045974373817444
7,contrast_low,197,1.5228426083922386,16.243654489517212,9.137055277824402,3.553299605846405,0.0,7.10659921169281,12.690354883670807,16.243654489517212
8,contrast_low,193,2.590673416852951,9.84455943107605,0.0,3.10880821198225,0.0,9.84455943107605,6.7357512190938,9.84455943107605
9,contrast_low,176,6.818182021379471,15.340909361839294,0.0,8.522727340459824,0.0,15.340909361839294,6.818182021379471,15.340909361839294
10,contrast_low,282,15.2482271194458,13.120566308498383,12.765957415103912,12.765957415103912,20.21276503801346,0.3546088933944702,0.3546088933944702,-7.092198729515076
11,contrast_low,180,54.44444417953491,44.44444477558136,22.777777910232544,51.66666507720947,57.777780294418335,21.666666865348816,-7.222220301628113,-13.333335518836975
12,contrast_low,164,10.36585345864296,9.756097197532654,6.707316637039185,9.146340936422348,6.707316637039185,3.0487805604934692,0.6097562611103058,3.0487805604934692
13,contrast_low,80,2.500000037252903,56.25,76.2499988079071,21.250000596046448,76.2499988079071,-19.999998807907104,34.99999940395355,-19.999998807907104
14,contrast_low,71,59.1549277305603,50.70422291755676,97.183096408844,52.112674713134766,33.80281627178192,-46.47887349128723,-1.408451795578003,16.90140664577484
15,contrast_low,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,contrast_low,21,38.0952388048172,52.3809552192688,9.5238097012043,52.3809552192688,9.5238097012043,42.8571455180645,0.0,42.8571455180645
17,contrast_low,87,40.229883790016174,47.12643623352051,73.56321811676025,48.27586114406586,74.71264600753784,-26.436781883239746,-1.1494249105453491,-27.586209774017334
18,contrast_low,10,0.0,10.000000149011612,0.0,0.0,0.0,10.000000149011612,10.000000149011612,10.000000149011612
19,contrast_low,91,48.351648449897766,36.263737082481384,65.93406796455383,42.85714328289032,65.93406796455383,-29.67033088207245,-6.5934062004089355,-29.67033088207245
20,contrast_low,152,69.73684430122375,67.1052634716034,99.34210777282715,76.97368264198303,100.0,-32.236844301223755,-9.868419170379639,-32.894736528396606
21,contrast_low,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,contrast_low,175,32.57142901420593,58.28571319580078,51.99999809265137,37.71428465843201,69.1428542137146,6.285715103149414,20.571428537368774,-10.857141017913818
