client,bank,context,residual_L1_actual,residual_L1_null_median,residual_L1_null_p95,residual_L1_percentile,residual_L1_above_p95,residual_L2_actual,residual_L2_null_median,residual_L2_null_p95,residual_L2_percentile,residual_L2_above_p95,weighted_class_L1_actual,weighted_class_L1_null_median,weighted_class_L1_null_p95,weighted_class_L1_percentile,weighted_class_L1_above_p95,prevalence_L1_actual,prevalence_L1_null_median,prevalence_L1_null_p95,prevalence_L1_percentile,prevalence_L1_above_p95,prevalence_JS_actual,prevalence_JS_null_median,prevalence_JS_null_p95,prevalence_JS_percentile,prevalence_JS_above_p95,dominant_agreement_actual,dominant_agreement_null_median,dominant_agreement_null_p95,dominant_agreement_percentile,dominant_agreement_above_p95
87,B,clean,0.17885225611831448,0.1361112216248284,0.24668107771109074,0.78125,False,0.0904916173110095,0.058417990513159296,0.10884274290987313,0.8828125,False,0.2004830891634069,0.1780490399899417,0.30373427468677766,0.703125,False,1.8,0.7315545290932541,1.8,1.0,False,0.5658239397139568,0.12359489301296445,0.5296195215522533,1.0,True,0.0,1.0,1.0,0.3515625,False
87,B,brightness_dark,0.20273301152175927,0.14331667025137335,0.25106743350447375,0.8515625,False,0.09362751686694246,0.06063686769346194,0.11893004350013046,0.8828125,False,0.24109265409097885,0.17361205235224808,0.2860839068786783,0.8359375,False,1.7999999999999998,1.1085508461291496,1.8,0.75,False,0.5678603192288186,0.22421553875319222,0.5573682536477101,0.96875,True,0.0,0.5,1.0,0.5,False
87,B,contrast_low,0.12959977057945832,0.1316300476121422,0.26618614497961623,0.4921875,False,0.05552764298419599,0.06064408965950224,0.13014697731121794,0.4375,False,0.1714255568316138,0.17081085355925135,0.30185074472867107,0.515625,False,1.4660063216465546,0.804154007852236,1.8,0.78125,False,0.346732965128291,0.1457891249033848,0.5429685790707752,0.78125,False,0.0,1.0,1.0,0.3828125,False
87,B,gaussian_noise,0.1346833565659257,0.14229124897883044,0.25092433984140217,0.4375,False,0.07288704605224694,0.06281198172906981,0.10792478275201381,0.6796875,False,0.1614369187986394,0.17811870687986348,0.26947806449694833,0.3515625,False,1.8000000000000003,0.8448829965628859,1.8,1.0,True,0.5604367604173458,0.15371286885868535,0.5293489406860832,1.0,True,0.0,1.0,1.0,0.3671875,False
87,B,gaussian_blur,0.16038239462679663,0.14385239576688275,0.23542308433744322,0.6015625,False,0.08260100033153303,0.06344213727043307,0.10454746123808982,0.796875,False,0.19300444151990528,0.18618669884092287,0.2939001178225606,0.5859375,False,1.7948279378108125,0.5777029842995117,1.5661310040343863,0.9765625,True,0.5578553946890719,0.1115502441678009,0.37959870142089164,1.0,True,0.0,1.0,1.0,0.234375,False
88,A,clean,0.1546898732017992,0.13556815187257737,0.2516773763327152,0.6640625,False,0.07269379087958901,0.05898262085939071,0.11762515586212859,0.7421875,False,0.2894970347435197,0.2467143211951966,0.3394149850267006,0.75,False,0.6691054941004012,0.6754213921418459,0.9967592930535597,0.46875,False,0.19024412765161758,0.17054948466452674,0.28041679552683585,0.625,False,1.0,1.0,1.0,1.0,False
88,A,brightness_dark,0.2228073397132435,0.11784149744321318,0.2480625086376151,0.921875,False,0.09411612299741726,0.052090121533960296,0.10713507726619641,0.8828125,False,0.29755089411461183,0.23298887931197343,0.35256000709599983,0.828125,False,0.8,0.7864343425501366,1.0957053703880888,0.765625,False,0.23230335252348255,0.19175248753106433,0.3044194061293432,0.6796875,False,1.0,1.0,1.0,1.0,False
88,A,contrast_low,0.16849573002350463,0.1326174852267547,0.22440800355490426,0.7265625,False,0.06989245967168552,0.05922530779673835,0.10743287868738668,0.6171875,False,0.276894746064724,0.24977826758541044,0.3453058623378934,0.6953125,False,0.7622894002932021,0.7839669093026369,1.242877971609028,0.484375,False,0.1781386006106408,0.19172238401558972,0.3317374790439021,0.390625,False,1.0,1.0,1.0,1.0,False
88,A,gaussian_noise,0.15203054132861277,0.1305646550804602,0.222557595672994,0.6171875,False,0.0665223945356076,0.059539986336617695,0.10364489340682757,0.609375,False,0.3001135703196636,0.2383302375754253,0.330658570418326,0.828125,False,0.7124898300547639,0.7674515513131664,0.9080247724500374,0.390625,False,0.19747388099184915,0.18908398302105317,0.28328606412097956,0.5390625,False,1.0,1.0,1.0,1.0,False
88,A,gaussian_blur,0.1325804543869162,0.13305843223206437,0.22536889567933255,0.484375,False,0.05359154457908908,0.05792350325884634,0.10653081173933701,0.390625,False,0.2462052358453775,0.24240164480345722,0.348353073605413,0.515625,False,0.7287577354538068,0.7181038047759223,0.9142983070830405,0.5078125,False,0.1843227784262207,0.18211636213194848,0.26080807611117485,0.515625,False,1.0,1.0,1.0,1.0,False
88,B,clean,0.1546898732017992,0.12894062420892138,0.19931016894400422,0.7109375,False,0.07269379087958901,0.058440752800797885,0.09490030939640007,0.7421875,False,0.2894970347435197,0.23271631226164763,0.30960270279375984,0.875,False,0.6691054941004012,0.6772873784070899,0.8969414130925787,0.4765625,False,0.19024412765161758,0.16450067360684517,0.2682056083530849,0.609375,False,1.0,1.0,1.0,1.0,False
88,B,brightness_dark,0.22484804740278502,0.12341457309636346,0.21751015789349595,0.9609375,True,0.09417805759668639,0.05433552099795021,0.10242625486676106,0.9140625,False,0.297961218887364,0.2443093230003066,0.35656561081624394,0.828125,False,0.8,0.8,1.0674508568051406,0.7578125,False,0.23194490213166274,0.2084390533251243,0.2914210126456371,0.7109375,False,1.0,1.0,1.0,1.0,False
88,B,contrast_low,0.16219795356486874,0.1296134977728707,0.23133515259081136,0.765625,False,0.07090777933020734,0.05901718628506371,0.10484861731331072,0.6875,False,0.259462950611808,0.25678627491166406,0.34821317719719924,0.53125,False,0.8,0.7999999999999999,1.259564283855256,0.71875,False,0.19864854993680248,0.19306407059576636,0.31560268426278,0.5234375,False,1.0,1.0,1.0,1.0,False
