client,bank,context,label,count,mu_real,mu_cross,d,d_L1,d_L2,weighted_contribution,residual,residual_L1,residual_L2
0,A,gaussian_noise,6,1,"[0.013615152931477801, 0.027870094695322596, 0.23416285899033704, 0.30512566310046274, 0.021526333547561175, 0.18755733022659551, 0.11327053562793601, 0.08075672972902928, 0.01162028947730236, 0.004495011673975702]","[0.019115447084947827, 0.07012638879740504, 0.13219416659982994, 0.09908323790981813, 0.049480918094286445, 0.05414354465138824, 0.49388568334661803, 0.022621147279478206, 0.04960774079439156, 0.009741725441836654]","[-0.005500294153470026, -0.042256294102082446, 0.1019686923905071, 0.2060424251906446, -0.02795458454672527, 0.13341378557520728, -0.380615147718682, 0.058135582449551075, -0.037987451317089194, -0.005246713767860952]",0.9991209712118199,0.4721925993644635,"[-0.0002750147076735013, -0.0021128147051041224, 0.005098434619525355, 0.010302121259532232, -0.0013977292273362636, 0.006670689278760364, -0.0190307573859341, 0.002906779122477554, -0.0018993725658544597, -0.00026233568839304763]","[-0.012315504616994197, 0.017601849456279323, -0.03246310838379676, 0.0007187981219971967, -0.006401294413146318, -0.022336546333874836, 0.0588988158336238, -0.029673404830752315, 0.013824667806047061, 0.012145727360616941]",0.20637971715712874,0.08212177726485835
0,A,gaussian_noise,7,17,"[0.0340637191924093, 0.13950387479700946, 0.1599345087163223, 0.09849558260180953, 0.053546634901358525, 0.05397196654195926, 0.2434870628225573, 0.07631066458956609, 0.11236107216271846, 0.028324913674289725]","[0.046241055208514334, 0.10949894697410727, 0.20270942234876813, 0.11193975904029271, 0.05976682571167717, 0.08879165400615216, 0.16827882196956676, 0.11532913195186226, 0.08346122597733935, 0.0139831568117199]","[-0.012177336016105031, 0.03000492782290219, -0.042774913632445816, -0.013444176438483182, -0.006220190810318646, -0.0348196874641929, 0.07520824085299055, -0.039018467362296166, 0.028899846185379108, 0.014341756862569825]",0.29690954344768344,0.11193628150982798,"[-0.010350735613689276, 0.025504188649466863, -0.03635867658757894, -0.011427549972710704, -0.0052871621887708485, -0.029596734344563964, 0.06392700472504197, -0.03316569725795174, 0.02456486925757224, 0.012190493333184352]","[-0.012315504616994197, 0.017601849456279323, -0.03246310838379676, 0.0007187981219971967, -0.006401294413146318, -0.022336546333874836, 0.0588988158336238, -0.029673404830752315, 0.013824667806047061, 0.012145727360616941]",0.20637971715712874,0.08212177726485835
0,A,gaussian_blur,1,2,"[0.018593741840429313, 0.6669511241495927, 0.012966730683699274, 0.022390644565036755, 0.0060455030997770874, 0.009220755941737718, 0.11227089988916747, 0.011330629102917888, 0.10706718160128303, 0.033162789126358914]","[0.04730964679434671, 0.5308174474632295, 0.03766131621633938, 0.023244295266018157, 0.008120205358015537, 0.010739562983870582, 0.06517547321196411, 0.007240184315820729, 0.23662881277996614, 0.033063055610429354]","[-0.028715904953917397, 0.13613367668636323, -0.024694585532640104, -0.0008536507009814023, -0.00207470225823845, -0.0015188070421328637, 0.04709542667720336, 0.004090444787097159, -0.1295616311786831, 9.973351592956065e-05]",0.3748385633331866,0.1974717213598668,"[-0.00287159049539174, 0.013613367668636323, -0.0024694585532640105, -8.536507009814024e-05, -0.00020747022582384502, -0.0001518807042132864, 0.004709542667720336, 0.00040904447870971587, -0.012956163117868312, 9.973351592956065e-06]","[-0.01413189249785685, 0.0438741747331515, -0.030578975675234432, -0.0035664661043947055, -0.006439078590527177, -0.025229481778988573, 0.053675302051375745, -0.04078019387186277, 0.011077608966459401, 0.012099002767877861]",0.241452177037729,0.0925397053310729
0,A,gaussian_blur,6,1,"[0.013985282303022829, 0.04098479046845583, 0.17919379569975236, 0.306312571057931, 0.01927761956519539, 0.19188134792119454, 0.11883556543126095, 0.11104158245007567, 0.012585223795408045, 0.005902221307703447]","[0.01791530691341239, 0.06698835120794398, 0.13527404906743135, 0.10032761523801774, 0.052511025489114814, 0.054583789642764745, 0.492897637517072, 0.023653960409290048, 0.04696408061580822, 0.008884183899144677]","[-0.003930024610389561, -0.026003560739488153, 0.04391974663232101, 0.20598495581991327, -0.03323340592391942, 0.1372975582784298, -0.37406207208581105, 0.08738762204078562, -0.03437885682040018, -0.0029819625914412305]",0.9491797655428992,0.46233676402349866,"[-0.00019650123051947804, -0.0013001780369744078, 0.0021959873316160505, 0.010299247790995664, -0.001661670296195971, 0.00686487791392149, -0.018703103604290554, 0.004369381102039281, -0.001718942841020009, -0.00014909812957206154]","[-0.01413189249785685, 0.0438741747331515, -0.030578975675234432, -0.0035664661043947055, -0.006439078590527177, -0.025229481778988573, 0.053675302051375745, -0.04078019387186277, 0.011077608966459401, 0.012099002767877861]",0.241452177037729,0.0925397053310729
0,A,gaussian_blur,7,17,"[0.032443832672806074, 0.14763810203594668, 0.1567761009392581, 0.09928984869049706, 0.053221926196908166, 0.05635492986699439, 0.2421594104704988, 0.07916370312375598, 0.10570232615475789, 0.027249819848576974]","[0.04546006887509506, 0.11050753132831188, 0.19242963559053627, 0.11550202377907616, 0.05859832392456388, 0.09393431691252004, 0.1625489834258565, 0.13276207895035805, 0.07540501447787822, 0.012852022735804073]","[-0.013016236202288985, 0.0371305707076348, -0.035653534651278185, -0.016212175088579098, -0.0053763977276557115, -0.037579387045525645, 0.0796104270446423, -0.05359837582660207, 0.03029731167687967, 0.0143977971127729]",0.3228722130838593,0.12189772953361766,"[-0.011063800771945636, 0.03156098510148958, -0.030305504453586457, -0.013780348825292233, -0.004569938068507354, -0.031942478988696794, 0.06766886298794596, -0.045558619452611755, 0.025752714925347718, 0.012238127545856965]","[-0.01413189249785685, 0.0438741747331515, -0.030578975675234432, -0.0035664661043947055, -0.006439078590527177, -0.025229481778988573, 0.053675302051375745, -0.04078019387186277, 0.011077608966459401, 0.012099002767877861]",0.241452177037729,0.0925397053310729
0,B,clean,1,2,"[0.01683571446099861, 0.6166360783034323, 0.015502735869335116, 0.03246632986861392, 0.0078415206585239, 0.014141063766115906, 0.1344751958417577, 0.01603448333113921, 0.10982128143219375, 0.03624559646788955]","[0.044054910777312675, 0.5453476321642894, 0.03423366952326512, 0.021555414131642178, 0.007621621767992091, 0.010400335103013253, 0.06576533389952816, 0.007862171752013855, 0.23143615932635445, 0.031722751554588965]","[-0.027219196316314066, 0.07128844613914287, -0.018730933653930006, 0.01091091573697174, 0.0002198988905318085, 0.003740728663102653, 0.06870986194222956, 0.008172311579125353, -0.1216148778941607, 0.004522844913300586]",0.3351300157288093,0.16095133121924682,"[-0.0027219196316314066, 0.007128844613914287, -0.0018730933653930007, 0.0010910915736971742, 2.1989889053180853e-05, 0.0003740728663102653, 0.006870986194222956, 0.0008172311579125353, -0.012161487789416071, 0.0004522844913300586]","[-0.013173889855043554, 0.01580458702039228, -0.024981497684255644, 0.008963441819291637, -0.0042547634585014885, -0.019645913944674354, 0.06008793058432235, -0.03484278909119555, 0.0020427710211483596, 0.010000123588515824]",0.19379770806734103,0.08037769930891235
0,B,clean,6,1,"[0.012421249581517711, 0.034362391528150765, 0.17954212818132245, 0.31355262919920257, 0.021020454047664575, 0.18782614335855716, 0.13612433746651056, 0.09696828950169399, 0.012092811060857371, 0.006089566074522799]","[0.019348508863952577, 0.06474134034397978, 0.13448288573882172, 0.08952786383260855, 0.05311247666305442, 0.04904032521021361, 0.5114596595861339, 0.021178148104270548, 0.04824460041424839, 0.008864191242716452]","[-0.006927259282434865, -0.03037894881582902, 0.04505924244250073, 0.22402476536659402, -0.03209202261538985, 0.13878581814834354, -0.3753353221196234, 0.07579014139742345, -0.03615178935339102, -0.0027746251681936528]",0.9673199347097234,0.47054765911221047,"[-0.0003463629641217433, -0.001518947440791451, 0.0022529621221250365, 0.011201238268329701, -0.0016046011307694924, 0.006939290907417177, -0.018766766105981172, 0.0037895070698711723, -0.0018075894676695512, -0.00013873125840968263]","[-0.013173889855043554, 0.01580458702039228, -0.024981497684255644, 0.008963441819291637, -0.0042547634585014885, -0.019645913944674354, 0.06008793058432235, -0.03484278909119555, 0.0020427710211483596, 0.010000123588515824]",0.19379770806734103,0.08037769930891235
0,B,clean,7,17,"[0.03088947084177965, 0.11003460574251327, 0.17030224024067944, 0.11081504732349916, 0.0570591930260488, 0.062350489681102385, 0.2582988916744864, 0.08588132005141967, 0.09155058563246746, 0.022818155786003737]","[0.042778420558591886, 0.09804085298101976, 0.20013914193595905, 0.11473138617377593, 0.060202901516384306, 0.0940672869968692, 0.17361217344380336, 0.13229252866198352, 0.07271311706983923, 0.0114221906617738]","[-0.011888949716812234, 0.011993752761493504, -0.02983690169527961, -0.003916338850276771, -0.0031437084903355034, -0.03171679731576681, 0.08468671823068302, -0.046411208610563845, 0.018837468562628232, 0.011395965124229938]",0.2538278093580695,0.10962286509125446,"[-0.010105607259290399, 0.010194689847269478, -0.02536136644098767, -0.0033288880227352554, -0.0026721522167851776, -0.02695927771840179, 0.07198371049608057, -0.039449527318979265, 0.016011848278233997, 0.009686570355595447]","[-0.013173889855043554, 0.01580458702039228, -0.024981497684255644, 0.008963441819291637, -0.0042547634585014885, -0.019645913944674354, 0.06008793058432235, -0.03484278909119555, 0.0020427710211483596, 0.010000123588515824]",0.19379770806734103,0.08037769930891235
0,B,brightness_dark,1,2,"[0.03348895712241573, 0.5658981248194975, 0.02067230027475719, 0.0551123169967279, 0.00754043086737613, 0.0266663565352641, 0.10340704457164236, 0.023028939437131107, 0.13724140572960375, 0.026944123645584114]","[0.05166721262214027, 0.548609078293882, 0.03971674465142641, 0.02642364992113685, 0.00711786472499764, 0.012667410049970186, 0.06509112519597851, 0.007223703530240874, 0.2197300093442892, 0.021753201665938283]","[-0.018178255499724537, 0.01728904652561558, -0.01904444437666922, 0.028688667075591052, 0.00042256614237849016, 0.013998946485293913, 0.03831591937566385, 0.015805235906890234, -0.08248860361468546, 0.005190921979645831]",0.23942260698215817,0.10276414844091016,"[-0.0018178255499724538, 0.0017289046525615582, -0.0019044444376669222, 0.0028688667075591054, 4.2256614237849016e-05, 0.0013998946485293913, 0.0038315919375663853, 0.0015805235906890234, -0.008248860361468546, 0.0005190921979645831]","[-0.01163745589003122, -0.0030050009124679145, -0.026196814642798716, 0.022372507631221186, -0.008104341789949385, -0.00032239189583167793, 0.03609818544312102, -0.01589772400826145, 0.0022678346506401353, 0.004425201414357883]",0.13032745827868059,0.05456728873681065
0,B,brightness_dark,6,1,"[0.012997863460806986, 0.024184351024353207, 0.16613860412375483, 0.33617435009744795, 0.018238089385908762, 0.23469798297304106, 0.07690119990150594, 0.11558079753758109, 0.010930633365048112, 0.004156128130552011]","[0.02125672514710052, 0.05303010251426506, 0.15210355902590583, 0.11595390236677805, 0.049171311768911666, 0.06357037501188538, 0.4634558601366589, 0.025073321102657885, 0.050255227347437266, 0.006129615578399466]","[-0.008258861686293533, -0.02884575148991185, 0.014035045097849003, 0.2202204477306699, -0.030933222383002903, 0.17112760796115567, -0.38655466023515295, 0.09050747643492321, -0.039324593982389154, -0.0019734874478474548]",0.9917811544491956,0.4888785776685138,"[-0.0004129430843146767, -0.0014422875744955926, 0.0007017522548924502, 0.011011022386533495, -0.0015466611191501452, 0.008556380398057783, -0.01932773301175765, 0.004525373821746161, -0.001966229699119458, -9.867437239237274e-05]","[-0.01163745589003122, -0.0030050009124679145, -0.026196814642798716, 0.022372507631221186, -0.008104341789949385, -0.00032239189583167793, 0.03609818544312102, -0.01589772400826145, 0.0022678346506401353, 0.004425201414357883]",0.13032745827868059,0.05456728873681065
