bank,context,salt,DU_actual_median,DU_actual_p90,DU_actual_mean,DU_null_median_mean,DU_exceedance_fraction,regret_actual_median,regret_actual_p90,regret_actual_mean,regret_null_median_mean,regret_exceedance_fraction,task_exceedance_fraction,actual_optimal_agreement,null_optimal_agreement,actual_canonical_agreement,null_canonical_agreement
B,clean,T013-S1,0.06905324674323912,0.190192946722083,0.08888612019475842,0.0769898035808124,0.08,0.0,0.05169497787477464,0.013657847972183008,0.003966621760860879,0.02,0.1,0.665,0.6955078125,0.66,0.6912109375
B,clean,T013-S2,0.0690686482799428,0.19009754145919971,0.08882485400785285,0.07702644755076343,0.08,0.0,0.05178921908441467,0.013775448578796532,0.004389451701030253,0.02,0.1,0.655,0.6926171875,0.65,0.6883203125
B,clean,T013-S3,0.06901376474757193,0.19018574240630773,0.08906727685299881,0.07715452791819347,0.08,0.0,0.05270122607456521,0.014717120416458729,0.004482176042656515,0.02,0.1,0.63,0.69109375,0.62,0.6830078125
B,brightness_dark,T013-S0,0.09180718033183087,0.2855978770241264,0.12986703144412273,0.10641962434106242,0.09,0.0,0.05533323106638266,0.01825437435604899,0.005559289670902371,0.03,0.09,0.695,0.746796875,0.675,0.722890625
B,brightness_dark,T013-S1,0.09176777002630704,0.28561808205715106,0.12986745962548704,0.10645561787710552,0.09,0.0,0.05561939913517954,0.0190245913159035,0.005712596917557388,0.04,0.1,0.685,0.737421875,0.675,0.727421875
B,brightness_dark,T013-S2,0.09172409919975698,0.28563181811799293,0.12983625390540493,0.10643012811062746,0.09,0.0,0.05527734391143837,0.018140619540135856,0.005826122701650861,0.03,0.09,0.695,0.741640625,0.68,0.7268359375
B,brightness_dark,T013-S3,0.09173108545685477,0.28572084029705375,0.12991137865080804,0.1064734877264976,0.09,0.0,0.05533320733364184,0.018073268864106817,0.005601566692574517,0.04,0.1,0.7,0.7486328125,0.68,0.7246875
B,contrast_low,T013-S0,0.09325533994173398,0.2445089903943621,0.12116645647471268,0.10125925239174297,0.03,0.0,0.09988255357402841,0.03074783296294194,0.011298908941962558,0.05,0.08,0.63,0.6323828125,0.62,0.6223828125
B,contrast_low,T013-S1,0.09334679972299967,0.24442952645715635,0.12129517528256771,0.10136920723521933,0.03,0.0,0.09878311465920954,0.029405457234345417,0.012482093910089143,0.03,0.06,0.635,0.6346484375,0.625,0.6246484375
B,contrast_low,T013-S2,0.09327918213034908,0.24453770582227427,0.12117406788017025,0.10122650502135992,0.03,0.0,0.10486164131739242,0.031637093162353615,0.011877803977451244,0.04,0.07,0.62,0.63546875,0.605,0.6230078125
B,contrast_low,T013-S3,0.09323519607295401,0.24454313420350313,0.12135754921224114,0.10138019818132114,0.03,0.0,0.09970696646609906,0.030968087569511766,0.01197073278225135,0.05,0.08,0.615,0.6287890625,0.605,0.6187890625
B,gaussian_noise,T013-S0,0.08660528208058896,0.19285008994050534,0.10257182296571493,0.08674797570226944,0.05,0.0,0.04333266480506611,0.012506677980768816,0.003837855470669727,0.02,0.07,0.71,0.70359375,0.71,0.695546875
B,gaussian_noise,T013-S1,0.08660464208221473,0.1927091662460745,0.10250921345047084,0.0867181093503328,0.05,0.0,0.043402660816211844,0.012662662762279755,0.003690332754913749,0.01,0.06,0.7,0.7009375,0.7,0.6930078125
B,gaussian_noise,T013-S2,0.08657959287758246,0.19265597309072374,0.10248468394443316,0.08669649649322951,0.05,0.0,0.034864610595751466,0.011799907990129392,0.0037591095379294515,0.01,0.06,0.695,0.710234375,0.68,0.6890625
B,gaussian_noise,T013-S3,0.0866066339447303,0.19267781555256336,0.10253824134618349,0.08674931137666964,0.05,0.0,0.04347858216707169,0.012649836833747596,0.003708047998547282,0.02,0.07,0.7,0.6991796875,0.7,0.69125
B,gaussian_blur,T013-S0,0.07919172297680545,0.20369465696295158,0.098418794024981,0.07886338189132461,0.04,0.0,0.04436323966142591,0.017516103407535743,0.0067041534319987025,0.03,0.07,0.59,0.6334375,0.585,0.6294921875
B,gaussian_blur,T013-S1,0.0791822514812119,0.20332683968258072,0.09868001360904201,0.07894142253463839,0.04,0.0002256835595039478,0.04630812061174595,0.01782892488406006,0.007124366543721161,0.04,0.08,0.575,0.6355078125,0.575,0.6355078125
B,gaussian_blur,T013-S2,0.07911068691685758,0.2036283359864432,0.09855088785053732,0.07895769951344322,0.04,0.0,0.04298897511518403,0.01774060960995557,0.0065367606806676914,0.05,0.09,0.605,0.6366015625,0.605,0.635625
B,gaussian_blur,T013-S3,0.07913124951238357,0.20346088788302857,0.0984728639948982,0.07887056251592821,0.04,0.0,0.04796603576063558,0.017569016159216168,0.006650013894446282,0.04,0.08,0.59,0.6321875,0.585,0.62828125
