client,bank,context,label,count,class_d_L1_actual,class_d_L1_null_median,class_d_L1_null_p95,class_d_L1_percentile,class_d_L1_above_p95
6,B,gaussian_blur,6,10,0.259661982913193,0.16983132624189085,0.3410966448000494,0.84375,False
7,A,clean,1,2,0.6312720192496328,0.43884705296167376,0.8064295631120713,0.8203125,False
7,A,clean,3,18,0.12819014619852032,0.15606471690291146,0.25453545646893666,0.328125,False
7,A,brightness_dark,1,2,0.31658305271610393,0.3762864212787612,0.784762533689273,0.359375,False
7,A,brightness_dark,3,18,0.07217182443377343,0.14189023397234263,0.24386347744028672,0.0703125,False
7,A,contrast_low,1,2,0.6084814193512694,0.42511804992464386,0.9347441746359139,0.78125,False
7,A,contrast_low,3,18,0.1438533051684865,0.13044502043151937,0.24503620220249858,0.5859375,False
7,A,gaussian_noise,1,2,0.6611738663536992,0.41007410163855945,0.8438742772002836,0.8515625,False
7,A,gaussian_noise,3,18,0.10832573251990926,0.14443172235998641,0.2504403248001044,0.2265625,False
7,A,gaussian_blur,1,2,0.7833305007543928,0.43857954567184393,0.8139955288793228,0.9375,False
7,A,gaussian_blur,3,18,0.08335353067107357,0.15250142937019015,0.25554964800894425,0.0703125,False
7,B,clean,1,2,0.6312720192496328,0.39148039488818925,0.7188924471065058,0.875,False
7,B,clean,3,18,0.12819014619852032,0.14484091289944367,0.2406439131833899,0.3515625,False
7,B,brightness_dark,1,2,0.31918860556424045,0.36162792349831363,0.7210703775424991,0.3203125,False
7,B,brightness_dark,3,18,0.0702595110958763,0.13644590136876716,0.225861327356798,0.0546875,False
7,B,contrast_low,1,2,0.579196917284452,0.41290510533366864,0.8136100908764542,0.7734375,False
7,B,contrast_low,3,18,0.13818595763170205,0.1430398473667306,0.2542570716273303,0.484375,False
7,B,gaussian_noise,1,2,0.6561185122324045,0.3912833532937169,0.8471700902212674,0.8046875,False
7,B,gaussian_noise,3,18,0.10674942081051406,0.14518288497382695,0.24723799779196445,0.2109375,False
7,B,gaussian_blur,1,2,0.7794086870412381,0.3935648275243332,0.744810822973277,0.9609375,True
7,B,gaussian_blur,3,18,0.0852690555969824,0.14753085859585116,0.25054740618680343,0.0859375,False
8,A,clean,0,4,0.37420680322265326,0.3571847481167062,0.6280211489697374,0.5625,False
8,A,clean,5,16,0.06384092735813363,0.17738075068881554,0.27145146197648706,0.0078125,False
8,A,brightness_dark,0,4,0.39184514116877267,0.35811640348979334,0.5638133498405599,0.6328125,False
8,A,brightness_dark,5,16,0.04821497072801855,0.1461197965120506,0.26993873112009914,0.0078125,False
8,A,contrast_low,0,4,0.31159607360094616,0.3335084645265771,0.6763419326709253,0.4375,False
8,A,contrast_low,5,16,0.10438277402205819,0.15139862392210687,0.28628324616167544,0.1796875,False
8,A,gaussian_noise,0,4,0.3256831500787407,0.38171263523926025,0.6524716455438924,0.328125,False
8,A,gaussian_noise,5,16,0.09143147013776566,0.17452721487191758,0.2964862469993445,0.015625,False
8,A,gaussian_blur,0,4,0.38957702061548144,0.39061494905942296,0.6549867261976489,0.4921875,False
8,A,gaussian_blur,5,16,0.08512869249966712,0.17776239437452676,0.27434939110550965,0.03125,False
8,B,clean,0,4,0.37420680322265326,0.3666568702323555,0.6129219590629911,0.515625,False
8,B,clean,5,16,0.06384092735813363,0.17559691913930076,0.2837545341892412,0.0078125,False
8,B,brightness_dark,0,4,0.4005174094299747,0.37723091699042866,0.6028022774191093,0.5625,False
8,B,brightness_dark,5,16,0.04820091346381082,0.15959701866945453,0.28158426676761955,0.0,False
8,B,contrast_low,0,4,0.3000164860176354,0.3482418982026656,0.646845941675307,0.40625,False
8,B,contrast_low,5,16,0.11442631822573064,0.17255695529280743,0.31911370840818165,0.1796875,False
8,B,gaussian_noise,0,4,0.3197788810118111,0.37343667493740884,0.6648183343822451,0.296875,False
8,B,gaussian_noise,5,16,0.09014538104375502,0.16599337117170213,0.27127503054287994,0.1015625,False
8,B,gaussian_blur,0,4,0.3916033512844175,0.3833523451815438,0.6322393026430929,0.5234375,False
