client,bank,context,salt,coverage,observed_classes,weight_sum,clean_residual_L1,shift_residual_L1,paired_residual_L1_actual,paired_residual_L1_null_median,paired_residual_L1_null_p95,paired_residual_L1_percentile,paired_residual_L1_above_p95,paired_residual_L2_actual,paired_residual_L2_null_median,paired_residual_L2_null_p95,paired_residual_L2_percentile,paired_residual_L2_above_p95,delta_DU_actual,delta_DU_null_median,delta_DU_null_p95,delta_DU_percentile,delta_DU_above_p95,delta_regret_actual,delta_regret_null_median,delta_regret_null_p95,delta_regret_percentile,delta_regret_above_p95,context_excess
0,B,contrast_low,T013-S0,1.0,3,1.0,0.19379770806734103,0.19454798506809087,0.11977486243562599,0.09198206089350755,0.1517965453318389,0.8359375,False,0.04351971325849204,0.03881884878955925,0.06203571023201805,0.6484375,False,-0.04064036074222166,0.007200771894027024,0.0894119379201088,0.109375,False,-0.02839020697414749,0.0,0.0998095959633003,0.1015625,False,False
0,B,contrast_low,T013-S1,1.0,3,1.0,0.19379770806734103,0.19454798506809087,0.11977486243562599,0.09198206089350755,0.1517965453318389,0.8359375,False,0.04351971325849204,0.03881884878955925,0.06203571023201805,0.6484375,False,-0.04239846590598126,0.007219716937133866,0.08934674290208669,0.109375,False,-0.02386583559256189,0.0,0.09991096995072425,0.1328125,False,False
0,B,contrast_low,T013-S2,1.0,3,1.0,0.19379770806734103,0.19454798506809087,0.11977486243562599,0.09198206089350755,0.1517965453318389,0.8359375,False,0.04351971325849204,0.03881884878955925,0.06203571023201805,0.6484375,False,-0.04070294986509493,0.0071971073149343905,0.08940576376560389,0.109375,False,-0.026788979011354876,0.0,0.0997366055797976,0.109375,False,False
0,B,contrast_low,T013-S3,1.0,3,1.0,0.19379770806734103,0.19454798506809087,0.11977486243562599,0.09198206089350755,0.1517965453318389,0.8359375,False,0.04351971325849204,0.03881884878955925,0.06203571023201805,0.6484375,False,-0.04065183865255668,0.00723568869696016,0.08939671759062152,0.109375,False,-0.023027297103414487,0.0,0.09977559928457719,0.1328125,False,False
0,B,gaussian_noise,T013-S0,1.0,3,1.0,0.19379770806734103,0.20470988455369543,0.04055861717314061,0.038257769294577665,0.05846221087068464,0.5703125,False,0.01707521117559587,0.01599782502316547,0.02583214510557833,0.609375,False,0.052653678896731476,0.0029895459428996435,0.03485489500843198,0.9921875,True,-0.02839020697414749,0.0,0.0,0.046875,False,True
0,B,gaussian_noise,T013-S1,1.0,3,1.0,0.19379770806734103,0.20470988455369543,0.04055861717314061,0.038257769294577665,0.05846221087068464,0.5703125,False,0.01707521117559587,0.01599782502316547,0.02583214510557833,0.609375,False,0.05078065462934672,0.0029636956573615286,0.034813319065898386,0.9921875,True,-0.02386583559256189,0.0,0.0,0.0546875,False,True
0,B,gaussian_noise,T013-S2,1.0,3,1.0,0.19379770806734103,0.20470988455369543,0.04055861717314061,0.038257769294577665,0.05846221087068464,0.5703125,False,0.01707521117559587,0.01599782502316547,0.02583214510557833,0.609375,False,0.05253070357314585,0.0029697517296348288,0.03484018409118942,0.9921875,True,-0.026788979011354876,0.0,0.0,0.0390625,False,True
0,B,gaussian_noise,T013-S3,1.0,3,1.0,0.19379770806734103,0.20470988455369543,0.04055861717314061,0.038257769294577665,0.05846221087068464,0.5703125,False,0.01707521117559587,0.01599782502316547,0.02583214510557833,0.609375,False,0.05260794266968691,0.0030333318009884884,0.03484391477360189,0.9921875,True,-0.023027297103414487,0.0,0.0,0.0703125,False,True
0,B,gaussian_blur,T013-S0,1.0,3,1.0,0.19379770806734103,0.24481257916168092,0.084276319752853,0.04305042806266557,0.073787935090098,0.9765625,True,0.03714348641383948,0.018422836009814328,0.034391944670310856,0.9765625,True,0.017956051344939772,0.0052864728140914145,0.05361746920081929,0.734375,False,-0.006847068559328411,0.012404179488305052,0.012404179488305052,0.09375,False,True
0,B,gaussian_blur,T013-S1,1.0,3,1.0,0.19379770806734103,0.24481257916168092,0.084276319752853,0.04305042806266557,0.073787935090098,0.9765625,True,0.03714348641383948,0.018422836009814328,0.034391944670310856,0.9765625,True,0.01619399510057476,0.005285611176591367,0.05352167947262876,0.703125,False,0.0035213948807799045,0.021654349378050115,0.021654349378050115,0.359375,False,True
0,B,gaussian_blur,T013-S2,1.0,3,1.0,0.19379770806734103,0.24481257916168092,0.084276319752853,0.04305042806266557,0.073787935090098,0.9765625,True,0.03714348641383948,0.018422836009814328,0.034391944670310856,0.9765625,True,0.0179693444819104,0.005325735862985463,0.05358696827580729,0.734375,False,-0.0036548719220396153,0.008150277408353094,0.008150277408353094,0.1015625,False,True
0,B,gaussian_blur,T013-S3,1.0,3,1.0,0.19379770806734103,0.24481257916168092,0.084276319752853,0.04305042806266557,0.073787935090098,0.9765625,True,0.03714348641383948,0.018422836009814328,0.034391944670310856,0.9765625,True,0.017951272687552297,0.005319135843004725,0.05361964417306561,0.734375,False,0.0006475107980293618,0.009478624449946198,0.009478624449946198,0.2109375,False,True
1,A,brightness_dark,T013-S0,1.0,2,1.0,0.15852161619106478,0.1164485705114143,0.08506665176408885,0.07348162778887932,0.1197360313812186,0.625,False,0.032934518585616676,0.03056916946397456,0.052216661128964295,0.578125,False,0.032377169068637184,0.026532720997884337,0.09667285229001726,0.5859375,False,0.0,0.0,0.0,0.9921875,False,False
1,A,brightness_dark,T013-S1,1.0,2,1.0,0.15852161619106478,0.1164485705114143,0.08506665176408885,0.07348162778887932,0.1197360313812186,0.625,False,0.032934518585616676,0.03056916946397456,0.052216661128964295,0.578125,False,0.03239928791324592,0.02798217132111688,0.09674908235615252,0.5859375,False,0.0,0.0,0.0,0.9921875,False,False
1,A,brightness_dark,T013-S2,1.0,2,1.0,0.15852161619106478,0.1164485705114143,0.08506665176408885,0.07348162778887932,0.1197360313812186,0.625,False,0.032934518585616676,0.03056916946397456,0.052216661128964295,0.578125,False,0.032474029584431394,0.027706614110022957,0.09665278411082576,0.5859375,False,0.0,0.0,0.0,0.984375,False,False
1,A,brightness_dark,T013-S3,1.0,2,1.0,0.15852161619106478,0.1164485705114143,0.08506665176408885,0.07348162778887932,0.1197360313812186,0.625,False,0.032934518585616676,0.03056916946397456,0.052216661128964295,0.578125,False,0.03242689343506293,0.026544353586828953,0.09668632894536167,0.5859375,False,0.0,0.0,0.0,0.9921875,False,False
1,A,contrast_low,T013-S0,1.0,2,1.0,0.15852161619106478,0.07418630030066407,0.1565602718551655,0.09602538206453722,0.15972480238052408,0.9140625,False,0.05375212023673589,0.04183886426978321,0.07167498679238557,0.7734375,False,0.07146627453939482,0.019409246173154253,0.09598629239135362,0.8828125,False,0.0,0.0,0.07629401541887766,0.625,False,False
1,A,contrast_low,T013-S1,1.0,2,1.0,0.15852161619106478,0.07418630030066407,0.1565602718551655,0.09602538206453722,0.15972480238052408,0.9140625,False,0.05375212023673589,0.04183886426978321,0.07167498679238557,0.7734375,False,0.0715018870534023,0.019112148629871435,0.09623162581065324,0.8828125,False,0.0,0.0,0.07640223539597236,0.6328125,False,False
1,A,contrast_low,T013-S2,1.0,2,1.0,0.15852161619106478,0.07418630030066407,0.1565602718551655,0.09602538206453722,0.15972480238052408,0.9140625,False,0.05375212023673589,0.04183886426978321,0.07167498679238557,0.7734375,False,0.07156026778090196,0.019374561868746674,0.09595584308406406,0.875,False,0.0,0.0,0.07612980873037228,0.6015625,False,False
1,A,contrast_low,T013-S3,1.0,2,1.0,0.15852161619106478,0.07418630030066407,0.1565602718551655,0.09602538206453722,0.15972480238052408,0.9140625,False,0.05375212023673589,0.04183886426978321,0.07167498679238557,0.7734375,False,0.07155412858492709,0.018468471239949637,0.09593681733265903,0.8828125,False,0.0,0.0,0.07619373225756085,0.6328125,False,False
1,A,gaussian_noise,T013-S0,1.0,2,1.0,0.15852161619106478,0.18841856280606445,0.04788250136949258,0.03666743546286304,0.0571946764818716,0.796875,False,0.02198125301054531,0.015342806742080106,0.027932521249064625,0.8828125,False,0.02991133870798332,0.004718921626342469,0.04051554475751742,0.890625,False,0.0,0.0,0.03163647728048361,0.9375,False,False
1,A,gaussian_noise,T013-S1,1.0,2,1.0,0.15852161619106478,0.18841856280606445,0.04788250136949258,0.03666743546286304,0.0571946764818716,0.796875,False,0.02198125301054531,0.015342806742080106,0.027932521249064625,0.8828125,False,0.02988295264087859,0.004755380122086066,0.040448324603423506,0.8828125,False,0.0,0.0,0.016313610288674965,0.9296875,False,False
1,A,gaussian_noise,T013-S2,1.0,2,1.0,0.15852161619106478,0.18841856280606445,0.04788250136949258,0.03666743546286304,0.0571946764818716,0.796875,False,0.02198125301054531,0.015342806742080106,0.027932521249064625,0.8828125,False,0.029981647534472845,0.0047417901931112805,0.04051795193474686,0.890625,False,0.0,0.0,0.01709125345467871,0.9453125,False,False
1,A,gaussian_noise,T013-S3,1.0,2,1.0,0.15852161619106478,0.18841856280606445,0.04788250136949258,0.03666743546286304,0.0571946764818716,0.796875,False,0.02198125301054531,0.015342806742080106,0.027932521249064625,0.8828125,False,0.029905384896845848,0.004721796674133586,0.040491944276381975,0.890625,False,0.0,0.0,0.0,0.9609375,False,False
1,A,gaussian_blur,T013-S0,1.0,2,1.0,0.15852161619106478,0.1756445883442861,0.03686426885760422,0.04134058512796333,0.07946560323646619,0.3515625,False,0.013396372568893762,0.017769562718557133,0.0310343569702267,0.25,False,0.015576290271557755,0.004855410320775685,0.04330924633177298,0.7109375,False,0.0,0.005042389308886076,0.04196005714248806,0.4140625,False,False
1,A,gaussian_blur,T013-S1,1.0,2,1.0,0.15852161619106478,0.1756445883442861,0.03686426885760422,0.04134058512796333,0.07946560323646619,0.3515625,False,0.013396372568893762,0.017769562718557133,0.0310343569702267,0.25,False,0.015572252387094851,0.004888816879748649,0.043672133445813485,0.703125,False,0.0,0.001478139757824348,0.045533469143464615,0.375,False,False
1,A,gaussian_blur,T013-S2,1.0,2,1.0,0.15852161619106478,0.1756445883442861,0.03686426885760422,0.04134058512796333,0.07946560323646619,0.3515625,False,0.013396372568893762,0.017769562718557133,0.0310343569702267,0.25,False,0.01559325733438045,0.005323039523458339,0.04351109501568906,0.6953125,False,0.0,0.01065216891829795,0.04452505630116256,0.4765625,False,False
1,A,gaussian_blur,T013-S3,1.0,2,1.0,0.15852161619106478,0.1756445883442861,0.03686426885760422,0.04134058512796333,0.07946560323646619,0.3515625,False,0.013396372568893762,0.017769562718557133,0.0310343569702267,0.25,False,0.015576562887400433,0.004878810488284128,0.04358105364306771,0.7109375,False,0.0,0.008838491681046175,0.05788464181688747,0.46875,False,False
