direction,bank,heldout,batch,true_context,selected,second,distance,second_distance,margin,d_clean,d_brightness_dark,d_contrast_low,d_gaussian_noise,d_gaussian_blur
B_to_A,B,A,2,contrast_low,contrast_low,gaussian_blur,6.315179776902072,33.95872702651246,27.643547249610393,96.6370404314786,204.69249310590232,6.315179776902072,174.98196024020683,33.95872702651246
B_to_A,B,A,3,contrast_low,contrast_low,gaussian_blur,3.0743999581450914,44.262373096830764,41.18797313868567,109.6575853855795,182.59883244198338,3.0743999581450914,185.58974846423803,44.262373096830764
B_to_A,B,A,0,gaussian_noise,gaussian_noise,clean,7.970847157455214,35.25343144370068,27.282584286245463,35.25343144370068,382.4007124083191,202.8849169423756,7.970847157455214,99.02830439428025
B_to_A,B,A,1,gaussian_noise,gaussian_noise,clean,0.9736304409979946,23.347228453939692,22.3735980129417,23.347228453939692,334.5897613057891,162.31888476593306,0.9736304409979946,73.97438991108099
B_to_A,B,A,2,gaussian_noise,gaussian_noise,clean,7.2896011578468105,23.500967718516108,16.211366560669298,23.500967718516108,347.39751891063645,159.63444886401476,7.2896011578468105,68.7514127677992
B_to_A,B,A,3,gaussian_noise,gaussian_noise,clean,1.1537617057475809,23.2952080154802,22.14144630973262,23.2952080154802,343.3828946659973,163.49745503752155,1.1537617057475809,74.9644783538103
B_to_A,B,A,0,gaussian_blur,gaussian_blur,clean,5.680418608820596,12.878180983546198,7.197762374725602,12.878180983546198,264.92922402784546,50.34976493377136,57.89853960465328,5.680418608820596
B_to_A,B,A,1,gaussian_blur,gaussian_blur,contrast_low,3.3688472602595048,24.329845317217256,20.960998056957752,29.72490437092849,221.84228824578605,24.329845317217256,83.24030827248419,3.3688472602595048
B_to_A,B,A,2,gaussian_blur,gaussian_blur,clean,4.961279563937181,29.64027937029389,24.678999806356707,29.64027937029389,261.03454296315664,37.502874055742325,86.23440279528566,4.961279563937181
B_to_A,B,A,3,gaussian_blur,gaussian_blur,contrast_low,1.7823511825390284,24.951014230429372,23.168663047890345,27.727094589688548,232.7297163065326,24.951014230429372,82.60548601930874,1.7823511825390284
