client,bank,target,alpha,J,consistency_js,flip_top1_agreement,entropy_original,entropy_flip,prob_margin_original
2,B,contrast_low,1.25,15.715471733378415,0.0020057818767923673,0.9500000000000001,1.2192053261728772,1.2213735102426708,0.34784669322898143
2,B,contrast_low,1.5,27.913598379630916,0.0020720222881970814,0.9,1.057573426982185,1.069654209308992,0.42581312126001336
2,A,gaussian_noise,0.0,30.49731432818414,0.004031889030587279,0.9,1.2147903398535664,1.2183226565431493,0.30993058710703625
2,A,gaussian_noise,0.25,20.3876330397675,0.004115733951954029,0.9,1.2465217732600704,1.250522307559126,0.3023550466598323
2,A,gaussian_noise,0.5,12.392309801867208,0.004180273728277224,0.9500000000000001,1.284420018719799,1.2888792926533164,0.2949193997551349
2,A,gaussian_noise,0.75,6.998395038443672,0.004211207526114063,1.0,1.3279817970510264,1.332923489513419,0.284505211142815
2,A,gaussian_noise,1.0,4.815811759489669,0.004218675668148425,0.9500000000000001,1.3766504299360953,1.3822673513182826,0.27126280719743684
2,A,gaussian_noise,1.25,6.685373856325888,0.0041843708408336585,0.9,1.4300339638070612,1.4360063163273273,0.26345463805480573
2,A,gaussian_noise,1.5,13.936727284028958,0.004113425295297431,0.8500000000000001,1.4874463456587792,1.493280209246192,0.25944589508341986
2,B,gaussian_noise,0.0,34.12123513387866,0.004031889030587279,0.9,1.2147903398535664,1.2183226565431493,0.30993058710703625
2,B,gaussian_noise,0.25,23.314222707993963,0.004094093344891163,0.9,1.2490254837676744,1.2531699537340337,0.3007364301170526
2,B,gaussian_noise,0.5,14.697666174948091,0.004135238804117687,0.9500000000000001,1.2891459110662316,1.2939090207476716,0.2921308451723741
2,B,gaussian_noise,0.75,8.752696111422207,0.004147786800449023,1.0,1.3349342603119903,1.3402121996571947,0.2817585643641067
2,B,gaussian_noise,1.0,6.085039556499256,0.004135946575374437,0.9,1.3858663487854508,1.391774719601494,0.26791533316518684
2,B,gaussian_noise,1.25,7.539607158315337,0.004082706036233475,0.9,1.441558300492639,1.4478502883551665,0.25701786387245235
2,B,gaussian_noise,1.5,14.51951179021038,0.003999893953105088,0.8500000000000001,1.5013998647525717,1.5077759036351202,0.24987972033464587
2,A,gaussian_blur,0.0,16.34781793842654,0.0033512203457253783,0.9,1.6439401379412666,1.6325013318490997,0.22859054720768046
2,A,gaussian_blur,0.25,10.626083315849062,0.003627423621265169,0.8500000000000001,1.578877775841698,1.5689260750447005,0.2335587662384505
2,A,gaussian_blur,0.5,7.117056355452878,0.0038685354615073265,0.8500000000000001,1.5124116398119354,1.5050211015246504,0.2407960944003624
2,A,gaussian_blur,0.75,5.71259714439529,0.004076961543944312,0.9500000000000001,1.4457974033649699,1.4414300499836499,0.254082684514095
2,A,gaussian_blur,1.0,6.337743020076291,0.004239967808471092,0.8500000000000001,1.3797336940234026,1.3780120419285515,0.26556127564611176
2,A,gaussian_blur,1.25,8.947551680278703,0.0043593825370280975,0.9,1.3139436425444293,1.314561334366367,0.2757781148631132
2,A,gaussian_blur,1.5,13.499181472857366,0.004434967200516489,0.9,1.2483572819623334,1.2506869084814136,0.3018657345084644
2,B,gaussian_blur,0.0,17.913819708781702,0.0033512203457253783,0.9,1.6439401379412666,1.6325013318490997,0.22859054720768046
2,B,gaussian_blur,0.25,11.978484406094553,0.0036248576630919767,0.8500000000000001,1.574539653143729,1.564887186533647,0.23380528143517806
2,B,gaussian_blur,0.5,8.600377027539517,0.0038599215710472014,0.8500000000000001,1.5038097150696417,1.4971392920015694,0.24179560919996546
2,B,gaussian_blur,0.75,7.635494498671187,0.004055922673520147,0.9,1.4333113989128434,1.4300617732242058,0.25605802680723405
2,B,gaussian_blur,1.0,9.007789890289578,0.004201239308823267,0.9,1.3636591083969858,1.363388488879745,0.26620177010394175
2,B,gaussian_blur,1.25,12.639680750667216,0.0043000902943269885,0.9500000000000001,1.2945712225115233,1.2967529070257662,0.2829933100221148
2,B,gaussian_blur,1.5,18.469593427275157,0.004355485466718237,0.9,1.225759768299655,1.2297513735322723,0.31031466673873986
3,A,brightness_dark,0.0,281.7048685205493,0.00043617337310336785,1.0,1.7893135566806635,1.7902151289840988,0.18375028609372013
3,A,brightness_dark,0.25,210.5426536442242,0.0006965171188967267,1.0,1.6890867511049805,1.6880502921002234,0.18870896226901512
3,A,brightness_dark,0.5,171.70886174837045,0.0009772676068628761,0.9500000000000001,1.5283050013391664,1.523934785736712,0.22306970363237377
3,A,brightness_dark,0.75,145.57527775174933,0.0012301946563861685,0.9500000000000001,1.3692488059230323,1.3593549042283164,0.26453576564721315
3,A,brightness_dark,1.0,143.03641068945316,0.0014426499149917484,0.9,1.2328264891471445,1.2188003063162336,0.312114020901286
3,A,brightness_dark,1.25,157.17894032995878,0.001584613344613415,0.9500000000000001,1.1213493265710168,1.1060471192464096,0.3425476311477808
3,A,brightness_dark,1.5,193.5794409073656,0.001817699790375612,1.0,1.0297952175780487,1.014831453940479,0.36336649492365725
3,B,brightness_dark,0.0,286.19039624738053,0.00043617337310336785,1.0,1.7893135566806635,1.7902151289840988,0.18375028609372013
3,B,brightness_dark,0.25,214.48411842470105,0.0007000422782820273,1.0,1.6879262940338735,1.6868427354783355,0.1885288124131554
3,B,brightness_dark,0.5,176.25442814087853,0.000983051581423937,0.9,1.5243250022960415,1.5197861325906061,0.22370322378672725
3,B,brightness_dark,0.75,151.3460212973275,0.0012270619068026623,0.9500000000000001,1.361534822115308,1.3512235076105537,0.26790547530527065
3,B,brightness_dark,1.0,150.29258299220228,0.0014490968103482251,0.9500000000000001,1.2208272131955078,1.2067463856016336,0.31800794034230545
3,B,brightness_dark,1.25,178.08035314607775,0.0015953345620162284,1.0,1.1052282743247763,1.0900678858943418,0.35206825963898014
3,B,brightness_dark,1.5,189.37172327525587,0.0018350209868540528,1.0,1.0105465777158549,0.9949335883787882,0.37286673054004826
3,A,contrast_low,0.0,90.73061026763284,0.00021169402983490073,0.9500000000000001,1.6646911437805523,1.6657293111163114,0.16213689154200123
3,A,contrast_low,0.25,63.03824593798167,0.00029917006356042734,1.0,1.5914367368394116,1.5908473445081264,0.17044988087016272
3,A,contrast_low,0.5,50.621620918819836,0.00038368467004183996,1.0,1.497433620959366,1.492128926829067,0.17785524939390598
3,A,contrast_low,0.75,49.993366777483836,0.00043370256433669256,1.0,1.3713794957322514,1.3615328377435956,0.24339567765657946
3,A,contrast_low,1.0,59.396254104246395,0.0004629335469762176,0.9500000000000001,1.2418649757867462,1.2313041250975516,0.2840831298988943
3,A,contrast_low,1.25,77.84307806930246,0.0005095125522423279,0.9500000000000001,1.1353737780451698,1.1252206326924648,0.30582172585313316
3,A,contrast_low,1.5,104.75404766437885,0.0005846263500447315,0.9,1.0539111049899474,1.0439892293018092,0.3157346095823699
3,B,contrast_low,0.0,93.53259558386465,0.00021169402983490073,0.9500000000000001,1.6646911437805523,1.6657293111163114,0.16213689154200123
3,B,contrast_low,0.25,64.65997712923324,0.00030538679835300143,1.0,1.5942850701614608,1.593687050950372,0.17472942771112196
3,B,contrast_low,0.5,50.68731791639568,0.000409693312671566,1.0,1.5002161139280095,1.4943814094089405,0.18382097954061094
3,B,contrast_low,0.75,48.28020641911658,0.0004867245701191249,0.9500000000000001,1.3687176573869653,1.3578193948494661,0.2538630309775802
3,B,contrast_low,1.0,55.98467384866709,0.0005373702303056171,0.9,1.2351963509616615,1.2232266715325644,0.2927014184292424
3,B,contrast_low,1.25,73.10434608530946,0.0006042284893623808,0.9,1.1281714600100454,1.1166642654415146,0.308589349186829
3,B,contrast_low,1.5,99.2657353908054,0.0006871048702912614,0.8500000000000001,1.0469601490316969,1.0360864360762514,0.3107180822451162
3,A,gaussian_noise,0.0,44.619090034298274,0.0016959207087137206,0.9,1.1503743950469694,1.1398926894081391,0.3042362381361488
3,A,gaussian_noise,0.25,36.19481794584856,0.0017120559610546684,0.9500000000000001,1.165642760022536,1.153897379914971,0.3037767996118252
3,A,gaussian_noise,0.5,30.136346505209055,0.0017174211986848956,1.0,1.1841673305798037,1.171182290955712,0.3034114950158789
3,A,gaussian_noise,0.75,26.875646838518893,0.0017132974885474919,1.0,1.2062670561071547,1.192380356219195,0.30365907094026073
3,A,gaussian_noise,1.0,26.853382855435406,0.0016920368705286898,1.0,1.2322567444472559,1.2179182418918524,0.30056261155633046
3,A,gaussian_noise,1.25,30.714584358016424,0.0016566000858688965,0.9,1.2628955502085917,1.2483680845991214,0.29236492451554663
3,A,gaussian_noise,1.5,39.81278600782424,0.0016118653017530911,0.9500000000000001,1.2987554681741937,1.2836681175700377,0.2823616446035715
3,B,gaussian_noise,0.0,49.05678052606942,0.0016959207087137206,0.9,1.1503743950469694,1.1398926894081391,0.3042362381361488
3,B,gaussian_noise,0.25,39.90083535135506,0.0017065394822227686,0.9500000000000001,1.167929324538876,1.156354342323946,0.3030033691007633
3,B,gaussian_noise,0.5,33.19072377243049,0.0017063343490037151,0.9500000000000001,1.1888162603137802,1.1761612964556145,0.3010963586226263
3,B,gaussian_noise,0.75,29.31630605103164,0.0017022166175206578,1.0,1.21338898248906,1.1999761954331405,0.3006155450275918
3,B,gaussian_noise,1.0,28.567330665610413,0.0016828442758593251,1.0,1.2420457398749285,1.2282133943536335,0.29683162302210836
3,B,gaussian_noise,1.25,31.56045733449118,0.001647219357910021,0.9500000000000001,1.2755489395609363,1.2614969142278882,0.286439535613959
3,B,gaussian_noise,1.5,39.941554233567544,0.0016049853172696593,0.9,1.3143652706216287,1.3000305730911361,0.2756610792548479
