client,bank,target,alpha,DeltaJ,DeltaC,DeltaAcc
3,B,gaussian_blur,0.25,5.885891243358664,-4.7078706623964297e-05,-1.8518518518518519
3,B,gaussian_blur,0.5,9.315145832395899,-9.572146809708063e-05,-1.8518518518518519
3,B,gaussian_blur,0.75,10.42913779924617,-0.00015314689619012737,0.0
3,B,gaussian_blur,1.0,9.319946958766984,-0.00020652900379636448,0.0
3,B,gaussian_blur,1.25,6.059517569396789,-0.0002579770745132204,0.9259259259259259
3,B,gaussian_blur,1.5,0.7632806568711672,-0.00029870454408899966,0.9259259259259259
4,A,brightness_dark,0.0,0.0,0.0,0.0
4,A,brightness_dark,0.25,81.25919301186221,-0.0005146881844028422,0.9523809523809523
4,A,brightness_dark,0.5,129.8484239412917,-0.001160482478669042,0.9523809523809523
4,A,brightness_dark,0.75,165.10443159362794,-0.0017943528751550976,0.9523809523809523
4,A,brightness_dark,1.0,180.706726678781,-0.002463567171587763,1.9047619047619047
4,A,brightness_dark,1.25,180.69472032918424,-0.003205325343771483,5.714285714285714
4,A,brightness_dark,1.5,159.56083706189054,-0.004097536308517611,8.571428571428571
4,B,brightness_dark,0.0,0.0,0.0,0.0
4,B,brightness_dark,0.25,82.09065622753891,-0.000527311927191121,0.9523809523809523
4,B,brightness_dark,0.5,130.7059492745483,-0.0011921208031728265,0.9523809523809523
4,B,brightness_dark,0.75,165.35913642962592,-0.0018519930482237138,0.9523809523809523
4,B,brightness_dark,1.0,179.1449171061268,-0.002545095982331831,2.857142857142857
4,B,brightness_dark,1.25,165.06106269251154,-0.0032757020243100203,5.714285714285714
4,B,brightness_dark,1.5,169.00908606112623,-0.00415473401557866,8.571428571428571
4,A,contrast_low,0.0,0.0,0.0,0.0
4,A,contrast_low,0.25,46.92176981636899,-0.00018227495676129168,1.9047619047619047
4,A,contrast_low,0.5,79.13629973160144,-0.0003990264503814892,2.857142857142857
4,A,contrast_low,0.75,100.49379818104863,-0.0005964841545312375,2.857142857142857
4,A,contrast_low,1.0,113.04407953848553,-0.000771625256164899,3.8095238095238093
4,A,contrast_low,1.25,118.13181092615369,-0.0009489189131908048,4.761904761904762
4,A,contrast_low,1.5,116.61167060470608,-0.0011547632160368694,4.761904761904762
4,B,contrast_low,0.0,0.0,0.0,0.0
4,B,contrast_low,0.25,45.92881068164313,-0.00017939901364332183,0.9523809523809523
4,B,contrast_low,0.5,77.79285870711955,-0.0004086858353769948,2.857142857142857
4,B,contrast_low,0.75,99.1898344190858,-0.0006077725335474142,2.857142857142857
4,B,contrast_low,1.0,111.90458292457697,-0.0007721109184147254,3.8095238095238093
4,B,contrast_low,1.25,117.22926586492142,-0.0009355991909446036,2.857142857142857
4,B,contrast_low,1.5,115.66808656000839,-0.0011381636307158717,1.9047619047619047
4,A,gaussian_noise,0.0,0.0,0.0,0.0
4,A,gaussian_noise,0.25,8.107486874303344,3.603245201362019e-05,0.0
4,A,gaussian_noise,0.5,13.89532261649568,7.068031307809952e-05,0.0
4,A,gaussian_noise,0.75,16.852245138238676,0.00010214162521243872,0.9523809523809523
4,A,gaussian_noise,1.0,16.344060327544142,0.00016448873541127697,0.9523809523809523
4,A,gaussian_noise,1.25,11.738933227121244,0.0002560666681788023,0.9523809523809523
4,A,gaussian_noise,1.5,1.9394129599372896,0.0003519697676473933,0.9523809523809523
4,B,gaussian_noise,0.0,0.0,0.0,0.0
4,B,gaussian_noise,0.25,8.333232007066252,4.1105056718524456e-05,0.0
4,B,gaussian_noise,0.5,14.262708459887037,8.197360856332728e-05,0.0
4,B,gaussian_noise,0.75,17.291182374971072,0.00012057952381157094,0.9523809523809523
4,B,gaussian_noise,1.0,16.823315619911575,0.00018431881474932372,0.9523809523809523
4,B,gaussian_noise,1.25,12.10298556313976,0.00027204691069428405,1.9047619047619047
4,B,gaussian_noise,1.5,2.445695444875092,0.00036223382430114253,1.9047619047619047
4,A,gaussian_blur,0.0,0.0,0.0,0.0
4,A,gaussian_blur,0.25,8.714883443970034,-0.00011470895788970922,0.0
4,A,gaussian_blur,0.5,15.418719149916118,-0.00022129345337677754,0.0
4,A,gaussian_blur,0.75,20.22656630764368,-0.00033007914878927826,0.0
4,A,gaussian_blur,1.0,23.21661051144097,-0.0004366103687953346,0.9523809523809523
4,A,gaussian_blur,1.25,24.4462365592616,-0.0005422308466838306,0.9523809523809523
4,A,gaussian_blur,1.5,23.95887455200529,-0.000635227108627714,0.0
4,B,gaussian_blur,0.0,0.0,0.0,0.0
4,B,gaussian_blur,0.25,9.268893119426277,-0.00011456632311990884,0.0
4,B,gaussian_blur,0.5,16.240050520233332,-0.00022099138563233143,0.0
4,B,gaussian_blur,0.75,21.063638428739534,-0.0003313855051412678,0.0
4,B,gaussian_blur,1.0,23.842994637136524,-0.0004375147862176725,0.0
4,B,gaussian_blur,1.25,24.655634297707188,-0.0005425643750805562,0.9523809523809523
4,B,gaussian_blur,1.5,23.563613193573712,-0.0006374720308396625,0.0
5,A,brightness_dark,0.0,0.0,0.0,0.0
5,A,brightness_dark,0.25,80.19521407351391,-0.0004519214069662246,0.0
5,A,brightness_dark,0.5,125.7868999550879,-0.000948056209382137,0.0
5,A,brightness_dark,0.75,149.11922558697012,-0.0015258021382454465,5.69620253164557
5,A,brightness_dark,1.0,156.2879563663085,-0.0021155445251874825,4.430379746835443
5,A,brightness_dark,1.25,147.5975029002641,-0.002707626501228427,3.1645569620253164
5,A,brightness_dark,1.5,119.63202619745508,-0.003323380213734629,3.1645569620253164
5,B,brightness_dark,0.0,0.0,0.0,0.0
5,B,brightness_dark,0.25,80.96378669813521,-0.0004561867227776531,0.6329113924050633
5,B,brightness_dark,0.5,126.33290682801689,-0.0009597869727850727,0.0
5,B,brightness_dark,0.75,148.51054119505582,-0.0015538252779952592,5.69620253164557
5,B,brightness_dark,1.0,154.36740718289116,-0.002175213260693938,5.063291139240507
5,B,brightness_dark,1.25,133.23370201824636,-0.0027620836439687683,3.7974683544303796
5,B,brightness_dark,1.5,131.09302409999117,-0.0033862067682210277,3.1645569620253164
5,A,contrast_low,0.0,0.0,0.0,0.0
5,A,contrast_low,0.25,34.186486257761274,-9.692207522230862e-05,-3.1645569620253164
5,A,contrast_low,0.5,52.66702259774105,-0.00020798248217638958,-4.430379746835443
5,A,contrast_low,0.75,59.37636451405075,-0.0003346531065705535,-1.8987341772151898
5,A,contrast_low,1.0,56.9468627618771,-0.0004920098429063247,-3.1645569620253164
5,A,contrast_low,1.25,46.40025932357906,-0.0006778566514909852,-6.962025316455696
5,A,contrast_low,1.5,28.44557666163486,-0.0008786007845879569,-7.594936708860759
5,B,contrast_low,0.0,0.0,0.0,0.0
5,B,contrast_low,0.25,35.871250446098315,-9.077108663155378e-05,-3.7974683544303796
5,B,contrast_low,0.5,56.80430924381495,-0.0001941904980643876,-3.7974683544303796
5,B,contrast_low,0.75,66.60726404758074,-0.00032444322092520624,-3.7974683544303796
5,B,contrast_low,1.0,67.47071249190444,-0.0005050899878112564,-5.063291139240507
5,B,contrast_low,1.25,60.4204021859553,-0.0007022465214170778,-8.227848101265822
5,B,contrast_low,1.5,45.937634338510414,-0.000891338223844585,-10.759493670886076
5,A,gaussian_noise,0.0,0.0,0.0,0.0
5,A,gaussian_noise,0.25,6.843577369149617,-1.0074928962856833e-05,0.6329113924050633
5,A,gaussian_noise,0.5,11.217262032103491,-1.5754685100739796e-05,3.7974683544303796
5,A,gaussian_noise,0.75,12.747879400176327,-5.20762319505862e-06,6.329113924050633
5,A,gaussian_noise,1.0,10.888954536027178,2.734577706215097e-05,7.594936708860759
5,A,gaussian_noise,1.25,4.8292727928276555,7.852825214176365e-05,12.025316455696203
5,A,gaussian_noise,1.5,-6.661881692466643,0.00015687422572170824,13.924050632911392
5,B,gaussian_noise,0.0,0.0,0.0,0.0
5,B,gaussian_noise,0.25,7.4301389149494526,9.770484164926124e-06,0.6329113924050633
5,B,gaussian_noise,0.5,12.426042500022106,2.3737637590946423e-05,3.7974683544303796
5,B,gaussian_noise,0.75,14.546483363823647,5.0269154683957405e-05,6.329113924050633
5,B,gaussian_noise,1.0,13.28697017621904,9.780659747117082e-05,7.594936708860759
5,B,gaussian_noise,1.25,7.864692854518459,0.00016133644341184087,9.49367088607595
5,B,gaussian_noise,1.5,-3.0936485038960413,0.0002446771895723951,13.291139240506329
5,A,gaussian_blur,0.0,0.0,0.0,0.0
5,A,gaussian_blur,0.25,7.476483810526396,-0.00011901999185529987,-1.2658227848101267
5,A,gaussian_blur,0.5,12.955275681520991,-0.00022935123479564542,-2.5316455696202533
5,A,gaussian_blur,0.75,16.549531022492232,-0.0003480415367465358,-4.430379746835443
5,A,gaussian_blur,1.0,18.340770336798098,-0.00047275240739411877,-6.962025316455696
5,A,gaussian_blur,1.25,18.382861838104763,-0.000605027875080016,-8.227848101265822
5,A,gaussian_blur,1.5,16.717271089554192,-0.0007390263943291104,-11.39240506329114
5,B,gaussian_blur,0.0,0.0,0.0,0.0
5,B,gaussian_blur,0.25,7.916930899544688,-0.00012222468840503717,-1.2658227848101267
5,B,gaussian_blur,0.5,13.552888514652075,-0.00023650838111784005,-2.5316455696202533
5,B,gaussian_blur,0.75,17.057661205537936,-0.0003619499615509542,-5.063291139240507
5,B,gaussian_blur,1.0,18.53526029733655,-0.0004965614696287065,-6.962025316455696
5,B,gaussian_blur,1.25,18.06315118733322,-0.0006366106215263097,-9.49367088607595
5,B,gaussian_blur,1.5,15.701358145515119,-0.0007818946913735027,-12.025316455696203
6,A,brightness_dark,0.0,0.0,0.0,0.0
6,A,brightness_dark,0.25,76.48987084966708,-0.00044476250612673625,5.747126436781609
6,A,brightness_dark,0.5,120.0209726303155,-0.0010370162764909534,11.494252873563218
6,A,brightness_dark,0.75,153.71309876569254,-0.001771956043058865,14.942528735632184
6,A,brightness_dark,1.0,166.89872401889605,-0.0026730166073536893,16.47509578544061
6,A,brightness_dark,1.25,164.86804858037786,-0.00381617053721021,16.85823754789272
6,A,brightness_dark,1.5,141.90933112971075,-0.004994723124166698,14.17624521072797
6,B,brightness_dark,0.0,0.0,0.0,0.0
6,B,brightness_dark,0.25,77.33424601256226,-0.0004517896437908932,6.513409961685824
6,B,brightness_dark,0.5,121.01192280635817,-0.001055750449086516,13.409961685823754
6,B,brightness_dark,0.75,153.98524028696374,-0.001806045885773086,14.942528735632184
