client,bank,target,J_ray,PC_ray_safe
36,B,gaussian_noise,1.0,0.25
36,A,gaussian_blur,1.0,0.0
36,B,gaussian_blur,0.75,0.0
37,A,brightness_dark,1.0,0.0
37,B,brightness_dark,1.0,0.0
37,A,contrast_low,1.25,0.0
37,B,contrast_low,1.25,0.0
37,A,gaussian_noise,1.0,0.0
37,B,gaussian_noise,1.0,0.0
37,A,gaussian_blur,1.0,0.0
37,B,gaussian_blur,1.0,0.0
38,A,brightness_dark,1.0,0.0
38,B,brightness_dark,1.0,0.0
38,A,contrast_low,1.0,0.0
38,B,contrast_low,1.0,0.0
38,A,gaussian_noise,0.75,0.0
38,B,gaussian_noise,1.0,0.0
38,A,gaussian_blur,1.0,0.0
38,B,gaussian_blur,1.0,0.0
39,A,brightness_dark,1.0,0.0
39,B,brightness_dark,1.0,0.0
39,A,contrast_low,1.0,0.0
39,B,contrast_low,1.0,0.0
39,A,gaussian_noise,1.0,1.5
39,B,gaussian_noise,1.0,1.5
39,A,gaussian_blur,1.0,0.0
39,B,gaussian_blur,1.0,0.0
40,A,brightness_dark,1.0,0.0
40,B,brightness_dark,1.0,0.0
40,A,contrast_low,1.0,0.0
40,B,contrast_low,1.0,0.0
40,A,gaussian_noise,1.0,0.0
40,B,gaussian_noise,1.0,0.75
40,A,gaussian_blur,0.75,0.0
40,B,gaussian_blur,0.75,0.0
41,A,brightness_dark,1.0,0.0
41,B,brightness_dark,1.0,0.0
41,A,contrast_low,1.0,0.0
41,B,contrast_low,1.0,0.0
41,A,gaussian_noise,1.0,1.5
41,B,gaussian_noise,1.0,1.5
41,A,gaussian_blur,0.75,0.0
41,B,gaussian_blur,0.75,0.0
42,A,brightness_dark,1.25,0.0
42,B,brightness_dark,1.0,0.0
42,A,contrast_low,1.25,0.0
42,B,contrast_low,1.25,0.0
42,A,gaussian_noise,0.75,1.5
42,B,gaussian_noise,1.0,0.0
42,A,gaussian_blur,1.25,0.0
42,B,gaussian_blur,1.25,0.0
43,A,brightness_dark,1.0,0.0
43,B,brightness_dark,1.0,0.0
43,A,contrast_low,1.0,0.0
43,B,contrast_low,1.0,0.0
43,A,gaussian_noise,0.75,1.5
43,B,gaussian_noise,0.75,1.5
43,A,gaussian_blur,1.25,0.0
43,B,gaussian_blur,1.25,0.0
44,A,brightness_dark,1.0,0.0
44,B,brightness_dark,1.0,0.0
44,A,contrast_low,1.0,0.0
44,B,contrast_low,1.0,0.0
44,A,gaussian_noise,1.0,1.5
44,B,gaussian_noise,1.0,1.5
44,A,gaussian_blur,0.75,0.0
44,B,gaussian_blur,0.75,0.0
45,A,brightness_dark,1.25,0.0
45,B,brightness_dark,1.0,0.0
45,A,contrast_low,1.25,0.0
45,B,contrast_low,1.25,0.0
45,A,gaussian_noise,0.75,1.5
45,B,gaussian_noise,0.75,1.5
45,A,gaussian_blur,1.5,0.0
45,B,gaussian_blur,1.5,0.0
