client,bank,target,candidate,DeltaC,DeltaJ,DeltaAcc
2,B,brightness_dark,gaussian_blur,-0.0004946304550475995,29.821168841186108,0.7142857142857143
2,A,contrast_low,clean,0.0,0.0,0.0
2,A,contrast_low,brightness_dark,-0.005508978549497727,-1508.6155624484315,2.142857142857143
2,A,contrast_low,contrast_low,-0.0013258357674290075,86.96749576323866,0.7142857142857143
2,A,contrast_low,gaussian_noise,9.973330004659658e-05,-71.72750522964934,0.0
2,A,contrast_low,gaussian_blur,-0.0003467411508784028,49.509051322902835,0.0
2,B,contrast_low,clean,0.0,0.0,0.0
2,B,contrast_low,brightness_dark,-0.0052784857972517285,-872.2157331462945,2.142857142857143
2,B,contrast_low,contrast_low,-0.0013051219908873572,85.92951990337514,0.7142857142857143
2,B,contrast_low,gaussian_noise,9.0267469296159e-05,-69.76482277803142,0.0
2,B,contrast_low,gaussian_blur,-0.00036605706528569496,51.5263997239846,0.0
2,A,gaussian_noise,clean,0.0,0.0,0.0
2,A,gaussian_noise,brightness_dark,-0.03305845430134956,-5339.55801149105,2.857142857142857
2,A,gaussian_noise,contrast_low,0.0026446948778495374,-489.40888416299657,-0.7142857142857143
2,A,gaussian_noise,gaussian_noise,-0.00018678663756114666,25.68150256869447,0.0
2,A,gaussian_noise,gaussian_blur,0.0011112586087956506,-92.20465455572653,-0.7142857142857143
2,B,gaussian_noise,clean,0.0,0.0,0.0
2,B,gaussian_noise,brightness_dark,-0.03391613321315993,-3234.0721197399876,2.857142857142857
2,B,gaussian_noise,contrast_low,0.0031543228148355044,-571.1742637523387,-0.7142857142857143
2,B,gaussian_noise,gaussian_noise,-0.00010405754478715838,28.03619557737941,0.0
2,B,gaussian_noise,gaussian_blur,0.0012686769822795986,-108.23797492347433,-0.7142857142857143
2,A,gaussian_blur,clean,0.0,0.0,0.0
2,A,gaussian_blur,brightness_dark,-0.030455953523521147,-3633.5461657172177,3.5714285714285716
2,A,gaussian_blur,contrast_low,-0.003449598716276714,-67.00189964572192,-0.7142857142857143
2,A,gaussian_blur,gaussian_noise,0.0003783545422615152,-36.8438151580999,-0.7142857142857143
2,A,gaussian_blur,gaussian_blur,-0.0008887474627457138,10.010074918350249,0.7142857142857143
2,B,gaussian_blur,clean,0.0,0.0,0.0
2,B,gaussian_blur,brightness_dark,-0.02839298685781538,-2649.7471875587303,4.285714285714286
2,B,gaussian_blur,contrast_low,-0.002022127994348654,-76.314164593125,-0.7142857142857143
2,B,gaussian_blur,gaussian_noise,0.0003593517983211869,-35.45522307939917,-0.7142857142857143
2,B,gaussian_blur,gaussian_blur,-0.0008500189630978889,8.906029818492124,0.7142857142857143
3,A,clean,clean,0.0,0.0,0.0
3,A,clean,brightness_dark,-0.007340517331939115,-5664.175748290972,-0.9259259259259259
3,A,clean,contrast_low,-0.002343836080333654,-243.51862293194014,-0.46296296296296297
3,A,clean,gaussian_noise,0.0001061393301207789,-18.13667193283453,8.796296296296296
3,A,clean,gaussian_blur,-0.0004736103324299837,-28.734862337255265,1.3888888888888888
3,B,clean,clean,0.0,0.0,0.0
3,B,clean,brightness_dark,-0.0075397466019687855,-3863.057084725346,-0.9259259259259259
3,B,clean,contrast_low,-0.0030596733848639547,-267.2770021142454,-1.3888888888888888
3,B,clean,gaussian_noise,0.00011759303420490587,-15.928242665399388,6.944444444444445
3,B,clean,gaussian_blur,-0.000512168949028628,-35.15966710855075,1.3888888888888888
3,A,brightness_dark,clean,0.0,0.0,0.0
3,A,brightness_dark,brightness_dark,-0.0010064765418883806,138.66845783109616,14.351851851851851
3,A,brightness_dark,contrast_low,-0.0007271700808270754,31.113005881184733,1.3888888888888888
3,A,brightness_dark,gaussian_noise,5.807036991526803e-05,-59.921906742269414,0.0
3,A,brightness_dark,gaussian_blur,-0.000153474800899377,34.557840840444356,0.46296296296296297
3,B,brightness_dark,clean,0.0,0.0,0.0
3,B,brightness_dark,brightness_dark,-0.0010129234372448573,135.89781325517825,14.814814814814815
3,B,brightness_dark,contrast_low,-0.0008312083199349921,19.972058165749047,2.314814814814815
3,B,brightness_dark,gaussian_noise,6.084395239947275e-05,-57.93113099222677,0.0
3,B,brightness_dark,gaussian_blur,-0.00016929208822980522,36.70662157758139,0.46296296296296297
3,A,contrast_low,clean,0.0,0.0,0.0
3,A,contrast_low,brightness_dark,-0.0014720517121388037,-1995.6524375967763,7.87037037037037
3,A,contrast_low,contrast_low,-0.00025123951714131685,31.334356163386445,7.407407407407407
3,A,contrast_low,gaussian_noise,2.1346645770722563e-05,-64.58421194160869,8.333333333333334
3,A,contrast_low,gaussian_blur,-9.571646645361936e-05,38.757797531838236,-0.46296296296296297
3,B,contrast_low,clean,0.0,0.0,0.0
3,B,contrast_low,brightness_dark,-0.0013690644403058568,-1229.931779149745,6.018518518518518
