client,bank,target,entropy,max_class_fraction,T009,T010,T011,C_zero,agreement_zero,C_true,agreement_true,C_selected,agreement_selected,true_query_accuracy,selected_query_accuracy,query_best_states,query_best_accuracy
14,B,gaussian_blur,0.08621407475879368,0.95,gaussian_blur,gaussian_blur,clean,0.001797635549945468,0.9,0.002820869949697193,0.9500000000000001,0.001797635549945468,0.9,50.70422535211267,67.6056338028169,gaussian_noise,76.05633802816901
15,B,clean,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.001412709217518987,0.9500000000000001,0.001412709217518987,0.9500000000000001,0.0013454179463775907,0.9500000000000001,0.0,0.847457627118644,brightness_dark,1.271186440677966
15,A,gaussian_blur,-0.0,1.0,contrast_low,contrast_low,clean,0.0010212564264412032,0.9500000000000001,0.0014546402550072797,1.0,0.0010212564264412032,0.9500000000000001,0.0,0.0,brightness_dark,3.389830508474576
15,B,gaussian_blur,-0.0,1.0,contrast_low,contrast_low,clean,0.0010212564264412032,0.9500000000000001,0.001463954275871629,0.9500000000000001,0.0010212564264412032,0.9500000000000001,0.0,0.0,brightness_dark,3.389830508474576
16,A,clean,0.5052456816589913,0.5,clean,clean,gaussian_noise,0.0023069186755277555,0.9500000000000001,0.0023069186755277555,0.9500000000000001,0.0019913191367776756,1.0,66.66666666666666,66.66666666666666,clean|gaussian_noise|gaussian_blur,66.66666666666667
16,B,clean,0.5052456816589913,0.5,clean,clean,gaussian_noise,0.0023069186755277555,0.9500000000000001,0.0023069186755277555,0.9500000000000001,0.0019658219717077286,1.0,66.66666666666666,66.66666666666666,clean|gaussian_noise|gaussian_blur,66.66666666666667
16,A,gaussian_blur,0.5052456816589913,0.5,gaussian_blur,gaussian_blur,gaussian_noise,0.0016733824095739654,0.9500000000000001,0.0023549029579828366,1.0,0.0015631160382921323,1.0,61.904761904761905,57.14285714285714,clean|gaussian_blur,61.904761904761905
16,B,gaussian_blur,0.5052456816589913,0.5,gaussian_blur,gaussian_blur,gaussian_noise,0.0016733824095739654,0.9500000000000001,0.0023539508527038082,1.0,0.0015440654867736236,0.9500000000000001,61.904761904761905,57.14285714285714,clean|contrast_low|gaussian_blur,61.904761904761905
17,A,clean,0.4023767052555694,0.55,clean,clean,gaussian_noise,0.002173217724140148,0.9,0.002173217724140148,0.9,0.0019659494591284404,0.9500000000000001,65.51724137931035,71.26436781609196,gaussian_noise,71.26436781609195
17,B,clean,0.4023767052555694,0.55,clean,clean,gaussian_noise,0.002173217724140148,0.9,0.002173217724140148,0.9,0.001942269945841866,0.9,65.51724137931035,71.26436781609196,gaussian_noise,71.26436781609195
17,A,gaussian_blur,0.4023767052555694,0.55,gaussian_blur,gaussian_blur,gaussian_noise,0.0014548147465976748,0.9,0.0021202864420309074,0.9500000000000001,0.0013735770920805105,0.9500000000000001,58.620689655172406,59.77011494252874,clean,62.06896551724138
17,B,gaussian_blur,0.4023767052555694,0.55,gaussian_blur,gaussian_blur,clean,0.0014548147465976748,0.9,0.0021448478735607095,0.9500000000000001,0.0014548147465976748,0.9,57.47126436781609,62.06896551724138,clean,62.06896551724138
18,A,clean,0.29854955310662773,0.75,clean,clean,gaussian_noise,0.001367680858446332,0.9,0.001367680858446332,0.9,0.0012723865264377228,1.0,10.0,10.0,gaussian_blur,20.0
18,B,clean,0.29854955310662773,0.75,clean,clean,gaussian_noise,0.001367680858446332,0.9,0.001367680858446332,0.9,0.0012558254245184906,1.0,10.0,10.0,gaussian_blur,20.0
18,A,gaussian_blur,0.29854955310662773,0.75,gaussian_blur,gaussian_blur,gaussian_noise,0.0008348101274166053,0.9,0.0011214388306166488,0.9,0.0007805000462055172,1.0,10.0,10.0,contrast_low,20.0
18,B,gaussian_blur,0.29854955310662773,0.75,gaussian_blur,gaussian_blur,gaussian_noise,0.0008348101274166053,0.9,0.0011383043220762057,0.9,0.0007783735736905086,1.0,10.0,10.0,contrast_low,20.0
19,A,gaussian_blur,0.3172903635978727,0.75,gaussian_blur,gaussian_blur,clean,0.0017976456268065204,1.0,0.0024332668523159105,0.9500000000000001,0.0017976456268065204,1.0,42.857142857142854,51.64835164835166,gaussian_noise,56.043956043956044
19,B,gaussian_blur,0.3172903635978727,0.75,gaussian_blur,gaussian_blur,clean,0.0017976456268065204,1.0,0.00246574924551314,0.9500000000000001,0.0017976456268065204,1.0,42.857142857142854,51.64835164835166,gaussian_noise,54.94505494505494
20,A,clean,-0.0,1.0,clean,clean,gaussian_noise,0.002740769285886463,0.9,0.002740769285886463,0.9,0.0027139974163045972,0.9,78.28947368421053,72.36842105263158,clean,78.28947368421052
20,B,clean,-0.0,1.0,clean,clean,contrast_low,0.002740769285886463,0.9,0.002740769285886463,0.9,0.0023763114094087177,1.0,78.28947368421053,23.026315789473685,clean,78.28947368421052
20,A,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.002237490813410186,1.0,0.0030512282901242055,0.8500000000000001,0.0021171622841497473,1.0,76.31578947368422,62.5,gaussian_blur,76.3157894736842
20,B,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.002237490813410186,1.0,0.0031289138592346236,0.8500000000000001,0.0021145676073676344,1.0,76.31578947368422,66.44736842105263,gaussian_blur,76.3157894736842
21,A,clean,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.002059767145645181,0.9500000000000001,0.002059767145645181,0.9500000000000001,0.0017928206897235414,0.9500000000000001,0.0,0.8264462809917356,brightness_dark,2.479338842975207
21,A,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.0015063300203139766,0.9,0.0020743591206970158,0.9500000000000001,0.0012860976238400475,0.9,0.0,1.6528925619834711,brightness_dark,4.958677685950414
21,B,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.0015063300203139766,0.9,0.002079697491907193,0.9,0.0012927443478368541,0.9500000000000001,0.0,1.6528925619834711,brightness_dark,4.958677685950414
22,A,clean,0.29228525323862886,0.6,clean,clean,gaussian_noise,0.0027000034592860197,0.8,0.0027000034592860197,0.8,0.002524561250301402,0.9,65.71428571428571,61.71428571428571,gaussian_blur,66.28571428571429
22,B,clean,0.29228525323862886,0.6,clean,clean,gaussian_noise,0.0027000034592860197,0.8,0.0027000034592860197,0.8,0.0024961680829642917,0.8,65.71428571428571,61.142857142857146,gaussian_blur,66.28571428571429
22,A,gaussian_blur,0.29228525323862886,0.6,gaussian_blur,gaussian_blur,gaussian_noise,0.001850514472202764,0.9500000000000001,0.0026691156744961687,0.8500000000000001,0.0017379602021703377,1.0,60.57142857142858,48.57142857142857,contrast_low|gaussian_blur,60.57142857142857
22,B,gaussian_blur,0.29228525323862886,0.6,gaussian_blur,gaussian_blur,gaussian_noise,0.001850514472202764,0.9500000000000001,0.0027277025973979074,0.9500000000000001,0.0017546960763495261,1.0,61.142857142857146,47.42857142857143,contrast_low,62.285714285714285
23,A,gaussian_blur,0.5374816209824899,0.5,gaussian_blur,gaussian_blur,clean,0.002232700477710186,1.0,0.0028892941120447994,0.9500000000000001,0.002232700477710186,1.0,36.42857142857142,39.285714285714285,gaussian_noise,43.57142857142857
23,B,gaussian_blur,0.5374816209824899,0.5,gaussian_blur,gaussian_blur,clean,0.002232700477710186,1.0,0.0029619955891508083,0.9500000000000001,0.002232700477710186,1.0,36.42857142857142,39.285714285714285,gaussian_noise,43.57142857142857
24,A,gaussian_blur,0.26616582133129196,0.8,gaussian_blur,gaussian_blur,clean,0.00234619950327077,0.9500000000000001,0.0026540482905765303,0.9,0.00234619950327077,0.9500000000000001,3.35195530726257,1.675977653631285,brightness_dark,7.82122905027933
24,B,gaussian_blur,0.26616582133129196,0.8,gaussian_blur,gaussian_blur,clean,0.00234619950327077,0.9500000000000001,0.0026318399827056096,0.9,0.00234619950327077,0.9500000000000001,3.35195530726257,1.675977653631285,brightness_dark,8.379888268156424
25,A,gaussian_blur,0.43881668341155816,0.45,gaussian_blur,gaussian_blur,clean,0.0021782157297108974,1.0,0.0025807241760121545,1.0,0.0021782157297108974,1.0,38.88888888888889,33.33333333333333,contrast_low|gaussian_blur,38.888888888888886
25,B,gaussian_blur,0.43881668341155816,0.45,gaussian_blur,gaussian_blur,clean,0.0021782157297108974,1.0,0.002623077345916661,0.9500000000000001,0.0021782157297108974,1.0,38.88888888888889,33.33333333333333,contrast_low|gaussian_blur,38.888888888888886
26,A,clean,0.08621407475879368,0.95,gaussian_blur,clean,gaussian_noise,0.0020186748391480018,1.0,0.0020186748391480018,1.0,0.0018311818822777167,1.0,75.70422535211267,70.4225352112676,clean,75.70422535211267
26,B,clean,0.08621407475879368,0.95,gaussian_blur,clean,gaussian_noise,0.0020186748391480018,1.0,0.0020186748391480018,1.0,0.001817122078456672,1.0,75.70422535211267,71.47887323943662,clean,75.70422535211267
26,A,gaussian_blur,0.08621407475879368,0.95,contrast_low,contrast_low,gaussian_noise,0.0013837210825688362,0.9500000000000001,0.002158088171655757,0.9500000000000001,0.0012304987380662988,0.9500000000000001,76.05633802816901,63.732394366197184,gaussian_blur,76.05633802816901
26,B,gaussian_blur,0.08621407475879368,0.95,gaussian_blur,contrast_low,gaussian_noise,0.0013837210825688362,0.9500000000000001,0.0022173391686131443,1.0,0.0012339545929191756,0.9500000000000001,76.05633802816901,67.95774647887323,gaussian_blur,76.05633802816901
27,A,clean,-0.0,1.0,clean,clean,contrast_low,0.0040476663882300775,0.9500000000000001,0.0040476663882300775,0.9500000000000001,0.0015891956701370514,1.0,82.56410256410255,97.43589743589743,contrast_low,97.43589743589743
27,B,clean,-0.0,1.0,clean,clean,contrast_low,0.0040476663882300775,0.9500000000000001,0.0040476663882300775,0.9500000000000001,0.0012018001052656968,0.9500000000000001,82.56410256410255,97.94871794871794,contrast_low,97.94871794871794
27,A,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.0031833866399433954,0.9,0.0038170772266823243,0.9,0.003004810498248807,0.9500000000000001,79.48717948717949,41.53846153846154,contrast_low,92.82051282051282
27,B,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.0031833866399433954,0.9,0.003754022132081931,0.9500000000000001,0.003023866920401644,0.9500000000000001,81.53846153846153,43.07692307692308,contrast_low,94.87179487179488
28,A,clean,0.5053986284565879,0.65,clean,clean,gaussian_noise,0.0025004203695323346,0.8,0.0025004203695323346,0.8,0.0021834759187387073,0.9,23.076923076923077,19.230769230769234,clean,23.076923076923077
28,B,clean,0.5053986284565879,0.65,clean,clean,gaussian_noise,0.0025004203695323346,0.8,0.0025004203695323346,0.8,0.002174439806000734,0.9,23.076923076923077,19.230769230769234,clean,23.076923076923077
28,A,gaussian_blur,0.5053986284565879,0.65,gaussian_blur,gaussian_blur,clean,0.0014574510572783915,1.0,0.0019532738403177682,0.9500000000000001,0.0014574510572783915,1.0,23.076923076923077,15.384615384615385,contrast_low|gaussian_blur,23.076923076923077
28,B,gaussian_blur,0.5053986284565879,0.65,gaussian_blur,gaussian_blur,clean,0.0014574510572783915,1.0,0.00197324776668317,0.9500000000000001,0.0014574510572783915,1.0,19.230769230769234,15.384615384615385,contrast_low,23.076923076923077
29,A,clean,-0.0,1.0,gaussian_noise,gaussian_noise,contrast_low,0.0013903328692291142,0.9500000000000001,0.0013903328692291142,0.9500000000000001,0.000326845152059822,1.0,75.91623036649214,98.69109947643979,contrast_low,98.69109947643979
29,B,clean,-0.0,1.0,gaussian_noise,gaussian_noise,contrast_low,0.0013903328692291142,0.9500000000000001,0.0013903328692291142,0.9500000000000001,0.00020491839478387725,1.0,75.91623036649214,99.21465968586386,contrast_low,99.21465968586388
29,A,gaussian_blur,-0.0,1.0,clean,clean,contrast_low,0.001999659128429158,0.9500000000000001,0.0016594756418236761,1.0,0.0013426233465050575,0.9500000000000001,75.91623036649214,93.45549738219894,contrast_low,93.45549738219896
29,B,gaussian_blur,-0.0,1.0,clean,clean,contrast_low,0.001999659128429158,0.9500000000000001,0.0016129827611536703,1.0,0.0010291680508789749,1.0,76.17801047120419,95.02617801047121,contrast_low,95.0261780104712
30,A,clean,0.37162086641628495,0.5,gaussian_blur,gaussian_blur,gaussian_noise,0.0015824320045553315,0.9500000000000001,0.0015824320045553315,0.9500000000000001,0.0015277497793556956,0.9500000000000001,29.454545454545457,37.09090909090909,brightness_dark,44.72727272727273
30,A,gaussian_blur,0.37162086641628495,0.5,gaussian_blur,contrast_low,gaussian_noise,0.0011267847617324716,0.8500000000000001,0.0015690585548216091,0.8500000000000001,0.0010241657151795723,0.8500000000000001,23.272727272727273,40.36363636363636,brightness_dark,44.0
30,B,gaussian_blur,0.37162086641628495,0.5,gaussian_blur,contrast_low,gaussian_noise,0.0011267847617324716,0.8500000000000001,0.0015881375984914032,0.8500000000000001,0.001024486999357406,0.9,22.545454545454547,37.81818181818182,brightness_dark,45.81818181818182
31,B,clean,-0.0,1.0,clean,clean,gaussian_noise,0.0023502241601357963,0.9,0.0023502241601357963,0.9,0.002326850065940481,0.9,62.87128712871287,70.29702970297029,gaussian_noise,70.29702970297029
31,A,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,clean,0.0015107955422959771,0.9500000000000001,0.0018091367679829988,0.9500000000000001,0.0015107955422959771,0.9500000000000001,60.89108910891089,68.8118811881188,gaussian_noise,69.8019801980198
31,B,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,clean,0.0015107955422959771,0.9500000000000001,0.0018086357514970634,0.9,0.0015107955422959771,0.9500000000000001,60.396039603960396,68.8118811881188,gaussian_noise,70.79207920792079
32,A,clean,0.6385229941014448,0.35,clean,clean,gaussian_noise,0.003046107420747282,0.8500000000000001,0.003046107420747282,0.8500000000000001,0.0028259799730403936,0.9,29.797979797979796,35.35353535353536,gaussian_noise,35.35353535353536
32,B,clean,0.6385229941014448,0.35,clean,clean,gaussian_noise,0.003046107420747282,0.8500000000000001,0.003046107420747282,0.8500000000000001,0.002795002765462304,0.9500000000000001,29.797979797979796,34.34343434343434,brightness_dark|gaussian_noise,34.343434343434346
32,A,gaussian_blur,0.6385229941014448,0.35,gaussian_blur,gaussian_blur,gaussian_noise,0.0017739295689752936,0.9,0.0021559801784203957,0.9500000000000001,0.0016609000982255075,1.0,28.78787878787879,34.34343434343434,gaussian_noise,34.343434343434346
32,B,gaussian_blur,0.6385229941014448,0.35,gaussian_blur,gaussian_blur,gaussian_noise,0.0017739295689752936,0.9,0.002157296176820432,0.9500000000000001,0.0016621078528578266,0.9,27.77777777777778,32.323232323232325,brightness_dark,33.333333333333336
33,A,clean,0.18358022428449897,0.85,clean,clean,gaussian_noise,0.003625203912716108,0.8,0.003625203912716108,0.8,0.0031595350178310884,0.8500000000000001,20.454545454545457,21.96969696969697,gaussian_noise,21.96969696969697
33,B,clean,0.18358022428449897,0.85,clean,clean,gaussian_noise,0.003625203912716108,0.8,0.003625203912716108,0.8,0.0030884996893385994,0.8500000000000001,20.454545454545457,20.454545454545457,clean|gaussian_noise,20.454545454545453
33,A,gaussian_blur,0.18358022428449897,0.85,gaussian_blur,gaussian_blur,gaussian_noise,0.001764276648199397,0.9500000000000001,0.002807973721562584,0.8500000000000001,0.0015820834140157685,0.9500000000000001,18.939393939393938,20.075757575757574,brightness_dark|contrast_low|gaussian_noise,20.075757575757574
33,B,gaussian_blur,0.18358022428449897,0.85,gaussian_blur,gaussian_blur,gaussian_noise,0.001764276648199397,0.9500000000000001,0.0029007202190424073,0.8500000000000001,0.0015765519925231043,0.9500000000000001,18.181818181818183,18.939393939393938,brightness_dark|gaussian_noise,18.939393939393938
34,A,clean,0.3172903635978727,0.75,clean,clean,gaussian_noise,0.0031089150149615496,0.9,0.0031089150149615496,0.9,0.0029275833049274918,0.9,23.52941176470588,25.49019607843137,gaussian_noise,25.49019607843137
34,B,clean,0.3172903635978727,0.75,clean,clean,gaussian_noise,0.0031089150149615496,0.9,0.0031089150149615496,0.9,0.002874696398118275,0.9,23.52941176470588,25.49019607843137,gaussian_noise,25.49019607843137
34,A,gaussian_blur,0.3172903635978727,0.75,gaussian_blur,gaussian_blur,clean,0.0019616682024702187,1.0,0.002773605551005012,0.8,0.0019616682024702187,1.0,22.54901960784314,24.509803921568626,clean,24.50980392156863
34,B,gaussian_blur,0.3172903635978727,0.75,gaussian_blur,gaussian_blur,clean,0.0019616682024702187,1.0,0.0028502461312956335,0.75,0.0019616682024702187,1.0,23.52941176470588,24.509803921568626,clean,24.50980392156863
35,A,clean,0.2988548895792612,0.55,clean,clean,contrast_low,0.0023852697399563455,0.9,0.0023852697399563455,0.9,0.0007712766790642636,1.0,70.28571428571428,48.0,gaussian_noise,72.0
35,B,clean,0.2988548895792612,0.55,clean,clean,contrast_low,0.0023852697399563455,0.9,0.0023852697399563455,0.9,0.000605229257460313,1.0,70.28571428571428,42.285714285714285,gaussian_noise,70.85714285714286
35,A,gaussian_blur,0.2988548895792612,0.55,gaussian_blur,gaussian_blur,contrast_low,0.0026564989052824516,0.9500000000000001,0.0022251075070423443,0.8500000000000001,0.0022338204798847557,1.0,71.42857142857143,64.0,gaussian_blur,71.42857142857143
35,B,gaussian_blur,0.2988548895792612,0.55,gaussian_blur,gaussian_blur,contrast_low,0.0026564989052824516,0.9500000000000001,0.00216021253408067,0.8500000000000001,0.0016681392643935556,1.0,70.28571428571428,58.285714285714285,gaussian_blur,70.28571428571429
36,A,gaussian_blur,0.4385343715564183,0.7,gaussian_blur,gaussian_blur,clean,0.002847066388052281,0.9,0.003762113238986055,1.0,0.002847066388052281,0.9,16.666666666666664,11.11111111111111,contrast_low,27.77777777777778
36,B,gaussian_blur,0.4385343715564183,0.7,gaussian_blur,gaussian_blur,gaussian_noise,0.002847066388052281,0.9,0.0037918290861385026,1.0,0.0025746298626007744,1.0,16.666666666666664,11.11111111111111,brightness_dark|contrast_low,27.77777777777778
37,A,clean,0.34352144154944414,0.65,clean,clean,contrast_low,0.005223778088608461,0.8,0.005223778088608461,0.8,0.0025633108708754716,0.9,26.25,5.0,gaussian_noise,33.75
37,B,clean,0.34352144154944414,0.65,clean,clean,contrast_low,0.005223778088608461,0.8,0.005223778088608461,0.8,0.0022438332162726345,0.9500000000000001,26.25,2.5,gaussian_noise,30.0
37,A,gaussian_blur,0.34352144154944414,0.65,gaussian_blur,gaussian_blur,clean,0.004089018979976407,0.8,0.005747710985168998,0.8500000000000001,0.004089018979976407,0.8,22.5,28.749999999999996,gaussian_noise,31.25
37,B,gaussian_blur,0.34352144154944414,0.65,gaussian_blur,gaussian_blur,clean,0.004089018979976407,0.8,0.005778855775088628,0.8500000000000001,0.004089018979976407,0.8,21.25,28.749999999999996,gaussian_noise,31.25
38,A,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,clean,0.001897690717461705,0.9,0.0021901078056407496,0.9500000000000001,0.001897690717461705,0.9,76.0,76.0,clean|gaussian_blur,76.0
38,B,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.001897690717461705,0.9,0.0021847678327799424,0.9500000000000001,0.001872267667554212,1.0,76.0,68.0,clean|gaussian_blur,76.0
39,A,clean,-0.0,1.0,clean,clean,gaussian_noise,0.00496234108311454,0.9500000000000001,0.00496234108311454,0.9500000000000001,0.004823474557240128,1.0,51.24999999999999,58.75,gaussian_noise,58.75
39,B,clean,-0.0,1.0,clean,clean,gaussian_noise,0.00496234108311454,0.9500000000000001,0.00496234108311454,0.9500000000000001,0.004763923766962514,0.9500000000000001,51.24999999999999,56.875,gaussian_noise,56.875
