client,bank,true_context,candidate,consistency_js,flip_top1_agreement,entropy_original,entropy_flip,prob_margin_original,js_to_zero_original,moment_J_from_T010
0,B,brightness_dark,contrast_low,0.002425733744952646,0.9,1.4397834451261131,1.418689661677743,0.3517450397805598,0.22110732476580292,272.60984253929337
0,B,brightness_dark,gaussian_noise,0.000578016870724396,1.0,1.8032235419676401,1.8117864484100175,0.13637190565493396,0.0022283957058378528,342.2010299252021
0,B,brightness_dark,gaussian_blur,0.0009639744482223306,0.9500000000000001,1.8094822181759367,1.8104444530042558,0.10440609998555508,0.01579322768131031,258.0682779839732
0,A,contrast_low,clean,0.0005046057995641696,0.9,1.8008106143414189,1.8022742148542612,0.11634947282051021,0.0,115.7570914845027
0,A,contrast_low,brightness_dark,0.004508021615399281,0.8500000000000001,1.4597955829402836,1.4739397051434764,0.25363656441067317,0.08475229561868544,866.3543497315992
0,A,contrast_low,contrast_low,0.0018304550979787863,0.9,1.67294100276502,1.6778221609279882,0.21042881209418637,0.08011447152238134,17.02990287119618
0,A,contrast_low,gaussian_noise,0.00045760689336578857,0.9500000000000001,1.8534245866728876,1.856396328814534,0.09492642620775515,0.005491774443410377,188.73023096923754
0,A,contrast_low,gaussian_blur,0.0007162368584869818,1.0,1.7671072361551177,1.768077830677481,0.16737831439050452,0.008498246219792994,64.45409026072377
0,B,contrast_low,clean,0.0005046057995641696,0.9,1.8008106143414189,1.8022742148542612,0.11634947282051021,0.0,115.81774853465166
0,B,contrast_low,brightness_dark,0.004510382970331419,0.8500000000000001,1.4518961857650923,1.466931325262696,0.250793461748713,0.08601763638932342,587.0413632407204
0,B,contrast_low,contrast_low,0.0017452904452301265,0.9500000000000001,1.6411011434595169,1.6443400250126032,0.23639913400823734,0.08594648982577388,19.133474385434965
0,B,contrast_low,gaussian_noise,0.00046063228494309114,1.0,1.8609714868624807,1.863659113866653,0.09359782124326319,0.00381732254727487,187.69133352778618
0,B,contrast_low,gaussian_blur,0.0007300319446276394,1.0,1.7628919894417383,1.763956766546951,0.1708722740650721,0.009131753023490433,62.209737536041935
0,A,gaussian_noise,clean,0.004056826434371993,0.8,1.5959672405327725,1.6111694965214856,0.22436897931074526,0.0,31.074282466813337
0,A,gaussian_noise,brightness_dark,0.02770815570544917,0.8,1.0392520933530471,1.022558654773925,0.4568115650199481,0.12580139100693652,2811.9214304892284
0,A,gaussian_noise,contrast_low,0.0026821330180057004,1.0,0.3237616467592155,0.33395440542300436,0.8227984991571451,0.31805405769830897,445.21042503277187
0,A,gaussian_noise,gaussian_noise,0.004006378096088044,0.8500000000000001,1.7520595436172748,1.7771137559300305,0.16958424905091368,0.009554229398834508,6.851820819238567
0,A,gaussian_noise,gaussian_blur,0.004000049118361513,0.9500000000000001,1.0914286940062088,1.0965648372483758,0.5120005601648382,0.07498404272109972,113.04350680115007
0,B,gaussian_noise,clean,0.004056826434371993,0.8,1.5959672405327725,1.6111694965214856,0.22436897931074526,0.0,32.17400200407739
0,B,gaussian_noise,brightness_dark,0.026821549845117816,0.8,1.0535020561429806,1.0351059287442215,0.44513101326609905,0.12826393338390268,2090.0765896788207
0,B,gaussian_noise,contrast_low,0.002199649399002176,0.9500000000000001,0.24182752349714443,0.2574039206504359,0.870198491569267,0.352279762292192,508.6278836267458
0,B,gaussian_noise,gaussian_noise,0.003931796436565981,0.8500000000000001,1.751738253214982,1.7754087697354934,0.1716629153084076,0.009366046574602957,6.529240615149846
