bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,spearman_mean,spearman_median,spearman_valid
A,contrast_low,BBSE-S-01,all,100,0.8399968109328548,0.8128920136651144,0.2117633922775334,0.1849634406599251,0.69,0.4766762189839955,0.49782042124410053,100
A,contrast_low,BBSE-S-01,quartile_1,25,0.6331750774166904,0.44679778416502136,0.15549855259555892,0.08713166319758675,0.84,0.5746525981615594,0.5883484054145521,25
A,contrast_low,BBSE-S-01,quartile_2,25,0.7961049948509088,0.7394356085517005,0.19046750242960048,0.1571115185121238,0.76,0.5365094335461891,0.5412844036697249,25
A,contrast_low,BBSE-S-01,quartile_3,25,0.9657459592527013,0.9714298176591947,0.25104511475871555,0.269508382971162,0.52,0.3866846285483143,0.3081578172139684,25
A,contrast_low,BBSE-S-01,quartile_4,25,0.964961212211119,0.8999999999999999,0.25004239932625866,0.2366864754166813,0.64,0.4088582156799195,0.41017320794406936,25
A,contrast_low,BBSE-S-11,all,100,0.8399968109328548,0.8128920136651144,0.2117633922775334,0.1849634406599251,0.69,0.4766762189839955,0.49782042124410053,100
A,contrast_low,BBSE-S-11,quartile_1,25,0.6331750774166904,0.44679778416502136,0.15549855259555892,0.08713166319758675,0.84,0.5746525981615594,0.5883484054145521,25
A,contrast_low,BBSE-S-11,quartile_2,25,0.7961049948509088,0.7394356085517005,0.19046750242960048,0.1571115185121238,0.76,0.5365094335461891,0.5412844036697249,25
A,contrast_low,BBSE-S-11,quartile_3,25,0.9657459592527013,0.9714298176591947,0.25104511475871555,0.269508382971162,0.52,0.3866846285483143,0.3081578172139684,25
A,contrast_low,BBSE-S-11,quartile_4,25,0.964961212211119,0.8999999999999999,0.25004239932625866,0.2366864754166813,0.64,0.4088582156799195,0.41017320794406936,25
A,contrast_low,raw_soft_01,all,100,1.345680022258369,1.349089630578887,0.3566558750260727,0.3494700416801365,0.27,0.18667595831885578,0.22344869195704237,100
A,contrast_low,raw_soft_01,quartile_1,25,1.4838010733830271,1.5014615236131954,0.4014243406381058,0.40202017589645456,0.44,0.22809669837435556,0.2335496832484569,25
A,contrast_low,raw_soft_01,quartile_2,25,1.5089035791121892,1.5452092645729303,0.41628414204813213,0.4221963085688558,0.12,0.14435260177506332,0.2075997184430728,25
A,contrast_low,raw_soft_01,quartile_3,25,1.259259723045598,1.2946995134640233,0.3272869901260604,0.32989955843103247,0.32,0.2040003608651336,0.26967994498529685,25
A,contrast_low,raw_soft_01,quartile_4,25,1.13075571349266,1.1928161277222382,0.281628027291993,0.29033727658280695,0.2,0.17025417226087078,0.21334770066562783,25
A,contrast_low,raw_hard_01,all,100,1.345,1.4999999999999998,0.40325065875684507,0.420310119756364,0.3,0.14362551589054606,0.1894026007272273,100
A,contrast_low,raw_hard_01,quartile_1,25,1.364,1.5999999999999999,0.40906022771662726,0.43009755083641954,0.44,0.17356030086822666,0.25,25
A,contrast_low,raw_hard_01,quartile_2,25,1.5120000000000002,1.5,0.46197880992372553,0.45525166161293396,0.2,0.09206491277684035,0.12037037037037036,25
A,contrast_low,raw_hard_01,quartile_3,25,1.264,1.3000000000000003,0.3788687992856504,0.41733851017282375,0.32,0.1567776837000256,0.183583371334054,25
A,contrast_low,raw_hard_01,quartile_4,25,1.2399999999999998,1.4,0.3630947981013769,0.39072847635126795,0.24,0.15209916621709163,0.18584559740987272,25
A,contrast_low,raw_soft_11,all,100,1.345680022258369,1.349089630578887,0.3566558750260727,0.3494700416801365,0.27,0.18667595831885578,0.22344869195704237,100
A,contrast_low,raw_soft_11,quartile_1,25,1.4838010733830271,1.5014615236131954,0.4014243406381058,0.40202017589645456,0.44,0.22809669837435556,0.2335496832484569,25
A,contrast_low,raw_soft_11,quartile_2,25,1.5089035791121892,1.5452092645729303,0.41628414204813213,0.4221963085688558,0.12,0.14435260177506332,0.2075997184430728,25
A,contrast_low,raw_soft_11,quartile_3,25,1.259259723045598,1.2946995134640233,0.3272869901260604,0.32989955843103247,0.32,0.2040003608651336,0.26967994498529685,25
A,contrast_low,raw_soft_11,quartile_4,25,1.13075571349266,1.1928161277222382,0.281628027291993,0.29033727658280695,0.2,0.17025417226087078,0.21334770066562783,25
A,contrast_low,raw_hard_11,all,100,1.345,1.4999999999999998,0.40325065875684507,0.420310119756364,0.3,0.14362551589054606,0.1894026007272273,100
A,contrast_low,raw_hard_11,quartile_1,25,1.364,1.5999999999999999,0.40906022771662726,0.43009755083641954,0.44,0.17356030086822666,0.25,25
A,contrast_low,raw_hard_11,quartile_2,25,1.5120000000000002,1.5,0.46197880992372553,0.45525166161293396,0.2,0.09206491277684035,0.12037037037037036,25
A,contrast_low,raw_hard_11,quartile_3,25,1.264,1.3000000000000003,0.3788687992856504,0.41733851017282375,0.32,0.1567776837000256,0.183583371334054,25
A,contrast_low,raw_hard_11,quartile_4,25,1.2399999999999998,1.4,0.3630947981013769,0.39072847635126795,0.24,0.15209916621709163,0.18584559740987272,25
A,contrast_low,T015_zero_soft,all,100,1.451653724970962,1.4703784504810051,0.38808321575027477,0.38032162017992877,0.24,0.12812836064940378,0.1692137165282319,100
A,contrast_low,T015_zero_soft,quartile_1,25,1.5858664329018015,1.6532006482118122,0.43725940595167045,0.44741915288319023,0.4,0.14840218948964343,0.2901294265928297,25
A,contrast_low,T015_zero_soft,quartile_2,25,1.5792331618357105,1.6212172780630627,0.4398940483001161,0.45456495732051194,0.16,0.04611842822543902,0.1565900178643122,25
A,contrast_low,T015_zero_soft,quartile_3,25,1.3473533676470248,1.3135583803751927,0.3524444082062887,0.35696839124462576,0.28,0.22825891216445973,0.1565900178643122,25
A,contrast_low,T015_zero_soft,quartile_4,25,1.294161937499311,1.252842840838685,0.32273500054302395,0.30814023916653244,0.12,0.08973391271807288,0.14167668282961582,25
A,contrast_low,T015_zero_hard,all,100,1.5309999999999997,1.7000000000000002,0.4795200212223116,0.5188919782723467,0.2,0.07625594798838345,0.09501921188046475,100
A,contrast_low,T015_zero_hard,quartile_1,25,1.4960000000000002,2.0,0.47311293538173055,0.6931471805599452,0.32,0.0947068686078617,-0.16563466499998444,25
A,contrast_low,T015_zero_hard,quartile_2,25,1.672,1.9,0.5365902615392768,0.6093722537889048,0.12,0.020463289032302812,0.0638550856814101,25
A,contrast_low,T015_zero_hard,quartile_3,25,1.4120000000000001,1.5,0.43536007902795926,0.43568324332671615,0.24,0.1575819638312283,0.21841799838463094,25
A,contrast_low,T015_zero_hard,quartile_4,25,1.544,1.7,0.47301680894027953,0.4789839426979995,0.12,0.032271670482140954,-0.019379844961240313,25
A,gaussian_noise,BBSE-H-01,all,100,1.0233522820303016,0.978350067939968,0.28374571827769074,0.2515783108619811,0.54,0.38658252631743373,0.4450162770948012,100
A,gaussian_noise,BBSE-H-01,quartile_1,25,0.8695472674191155,0.6875466452834729,0.2453261812808966,0.14997987553024617,0.68,0.4598424805064991,0.5000000000000001,25
A,gaussian_noise,BBSE-H-01,quartile_2,25,0.955400832288096,0.9277169702181718,0.24524864887724035,0.24318839299076167,0.52,0.49016977960845715,0.6146788990825688,25
A,gaussian_noise,BBSE-H-01,quartile_3,25,1.065315962301376,0.9160041715310306,0.2942272944483404,0.22912313714160115,0.52,0.36440114414431457,0.3831305140884606,25
A,gaussian_noise,BBSE-H-01,quartile_4,25,1.2031450661126184,1.1146332299169424,0.3501807485042857,0.31312567574795613,0.44,0.2319167010104639,0.24770642201834867,25
A,gaussian_noise,BBSE-H-11,all,100,1.0233522820303016,0.978350067939968,0.28374571827769074,0.2515783108619811,0.54,0.38658252631743373,0.4450162770948012,100
A,gaussian_noise,BBSE-H-11,quartile_1,25,0.8695472674191155,0.6875466452834729,0.2453261812808966,0.14997987553024617,0.68,0.4598424805064991,0.5000000000000001,25
A,gaussian_noise,BBSE-H-11,quartile_2,25,0.955400832288096,0.9277169702181718,0.24524864887724035,0.24318839299076167,0.52,0.49016977960845715,0.6146788990825688,25
A,gaussian_noise,BBSE-H-11,quartile_3,25,1.065315962301376,0.9160041715310306,0.2942272944483404,0.22912313714160115,0.52,0.36440114414431457,0.3831305140884606,25
A,gaussian_noise,BBSE-H-11,quartile_4,25,1.2031450661126184,1.1146332299169424,0.3501807485042857,0.31312567574795613,0.44,0.2319167010104639,0.24770642201834867,25
A,gaussian_noise,BBSE-S-01,all,100,0.7627898107295782,0.6971613770046794,0.18209598169853566,0.15033070370828383,0.66,0.5287029847112137,0.5599749112143633,100
A,gaussian_noise,BBSE-S-01,quartile_1,25,0.5262739777782202,0.2634775692178397,0.126766237934825,0.05409553921320964,0.84,0.6276254720525548,0.6425294053171791,25
A,gaussian_noise,BBSE-S-01,quartile_2,25,0.7289059980068382,0.6282071693827882,0.17342754561376517,0.12015289942113005,0.72,0.5623480174450006,0.6454972243679028,25
A,gaussian_noise,BBSE-S-01,quartile_3,25,0.8315825541963144,0.781330993712904,0.19799353699814365,0.208053892176305,0.6,0.47514559180684246,0.48912503213677155,25
A,gaussian_noise,BBSE-S-01,quartile_4,25,0.9643967129369403,0.9941178774047456,0.23019660624740904,0.21154380832521724,0.48,0.4496928575404566,0.4533283016215245,25
A,gaussian_noise,BBSE-S-11,all,100,0.7627898107295782,0.6971613770046794,0.18209598169853566,0.15033070370828383,0.66,0.5287029847112137,0.5599749112143633,100
A,gaussian_noise,BBSE-S-11,quartile_1,25,0.5262739777782202,0.2634775692178397,0.126766237934825,0.05409553921320964,0.84,0.6276254720525548,0.6425294053171791,25
A,gaussian_noise,BBSE-S-11,quartile_2,25,0.7289059980068382,0.6282071693827882,0.17342754561376517,0.12015289942113005,0.72,0.5623480174450006,0.6454972243679028,25
A,gaussian_noise,BBSE-S-11,quartile_3,25,0.8315825541963144,0.781330993712904,0.19799353699814365,0.208053892176305,0.6,0.47514559180684246,0.48912503213677155,25
