bank,target,policy,stratum,control,L1_reduction,JS_reduction,dominant_agreement_gain
A,clean,BBSE-S-11,quartile_3,raw_soft_11,0.37417150412516587,0.10745495466692184,0.36
A,clean,BBSE-S-11,quartile_3,raw_hard_11,0.36265746309007274,0.13725801430089302,0.36
A,clean,BBSE-S-11,quartile_3,T015_zero_hard,0.34665746309007295,0.13307966671919852,0.36
A,clean,BBSE-S-11,quartile_4,raw_soft_11,0.16860535905144602,0.049884746054354806,0.27999999999999997
A,clean,BBSE-S-11,quartile_4,raw_hard_11,0.2630665642983867,0.11759054197953703,0.19999999999999996
A,clean,BBSE-S-11,quartile_4,T015_zero_hard,0.2630665642983867,0.11759054197953703,0.19999999999999996
A,brightness_dark,BBSE-H-01,all,raw_soft_01,0.1904096987593804,0.027340664479622412,0.15000000000000002
A,brightness_dark,BBSE-H-01,all,raw_hard_01,0.17818085894639868,0.06925676760151944,0.10999999999999999
A,brightness_dark,BBSE-H-01,all,T015_zero_hard,0.4541808589463989,0.178926864719612,0.3
A,brightness_dark,BBSE-H-01,quartile_1,raw_soft_01,0.48892166635022993,0.12104784237823529,0.12
A,brightness_dark,BBSE-H-01,quartile_1,raw_hard_01,0.34738943777288844,0.12487874666720106,0.12
A,brightness_dark,BBSE-H-01,quartile_1,T015_zero_hard,0.5833894377728887,0.21980674262505379,0.39999999999999997
A,brightness_dark,BBSE-H-01,quartile_2,raw_soft_01,0.4956554032885768,0.14559145068873014,0.36
A,brightness_dark,BBSE-H-01,quartile_2,raw_hard_01,0.44826186597738393,0.1562186386732367,0.27999999999999997
A,brightness_dark,BBSE-H-01,quartile_2,T015_zero_hard,0.724261865977384,0.2979130963132775,0.36
A,brightness_dark,BBSE-H-01,quartile_3,raw_soft_01,-0.078791039480828,-0.07136381668851266,0.0
A,brightness_dark,BBSE-H-01,quartile_3,raw_hard_01,-0.05750546008364532,-0.005175046328519672,-0.08000000000000002
A,brightness_dark,BBSE-H-01,quartile_3,T015_zero_hard,0.15049453991635464,0.06446389923541396,0.16
A,brightness_dark,BBSE-H-01,quartile_4,raw_soft_01,-0.14414723512045624,-0.08591281845996279,0.12
A,brightness_dark,BBSE-H-01,quartile_4,raw_hard_01,-0.025422407881032116,0.0011047313941591752,0.12
A,brightness_dark,BBSE-H-01,quartile_4,T015_zero_hard,0.3585775921189678,0.1335237207047022,0.27999999999999997
A,brightness_dark,BBSE-H-11,all,raw_soft_11,0.1904096987593804,0.027340664479622412,0.15000000000000002
A,brightness_dark,BBSE-H-11,all,raw_hard_11,0.17818085894639868,0.06925676760151944,0.10999999999999999
A,brightness_dark,BBSE-H-11,all,T015_zero_hard,0.4541808589463989,0.178926864719612,0.3
A,brightness_dark,BBSE-H-11,quartile_1,raw_soft_11,0.48892166635022993,0.12104784237823529,0.12
A,brightness_dark,BBSE-H-11,quartile_1,raw_hard_11,0.34738943777288844,0.12487874666720106,0.12
A,brightness_dark,BBSE-H-11,quartile_1,T015_zero_hard,0.5833894377728887,0.21980674262505379,0.39999999999999997
A,brightness_dark,BBSE-H-11,quartile_2,raw_soft_11,0.4956554032885768,0.14559145068873014,0.36
A,brightness_dark,BBSE-H-11,quartile_2,raw_hard_11,0.44826186597738393,0.1562186386732367,0.27999999999999997
A,brightness_dark,BBSE-H-11,quartile_2,T015_zero_hard,0.724261865977384,0.2979130963132775,0.36
A,brightness_dark,BBSE-H-11,quartile_3,raw_soft_11,-0.078791039480828,-0.07136381668851266,0.0
A,brightness_dark,BBSE-H-11,quartile_3,raw_hard_11,-0.05750546008364532,-0.005175046328519672,-0.08000000000000002
A,brightness_dark,BBSE-H-11,quartile_3,T015_zero_hard,0.15049453991635464,0.06446389923541396,0.16
A,brightness_dark,BBSE-H-11,quartile_4,raw_soft_11,-0.14414723512045624,-0.08591281845996279,0.12
A,brightness_dark,BBSE-H-11,quartile_4,raw_hard_11,-0.025422407881032116,0.0011047313941591752,0.12
A,brightness_dark,BBSE-H-11,quartile_4,T015_zero_hard,0.3585775921189678,0.1335237207047022,0.27999999999999997
A,brightness_dark,BBSE-S-01,all,raw_soft_01,0.5641513663581169,0.15842685514468519,0.38000000000000006
A,brightness_dark,BBSE-S-01,all,raw_hard_01,0.5519225265451352,0.20034295826658222,0.34
A,brightness_dark,BBSE-S-01,all,T015_zero_hard,0.8279225265451354,0.3100130553846748,0.53
A,brightness_dark,BBSE-S-01,quartile_1,raw_soft_01,0.8526352499087011,0.23664944421883027,0.36
A,brightness_dark,BBSE-S-01,quartile_1,raw_hard_01,0.7111030213313596,0.24048034850779604,0.36
A,brightness_dark,BBSE-S-01,quartile_1,T015_zero_hard,0.9471030213313598,0.33540834446564877,0.6399999999999999
