client,bank,target,estimator,quartile,L1,JS,top_class_agreement,spearman
1,A,clean,BBSE-H-11,2,0.8847911724934193,0.2206043147890332,1,0.3069703067574603
1,A,clean,BBSE-S-01,2,0.38322853606538365,0.11865556995075754,1,0.5000000000000001
1,A,clean,BBSE-S-11,2,0.38322853606538365,0.11865556995075754,1,0.5000000000000001
1,A,clean,raw_soft_01,2,1.4543962323179516,0.39633100055710146,0,0.4930493313022979
1,A,clean,raw_hard_01,2,1.5,0.4293396186237832,0,0.210409329495516
1,A,clean,raw_soft_11,2,1.4543962323179516,0.39633100055710146,0,0.4930493313022979
1,A,clean,raw_hard_11,2,1.5,0.4293396186237832,0,0.210409329495516
1,A,clean,T015_zero_soft,2,1.4543962323179516,0.39633100055710146,0,0.4930493313022979
1,A,clean,T015_zero_hard,2,1.5,0.42933961862378345,0,0.210409329495516
1,A,brightness_dark,BBSE-H-01,2,0.30000000000000004,0.10377665447374929,1,0.5000000000000001
1,A,brightness_dark,BBSE-H-11,2,0.30000000000000004,0.10377665447374929,1,0.5000000000000001
1,A,brightness_dark,BBSE-S-01,2,0.3000000000000001,0.09853116026167719,1,0.3069703067574603
1,A,brightness_dark,BBSE-S-11,2,0.3000000000000001,0.09853116026167719,1,0.3069703067574603
1,A,brightness_dark,raw_soft_01,2,1.4661682784899195,0.4074362869556185,0,0.4151994368861456
1,A,brightness_dark,raw_hard_01,2,1.4,0.377820559572958,0,0.3581435395668357
1,A,brightness_dark,raw_soft_11,2,1.4661682784899195,0.4074362869556185,0,0.4151994368861456
1,A,brightness_dark,raw_hard_11,2,1.4,0.377820559572958,0,0.3581435395668357
1,A,brightness_dark,T015_zero_soft,2,1.8361689397922656,0.565137591332854,0,-0.27679962459076374
1,A,brightness_dark,T015_zero_hard,2,2.0,0.6931471805599451,0,-0.3192754284070505
1,A,contrast_low,BBSE-H-01,2,1.9178857733129435,0.6434370180279215,0,0.0638550856814101
1,A,contrast_low,BBSE-H-11,2,1.9178857733129435,0.6434370180279215,0,0.0638550856814101
1,A,contrast_low,BBSE-S-01,2,0.7179146215925242,0.18373622624837993,1,0.3831305140884606
1,A,contrast_low,BBSE-S-11,2,0.7179146215925242,0.18373622624837993,1,0.3831305140884606
1,A,contrast_low,raw_soft_01,2,1.5800301381341384,0.4766777615152815,0,0.0518999296107682
1,A,contrast_low,raw_hard_01,2,1.7000000000000002,0.5736382622373628,0,0.004872544551705719
1,A,contrast_low,raw_soft_11,2,1.5800301381341384,0.4766777615152815,0,0.0518999296107682
1,A,contrast_low,raw_hard_11,2,1.7000000000000002,0.5736382622373628,0,0.004872544551705719
1,A,contrast_low,T015_zero_soft,2,1.8559590472397522,0.5657297744460472,0,-0.4151994368861456
1,A,contrast_low,T015_zero_hard,2,2.0,0.6931471805599452,0,-0.3192754284070505
1,A,gaussian_noise,BBSE-H-01,2,0.48031840056476016,0.1364818779862137,1,0.5000000000000001
1,A,gaussian_noise,BBSE-H-11,2,0.48031840056476016,0.1364818779862137,1,0.5000000000000001
1,A,gaussian_noise,BBSE-S-01,2,0.6282071693827882,0.16523785553856496,1,0.5000000000000001
1,A,gaussian_noise,BBSE-S-11,2,0.6282071693827882,0.16523785553856496,1,0.5000000000000001
1,A,gaussian_noise,raw_soft_01,2,1.4895898690429314,0.40829885190295623,0,0.39789946034922286
1,A,gaussian_noise,raw_hard_01,2,1.5,0.41380277738519267,0,0.30092592592592593
1,A,gaussian_noise,raw_soft_11,2,1.4895898690429314,0.40829885190295623,0,0.39789946034922286
1,A,gaussian_noise,raw_hard_11,2,1.5,0.41380277738519267,0,0.30092592592592593
1,A,gaussian_noise,T015_zero_soft,2,1.5071663302331708,0.4006262057258021,0,0.39789946034922286
1,A,gaussian_noise,T015_zero_hard,2,1.5,0.37217472567429855,0,0.47685185185185186
1,A,gaussian_blur,BBSE-H-01,2,0.2142597315617259,0.035920185041943,1,0.7474093186836598
1,A,gaussian_blur,BBSE-H-11,2,0.2142597315617259,0.035920185041943,1,0.7474093186836598
1,A,gaussian_blur,BBSE-S-01,2,0.6831710978583683,0.17647040934108382,1,0.5000000000000001
1,A,gaussian_blur,BBSE-S-11,2,0.6831710978583683,0.17647040934108382,1,0.5000000000000001
1,A,gaussian_blur,raw_soft_01,2,1.4643439022168925,0.39778895477606757,0,0.39789946034922286
1,A,gaussian_blur,raw_hard_01,2,1.4,0.3494799890253537,0,0.43670416078148083
1,A,gaussian_blur,raw_soft_11,2,1.4643439022168925,0.39778895477606757,0,0.39789946034922286
1,A,gaussian_blur,raw_hard_11,2,1.4,0.3494799890253537,0,0.43670416078148083
1,A,gaussian_blur,T015_zero_soft,2,1.6022733055789868,0.447957476211321,0,0.18164975363768868
1,A,gaussian_blur,T015_zero_hard,2,1.6,0.44918523733161797,0,0.1851851851851852
1,B,clean,BBSE-H-01,2,0.8847911724934193,0.2206043147890332,1,0.3069703067574603
1,B,clean,BBSE-H-11,2,0.8847911724934193,0.2206043147890332,1,0.3069703067574603
1,B,clean,BBSE-S-01,2,0.38322853606538365,0.11865556995075754,1,0.5000000000000001
1,B,clean,BBSE-S-11,2,0.38322853606538365,0.11865556995075754,1,0.5000000000000001
1,B,clean,raw_soft_01,2,1.4543962323179516,0.39633100055710146,0,0.4930493313022979
1,B,clean,raw_hard_01,2,1.5,0.4293396186237832,0,0.210409329495516
1,B,clean,raw_soft_11,2,1.4543962323179516,0.39633100055710146,0,0.4930493313022979
1,B,clean,raw_hard_11,2,1.5,0.4293396186237832,0,0.210409329495516
1,B,clean,T015_zero_soft,2,1.4543962323179516,0.39633100055710146,0,0.4930493313022979
1,B,clean,T015_zero_hard,2,1.5,0.42933961862378345,0,0.210409329495516
1,B,brightness_dark,BBSE-H-01,2,0.35061190613207194,0.11283805397896218,1,0.5000000000000001
1,B,brightness_dark,BBSE-H-11,2,0.35061190613207194,0.11283805397896218,1,0.5000000000000001
1,B,brightness_dark,BBSE-S-01,2,0.30000000000000004,0.10092682419082044,1,0.3069703067574603
1,B,brightness_dark,BBSE-S-11,2,0.30000000000000004,0.10092682419082044,1,0.3069703067574603
1,B,brightness_dark,raw_soft_01,2,1.4616983426464603,0.40615570839083537,0,0.4151994368861456
1,B,brightness_dark,raw_hard_01,2,1.4,0.377820559572958,0,0.3581435395668357
1,B,brightness_dark,raw_soft_11,2,1.4616983426464603,0.40615570839083537,0,0.4151994368861456
1,B,brightness_dark,raw_hard_11,2,1.4,0.377820559572958,0,0.3581435395668357
1,B,brightness_dark,T015_zero_soft,2,1.8361689397922656,0.565137591332854,0,-0.27679962459076374
1,B,brightness_dark,T015_zero_hard,2,2.0,0.6931471805599451,0,-0.3192754284070505
1,B,contrast_low,BBSE-H-01,2,1.9319528514246227,0.6490989666868217,0,0.0638550856814101
1,B,contrast_low,BBSE-H-11,2,1.9319528514246227,0.6490989666868217,0,0.0638550856814101
1,B,contrast_low,BBSE-S-01,2,0.7071974113269773,0.18148089203700912,1,0.3831305140884606
1,B,contrast_low,BBSE-S-11,2,0.7071974113269773,0.18148089203700912,1,0.3831305140884606
1,B,contrast_low,raw_soft_01,2,1.577393433798666,0.47365829725819286,0,0.0518999296107682
1,B,contrast_low,raw_hard_01,2,1.7000000000000002,0.5736382622373628,0,0.004872544551705719
