salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction,gain_vs_zero_pp,capture_vs_P00,capture_vs_T014
T013-S3,A,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.265,3.841991341991342,10.031645569620252,20.04081632653061,0.64,0.435,0.0,0.0,0.0
T013-S3,A,brightness_dark,zero,17.54602645421106,17.64080058514529,18.259971708810973,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.1,11.180555555555555,23.932210031347964,44.64446444644464,0.84,0.755,0.0,0.0,0.0
T013-S3,A,contrast_low,zero,19.95526398771052,20.08777179333732,20.058068667099974,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.1,10.532041139240507,20.0,31.619047619047606,0.86,0.71,0.0,0.0,0.0
T013-S3,A,gaussian_noise,zero,30.67664385146025,30.746725181195558,29.49990098428897,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.265,5.0,10.996955859969558,18.25042881646655,0.665,0.495,0.0,0.0,0.0
T013-S3,A,gaussian_blur,zero,30.901579176174376,30.992752177671388,30.511363707299605,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.145,5.555555555555555,14.337474120082817,26.392543859649116,0.785,0.54,0.0,0.0,0.0
T013-S3,B,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.285,3.3337449067786142,9.876543209876543,20.7625786163522,0.6,0.42,0.0,0.0,0.0
T013-S3,B,brightness_dark,zero,17.54602645421106,17.64080058514529,18.259971708810973,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.09,11.11111111111111,23.574604743083004,44.64446444644464,0.84,0.74,0.0,0.0,0.0
T013-S3,B,contrast_low,zero,19.95526398771052,20.08777179333732,20.058068667099974,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.085,9.79608156737305,18.859026369168358,31.282894736842103,0.85,0.69,0.0,0.0,0.0
T013-S3,B,gaussian_noise,zero,30.67664385146025,30.746725181195558,29.49990098428897,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.265,4.84375,10.996955859969558,18.87302396736359,0.66,0.485,0.0,0.0,0.0
T013-S3,B,gaussian_blur,zero,30.901579176174376,30.992752177671388,30.511363707299605,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.13,5.5300713557594285,14.437689969604865,26.54135338345863,0.79,0.535,0.0,0.0,0.0
T013-S0,A,clean,class_context_only,40.40429062829736,40.46811623113239,39.26281780414981,"{""clean"": 24, ""brightness_dark"": 78, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.765,0.0,0.0,4.016666666666666,0.16,0.075,6.2656007085288214,1.0227354621788538,1.0
T013-S0,A,brightness_dark,class_context_only,35.50801577206684,35.56752443646519,34.810872592009794,"{""clean"": 3, ""brightness_dark"": 124, ""contrast_low"": 38, ""gaussian_noise"": 27, ""gaussian_blur"": 8}",0.875,0.0,0.0,1.289900575614861,0.075,0.035,17.961989317855778,1.0016762465936868,1.0
T013-S0,A,contrast_low,class_context_only,33.678637218608394,33.76554292173682,33.549876122816244,"{""clean"": 3, ""brightness_dark"": 59, ""contrast_low"": 89, ""gaussian_noise"": 37, ""gaussian_blur"": 12}",0.875,0.0,0.0,1.962725684333139,0.095,0.04,13.72337323089787,1.013265812267552,1.0
T013-S0,A,gaussian_noise,class_context_only,37.56589973459118,37.62218232595252,36.25527549880916,"{""clean"": 23, ""brightness_dark"": 72, ""contrast_low"": 10, ""gaussian_noise"": 89, ""gaussian_blur"": 6}",0.82,0.0,0.0,2.7999999999999985,0.13,0.06,6.8892558831309305,1.0068626507820668,1.0
T013-S0,A,gaussian_blur,class_context_only,40.03716117435993,40.095751047277076,39.628322892123755,"{""clean"": 11, ""brightness_dark"": 79, ""contrast_low"": 33, ""gaussian_noise"": 47, ""gaussian_blur"": 30}",0.82,0.0,0.0,2.83224097057593,0.13,0.075,9.135581998185552,0.9985167754277684,1.0
T013-S0,B,clean,class_context_only,40.28597679678205,40.34842742203604,39.19483990662208,"{""clean"": 25, ""brightness_dark"": 81, ""contrast_low"": 11, ""gaussian_noise"": 67, ""gaussian_blur"": 16}",0.8,0.0,0.0,3.683704674530362,0.13,0.075,6.147286877013512,0.9966348579108071,1.0
T013-S0,B,brightness_dark,class_context_only,35.49213455905088,35.55422567989893,34.70718537653452,"{""clean"": 2, ""brightness_dark"": 134, ""contrast_low"": 28, ""gaussian_noise"": 28, ""gaussian_blur"": 8}",0.89,0.0,0.0,1.1265822784810118,0.07,0.05,17.946108104839823,1.0133702002977563,1.0
T013-S0,B,contrast_low,class_context_only,33.61540800919098,33.699049138905515,33.12262195375905,"{""clean"": 2, ""brightness_dark"": 63, ""contrast_low"": 82, ""gaussian_noise"": 38, ""gaussian_blur"": 15}",0.87,0.0,0.0,1.862745098039215,0.095,0.045,13.66014402148046,1.01870259443313,1.0
