salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction
T013-S2,B,clean,mismatched_pi_class_context_7,33.2614299816989,33.30008644191768,32.41040221336935,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.38,3.077651515151515,11.11111111111111,21.062753036437247,0.555,0.445
T013-S2,B,clean,mismatched_pi_hybrid_7,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_13,33.276469364011376,33.339982711616464,31.478148138671585,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.375,3.49671705603909,13.0720823798627,23.356020942408374,0.57,0.465
T013-S2,B,clean,mismatched_pi_class_context_13,33.276469364011376,33.339982711616464,31.478148138671585,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.375,3.49671705603909,13.0720823798627,23.356020942408374,0.57,0.465
T013-S2,B,clean,mismatched_pi_hybrid_13,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_23,32.657190787220415,32.714941153002194,32.26447269106776,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.34,2.7027027027027026,11.11111111111111,23.840206185567006,0.56,0.44
T013-S2,B,clean,mismatched_pi_class_context_23,32.657190787220415,32.714941153002194,32.26447269106776,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.34,2.7027027027027026,11.11111111111111,23.840206185567006,0.56,0.44
T013-S2,B,clean,mismatched_pi_hybrid_23,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_37,32.45340373782833,32.52210918279141,31.66008705655616,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.33,3.0303030303030303,12.580128205128204,22.53741496598639,0.56,0.465
T013-S2,B,clean,mismatched_pi_class_context_37,32.45340373782833,32.52210918279141,31.66008705655616,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.33,3.0303030303030303,12.580128205128204,22.53741496598639,0.56,0.465
T013-S2,B,clean,mismatched_pi_hybrid_37,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_41,32.88430889244534,32.941020014628634,32.12729003348251,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 68, ""gaussian_blur"": 15}",0.365,2.7274981403421767,11.11111111111111,24.570051890289104,0.545,0.455
T013-S2,B,clean,mismatched_pi_class_context_41,32.88430889244534,32.941020014628634,32.12729003348251,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 68, ""gaussian_blur"": 15}",0.365,2.7274981403421767,11.11111111111111,24.570051890289104,0.545,0.455
T013-S2,B,clean,mismatched_pi_hybrid_41,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_53,31.393270998202528,31.444909900924262,30.763840875138072,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.295,5.257962621742564,15.023584905660378,23.456140350877185,0.62,0.515
T013-S2,B,clean,mismatched_pi_class_context_53,31.393270998202528,31.444909900924262,30.763840875138072,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.295,5.257962621742564,15.023584905660378,23.456140350877185,0.62,0.515
T013-S2,B,clean,mismatched_pi_hybrid_53,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_71,33.34112453188512,33.406476494447766,32.43366920060038,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.365,3.9607843137254903,11.11111111111111,21.978319783197833,0.58,0.47
T013-S2,B,clean,mismatched_pi_class_context_71,33.34112453188512,33.406476494447766,32.43366920060038,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.365,3.9607843137254903,11.11111111111111,21.978319783197833,0.58,0.47
T013-S2,B,clean,mismatched_pi_hybrid_71,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_89,32.55438767191573,32.608551100472106,31.909636993460996,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.39,2.7005704575798033,14.201349831271092,24.605263157894736,0.53,0.47
T013-S2,B,clean,mismatched_pi_class_context_89,32.55438767191573,32.608551100472106,31.909636993460996,"{""clean"": 28, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 69, ""gaussian_blur"": 14}",0.39,2.7005704575798033,14.201349831271092,24.605263157894736,0.53,0.47
T013-S2,B,clean,mismatched_pi_hybrid_89,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,brightness_dark,composition_persistent,25.999625891917656,26.058913491588537,26.146132109521904,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.505,0.0,14.888613861386139,27.08686440677966,0.45,0.415
T013-S2,B,brightness_dark,class_context_only,35.432163924702095,35.494381275350754,34.6350454055322,"{""clean"": 1, ""brightness_dark"": 138, ""contrast_low"": 28, ""gaussian_noise"": 25, ""gaussian_blur"": 8}",0.865,0.0,0.0,1.455205811138013,0.09,0.06
T013-S2,B,brightness_dark,hybrid_client_plus_class_context,34.90009780097493,34.962431012700314,33.767446102084534,"{""clean"": 11, ""brightness_dark"": 115, ""contrast_low"": 32, ""gaussian_noise"": 20, ""gaussian_blur"": 22}",0.79,0.0,0.0,6.284340659340657,0.17,0.14
T013-S2,B,brightness_dark,T013_two_factor,33.327992710412396,33.379878981315244,31.602374136056515,"{""clean"": 13, ""brightness_dark"": 124, ""contrast_low"": 37, ""gaussian_noise"": 8, ""gaussian_blur"": 18}",0.695,0.0,2.611150317572336,15.35117599351176,0.255,0.21
T013-S2,B,brightness_dark,T013_client_only,25.685830003729485,25.746392712281402,25.378655091112556,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.485,1.077261670334762,15.425016160310278,31.45833333333332,0.475,0.435
T013-S2,B,brightness_dark,uniform_class_context,32.424807666744606,32.48886229137575,31.338011257580153,"{""clean"": 0, ""brightness_dark"": 200, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.705,0.0,2.188073394495413,15.35117599351176,0.25,0.2
T013-S2,B,brightness_dark,uniform_hybrid,33.227236762021015,33.28013830706829,31.57031665238107,"{""clean"": 9, ""brightness_dark"": 141, ""contrast_low"": 30, ""gaussian_noise"": 5, ""gaussian_blur"": 15}",0.68,0.0,3.2931098010316875,15.616161616161612,0.265,0.215
T013-S2,B,brightness_dark,mismatched_pi_persistent_7,24.640583073109354,24.69579094354678,23.011627487755135,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.4,3.3333333333333335,20.256227193399965,34.824482448244815,0.55,0.47
