salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S1,B,clean,brightness_dark,0,99,-0.141401499649167,-0.09999999999999999,-0.010497294804968738,-0.08483692803357287,0.06576580772432114
T013-S1,B,clean,brightness_dark,1,99,-0.1078349494193974,-0.19999999999999998,-0.006163336598614249,-0.052877598040640725,0.05984715155325679
T013-S1,B,clean,contrast_low,0,99,0.030541482805555326,0.0,-0.0002165128461171159,-0.07219407672222179,0.10243417177399043
T013-S1,B,clean,contrast_low,1,99,-0.13307508386879083,-0.19999999999999998,-0.007818513140190903,-0.03787732423985815,0.0535480929901257
T013-S1,B,clean,gaussian_noise,0,99,-0.13059777380555615,-0.19999999999999998,-0.012069465901988572,-0.07166088071717087,0.09917206049242315
T013-S1,B,clean,gaussian_noise,1,99,-0.140817248250204,-0.3,-0.001875919901364917,-0.09437884254523952,0.13159513536088505
T013-S1,B,clean,gaussian_blur,0,99,-0.06262626262626263,-0.09999999999999999,-0.013383838383838383,-0.05454545454545452,0.025252525252525238
T013-S1,B,clean,gaussian_blur,1,100,-0.16736233817330526,-0.19999999999999998,-0.0010082596676864808,-0.10230214526207936,0.10616697359563823
T013-S1,B,brightness_dark,contrast_low,0,99,-0.1383838383838384,-0.09999999999999999,0.009959013661932059,-0.043672795936868465,0.10071535750757513
T013-S1,B,brightness_dark,contrast_low,1,99,-0.0836790634468659,-0.09999999999999999,0.01923434859766427,-0.10901738691969463,0.1599596184406681
T013-S1,B,brightness_dark,gaussian_noise,0,99,-0.12013908495075852,-0.09999999999999999,-0.0039079355705489045,-0.08194405232070513,0.09001157189899159
T013-S1,B,brightness_dark,gaussian_noise,1,99,-0.17359195554258453,-0.3,0.01248423957970016,-0.05498033182052556,0.05400532192990867
T013-S1,B,brightness_dark,gaussian_blur,0,99,-0.10718328907070876,-0.09999999999999999,-0.0005373486620889358,-0.0506872120075747,0.1372611553737357
T013-S1,B,brightness_dark,gaussian_blur,1,100,-0.09549162055850494,-0.15,-0.00552496151285526,-0.09287325248303971,0.09580600438499857
T013-S1,B,contrast_low,gaussian_noise,0,99,-0.1087127217185033,-0.09999999999999999,0.04492739921989865,0.013244444236551472,0.08601755417444015
T013-S1,B,contrast_low,gaussian_noise,1,99,-0.023288614232324086,0.0,-0.007614261576388521,-0.11372744438762569,0.07391289098863708
T013-S1,B,contrast_low,gaussian_blur,0,99,-0.08980295683439725,-0.09999999999999999,0.04728612098482641,-0.0050683649987755585,0.08855385415904739
T013-S1,B,contrast_low,gaussian_blur,1,100,-0.01082623792124928,0.0,0.008985245751406256,-0.0760065778087482,0.08706230589874903
T013-S1,B,gaussian_noise,gaussian_blur,0,99,-0.1383838383838384,-0.09999999999999999,-0.009343434343434346,-0.06666666666666667,0.028282828282828278
T013-S1,B,gaussian_noise,gaussian_blur,1,100,-0.21186803398874987,-0.3,-0.02252089803375031,-0.06647213595499958,0.07106230589874907
T013-S2,A,clean,brightness_dark,0,99,-0.06979071709617506,-0.05129891760425771,-0.01048369180458443,-0.09983163817351164,0.07927295191692643
T013-S2,A,clean,brightness_dark,1,100,-0.03906324693520273,-0.09999999999999999,0.007436636668314385,-0.11279648818333357,0.09229062525403903
T013-S2,A,clean,contrast_low,0,99,-0.11952163291717886,-0.09999999999999999,-0.029426582647705913,-0.09820932050818776,0.06645674058921087
T013-S2,A,clean,contrast_low,1,100,-0.1235417960675006,-0.09999999999999999,-0.010044424976508782,-0.08184995346460103,0.08399999999999999
T013-S2,A,clean,gaussian_noise,0,99,-0.10704446631102511,-0.09999999999999999,-0.002588362808676971,-0.08650131623313922,0.10310902530934893
T013-S2,A,clean,gaussian_noise,1,100,-0.13599999999999995,-0.25,0.028190160779531518,-0.04411803398874989,0.12693769410125091
T013-S2,A,clean,gaussian_blur,0,100,-0.051048384370785786,-0.049999999999999996,-0.010200562642701338,-0.11809205563666474,0.09364665232229888
T013-S2,A,clean,gaussian_blur,1,100,-0.06117376207875073,-0.09999999999999999,0.02157212679078163,-0.009472135954999577,0.06752786404500043
T013-S2,A,brightness_dark,contrast_low,0,99,-0.08920992190747244,-0.09999999999999999,-0.014307981688101585,-0.08116263243201031,0.029965076430665146
T013-S2,A,brightness_dark,contrast_low,1,99,-0.06877041308828695,-0.09999999999999999,-0.01405534364695853,-0.07139999693560076,0.07862814856439966
T013-S2,A,brightness_dark,gaussian_noise,0,99,-0.09870095833165034,-0.09999999999999999,-0.017498507401393377,-0.09598037505039016,0.05694768040528358
T013-S2,A,brightness_dark,gaussian_noise,1,99,-0.11930124081652062,-0.09999999999999999,-0.004143515532224631,-0.051197002081054745,0.061996271648994246
T013-S2,A,brightness_dark,gaussian_blur,0,100,-0.053151253081035243,-0.049999999999999996,-0.006913572035045282,-0.09202327931724462,0.10011581950801025
T013-S2,A,brightness_dark,gaussian_blur,1,99,-0.1188334785305068,-0.09999999999999999,-0.0031254789703754355,-0.07759692728811503,0.09677991650589894
T013-S2,A,contrast_low,gaussian_noise,0,99,-0.10591590095728637,-0.09999999999999999,0.01220875366963908,-0.021017220254824852,0.08304942454526114
T013-S2,A,contrast_low,gaussian_noise,1,99,-0.18135249245265425,-0.3,0.017450959369004006,-0.04710509117381255,0.06403378451223014
T013-S2,A,contrast_low,gaussian_blur,0,100,-0.15509280992521327,-0.19999999999999998,0.013870149871279795,-0.0818640740450103,0.12299472003707232
T013-S2,A,contrast_low,gaussian_blur,1,99,-0.1912960579955725,-0.19999999999999998,0.01603697255312678,-0.021008839443413415,0.049389986456221585
T013-S2,A,gaussian_noise,gaussian_blur,0,100,-0.13875,-0.19999999999999998,-0.0033889320225002073,-0.09565247584249852,0.04659016994374947
T013-S2,A,gaussian_noise,gaussian_blur,1,99,-0.09191919191919191,-0.09999999999999999,0.006944444444444444,-0.04545454545454546,0.08787878787878785
