policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement
ROT-CLEAN-SURROGATE,B,gaussian_blur,T013-S0,29.762766572869943,27575480204485354561/926509306081162674,-0.12712746721335152,-764962344261953224661/6017286122582431926481,-7.1737340386116335,-1.138812603304434,0.10902082727168874,32651114064703661835820111990637450869972765309756953084945321952786492628568137106105744918201162250537894936826658407913817531911538206407626988057927142489662386610227/299494279045731682744371995750081113379644379897285809670336650962367581613048643809920879775386536866937653059507794105111494349682146614562788632662928348148660972800000,0.3014230411330066,0.3,0.3
ROT-CLEAN-SURROGATE,B,gaussian_blur,T013-S1,29.762766572869943,27575480204485354561/926509306081162674,-0.12722046234781959,-764962344261953224661/6012887629433016010913,-7.253475027817441,-1.138812603304434,0.10948082373694625,1174057824552976314004441479907898926531422928731114996686841396301271923453231631198860443088974781426098970543848165027206659751157416262702822997400943992974051/10723867289982489668932577157144876992968585306978959435121024418087112331917056239953586092241917705155598870855223328551677760474539814071126012660283417824000000,0.2977796665410633,0.295,0.295
ROT-CLEAN-SURROGATE,B,gaussian_blur,T013-S2,29.762766572869943,27575480204485354561/926509306081162674,-0.12665146735713836,-764962344261953224661/6039901157282866179256,-7.265894814489709,-1.138812603304434,0.10910119820142238,155145224699949047231139040562036928994068966258975792244798603463703766220206297623287132751470892628391349913855875454109257617198117861200538353497029595756701142070689862455986322698344642646152567/1422030438323145594006033637113466506697310333471097400784263056060020048683131091078498698730491017968016106486312511543403902935660819965534533680215427529853279876339683618037710484658259098864000000,0.2919425524953212,0.295,0.295
ROT-CLEAN-SURROGATE,B,gaussian_blur,T013-S3,29.762766572869943,27575480204485354561/926509306081162674,-0.1263682525907721,-764962344261953224661/6053437699571495470644,-7.261378591190891,-1.138812603304434,0.10897455238812148,833008602726898560640754817142486813767961370368530679312315502357451462214145695855175743669837248458897173769915657485824640146611574066047208629890868090219873380463/7644065375557336815943362473964377318090123945051504975176732065595210315206762139367175733470739192854095212869352452246392044968491377018153467716878324168121779200000,0.2972524798741412,0.295,0.295
P,A,clean,T013-S0,39.115670128760435,4379124746870947087559/111953207818140489775,0.8123936380704208,417891674733031462617/514395553029684521137,0.6009036883602624,4.976980208991895,0.01410265346913888,875592089616180909180391799613213452345866170565029487294519514474988511825103632022001134600088744624546549088560732148586673683801100403/62087045642315235377223819373606387455380907159622506133135234228295886849398238249158983674650935314640956651559355100299554480985841000000,0.051541079253143975,0.65,0.65
P,A,clean,T013-S1,39.055656911893294,35404097771102715117/906503707029477650,0.7983792226356284,1100940455008560359093/1378969321588943132807,0.7543997301647263,4.916966992124758,0.015283455208744315,831744726262908300471537139283223755611156327372205558404242388285802788695251162225341789442511379014076414323022998536601501041/54421249311937774687282806540882600717444155439497563048237469173329753743684124889334226260916463599734375752338830393920032000000,0.07082371232233402,0.66,0.65
P,A,clean,T013-S2,39.06935355761002,4373939458155521497762/111953207818140489775,0.8004916748231686,3312021665571698162154/4137484210942399939171,0.6936649539037528,4.9306636378414845,0.015446250276702178,222538550182435873215971831348424959554670747201456568907798496077077487862578788904709686191860706061115289586425832289469184118027579220401/14407286311946807237775465024348257930801064003274877576825571124321613868345360691743783528324374904578592383779699069839112477314108252000000,0.0613591171675478,0.63,0.625
P,A,clean,T013-S3,38.97003400399879,26176921893178067633497/671719246908842938650,0.773342186234171,3245306809816636809079/4196469386494771626546,0.6209873119198612,4.83134408423025,0.01525980667712776,110681761470537721567431536046023016482917620205724259412003168711759039436185182685573070289795531093696777699627914368428826323787/7253156203900908974557095560019376311563037418207677900866333534869881809141435120424360169309217733080465434000175945587122852000000,0.05586534930736403,0.65,0.645
P,A,brightness_dark,T013-S0,33.65725645904361,22608226961686561507157/671719246908842938650,0.8984659835648294,901851940468439356311/1003768597771699181435,0.33363100390862993,16.111230004832546,0.02273440083162813,236636852624469859275930153804784561910418181724832258414932741922498361255222921754810816869034667031488984276112562650534232613797/10408756948424184971445463211348882526368977889334656896542294051981387321935493928691474411849195570210523025058293612567403136000000,0.07428623006387206,0.695,0.675
P,A,brightness_dark,T013-S1,33.69726020864514,870580701932401222082/25835355650340113025,0.9010580738007838,10849094574177142542707/12040394387027914519545,0.41421286134172836,16.151233754434077,0.022412535948232306,119223064029154685143032569697057733982727266641168641521362172945450163578924741703347600989759784005258806885753715422516656083613/5319481218213412698600438791077276726633553468758189406163401916230887281163294782736085454576864485896761938721911821861722768000000,0.08131788068294155,0.685,0.675
