policy,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,relative_mean_reduction,clients_better,clients_equal,clients_worse
ROT-CLEAN-SURROGATE,vs_P,B,brightness_dark,T013-S0,0.11484516567086181,0.018254374356048993,71802695120060908862669210952527636213392869714520306666273782779303064490805811264743744445609798624435024945349776182237520884705641020647419973336315296539538254436949/625213039666313848005133773812985579534617421019554585057830845777811617505559643205650238839918216086838419477128606784512225746571242235475868693165401147614741568000000,19640825503169443069548476823033997097751408398043999995254367997874452475719467455337596310891283522793135308607078220956188881/1075951720945233096076644946387107972541759136792914709173278277029293707043156287853160472591399169961807217806315238016064000000,0.3559178856903589,0.04843771885995619,-5.291377805167303,12,38,50
ROT-CLEAN-SURROGATE,vs_P,B,brightness_dark,T013-S1,0.11486075791530208,0.0190245913159035,1378596680262880264463114807858398728112225317989699320229935737687246717147700296395193519918729582485769756639209609880638526994191081744801499151364734327/12002329649256298520004412019882552021436582240529346648060889808500530487769521459663309106341544310285524644272970289608639505524582439309769730399456000000,9830685567372588902599501717618911569962483037230269157568701572310197977511218427940228947933965192857078229989137090216852146717933/516735702971694376228070673052756680073165489699918996521885097118745519976905177949808398639414805639154356376699861183409179372000000,0.36045459707964744,0.052109119990592104,-5.037488848408788,12,38,50
ROT-CLEAN-SURROGATE,vs_P,B,brightness_dark,T013-S2,0.11478929338329923,0.018140619540135853,370666202671614818959870052799686712761582334505476410516118768608112403190785435033457596333392185104322792897529182408982628819836735911368733118041469448572086436740651733327429769/3229100831154199898867376584635764575061008816521764910628559740766379408712695492903457091467554474038123086147479203503189099743969574389646168997776094023541167965251040313261568000,496873857947241279608495864997771745745622126771693703607912311589237291987981518674783234733747880354390617590193418476102293446287721341277/27390126166745031524512976092302990814387116757627435313696252787756306435832102317499513727452771493254044060864766134310615038001450176000000,0.3601712426091105,0.04913094308573106,-5.327749343363362,12,38,50
ROT-CLEAN-SURROGATE,vs_P,B,brightness_dark,T013-S3,0.11481977655112148,0.018073268864106817,845597611724869987112160392936877661489561039225091343111519582707066892651099549200965075119236628919600214290750734995849115788524008370529443836515038954637193472202419/7364564164156708681242893963000445221180343989170289112564074170243286078415226241781146637325073590131154316240274029724437266439384206607092416582131938204281277512000000,12518362993504975710132478669257507418607605262663584394639224371999734848184600070080268639355123186815421283239/692645203677914397118485975790322551995210144228933311068364200398798391670676911199652068738384379292870209125000,0.35219125248806193,0.0523610031462748,-5.353016569080729,12,38,50
ROT-CLEAN-SURROGATE,vs_P,B,contrast_low,T013-S0,0.09201753924027288,0.030747832962941944,14065335642415598176089386053192911169054736229822032418295740948404600533678915131470158565472211736897189482684563125065992378951383415311841590129326559297801/152854942204971389093516694946519550710654641364744345736055264378690735191101666719309490100753329124640484239195913905899055576923522396866704216899365248000000,1326841448399619243498597875260613816685840460331102379984440285441174574149784771244137318093584277081321181498896792580352562733413629/43152356460332073341439415294088806333761452377521669675885579276393790707950953922867405116493888663295439524907413685712519985024000000,0.29459904890439187,0.1001416458095041,-1.9926512008561619,20,36,44
ROT-CLEAN-SURROGATE,vs_P,B,contrast_low,T013-S1,0.0919970945701328,0.029405457234345414,14404714598352626074782960809052222350390206312229727073278987871816212586154962794517730149260566595871819429901507035043867112190572277462581726349201622081436167/156577929614629040065322195202188409713031726763154450274934910842852744153694335686434632328846352481756673013094940140753417605465653415411798812013947704704000000,16411181342168112167525391908009285323361721626617434047586128302420129178354230633326723255626367695524073226096234166349772112046460879421/558099852397463857109850079167585096634553686972357760026163615531898209738528549404677894260657696220452658908855658700172792408626608000000,0.29991642788818706,0.09655729472056884,-2.1285721502973503,19,35,46
ROT-CLEAN-SURROGATE,vs_P,B,contrast_low,T013-S2,0.0921511561683734,0.03163709316235362,39565071764073105556670082187058662593006046094513337002306246150506398919434803434152038268039544284838357179454270889713810142611941138282559421170027408576129253023398412575886991059901/429349705518420585656012275328004215225972238954432645609463107612958426243331237716263581401897231796695141574310776260769276271489820559852035640841564401137870481126098774331504544000000,1335819822485299196692564642708516274233007356327248338765171192008963643769115535520546523115418637022563502359638783818815442131689955716168777517/42223216135256397523331274149647673220476709693266791328260836153569301081164841919503928525818924526021795722630013534309364383625040529740576000000,0.2810571922250623,0.09653577408450131,-1.9127567344912757,22,32,46
ROT-CLEAN-SURROGATE,vs_P,B,contrast_low,T013-S3,0.09190339342883713,0.030968087569511766,901480047028874181485301952300295583690122875611113380784911729433672726926852035621792983736981764190310849325516873380981534751710478006235437877456514243/9808996310097194738440640638856385727854485734900649793671279811827822203428843665985486450315938982524532893301227540145781444209670443347618562369408000000,547856939268884975347182881156627697937170504038212921604081529741012525777317818251123834866797143292409722952234018524272039824531418517/17691016212710945889775103564528994328699097767178246303044787903202682286117127215341265090959464410461165641946926724581639201029712000000,0.2915717392671962,0.09991135138837492,-1.9676806235628341,20,36,44
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_noise,T013-S0,0.16187548795661025,0.012506677980768816,51384314110895874596386326456486665029200668518538373252461595812363727916749405315142252482334873782780487230291444914635582379790377111585079397174724745283282915139518608410834507/317431099418023863207236271267305704198399945663699133216137040593000752663597179218983613274842689693626801731389248270804953799717160684115738118883406408997473630920730192512000000,91222456965086196515737409023286357400622818911734726023830343865800053102432062156503802222721724643622869039987991616246403945201543253/7293899875359110155788057342020992274219839332282833917789045547611163532656237070602056969634841380787565562346696139626999360861312000000,0.4579114855634552,0.04372400823869221,-11.943124321704122,8,20,72
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_noise,T013-S1,0.16180221800069897,0.012662662762279757,818629713936530664990494145037156491799767168957595086027745708721261701263520712241417142247718661376662953258477343130642869841362074939403675715263193352285864587269/5059446799011088023605899569045770623611227131258466577436628695152129796181192151924378412461546438760441172069245486688118204223413979515740044331052615911860220160000,24887853831762665732157206028949869346195974671221921197683371147130579376478527130003841274647528719841218764960370477/1965451840500719037545282246202673342383109072294404521856309338998191448730547496908784746142611719953128779759952000000,0.45510817765326605,0.04260654298649791,-11.77789838032206,9,21,70
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_noise,T013-S2,0.16184921099060995,0.011799907990129394,74250569658191386029776505750695815570671911691802740427005898494270186664639065395488267441869977270912943762867857421048774973388896315360955503839963756072915084825197672103687117428062421123/458763865475372610291836443997607741931253102194354851567282701036448812489640712543471632632166697436065374696891316820219703519841364272949694360917149195375276280335906998929302206766176000000,116515495304878975237917271938630733412708640536064154643535312846634443260978054836586682219940152817648045463774971816807531/9874271511468057903939786239784467075922404569742008400386255439501826709978311247256115118345774463188684006630834599888000000,0.45011921842783065,0.03836433680320934,-12.716141780596645,9,21,70
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_noise,T013-S3,0.16173354765087214,0.012649836833747598,282073485430142012348377676911554483240229611772605431652303363698360598651647643717763047217804466108757070875218658139894664325932710402530622603957435503115860497201/1744062932688788657144747755069647799360101819509411902696586628149058681556818078411187550699972878637142468691998926908036062093379724070779490290387639893285992000000,9271786274803225732651461362244272714590979092331150590600362921378956810516241007272280645094558395238655420756802799863/732956985663853618541473450305981257086280950648222129576096859642679289060305386984760025998535980997425655892130576000000,0.4572892369100211,0.04260507745643062,-11.78542559690531,8,22,70
