representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
L,context_vs_clean_prototype,A,gaussian_blur,T013-S0,0.039885648088083495,0.05606044938985381,310346503681924416729608031990818765731200854557524502790759445796002164649407426252241281588553363019836513263203095448579588408357876411478508754674815173/7780906630789976674967655419355064879829372064522026383152129651016068320392148161932684402246676822580777323433292329929745976060831603213800523309156000000,1404828978523866084247183118715974630815052906210791829804455280441040873393503074125669830964233135074179118892163346350066875872932026735895624136185180329220746207309963717999/25059181540883641879205471737443062609250644819331177228657926505998434482384659551794548491603537309548344422234949198307403834811462227177186809997933595407947041905516656000000,0.11951485262677791,0.16410373551406707,-1.617480130177031,0.28852428900967275,38,42,20
L,context_vs_clean_prototype,A,gaussian_blur,T013-S1,0.03869741938503574,0.056405793619550275,2662449007060379578807657365395902862795684067233253698129803245174691666599258458926304740696534368582409688877472145711527093280545126246978369579011820729689077/68801719840004265484721813814284983130025047218183815060307292791647159066070629963334531649896954027385870452746383847422854812398369246654414411648366740368000000,62411541307150191203688823879213744282283044868055332214430905894767456657164483900851943966647799930007095479622442754858452391517012869465956368339676967564240918611173/1106473950674427225846423751287243482184626615905741461169099183389544592499595532291996887464221878728948579981319224587227678036685910968618336846328914420970725184000000,0.11539477233193564,0.16842076643316842,-1.7708374234514528,0.31394601685697754,39,38,23
L,context_vs_clean_prototype,A,gaussian_blur,T013-S2,0.039262958276589585,0.055556927836586216,1876411591481461511234452395578661632871566801191990783511354105761885398981057763482103850962463436136113730027191882069218395028885133135744713952409347799478085838721/47790886724912578805020310005965071135701923782476515194097260762723443953805370787195189883071472976594303057330266335600154415817555100775517879271944392762449632000000,8764183400967421369069693718905487655587298146670570586208054355498434125423523101239956529729534512682689706189937084239851298298202531335581456121620660268094420025204872585131065733/157751404590732150718220970698582473436595635231312493705446046889196926453437216122279368259996421688754069121246645866250043057939689729867759725947977413563189727342138738950632000000,0.11217518158612709,0.16771098440514784,-1.6293969559996633,0.2932842076495539,36,41,23
L,context_vs_clean_prototype,A,gaussian_blur,T013-S3,0.039785518986127234,0.05674638188604203,11988265774913678833754570325019447909525903476519907811847934862695039742236441011938846945120169430942674281349531016150083167629463723550152844697/301322342410409523467965795643509041376012781384162789337514536079652095660876705322096914495959498249884509556362370778988311031860107359931712000000,10064373103242461976348743795096420229192502850691873812426348758250314404561006054222136791103647713320431132693659674020620358927559128421136294969303883188977/177357089011484755380820890889593445343505452868304723822435108821710817039779100022968905350718207193629429490041417631003131113216028025972520837629482304000000,0.11560538395485498,0.1663129504123319,-1.6960862899914795,0.29888888658973123,37,41,22
L,context_vs_clean_prototype,B,clean,T013-S0,0.02195505220853812,0.02195505220853812,2561788201748107729994169838901147693434328864395867804972793185489244034248904205546631828278930736610038360120367320009717119693034776322140361/116683311768753230639095539547300265562527882288412819134778570469734292762369964797570910770096750129182294663377584124980741330001387388096000000,2561788201748107729994169838901147693434328864395867804972793185489244034248904205546631828278930736610038360120367320009717119693034776322140361/116683311768753230639095539547300265562527882288412819134778570469734292762369964797570910770096750129182294663377584124980741330001387388096000000,0.09127256264839148,0.09127256264839148,0.0,0.0,0,100,0
L,context_vs_clean_prototype,B,clean,T013-S1,0.02292222502424762,0.02292222502424762,5683344606422149713050949413956834084294560223236226102910714293505085698718135133047840798442556622997287939040425980403983054533074288042989/247940354848195866030312494916930548367389704384951940169129254363920977978863525596777901665508507529782071457261894183884577980906722979200000,5683344606422149713050949413956834084294560223236226102910714293505085698718135133047840798442556622997287939040425980403983054533074288042989/247940354848195866030312494916930548367389704384951940169129254363920977978863525596777901665508507529782071457261894183884577980906722979200000,0.09524054497508891,0.09524054497508891,0.0,0.0,0,100,0
L,context_vs_clean_prototype,B,clean,T013-S2,0.020766511913246646,0.020766511913246646,32222004021128328630372040359850591349012680484845025473623015553311810660743796573383381477423261121586319529282243604450211910012904935891704487857/1551632944219890638488097273158464091194405164029592713275370622174457841442438181665091489491898268631172915662478681129845258067304512360664056000000,32222004021128328630372040359850591349012680484845025473623015553311810660743796573383381477423261121586319529282243604450211910012904935891704487857/1551632944219890638488097273158464091194405164029592713275370622174457841442438181665091489491898268631172915662478681129845258067304512360664056000000,0.08900106900363315,0.08900106900363315,0.0,0.0,0,100,0
L,context_vs_clean_prototype,B,clean,T013-S3,0.021253833201559248,0.021253833201559248,619085451892893315643958633214381057430526291706208788376351776041655095519777835715394118615709659844546217914463343897282156049697460377/29128178715897480578374587938464011339191430348457415757148985413766415877718090852748921227138855289525684647603745905303500851401654400000,619085451892893315643958633214381057430526291706208788376351776041655095519777835715394118615709659844546217914463343897282156049697460377/29128178715897480578374587938464011339191430348457415757148985413766415877718090852748921227138855289525684647603745905303500851401654400000,0.08804250788462246,0.08804250788462246,0.0,0.0,0,100,0
L,context_vs_clean_prototype,B,brightness_dark,T013-S0,0.015754250497421907,0.06435960796059768,147882009801823957612237101186411688116899787981357575441164762155355530946416345817490783782642982834636891480047447087469/9386800712990059606800037319357358589839422309664100442072073623455950791811479833512184741090194999855209317161658176000000,23072127259685146802791752599218614888148846912491669114164622458846666213884279479986287337052244291715152978405037487883938325672777785781174618769/358487691127801634468648412160367654245324311842127521032679322980508992653110782084146755065044543176587817076798099598459975490847857313939776000000,0.050362573903078994,0.2455261985724279,-4.860535746317578,0.755215250735104,24,68,8
L,context_vs_clean_prototype,B,brightness_dark,T013-S1,0.015343951884404697,0.06449072693428233,42468991739674296364782629502893796016763074545179988469892549371372761047389957733533959420947132797519291039/2767800111706487839223210098885806491417501048850154920579271540018980391348274687698778674180869987402324000000,2371208474147918373638926338639434516539156355589689461726032762524942026150453725640377113435578120983873636012556842845561156057/36768208188508086584599311593534719786900213729647315844569066997279103910374625272125042892479755812062757099889381840623959500000,0.05030638777053744,0.24039943655196427,-4.914677504987763,0.762075067008617,25,68,7
