representation,policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement,L1
H,oracle,B,gaussian_noise,T013-S3,34.13905241898933,17190298786405567544/503537666348457975,0.5009690736605159,2325766475471363083463/4642535034103581480228,-1.2311322146162402,3.462408567529086,0.02908431399555808,328732655581825452111458060170523302300561270214525303711570478000651794883872477316130063560909378305375736491763556676497233426589069/11302747440838087145727658998379132857846894612183624268393505847509995587216289450390421491496449026931173570679918477367512003536000000,0.08778664346665874,0.58,0.57,0.9283158632614817
H,oracle,B,gaussian_blur,T013-S0,35.738673370223836,82780533661268541083/2316273265202906685,0.5399725396238262,3249169269254041632684/6017286122582431926481,-1.1978272412577367,4.837094194049462,0.04034654966713274,144794363375774889850166049143602027872730783532278839289695730126326095928018103420639050735780110917816966433791889401689665515975910796913037780132749924823/3588766934728196376678991544099083448379981808137824323855300618289643441688754735051637262192984675312916164573576846051905710265332741986132525437396096000000,0.14640087184598619,0.5,0.495,0.9695957684421568
H,oracle,B,gaussian_blur,T013-S1,35.730273413159985,12000356174467439609494/335859623454421469325,0.5394291489074263,249502065878541841354/462529817648693539301,-1.285968187527397,4.82869423698561,0.04069375959319675,4555437148821926164987314931076026943256812117830174731774331680809694073851894240859346179655866746387236389845407637252696157977682624675194692452649159119798513/111944366761912842330744423318431708570758412461377755363718373662314541867499488958536209828358541955435350933175443572774003360387148340087370606072629247329280000,0.14940532052088673,0.5,0.5,0.9695957684421568
H,oracle,B,gaussian_blur,T013-S2,35.69335851439463,23975915900936500329979/671719246908842938650,0.532911106424572,3218730408422665048593/6039901157282866179256,-1.3353028729650174,4.791779338220257,0.040403292006006106,1584361799897137724945850096864089073897398853032757532191374565878594812019408248583818121821881797148020960499560103071699205697739369183458474417015996899879679580660173/39213680896636247786653317660169091868996070774440379834720608348186166327056148256521739469823109139663950800016724366374952243317477807053364283787863761766415533096000000,0.1465535672435097,0.525,0.525,0.9695957684421568
H,oracle,B,gaussian_blur,T013-S3,35.56781973241144,137307983246235022542/3860455442004844475,0.5177890230129788,1567201796165529320461/3026718849785747735322,-1.456325431649396,4.66624055623706,0.04217594954793055,4760256796908093540254858148627475598006336911322917857989921853808480190077628500160746914664643916263177197370463777624583553526019611341848964743/112866618248827661509784570642820724608231762862021307763751182294322127035615871934920120699633694331612337463534449547369189666218390344706688000000,0.15027228050315797,0.505,0.5,0.9695957684421568
H,clean_prototype,A,clean,T013-S0,37.922474619953896,509465121852702824342/13434384938176858773,0.61762805741223,1270820504636855196341/2057582212118738084548,-0.5922918204462755,3.7837847001853575,0.023482315521263435,141389705098584034671462856217938861688728994244242682993298605078115749697741149958636000172541240205391062426076236032809171837553931490753/6021114270888424892052671918477239156424506640188596929717219536249411902489928690269024478939161725924574173126370665417849569572503088000000,0.09301419579049781,0.585,0.585,0.9317499901796045
H,clean_prototype,A,clean,T013-S1,37.94220857191789,980250452614881838414/25835355650340113025,0.6175860585695916,2554896684625496974346/4136907964766829398421,-0.3590486098106843,3.8035186521493474,0.02360848916523191,71775327295515969639031103323429195937985367564872204617040931627417840395356145236164117551865896652521714601529950973563861266495289315928009/3040233824077954567170865068612496517830374951202556120543906951804117394737081883552759952718660183147162350479691802694951188720754095244000000,0.08794365180284276,0.595,0.585,0.9317499901796045
H,clean_prototype,A,clean,T013-S2,37.66179392770724,1011926074174221520781/26868769876353717546,0.5719748161782298,2366536770994107195107/4137484210942399939171,-0.713894675999036,3.523104007938696,0.025229413449634863,135518684503089892442573402069794059741635412483061123461350824024055641968143133182183062452065532826516558119686540057745337035802712933397470496179963/5371456010010855446808137843012334444445500978697713448447760403801172542641511768956017281620200475823610355318740769375891764534397230068121259616000000,0.09267423241359013,0.585,0.58,0.9317499901796045
H,clean_prototype,A,clean,T013-S3,37.8028521357198,169286022450747005904/4478128312725619591,0.5865140568334959,410214714041770010197/699411564415795271091,-0.5461945563591247,3.6641622159512637,0.024717092585366363,30904140657294296065701676938229826170584585251698766010914501220171418931092825934983143482931975893584555956358463576868136386508229/1250314556639681164743379035911532861454542256734670729426738149990348555829833390010266585328044992753653325271404699264189215272000000,0.09142389570591695,0.6,0.595,0.9317499901796045
H,clean_prototype,A,brightness_dark,T013-S0,32.296535703287994,10847102320188584044207/335859623454421469325,0.82258342762029,3302733654770626285663/4015074391086796725740,-1.0270897518469853,14.75050924907693,0.04273016615939994,3708298867125860290772338103040954864325973026814435636385709806283683837708429757464841837048300822632269388262439583690196183958388193903/86784096586296448066438498105759741123809564764165619562207902772396861366030332235692655907762831176866368033670644386438864990709376000000,0.15080324817618995,0.67,0.645,1.8336969064778128
