representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
P,B,clean,T013-S3,38.81483974944457,39.329142056111976,39.76623558465667,0.7548104402699702,0.8378276156529872,0.908381975700692
P,B,brightness_dark,T013-S0,33.09462419384773,33.90076348220304,34.6001868199002,0.8779890053997579,0.9235096011376273,0.9630042237975649
P,B,brightness_dark,T013-S1,33.07622562834113,33.861293924400414,34.48744878750006,0.8749642860017447,0.9191946730960938,0.9544719503914889
P,B,brightness_dark,T013-S2,33.07941948872216,33.89328313853473,34.544999684291064,0.8728440635580533,0.918576251864003,0.9551971573430668
P,B,brightness_dark,T013-S3,33.06903308382806,33.86880854937491,34.54357515855955,0.8755518318852452,0.9206619636183848,0.9587211589059399
P,B,contrast_low,T013-S0,30.001036601423717,31.178985009638318,32.13632851533412,0.7491615468023312,0.8370068211764249,0.9084005276763314
P,B,contrast_low,T013-S1,30.224509174287455,31.192237338613808,32.05888294837347,0.7770393363261504,0.8502640803935304,0.9158402466260646
P,B,contrast_low,T013-S2,29.957114487352257,31.20634264670096,32.08305034126432,0.7503456825825567,0.8440636356714808,0.9098348480612363
P,B,contrast_low,T013-S3,30.023386110266802,31.193120746094237,32.09331774014366,0.7474727611205831,0.8343156467527966,0.9011476462561688
P,B,gaussian_noise,T013-S0,35.90440182536554,36.54325966201914,36.983588285728835,0.7579197212494144,0.8505412534418821,0.9143800442592935
P,B,gaussian_noise,T013-S1,35.87966284051307,36.53961203685052,37.01416556756383,0.7543208042956917,0.8499986039775613,0.9187981993129202
P,B,gaussian_noise,T013-S2,35.90699746549639,36.51447142945353,36.9812080373386,0.7568754523316772,0.8447819621355088,0.9123226118278653
P,B,gaussian_noise,T013-S3,35.8959705007232,36.535057684260806,36.97066689793832,0.755174089255122,0.8476423546492381,0.9106697934964523
P,B,gaussian_blur,T013-S0,37.77823459809447,38.50770465953674,38.98779423629685,0.76765201241276,0.8490839188124935,0.9026770839671007
P,B,gaussian_blur,T013-S1,37.650327175138415,38.453260474668674,38.94625686270011,0.7539246037546771,0.8436228959094156,0.8986971269454749
P,B,gaussian_blur,T013-S2,37.62061409894069,38.47127080602402,39.012208298787556,0.74724816859506,0.8418527768130235,0.9020123913169371
P,B,gaussian_blur,T013-S3,37.7025142243734,38.458884891954156,38.98282660349906,0.7546652324803118,0.8385958452042601,0.8967349967689959
T021_L,A,clean,T013-S0,38.65172755726723,39.16166350999896,39.77858537328775,0.7366641841276145,0.8199011483964642,0.9206014477500526
T021_L,A,clean,T013-S1,38.48491522417441,39.1524295636738,39.70279818745274,0.7057065840564853,0.8140924203497177,0.9034570377489074
T021_L,A,clean,T013-S2,38.514703941065825,39.16340165426578,39.696393726640395,0.7104444858241106,0.8157603534302651,0.9022914470153477
T021_L,A,clean,T013-S3,38.57870430165205,39.16057309151036,39.66418409270405,0.7107029367261513,0.8038413417342374,0.8844532016814379
T021_L,A,brightness_dark,T013-S0,33.041887733374296,33.791591034883794,34.440503649224645,0.8641490588360735,0.905957344979992,0.9421448930515239
T021_L,A,brightness_dark,T013-S1,33.03213374020318,33.77519580424343,34.454061484989985,0.8639514611667062,0.905406007755429,0.9432791146625104
T021_L,A,brightness_dark,T013-S2,33.051358654836484,33.789123418499,34.45144697233078,0.8646826734390869,0.9058254493537579,0.9427611108280625
T021_L,A,brightness_dark,T013-S3,33.013999668060464,33.80769595569461,34.46886064010567,0.8622781027316208,0.906523519993756,0.9433808264931407
T021_L,A,contrast_low,T013-S0,29.960410255154695,31.301502627102685,32.08861180916666,0.7387303754671841,0.8377499844746985,0.8958662224643227
T021_L,A,contrast_low,T013-S1,29.914778371725244,31.28329338626342,32.096435980811094,0.7364225235544648,0.8376127263765953,0.8977377985836836
T021_L,A,contrast_low,T013-S2,29.875856618587942,31.242884498858942,32.09710043800885,0.7291501277612077,0.8296248262636274,0.8924085413441378
T021_L,A,contrast_low,T013-S3,29.96317368787234,31.26684551831012,32.10253317497646,0.7367446146347125,0.8327160241599685,0.8942362016007853
T021_L,A,gaussian_noise,T013-S0,35.48235373583224,36.312155897336204,36.86002507988173,0.7023530371279152,0.8236283705064258,0.9036992848079707
T021_L,A,gaussian_noise,T013-S1,35.52897838727372,36.24837532206597,36.8203584716155,0.7057990491185606,0.8104393348959831,0.8936374656275478
T021_L,A,gaussian_noise,T013-S2,35.50217009580184,36.25270917176644,36.86732359647528,0.7060770056942829,0.8158968173749354,0.9058279649184396
T021_L,A,gaussian_noise,T013-S3,35.487807253656314,36.256620082060095,36.820717387114414,0.7017996600966337,0.8139456290748278,0.8962299465785414
T021_L,A,gaussian_blur,T013-S0,37.389146687706415,38.234921553034155,38.75124610391687,0.7090894694253229,0.8015324458479127,0.8579665871783719
T021_L,A,gaussian_blur,T013-S1,37.36326568596431,38.13569446308095,38.73385702502708,0.7057369014297067,0.7901005564772736,0.8554310847193252
T021_L,A,gaussian_blur,T013-S2,37.40321243273027,38.17682160264589,38.71445757427665,0.7163834773188194,0.8016237247091264,0.8608632283369508
T021_L,A,gaussian_blur,T013-S3,37.417458917992434,38.13950474955874,38.71764556554505,0.7168952444747165,0.7963367387092694,0.859945402165307
T021_L,B,clean,T013-S0,38.31527795967418,39.08153719896433,39.56945559859915,0.677133394126806,0.8013639178279867,0.8804681624518134
T021_L,B,clean,T013-S1,38.382471570569436,39.05341811774904,39.560176235377796,0.7008889763626115,0.8117002945080667,0.8953947933193405
T021_L,B,clean,T013-S2,38.3901745482389,39.071088183024614,39.539285279070256,0.6966715627636847,0.8082498013104241,0.8849711424624657
T021_L,B,clean,T013-S3,38.40566784599842,39.06115307809779,39.51513849864982,0.6887631073495695,0.7945696179732165,0.8678506178651224
T021_L,B,brightness_dark,T013-S0,33.050930645620404,33.827289378228784,34.51630855607317,0.8755217440046869,0.9193607089641196,0.9582678356894325
T021_L,B,brightness_dark,T013-S1,33.09736414760509,33.83341672580073,34.46058104941145,0.876155220464822,0.9176240845353799,0.9529582343721646
T021_L,B,brightness_dark,T013-S2,33.08181771480923,33.77279599979924,34.444926842884115,0.8729788233879582,0.9118059033930214,0.9495739180835325
T021_L,B,brightness_dark,T013-S3,33.061945579820176,33.79725408446153,34.5093482071244,0.8751520718860608,0.9166260416910597,0.9567906392106302
T021_L,B,contrast_low,T013-S0,29.785191150355146,30.997353100277085,31.71980361673753,0.7330649140981389,0.8234616567178971,0.8773382640443291
T021_L,B,contrast_low,T013-S1,29.7677558066967,30.999115465429917,31.74963262465198,0.7424783411245391,0.8356511960536939,0.8924403119729031
T021_L,B,contrast_low,T013-S2,29.665188752355213,30.9701971027488,31.665203674015817,0.7284452137745479,0.8263478350431909,0.8784877045738737
T021_L,B,contrast_low,T013-S3,29.790317321207585,31.060560550897364,31.725532746461152,0.7301693783081297,0.8244741754324891,0.87384272669121
T021_L,B,gaussian_noise,T013-S0,35.55226048511389,36.22239691572055,36.76642216194734,0.7068663121635027,0.8040226111390378,0.882895325796259
T021_L,B,gaussian_noise,T013-S1,35.52327012949655,36.25364506050788,36.79135868412449,0.7026518718961112,0.8085398201348257,0.8864962092813262
T021_L,B,gaussian_noise,T013-S2,35.601335700788454,36.24294567443124,36.82620536008042,0.7126436654400659,0.8054899383418046,0.8898924416864868
T021_L,B,gaussian_noise,T013-S3,35.57426165503344,36.25804197062852,36.790867395880085,0.7086266702344344,0.807561496847176,0.8846549578021721
T021_L,B,gaussian_blur,T013-S0,37.68764683010174,38.24367644046855,38.78998816028911,0.7575395553921669,0.8196100276159994,0.8805956762189702
T021_L,B,gaussian_blur,T013-S1,37.54692150883101,38.17708344251645,38.76892016776099,0.7423728202225657,0.8127702607890239,0.8788862675855368
T021_L,B,gaussian_blur,T013-S2,37.64289385534682,38.25988590241201,38.823765426355735,0.7497259808646183,0.818343897352149,0.8810549780979118
T021_L,B,gaussian_blur,T013-S3,37.65628403789669,38.22683988567566,38.782527790967286,0.7495353034076473,0.8128469890002247,0.874508854502742
T021_H,A,clean,T013-S0,38.67371142839344,39.24432271294715,39.7987617052729,0.740252616529018,0.8333936293353603,0.9238948351166981
T021_H,A,clean,T013-S1,38.71502029068448,39.26079607411174,39.8067845912949,0.7430692721565006,0.831688139520042,0.9203415489520831
