client,target,n_query,none,moment_correct,moment_wrong_clean,moment_wrong_alt,moment_noise_image,delta_wrong_clean,delta_wrong_alt
19,contrast_low,91,48.351648449897766,32.96703398227692,43.95604431629181,41.75824224948883,14.28571492433548,-10.989010334014893,-8.791208267211914
20,contrast_low,152,69.73684430122375,40.78947305679321,42.763158679008484,53.28947305679321,3.9473682641983032,-1.973685622215271,-12.5
21,contrast_low,242,0.0,0.0,0.0,0.0,90.49586653709412,0.0,0.0
22,contrast_low,175,32.57142901420593,53.14285755157471,31.42857253551483,31.999999284744263,7.999999821186066,21.714285016059875,21.142858266830444
23,contrast_low,140,32.14285671710968,17.142857611179352,7.14285746216774,9.285714477300644,18.571428954601288,10.000000149011612,7.857143133878708
24,contrast_low,179,0.5586592014878988,1.6759775578975677,0.5586592014878988,0.5586592014878988,2.2346368059515953,1.117318356409669,1.117318356409669
25,contrast_low,36,13.88888955116272,36.11111044883728,13.88888955116272,19.44444477558136,38.88888955116272,22.22222089767456,16.66666567325592
26,contrast_low,284,69.01408433914185,45.07042169570923,40.49295783042908,54.92957830429077,2.816901355981827,4.577463865280151,-9.859156608581543
27,contrast_low,195,7.179487496614456,34.871795773506165,0.0,2.5641025975346565,0.512820528820157,34.871795773506165,32.30769317597151
28,contrast_low,26,0.0,7.6923079788684845,3.8461539894342422,7.6923079788684845,34.61538553237915,3.8461539894342422,0.0
29,contrast_low,382,5.235601961612701,36.125653982162476,0.2617801073938608,2.3560209199786186,1.5706807374954224,35.863873874768615,33.76963306218386
30,contrast_low,275,25.45454502105713,17.09090918302536,20.363636314868927,16.727273166179657,6.909091025590897,-3.272727131843567,0.3636360168457031
31,contrast_low,202,42.07920730113983,20.297029614448547,9.90099012851715,13.861386477947235,16.336633265018463,10.396039485931396,6.435643136501312
32,contrast_low,198,21.717171370983124,19.696970283985138,13.131313025951385,15.656565129756927,43.43434274196625,6.565657258033752,4.0404051542282104
33,contrast_low,264,5.303030461072922,5.303030461072922,1.1363636702299118,0.7575757801532745,12.5,4.16666679084301,4.545454680919647
34,contrast_low,102,11.764706671237946,15.686275064945221,12.745098769664764,12.745098769664764,1.9607843831181526,2.9411762952804565,2.9411762952804565
35,contrast_low,175,30.85714280605316,32.57142901420593,10.857142508029938,14.28571343421936,12.571428716182709,21.714286506175995,18.285715579986572
36,contrast_low,18,5.55555559694767,11.11111119389534,5.55555559694767,5.55555559694767,5.55555559694767,5.55555559694767,5.55555559694767
37,contrast_low,80,32.50000178813934,25.0,33.75000059604645,32.50000178813934,6.25,-8.750000596046448,-7.500001788139343
38,contrast_low,25,59.99999642372131,43.99999976158142,11.999999731779099,23.999999463558197,19.999998807907104,32.00000002980232,20.000000298023224
39,contrast_low,160,59.375,38.75000178813934,64.3750011920929,55.000001192092896,13.750000298023224,-25.624999403953552,-16.249999403953552
40,contrast_low,250,0.0,0.4000000189989805,0.0,0.0,1.600000075995922,0.4000000189989805,0.4000000189989805
41,contrast_low,100,0.9999999776482582,9.999999403953552,0.0,1.9999999552965164,0.9999999776482582,9.999999403953552,7.999999448657036
42,contrast_low,320,38.43750059604645,45.3125,32.8125,31.562501192092896,7.8125,12.5,13.749998807907104
43,contrast_low,198,3.030303120613098,2.525252476334572,1.515151560306549,1.0101010091602802,60.10100841522217,1.0101009160280228,1.5151514671742916
