pool,target,context,layer,mse_before,mse_after,restoration_ratio,gamma_abs_mean,gamma_abs_max,beta_abs_mean,beta_abs_max,cap_fraction,negative_scale_fraction,minimum_source_variance,nonfinite_count
A,gaussian_noise,same_class_derangement,2,0.20014029865357774,0.17255377570076677,0.8621640762085581,0.8317060470581055,4.2941436767578125,0.5487726926803589,5.996222019195557,0.0,0.015625,0.0,0
A,gaussian_noise,cross_class_derangement,1,0.20131720752614382,0.09661393253833925,0.4799089641941939,0.9600493311882019,1.0082156658172607,0.2387080192565918,0.6038686633110046,0.0,0.03125,0.023615549065340583,0
A,gaussian_noise,cross_class_derangement,2,0.19863783085950054,0.1715958653709641,0.8638629642121716,0.6829419136047363,2.3499178886413574,0.36617395281791687,1.675850510597229,0.0,0.03125,0.0,0
A,gaussian_noise,wrong_alt_source,1,0.11061240134917363,0.03790317239627519,0.34266657204760487,1.349045991897583,7.0,0.24152067303657532,1.423217535018921,0.0625,0.0,0.0,0
A,gaussian_noise,wrong_alt_source,2,0.05280097977599866,0.04694067613213369,0.8890114602280762,0.21028578281402588,0.7311641573905945,0.11122338473796844,0.7961495518684387,0.0,0.0,1.1851313619807166e-06,0
A,gaussian_noise,noise_source,1,0.1983501480983024,0.09699099871417773,0.48898878898799186,0.9944256544113159,1.011589765548706,0.24987582862377167,0.6044434905052185,0.0,0.34375,0.041839198941784964,0
A,gaussian_noise,noise_source,2,0.2022070925755334,0.173389089573796,0.8574827290443703,1.2143597602844238,5.853725433349609,0.8203089833259583,7.558825969696045,0.0,0.140625,0.0,0
A,gaussian_blur,correct_pair,1,0.013120996822181713,0.00848141013664676,0.6463998316277697,0.21941925585269928,0.8999230861663818,0.02273462526500225,0.03965692222118378,0.0,0.0,0.0026139479303923445,0
A,gaussian_blur,correct_pair,2,0.01173277394811143,0.010589424577236273,0.9025508054675172,0.03323971480131149,0.2995830476284027,0.03442389518022537,0.08507782965898514,0.0,0.0,6.123401132838003e-07,0
A,gaussian_blur,same_class_derangement,1,0.1665938872645636,0.09672674200463713,0.5806139924631677,0.9523193836212158,1.042950987815857,0.24341168999671936,0.6110530495643616,0.0,0.21875,0.0026139479303923445,0
A,gaussian_blur,same_class_derangement,2,0.20016477748672754,0.17245505662662708,0.8615654501854711,0.6009093523025513,2.792881965637207,0.3469763398170471,3.154884099960327,0.0,0.03125,0.0,0
A,gaussian_blur,cross_class_derangement,1,0.15986645962916973,0.09654918861151252,0.6039364907152535,0.9321938157081604,1.0323808193206787,0.23999281227588654,0.6122698187828064,0.0,0.03125,0.0026139479303923445,0
