client,bank,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
5,B,brightness_dark,brightness_dark,contrast_low,137.9207494781881,242.40110076695126,104.48035128876316,154.36740718289116,1,292.28815666107926,137.9207494781881,242.40110076695126,353.95423784841097,250.30724953688127
5,A,contrast_low,contrast_low,gaussian_blur,49.312949520553886,58.54361422710106,9.230664706547174,56.9468627618771,1,106.25981228243099,2671.707287852737,49.312949520553886,174.78011562949894,58.54361422710106
5,B,contrast_low,contrast_low,gaussian_blur,39.56120997654329,57.482628158129714,17.921418181586425,67.47071249190444,1,107.03192246844773,1659.3008378322224,39.56120997654329,172.51169415063646,57.482628158129714
5,A,gaussian_noise,gaussian_noise,clean,18.497245009865466,29.386199545892644,10.888954536027178,10.888954536027178,1,29.386199545892644,5695.149779944638,403.1977872647805,18.497245009865466,93.69321143667506
5,B,gaussian_noise,gaussian_noise,clean,18.640401253481958,31.927371429700997,13.28697017621904,13.28697017621904,1,31.927371429700997,3459.040041004032,440.66695073449523,18.640401253481958,107.59735090469607
5,A,gaussian_blur,gaussian_blur,clean,21.249273903370682,39.59004424016878,18.340770336798098,18.340770336798098,1,39.59004424016878,4608.314410692312,83.50685612845226,84.99985503913925,21.249273903370682
5,B,gaussian_blur,gaussian_blur,clean,22.152950960771015,40.688211258107565,18.53526029733655,18.53526029733655,1,40.688211258107565,3270.366872288955,72.00772482434569,84.46329974278376,22.152950960771015
6,A,clean,clean,gaussian_noise,2.846760045377674,17.829977569307278,14.983217523929603,0.0,1,2.846760045377674,4226.698515779459,181.8652123945502,17.829977569307278,25.223970854137818
6,B,clean,clean,gaussian_noise,1.8311278905539305,16.62803170690714,14.796903816353211,0.0,1,1.8311278905539305,3022.557115577226,200.90571284555404,16.62803170690714,28.228524669926042
6,A,brightness_dark,brightness_dark,gaussian_blur,133.99214010440025,268.53769162239894,134.5455515179987,166.89872401889605,1,300.8908641232963,133.99214010440025,271.06828236426463,356.75123509173153,268.53769162239894
6,B,brightness_dark,brightness_dark,gaussian_blur,136.2065322940635,266.48201688568196,130.27548459161846,165.45377262246342,1,301.6603049165269,136.2065322940635,273.0089647590675,357.15435559033006,266.48201688568196
6,A,contrast_low,contrast_low,gaussian_blur,9.585255588762116,52.526495414818235,42.94123982605612,91.66949689990048,1,101.2547524886626,1095.0359592509324,9.585255588762116,172.98186308157995,52.526495414818235
6,B,contrast_low,contrast_low,gaussian_blur,11.198223603029357,50.862990761324454,39.6647671582951,90.49698942537495,1,101.69521302840431,696.681654904558,11.198223603029357,172.33497001945153,50.862990761324454
6,A,gaussian_noise,gaussian_noise,clean,3.883954161945908,26.267239930233515,22.383285768287607,22.383285768287607,1,26.267239930233515,3769.2659964658633,427.42476803549965,3.883954161945908,104.68254222178186
6,B,gaussian_noise,gaussian_noise,clean,2.916440309013742,26.041212529518333,23.124772220504592,23.124772220504592,1,26.041212529518333,2486.1162000235236,481.97313273633927,2.916440309013742,115.6905821314645
6,A,gaussian_blur,gaussian_blur,clean,5.388343720620389,23.484421826351255,18.096078105730868,18.096078105730868,1,23.484421826351255,2615.0629149192887,42.00347824918501,65.80835839340244,5.388343720620389
