bank,heldout,batch,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
A,B,1,gaussian_noise,gaussian_noise,clean,3.14001581116017,23.148006802412503,20.007990991252335,20.007990991252335,1,23.148006802412503,3694.1221884584365,407.5274382652078,3.14001581116017,96.08220639345241
A,B,2,gaussian_noise,gaussian_noise,clean,2.484560286605932,20.64294037976429,18.158380093158357,18.158380093158357,1,20.64294037976429,4463.10692330025,401.653948868814,2.484560286605932,92.73916885319838
A,B,3,gaussian_noise,gaussian_noise,clean,2.7275989979684896,25.883630267220294,23.156031269251805,23.156031269251805,1,25.883630267220294,4042.0877060626626,458.7902609666697,2.7275989979684896,108.99330114071468
A,B,0,gaussian_blur,gaussian_blur,clean,7.390916595671085,28.64911647471508,21.258199879043993,21.258199879043993,1,28.64911647471508,3024.484780442658,32.966152385589666,73.5307548908751,7.390916595671085
A,B,1,gaussian_blur,gaussian_blur,clean,4.566693907375985,20.159491739809724,15.592797832433739,15.592797832433739,1,20.159491739809724,2707.699526654095,50.90084694309377,61.28805582680119,4.566693907375985
A,B,2,gaussian_blur,gaussian_blur,clean,4.1451932121838855,24.416307221157798,20.27111400897391,20.27111400897391,1,24.416307221157798,2796.850381107298,39.5059136368009,69.04403381274341,4.1451932121838855
A,B,3,gaussian_blur,gaussian_blur,clean,4.161572747573792,21.649074820540122,17.48750207296633,17.48750207296633,1,21.649074820540122,2744.553390469962,46.60355832337815,63.15335299521358,4.161572747573792
B,A,0,clean,clean,gaussian_noise,4.9765814991346105,12.497297035125207,7.520715535990597,0.0,1,4.9765814991346105,3702.9799726586534,317.50842590478794,12.497297035125207,51.59712506186281
B,A,1,clean,clean,gaussian_noise,1.3434283664852573,19.790147068505945,18.44671870202069,0.0,1,1.3434283664852573,2475.1753189555484,184.67576016527158,19.790147068505945,22.689702466713225
B,A,2,clean,clean,gaussian_blur,6.604979732374545,24.66842346505881,18.063443732684267,0.0,1,6.604979732374545,2615.0862573218737,180.45760545482133,27.897056699448182,24.66842346505881
B,A,3,clean,clean,gaussian_noise,2.674365013692092,21.331097244688834,18.65673223099674,0.0,1,2.674365013692092,2556.636497760325,189.08786373514835,21.331097244688834,24.566777493113555
B,A,0,brightness_dark,brightness_dark,gaussian_blur,131.13191597788696,250.26379871867252,119.13188274078556,147.97680240622046,1,279.1087183841074,131.13191597788696,277.8451525345869,331.01598087544596,250.26379871867252
B,A,1,brightness_dark,brightness_dark,gaussian_blur,135.65430283553,268.10399484224985,132.44969200671986,166.75240819689216,1,302.40671103242215,135.65430283553,275.69808964826603,355.98082596113477,268.10399484224985
B,A,2,brightness_dark,brightness_dark,gaussian_blur,138.39906799673648,275.45262413145804,137.05355613472156,177.85871341501692,1,316.2577814117534,138.39906799673648,281.3768979174812,375.06403518963094,275.45262413145804
B,A,3,brightness_dark,brightness_dark,gaussian_blur,143.3615867724535,279.4906954731455,136.12910870069197,173.8422127062001,1,317.2037994786536,143.3615867724535,284.1302220204312,374.2736159898531,279.4906954731455
B,A,0,contrast_low,contrast_low,gaussian_blur,16.050397600560892,42.605216575289234,26.55481897472834,74.54319340834732,1,90.59359100890822,997.3066876272558,16.050397600560892,157.97695651857572,42.605216575289234
B,A,1,contrast_low,contrast_low,gaussian_blur,19.274557103677644,69.3253195188094,50.05076241513175,107.75314946322513,1,127.02770656690276,332.3020262225049,19.274557103677644,201.1784877110779,69.3253195188094
B,A,2,contrast_low,contrast_low,gaussian_blur,15.738500918085371,46.20563946139917,30.4671385433138,80.89853951339322,1,96.6370404314786,428.31690880800886,15.738500918085371,166.66183269906955,46.20563946139917
B,A,3,contrast_low,contrast_low,gaussian_blur,11.37813615579633,54.87590118516381,43.497765029367486,98.27944922978317,1,109.6575853855795,731.8214442160227,11.37813615579633,179.47313458141844,54.87590118516381
B,A,0,gaussian_noise,gaussian_noise,clean,5.117529199062865,35.25343144370068,30.135902244637812,30.135902244637812,1,35.25343144370068,3049.1561315088666,616.8274801084078,5.117529199062865,146.8918057903101
B,A,1,gaussian_noise,gaussian_noise,clean,5.443966394282986,23.347228453939692,17.903262059656704,17.903262059656704,1,23.347228453939692,2108.488200749349,452.316836544569,5.443966394282986,106.88451220779956
B,A,2,gaussian_noise,gaussian_noise,clean,8.43958354669179,23.500967718516108,15.061384171824319,15.061384171824319,1,23.500967718516108,2182.085445378102,445.63756602853096,8.43958354669179,103.05384213555288
B,A,3,gaussian_noise,gaussian_noise,clean,4.044545020526934,23.2952080154802,19.250662994953267,19.250662994953267,1,23.2952080154802,2206.761726420541,461.82365595540364,4.044545020526934,107.87804403903122
B,A,0,gaussian_blur,gaussian_blur,clean,5.548838272219479,12.878180983546198,7.329342711326719,7.329342711326719,1,12.878180983546198,2425.7628096904205,90.13938144823194,48.36921813579498,5.548838272219479
B,A,1,gaussian_blur,gaussian_blur,clean,6.792255140288578,29.72490437092849,22.93264923063991,22.93264923063991,1,29.72490437092849,1687.6810249767357,34.907701337912656,72.49906887242733,6.792255140288578
B,A,2,gaussian_blur,gaussian_blur,clean,9.682016487377629,29.64027937029389,19.95826288291626,19.95826288291626,1,29.64027937029389,1755.385325945299,50.72796336579218,73.46646351356463,9.682016487377629
B,A,3,gaussian_blur,gaussian_blur,clean,5.635263983386884,27.727094589688548,22.091830606301663,22.091830606301663,1,27.727094589688548,1659.2589311973165,35.681863648483585,72.53834696381509,5.635263983386884
