target,context,metric,pool_A,pool_B,abs_difference
gaussian_noise,same_class_derangement,macro_class,12.953750152962328,21.96306396511925,9.009313812156922
gaussian_noise,same_class_derangement,sample_weighted,12.933040760688876,22.0426890085777,9.109648247888824
gaussian_noise,same_class_derangement,macro_client,11.980833023320884,21.432517382781953,9.451684359461069
gaussian_noise,cross_class_derangement,macro_class,16.952166320627505,11.914204518014817,5.0379618026126884
gaussian_noise,cross_class_derangement,sample_weighted,16.962564000265974,12.042024070749385,4.92053992951659
gaussian_noise,cross_class_derangement,macro_client,15.783704354893416,11.304717025253922,4.478987329639494
gaussian_noise,wrong_alt_source,macro_class,30.382434469751427,30.537679919179993,0.15524544942856622
gaussian_noise,wrong_alt_source,sample_weighted,30.414256267039033,30.567191967551032,0.15293570051199978
gaussian_noise,wrong_alt_source,macro_client,29.596547878813,29.870785533450544,0.27423765463754535
gaussian_noise,noise_source,macro_class,10.33691718141541,8.49708098168016,1.8398361997352506
gaussian_noise,noise_source,sample_weighted,10.279938825719794,8.544451093822728,1.7354877318970665
gaussian_noise,noise_source,macro_client,9.395586480386555,9.235568676842377,0.1600178035441786
gaussian_blur,none,macro_class,30.901579176174373,30.901579176174373,0.0
gaussian_blur,none,sample_weighted,30.992752177671388,30.992752177671388,0.0
gaussian_blur,none,macro_client,30.511363789904863,30.511363789904863,0.0
gaussian_blur,clean_identity,macro_class,30.901579176174373,30.901579176174373,0.0
gaussian_blur,clean_identity,sample_weighted,30.992752177671388,30.992752177671388,0.0
gaussian_blur,clean_identity,macro_client,30.511363789904863,30.511363789904863,0.0
gaussian_blur,correct_pair,macro_class,33.04849966816344,33.009919087373774,0.03858058078966309
gaussian_blur,correct_pair,sample_weighted,33.12055322827316,33.08065695857437,0.03989626969878657
gaussian_blur,correct_pair,macro_client,31.95070312730968,31.880620209500194,0.07008291780948639
gaussian_blur,same_class_derangement,macro_class,12.977576217955587,22.23430200153312,9.256725783577533
gaussian_blur,same_class_derangement,sample_weighted,12.959638273821398,22.31531351818605,9.355675244364651
gaussian_blur,same_class_derangement,macro_client,11.906223538797349,21.54013775428757,9.633914215490222
gaussian_blur,cross_class_derangement,macro_class,17.99663842397099,12.329851887511001,5.666786536459988
gaussian_blur,cross_class_derangement,sample_weighted,18.02646452556686,12.460934902586608,5.56552962298025
gaussian_blur,cross_class_derangement,macro_client,16.710077146068215,11.618430233094841,5.091646912973374
gaussian_blur,wrong_alt_source,macro_class,29.798137175692325,28.35423498515749,1.4439021905348355
gaussian_blur,wrong_alt_source,sample_weighted,29.815812221557284,28.37289713411796,1.4429150874393244
gaussian_blur,wrong_alt_source,macro_client,28.55547109665349,27.245230610948056,1.3102404857054353
gaussian_blur,noise_source,macro_class,10.198124519327735,8.572244653992788,1.6258798653349462
gaussian_blur,noise_source,sample_weighted,10.140301881774054,8.610944876654033,1.529357005120021
gaussian_blur,noise_source,macro_client,9.213297572452575,9.489663630956784,0.2763660585042089
