block1,block2,bank,context,cases,agreements,agreement,mean_utility_abs_difference_max,mean_utility_abs_difference_p95,vote_difference_max,vote_difference_p95
Q2,Q3,ALL,ALL,8000,7891,0.986375,0.020046102373201275,0.005493192852945208,0.0849609375,0.0263671875
Q2,Q3,ALL,clean,1600,1577,0.985625,0.020046102373201275,0.005278602687011742,0.0849609375,0.0283203125
Q2,Q3,ALL,brightness_dark,1600,1586,0.99125,0.01753808918918195,0.006125510044410192,0.0625,0.0244140625
Q2,Q3,ALL,contrast_low,1600,1587,0.991875,0.015894070772404442,0.00541171165256869,0.068359375,0.0263671875
Q2,Q3,ALL,gaussian_noise,1600,1582,0.98875,0.017625416681205593,0.005782927878999203,0.078125,0.02734375
Q2,Q3,ALL,gaussian_blur,1600,1559,0.974375,0.01651093666373155,0.005123307939237565,0.07421875,0.0283203125
Q2,Q3,A,ALL,4000,3949,0.98725,0.01651093666373155,0.005497209555151867,0.078125,0.02734375
Q2,Q3,A,clean,800,792,0.99,0.011377947475800804,0.004923011471107766,0.0546875,0.0283203125
Q2,Q3,A,brightness_dark,800,789,0.98625,0.012614636544402175,0.00634904483647326,0.0625,0.025390625
Q2,Q3,A,contrast_low,800,793,0.99125,0.01399263208867379,0.005576862747653975,0.068359375,0.0263671875
Q2,Q3,A,gaussian_noise,800,798,0.9975,0.011404118836352523,0.005641558425735003,0.078125,0.0283203125
Q2,Q3,A,gaussian_blur,800,777,0.97125,0.01651093666373155,0.004455732438711272,0.07421875,0.0263671875
Q2,Q3,B,ALL,4000,3942,0.9855,0.020046102373201275,0.005487889370819889,0.0849609375,0.0263671875
Q2,Q3,B,clean,800,785,0.98125,0.020046102373201275,0.005591278947272648,0.0849609375,0.0283203125
Q2,Q3,B,brightness_dark,800,797,0.99625,0.01753808918918195,0.005222882830202744,0.044921875,0.0224609375
Q2,Q3,B,contrast_low,800,794,0.9925,0.015894070772404442,0.005073373049539779,0.0546875,0.025390625
Q2,Q3,B,gaussian_noise,800,784,0.98,0.017625416681205593,0.005821867460123437,0.0732421875,0.0263671875
Q2,Q3,B,gaussian_blur,800,782,0.9775,0.012773495720778122,0.005828222501741858,0.0732421875,0.029296875
