client,bank,context,ROT_SCORE,direction_errors,direction_ranks,current_state,current_tie_mask,clean_surrogate_state,clean_surrogate_tie_mask
47,B,contrast_low,"[0.2811002503283381, 0.32391121350814556, 0.24524274811200247, 0.2733963084755539, 0.2699421421041625]","[[0.15607302451961919, 0.406127476137057], [0.18217402695209922, 0.46564840006419184], [0.16290956488728933, 0.3275759313367156], [0.14992096641491146, 0.3968716505361964], [0.15422115527091665, 0.38566312893740834]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
47,B,gaussian_noise,"[0.19654741550073337, 0.18473266339079136, 0.17747856912263818, 0.19788223658466234, 0.18923206761540795]","[[0.15298073846324617, 0.24011409253822058], [0.15451041979155966, 0.21495490699002304], [0.1478261519087496, 0.20713098633652677], [0.1504073232017012, 0.24535714996762348], [0.1501113021281731, 0.22835283310264276]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
47,B,gaussian_blur,"[0.2624922341289224, 0.3385795546305287, 0.2338815036475028, 0.25295348769303017, 0.2633817928594232]","[[0.1427677130076727, 0.3822167552501722], [0.16871931066461837, 0.5084397985964391], [0.1468737774356677, 0.3208892298593379], [0.13932356593662729, 0.366583409449433], [0.14608244158994443, 0.3806811441289019]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,A,clean,"[0.36264988579800217, 0.35058691303400696, 0.3409970127710738, 0.3535969386674703, 0.3600061586210746]","[[0.41822786908732434, 0.30707190250868005], [0.4246127236528956, 0.27656110241511833], [0.401281466684842, 0.2807125588573056], [0.41425310640948804, 0.2929407709254525], [0.4153168549421835, 0.3046954622999657]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,A,brightness_dark,"[0.36538003913222705, 0.33624581606132675, 0.34534695450101505, 0.36092162990336635, 0.35928906301640484]","[[0.39571324238254124, 0.3350468358819129], [0.3574417857342607, 0.31504984638839273], [0.3599350328337855, 0.3307588761682446], [0.39710106688815455, 0.32474219291857814], [0.37115582795773505, 0.3474222980750747]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
48,A,contrast_low,"[0.44452487329579127, 0.4496582207782591, 0.38731167709476677, 0.46366348351887327, 0.41732246606061346]","[[0.6063362277860728, 0.2827135188055098], [0.5772390822671325, 0.3220773592893858], [0.4939515561818711, 0.28067179800766245], [0.6499081857451341, 0.27741878129261244], [0.5561495636529858, 0.2784953684682411]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,A,gaussian_noise,"[0.3683507226063333, 0.36147830173766676, 0.35296002603386584, 0.36452707392418826, 0.371582318746638]","[[0.4150686986686948, 0.3216327465439717], [0.44051399025114985, 0.2824426132241837], [0.41038860225891616, 0.2955314498088155], [0.4094959179473309, 0.31955822990104554], [0.42358790428031695, 0.31957673321295904]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,A,gaussian_blur,"[0.4990683125940062, 0.4541643136907925, 0.4621397252266025, 0.4841806884696117, 0.49145034481544436]","[[0.6170168683348509, 0.38111975685316146], [0.5883066154607125, 0.32002201192087254], [0.5677157939849902, 0.35656365646821486], [0.6211493636210179, 0.3472120133182055], [0.6064015001022034, 0.3764991895286854]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
48,B,clean,"[0.36264988579800217, 0.3507259520391056, 0.3386064938205359, 0.3542960224799519, 0.3592203455687731]","[[0.41822786908732434, 0.30707190250868005], [0.42720121189572113, 0.27425069218249015], [0.39363798122148885, 0.283575006419583], [0.41542896297659704, 0.29316308198330676], [0.4150274107999913, 0.3034132803375549]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,B,brightness_dark,"[0.36538003913222705, 0.3358567929906995, 0.3438929982862351, 0.35701586110124084, 0.359588450968303]","[[0.39571324238254124, 0.3350468358819129], [0.3586229002063249, 0.3130906857750741], [0.3610222947834211, 0.3267637017890491], [0.3926040180681712, 0.3214277041343105], [0.3712213734909474, 0.3479555284456586]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
48,B,contrast_low,"[0.44452487329579127, 0.45019392152300525, 0.3913233945539002, 0.45166364245362983, 0.4174667518693526]","[[0.6063362277860728, 0.2827135188055098], [0.5740640027237811, 0.3263238403222294], [0.509715909036611, 0.2729308800711893], [0.627764487492869, 0.2755627974143907], [0.5572316070757515, 0.27770189666295375]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,B,gaussian_noise,"[0.3683507226063333, 0.361211275480289, 0.34609600130638507, 0.363154962287063, 0.3724067888287317]","[[0.4150686986686948, 0.3216327465439717], [0.43983148570586117, 0.2825910652547167], [0.40178754623655505, 0.29040445637621515], [0.4084115815853324, 0.31789834298879355], [0.4251785808052059, 0.31963499685225755]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
48,B,gaussian_blur,"[0.4990683125940062, 0.4505311651044236, 0.45087217853693007, 0.48662460406030417, 0.4900183987810541]","[[0.6170168683348509, 0.38111975685316146], [0.5829963977162155, 0.3180659324926317], [0.5462042796765328, 0.35554007739732724], [0.6229643233165045, 0.35028488480410386], [0.6046511509847928, 0.3753856465773153]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
49,A,clean,"[0.3687448267300779, 0.31785721080630946, 0.34483486398542873, 0.3834136722927022, 0.3606373278322161]","[[0.3340291497300795, 0.40346050373007625], [0.282206776563379, 0.3535076450492399], [0.3020239704505384, 0.38764575752031905], [0.34359187350083414, 0.4232354710845702], [0.3197500977303367, 0.40152455793409547]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
49,A,brightness_dark,"[0.34841611482293955, 0.3519225972013899, 0.3711033885624424, 0.33881826063012377, 0.34464347062493994]","[[0.29298321846910846, 0.4038490111767706], [0.29937346235993983, 0.40447173204284], [0.2869329787210403, 0.4552737984038446], [0.2941930901351217, 0.3834434311251259], [0.295577599246249, 0.3937093420036309]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,1,2
49,A,contrast_low,"[0.3506169566378597, 0.32169663865659937, 0.36350485251354037, 0.3669669805031031, 0.3656660427641879]","[[0.35936979952799925, 0.34186411374772013], [0.33019841872218, 0.3131948585910188], [0.3388253450822992, 0.38818435994478145], [0.3702477415645642, 0.36368621944164203], [0.3532593815259866, 0.3780727040023891]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
49,A,gaussian_noise,"[0.32774545201341043, 0.30540169083320834, 0.2957829207968966, 0.3450826635513847, 0.3164235640862213]","[[0.32492864153044765, 0.3305622624963732], [0.2943749893312508, 0.31642839233516595], [0.2788924118428052, 0.31267342975098805], [0.33502170345869736, 0.35514362364407204], [0.31245636560774237, 0.32039076256470017]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
