client,bank,context,iterations,converged,cap_hit,L,eta,max_step,projected_gradient_residual,objective,initial_objective,active_classes,L1_change,differs_from_BBSE,direct_KKT,reference_KKT,reference_objective,objective_error,unique,prevalence_error,reference_agreement,objective_dominance
9,B,contrast_low,20000,False,True,1.4506525806122004,0.6893449288719307,3.6430786803931525e-07,5.283606194823223e-07,9.416754684523994e-05,0.003987250518990348,6,0.5274438891620531,True,5.28360619461341e-07,1.496198998029996e-17,9.416690796111895e-05,6.388841209949104e-10,True,0.0015582187576396733,False,True
9,B,gaussian_noise,3870,True,False,1.4045527739316344,0.7119703998026309,9.990341887089471e-13,1.396198582358913e-12,0.0002839868086225197,0.008659305029122093,5,0.5919743075872124,True,1.3961683371921385e-12,3.5778671692021646e-17,0.00028398680862251976,5.421010862427522e-20,True,1.9807284978856643e-10,True,True
9,B,gaussian_blur,5638,True,False,1.4198181463851063,0.7043155509358898,9.993256222529112e-13,1.4138558531421223e-12,0.00023769148583233226,0.010403122226334391,6,0.6224991105074928,True,1.4138535177690703e-12,2.5261910618912253e-17,0.00023769148583233286,5.963111948670274e-19,True,2.847558161489516e-10,True,True
10,A,clean,20000,False,True,1.4007097030831173,0.7139238043392497,2.158672104679571e-07,3.0227964636384323e-07,0.00016276240056179058,0.0013462344923055797,6,0.8273923118643454,True,3.022796464121312e-07,1.474514954580286e-17,0.0001627621310148751,2.6954691546821584e-10,True,0.0007444652815657982,False,True
10,A,brightness_dark,20000,False,True,1.395191359737081,0.7167475579754496,5.013180238086501e-07,6.993375372253465e-07,0.00016940146417597274,0.00037597482355801573,6,0.23106726368733072,True,6.993375372360642e-07,2.220446049250313e-16,0.000169399233789,2.2303869727415947e-09,True,0.0036129197237720137,False,True
10,A,contrast_low,20000,False,True,1.4250846647197504,0.7017126945202619,4.591542424048356e-12,6.536157636723052e-12,0.0001234702821941409,0.0019521612484983387,6,1.8089094134902266,True,6.536173295310088e-12,4.423544863740858e-17,0.00012347028219414106,1.6263032587282567e-19,True,4.187167494673627e-09,True,True
10,A,gaussian_noise,20000,False,True,1.4040524965275734,0.7122240817014648,5.393497648498169e-07,7.571342204107758e-07,0.00014144300644097326,0.0017066557311664896,7,0.5719159208220884,True,7.571342204428042e-07,1.1102230246251565e-16,0.0001414402482903985,2.7581505747679893e-09,True,0.0028928186590281846,False,True
10,A,gaussian_blur,20000,False,True,1.410426087409538,0.7090056039991802,4.6593875757672265e-08,6.569594467386943e-08,0.00010480419785363663,0.0005286696783288242,7,0.7392463918144027,True,6.569594463335e-08,1.1492543028346347e-17,0.0001048041870148478,1.0838788823712073e-11,True,0.0001438910294256912,False,True
10,B,clean,20000,False,True,1.4007097030831173,0.7139238043392497,2.158672104679571e-07,3.0227964636384323e-07,0.00016276240056179058,0.0013462344923055797,6,0.8273923118643454,True,3.022796464121312e-07,1.474514954580286e-17,0.0001627621310148751,2.6954691546821584e-10,True,0.0007444652815657982,False,True
10,B,brightness_dark,20000,False,True,1.387883655772773,0.7205214902852938,6.395866820885221e-07,8.875432573193119e-07,0.00017975493994672745,0.00031792615515033686,6,0.2827572502247271,True,8.875432573266905e-07,2.5478751053409354e-17,0.0001797514503392977,3.489607429760103e-09,True,0.004412608774180163,False,True
10,B,contrast_low,20000,False,True,1.4516583252234436,0.6888673337412762,1.0977371789344659e-11,1.5918017389221695e-11,9.987312870544934e-05,0.00197126953642755,6,1.7451641830425508,True,1.591801300146467e-11,1.1102230246251565e-16,9.987312870544918e-05,1.6263032587282567e-19,True,1.0054377087842514e-08,True,True
10,B,gaussian_noise,20000,False,True,1.406073502216755,0.7112003735391095,6.286544524114479e-07,8.837747875501142e-07,0.000141482672825914,0.0016633916777810667,7,0.5941312286292266,True,8.837747875532591e-07,1.1102230246251565e-16,0.00014147870864671445,3.964179199554248e-09,True,0.0034815692443403434,False,True
10,B,gaussian_blur,20000,False,True,1.421352636748172,0.7035551728301855,5.1093008712754795e-08,7.25978615134961e-08,0.00010454569288910813,0.0005273192820495835,7,0.7526966120075963,True,7.25978615276953e-08,1.1102230246251565e-16,0.00010454567965537017,1.3233737958012921e-11,True,0.00015905068688631951,False,True
11,A,clean,4295,True,False,1.4009629609082148,0.7137947454026343,9.991035776479862e-13,1.3929411975847774e-12,0.00048459934464321376,0.004383328427460543,4,0.7928431103889078,True,1.3929413178459527e-12,1.6479873021779667e-17,0.00048459934464321495,1.1926223897340549e-18,True,2.0426946245599709e-10,True,True
11,A,brightness_dark,3233,True,False,1.3955000761725045,0.716588997073179,9.897083153020958e-13,1.3314049756672405e-12,0.0006413771001553354,0.001215494860853668,3,0.3965713814709135,True,1.3313715364546286e-12,1.734723475976807e-17,0.000641377100155336,6.505213034913027e-19,True,2.6474933356723795e-11,True,True
11,A,contrast_low,10594,True,False,1.4251290328966497,0.7016908482788028,9.99339500040719e-13,1.4213002000341262e-12,0.0003139496637920095,0.005328577336709642,4,1.5394607135645717,True,1.4212793268686408e-12,1.9949319973733282e-17,0.00031394966379200975,2.710505431213761e-19,True,4.912563134062964e-10,True,True
11,A,gaussian_noise,4474,True,False,1.4040803671934439,0.7122099442205414,9.991313332236018e-13,1.3961771526425171e-12,0.00023027345882046485,0.003132983429195679,4,0.600719301888188,True,1.396150231015858e-12,1.745565497701662e-17,0.00023027345882046583,9.75781955236954e-19,True,2.067236243297188e-10,True,True
11,A,gaussian_blur,4812,True,False,1.4107945654549232,0.7088204225379484,9.966749647816187e-13,1.4006999005358194e-12,0.00044640008147798425,0.003556684122864865,5,0.6656259959130041,True,1.4007609633846785e-12,1.7509865085640897e-17,0.00044640008147798496,7.047314121155779e-19,True,2.6031324318331883e-10,True,True
11,B,clean,4295,True,False,1.4009629609082148,0.7137947454026343,9.991035776479862e-13,1.3929411975847774e-12,0.00048459934464321376,0.004383328427460543,4,0.7928431103889078,True,1.3929413178459527e-12,1.6479873021779667e-17,0.00048459934464321495,1.1926223897340549e-18,True,2.0426946245599709e-10,True,True
11,B,brightness_dark,6391,True,False,1.3881876671111089,0.7203636969928225,9.642842080381797e-13,1.2893661719472522e-12,0.0006448592402871489,0.0012663702267330375,3,0.40199420630791866,True,1.2893664543163486e-12,1.599198204416119e-17,0.0006448592402871491,2.168404344971009e-19,True,2.5191071451047264e-11,True,True
11,B,contrast_low,13191,True,False,1.4517479818378636,0.6888247908800493,9.985068327722502e-13,1.4473641037797707e-12,0.00034096969494851973,0.005612318459347671,4,1.5611062170545793,True,1.447361328010821e-12,2.862293735361732e-17,0.0003409696949485198,5.421010862427522e-20,True,6.457774315293818e-10,True,True
11,B,gaussian_noise,5437,True,False,1.4060107420574368,0.7112321194194327,9.974243653232406e-13,1.3973942184384495e-12,0.00021787055283743363,0.0031681130305952947,5,0.6156506108601816,True,1.3973429618258093e-12,2.0383000842727483e-17,0.00021787055283743439,7.589415207398531e-19,True,2.702531531895147e-10,True,True
