client,bank,context,salt,label,count,real_regret_exact,repair_regret_exact,regret_reduction_exact,recovery_fraction_exact,recovery_fraction,zero_gap,prevalence_L1_change,DU_change,actual_optimal_agreement,repair_optimal_agreement,enters_optimal_set,repaired_states,best_utility_class
0,A,gaussian_blur,T013-S2,7,17,188149849/7650953020,1993851/252569900,806653205426627/48310010979152450,1613306410853254/2376049427347255,0.6789868898705669,False,-0.6252735444112769,-0.07211703853599064,0.5,0.5,False,"[1, 1]",False
0,A,gaussian_blur,T013-S3,1,2,383562413/14910455640,253807/45722800,343829237062373/17043694528414800,343829237062373/438438687427910,0.784212814520176,False,0.28818087886022203,0.023189062669466687,0.5,0.5,False,"[1, 1]",True
0,A,gaussian_blur,T013-S3,6,1,383562413/14910455640,3736028629623959/68174778113659200,-5317809/182891200,-1982273879912319/1753754749711640,-1.1303027862010084,False,0.09224186522796707,0.021625354060068464,0.5,0.0,False,"[4, 4]",False
0,A,gaussian_blur,T013-S3,7,17,383562413/14910455640,253807/45722800,343829237062373/17043694528414800,343829237062373/438438687427910,0.784212814520176,False,-0.6252735444112769,-0.07208094439624324,0.5,0.5,False,"[1, 1]",False
0,B,clean,T013-S0,1,2,140636591/4953700800,0,140636591/4953700800,1,1.0,False,0.2171927605343249,0.01072156447789499,0.5,1.0,True,"[1, 1]",True
0,B,clean,T013-S0,6,1,140636591/4953700800,2537094679982/27055488336525,-113214961044571/1731551253537600,-113214961044571/49159098474277,-2.303031677926557,False,0.00719134207290395,0.03983696655098648,0.5,0.0,False,"[0, 0]",False
0,B,clean,T013-S0,7,17,140636591/4953700800,0,140636591/4953700800,1,1.0,False,-0.5925665602579657,-0.0507326999030026,0.5,1.0,True,"[1, 1]",False
0,B,clean,T013-S1,1,2,183611367/7693481600,0,183611367/7693481600,1,1.0,False,0.2171927605343249,0.00882529600063292,0.5,1.0,True,"[1, 1]",True
0,B,clean,T013-S1,6,1,183611367/7693481600,117922227509059/1257694981952640,-54941428652617/786059363720400,-439531429220936/150079708324359,-2.928653274505311,False,0.00719134207290395,0.03795704084093943,0.5,0.0,False,"[0, 0]",False
0,B,clean,T013-S1,7,17,183611367/7693481600,0,183611367/7693481600,1,1.0,False,-0.5925665602579657,-0.05249345209557314,0.5,1.0,True,"[1, 1]",False
0,B,clean,T013-S2,1,2,27064359/1010279600,0,27064359/1010279600,1,1.0,False,0.2171927605343249,0.010622606280428368,0.5,1.0,True,"[1, 1]",True
0,B,clean,T013-S2,6,1,27064359/1010279600,6287181487189/67073947905800,-601705413207263/8987909019377200,-601705413207263/240776906076063,-2.4990163010782287,False,0.00719134207290395,0.03965141493697305,0.5,0.0,False,"[0, 0]",False
0,B,clean,T013-S2,7,17,27064359/1010279600,0,27064359/1010279600,1,1.0,False,-0.5925665602579657,-0.05074439449777489,0.5,1.0,True,"[1, 1]",False
0,B,clean,T013-S3,1,2,421149/18289120,0,421149/18289120,1,1.0,False,0.2171927605343249,0.010704132376907746,0.5,1.0,True,"[1, 1]",True
0,B,clean,T013-S3,6,1,421149/18289120,497820281633551/6817477811365920,-745431589/14910455640,-340832194575292/156988087058259,-2.171070435738271,False,0.00719134207290395,0.03972633799219641,0.5,0.0,False,"[4, 0]",False
0,B,clean,T013-S3,7,17,421149/18289120,0,421149/18289120,1,1.0,False,-0.5925665602579657,-0.0507187007358767,0.5,1.0,True,"[1, 1]",False
0,B,brightness_dark,T013-S0,1,2,0,0,0,,,True,0.12625887059921892,0.038771281755406145,1.0,1.0,False,"[1, 1]",True
0,B,brightness_dark,T013-S0,6,1,0,0,0,,,True,0.02454749046988569,0.05293897644586708,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S0,7,17,0,0,0,,,True,-0.6458199774371514,-0.013837465415183946,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S1,1,2,0,0,0,,,True,0.12625887059921892,0.03881504485411932,1.0,1.0,False,"[1, 1]",True
0,B,brightness_dark,T013-S1,6,1,0,0,0,,,True,0.02454749046988569,0.05290672445886368,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S1,7,17,0,0,0,,,True,-0.6458199774371514,-0.013637834727981232,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S2,1,2,0,0,0,,,True,0.12625887059921892,0.03878138863255509,1.0,1.0,False,"[1, 1]",True
0,B,brightness_dark,T013-S2,6,1,0,0,0,,,True,0.02454749046988569,0.053050318245445746,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S2,7,17,0,0,0,,,True,-0.6458199774371514,-0.013876565483288108,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S3,1,2,0,0,0,,,True,0.12625887059921892,0.03879224796519224,1.0,1.0,False,"[1, 1]",True
0,B,brightness_dark,T013-S3,6,1,0,0,0,,,True,0.02454749046988569,0.05298933968627088,1.0,1.0,False,"[1, 1]",False
0,B,brightness_dark,T013-S3,7,17,0,0,0,,,True,-0.6458199774371514,-0.013488663450916684,1.0,1.0,False,"[1, 1]",False
0,B,contrast_low,T013-S0,1,2,0,0,0,,,True,0.1368440651634808,0.005058736435701948,1.0,1.0,False,"[2, 2]",True
0,B,contrast_low,T013-S0,6,1,0,0,0,,,True,-0.08061211211135588,-0.009911624204489794,1.0,1.0,False,"[2, 2]",False
0,B,contrast_low,T013-S0,7,17,0,0,0,,,True,-0.7887103374172268,0.012808219895081158,1.0,1.0,False,"[2, 2]",False
0,B,contrast_low,T013-S1,1,2,0,0,0,,,True,0.1368440651634808,0.005183553033641555,1.0,1.0,False,"[2, 2]",True
0,B,contrast_low,T013-S1,6,1,0,0,0,,,True,-0.08061211211135588,-0.01019517605413607,1.0,1.0,False,"[2, 2]",False
0,B,contrast_low,T013-S1,7,17,0,96553813/3759934200,-96553813/3759934200,,,True,-0.7887103374172268,0.012740662071158662,1.0,0.5,False,"[1, 2]",False
0,B,contrast_low,T013-S2,1,2,0,0,0,,,True,0.1368440651634808,0.005121512917916668,1.0,1.0,False,"[2, 2]",True
0,B,contrast_low,T013-S2,6,1,0,0,0,,,True,-0.08061211211135588,-0.010047786031829153,1.0,1.0,False,"[2, 2]",False
0,B,contrast_low,T013-S2,7,17,0,39184383/1530190604,-39184383/1530190604,,,True,-0.7887103374172268,0.012852887420805273,1.0,0.5,False,"[1, 2]",False
0,B,contrast_low,T013-S3,1,2,0,0,0,,,True,0.1368440651634808,0.005137861740736806,1.0,1.0,False,"[2, 2]",True
0,B,contrast_low,T013-S3,6,1,0,0,0,,,True,-0.08061211211135588,-0.010060376599697649,1.0,1.0,False,"[2, 2]",False
0,B,contrast_low,T013-S3,7,17,0,43509/1828912,-43509/1828912,,,True,-0.7887103374172268,0.012839638023170848,1.0,0.5,False,"[1, 2]",False
0,B,gaussian_noise,T013-S0,1,2,0,0,0,,,True,0.016285820449485233,-0.030170019609771462,1.0,1.0,False,"[1, 1]",True
0,B,gaussian_noise,T013-S0,6,1,0,153150903727747/1731551253537600,-153150903727747/1731551253537600,,,True,0.09994348264580066,0.04310172169183096,1.0,0.0,False,"[3, 3]",False
0,B,gaussian_noise,T013-S0,7,17,0,0,0,,,True,-0.7414510521447144,-0.11138044360115985,1.0,1.0,False,"[1, 1]",False
0,B,gaussian_noise,T013-S1,1,2,0,0,0,,,True,0.016285820449485233,-0.03015383297885532,1.0,1.0,False,"[1, 1]",True
0,B,gaussian_noise,T013-S1,6,1,0,10597042314013/119780474471680,-10597042314013/119780474471680,,,True,0.09994348264580066,0.043068339904673125,1.0,0.0,False,"[3, 3]",False
0,B,gaussian_noise,T013-S1,7,17,0,0,0,,,True,-0.7414510521447144,-0.11130113500107541,1.0,1.0,False,"[1, 1]",False
0,B,gaussian_noise,T013-S2,1,2,0,0,0,,,True,0.016285820449485233,-0.030141310924151593,1.0,1.0,False,"[1, 1]",True
0,B,gaussian_noise,T013-S2,6,1,0,51280401411441109/579720131749829400,-51280401411441109/579720131749829400,,,True,0.09994348264580066,0.043051946050751105,1.0,0.0,False,"[3, 3]",False
0,B,gaussian_noise,T013-S2,7,17,0,0,0,,,True,-0.7414510521447144,-0.11128369670628596,1.0,1.0,False,"[1, 1]",False
0,B,gaussian_noise,T013-S3,1,2,0,0,0,,,True,0.016285820449485233,-0.030146041657707595,1.0,1.0,False,"[1, 1]",True
0,B,gaussian_noise,T013-S3,6,1,0,2019970823195673/22724926037886400,-2019970823195673/22724926037886400,,,True,0.09994348264580066,0.043062695518761795,1.0,0.0,False,"[3, 0]",False
0,B,gaussian_noise,T013-S3,7,17,0,0,0,,,True,-0.7414510521447144,-0.11132419135869634,1.0,1.0,False,"[1, 1]",False
0,B,gaussian_blur,T013-S0,1,2,17786377/825616800,6048502/487618065,2637429297539/288591875589600,2637429297539/6217174721219,0.42421669259793293,False,0.2834245953700357,0.024371310431758525,0.5,0.5,False,"[1, 1]",False
0,B,gaussian_blur,T013-S0,6,1,17786377/825616800,16080402863219/288591875589600,-6666145/195047226,-9863228142000/6217174721219,-1.586448601538758,False,0.09159829311301604,0.022290099060585128,0.5,0.0,False,"[4, 4]",False
