bank,context,salt,eligible_clients,paired_residual_L1_actual_median,paired_residual_L1_null_median_median,paired_residual_L1_exceedance_fraction,paired_residual_L2_actual_median,paired_residual_L2_null_median_median,paired_residual_L2_exceedance_fraction,delta_DU_actual_median,delta_DU_null_median_median,delta_DU_exceedance_fraction,delta_regret_actual_median,delta_regret_null_median_median,delta_regret_exceedance_fraction,context_exceedance_fraction
A,gaussian_noise,T013-S2,100,0.0348265806811652,0.034692707819390656,0.06,0.01567457952468718,0.014643143193991516,0.08,0.010029579970812743,0.006772415851797114,0.08,0.0,0.0,0.04,0.14
A,gaussian_noise,T013-S3,100,0.0348265806811652,0.034692707819390656,0.06,0.01567457952468718,0.014643143193991516,0.08,0.009485264253561502,0.007024044819797109,0.08,0.0,0.0,0.01,0.14
A,gaussian_blur,T013-S0,100,0.039975273064053074,0.0373473602901563,0.1,0.016707140641279407,0.016218761186293458,0.08,0.007474569151710081,0.0014660620269982758,0.09,0.0,0.0,0.06,0.17
A,gaussian_blur,T013-S1,100,0.039975273064053074,0.0373473602901563,0.1,0.016707140641279407,0.016218761186293458,0.08,0.007459170208417512,0.001687447975463097,0.1,0.0,0.0,0.04,0.18
A,gaussian_blur,T013-S2,100,0.039975273064053074,0.0373473602901563,0.1,0.016707140641279407,0.016218761186293458,0.08,0.008242456721497215,0.0016287588568601444,0.09,0.0,0.0,0.06,0.17
A,gaussian_blur,T013-S3,100,0.039975273064053074,0.0373473602901563,0.1,0.016707140641279407,0.016218761186293458,0.08,0.007555959637029451,0.0013985142270657438,0.09,0.0,0.0,0.05,0.17
B,brightness_dark,T013-S0,100,0.06694234812329548,0.062476493385225276,0.09,0.029870820311051524,0.026540939614215286,0.07,0.02213622966471799,0.015402569627755085,0.09,0.0,0.0,0.04,0.17
B,brightness_dark,T013-S1,100,0.06694234812329548,0.062476493385225276,0.09,0.029870820311051524,0.026540939614215286,0.07,0.022088073665308683,0.015331644498676352,0.09,0.0,0.0,0.05,0.17
B,brightness_dark,T013-S2,100,0.06694234812329548,0.062476493385225276,0.09,0.029870820311051524,0.026540939614215286,0.07,0.022065006787328534,0.015384776733373934,0.09,0.0,0.0,0.05,0.17
B,brightness_dark,T013-S3,100,0.06694234812329548,0.062476493385225276,0.09,0.029870820311051524,0.026540939614215286,0.07,0.022121537017122425,0.015402153659877151,0.09,0.0,0.0,0.05,0.17
B,contrast_low,T013-S0,100,0.0927467350362816,0.09021826995888613,0.1,0.04046271988762566,0.03927612819691862,0.09,0.0047418892931025605,0.009881265692910894,0.06,0.0,0.0,0.07,0.15
B,contrast_low,T013-S1,100,0.0927467350362816,0.09021826995888613,0.1,0.04046271988762566,0.03927612819691862,0.09,0.004647576519560307,0.009833862671807272,0.06,0.0,0.0,0.05,0.15
B,contrast_low,T013-S2,100,0.0927467350362816,0.09021826995888613,0.1,0.04046271988762566,0.03927612819691862,0.09,0.005323321294252869,0.009828973514707092,0.06,0.0,0.0,0.07,0.15
B,contrast_low,T013-S3,100,0.0927467350362816,0.09021826995888613,0.1,0.04046271988762566,0.03927612819691862,0.09,0.00463437835568483,0.009641080548915937,0.07,0.0,0.0,0.07,0.16
B,gaussian_noise,T013-S0,100,0.03523877062707714,0.034395071921343355,0.05,0.015621951879880015,0.014800966365534627,0.08,0.011187986459306196,0.006211590782253451,0.07,0.0,0.0,0.03,0.12
B,gaussian_noise,T013-S1,100,0.03523877062707714,0.034395071921343355,0.05,0.015621951879880015,0.014800966365534627,0.08,0.010230081228656472,0.00612477408916905,0.07,0.0,0.0,0.03,0.12
B,gaussian_noise,T013-S2,100,0.03523877062707714,0.034395071921343355,0.05,0.015621951879880015,0.014800966365534627,0.08,0.01070732175462924,0.0061999994858924715,0.07,0.0,0.0,0.0,0.12
B,gaussian_noise,T013-S3,100,0.03523877062707714,0.034395071921343355,0.05,0.015621951879880015,0.014800966365534627,0.08,0.010245787020268689,0.006223634768517982,0.07,0.0,0.0,0.06,0.12
B,gaussian_blur,T013-S0,100,0.041042709344181506,0.03851850947702706,0.1,0.017251505586298885,0.016696446584656955,0.12,0.004984558830427338,0.0015209510516198037,0.12,0.0,0.0,0.03,0.19
B,gaussian_blur,T013-S1,100,0.041042709344181506,0.03851850947702706,0.1,0.017251505586298885,0.016696446584656955,0.12,0.005237926981346935,0.0018022842780784421,0.12,0.0,0.0,0.06,0.19
