method,context,lr,steps,n,accuracy,accuracy_sd,gain_pp,support_loss_before,support_loss_after,query_loss_before,query_loss_after,worst_class_accuracy,gamma_norm,beta_norm
affine,wrong_MNISTM,0.001,5,5,41.65333271026611,0.029813411586697577,0.020000934600830078,0.20376689732074738,0.20354460328817367,2.0441701412200928,2.0439990997314452,18.65079402923584,0.0007522912113927305,0.0007197412080131472
affine,wrong_MNISTM,0.001,10,5,41.66666567325592,0.023570625029717487,0.03333389759063721,0.20376689732074738,0.20332320481538774,2.0441701412200928,2.0438305377960204,18.730159401893616,0.0015031970338895916,0.001437695138156414
affine,wrong_MNISTM,0.01,1,5,41.66666567325592,0.023570625029717487,0.03333389759063721,0.20376689732074738,0.20332229286432266,2.0441701412200928,2.0438311100006104,18.730159401893616,0.0015062577789649368,0.0014412835706025362
affine,wrong_MNISTM,0.01,3,5,41.59333407878876,0.01490737219353625,-0.03999769687652588,0.20376689732074738,0.2024499535560608,2.0441701412200928,2.0431926250457764,18.73015969991684,0.004495471529662609,0.004293465567752719
affine,wrong_MNISTM,0.01,5,5,41.59333288669586,0.0983195083180116,-0.03999888896942139,0.20376689732074738,0.20159553587436677,2.0441701412200928,2.0426089763641357,18.730159997940063,0.007452434208244085,0.00711653046309948
affine,wrong_MNISTM,0.01,10,5,41.53999924659729,0.12337808340845521,-0.09333252906799316,0.20376689732074738,0.1995262861251831,2.0441701412200928,2.041394901275635,18.650795221328735,0.014738991856575012,0.014049999043345451
affine,wrong_MNISTM,0.1,1,5,41.513333320617676,0.10165242875153369,-0.11999845504760742,0.20376689732074738,0.19943123012781144,2.0441701412200928,2.0414543628692625,18.650795221328735,0.015062578208744525,0.01441283617168665
affine,wrong_MNISTM,0.1,3,5,41.44666612148285,0.5305132860915145,-0.18666565418243408,0.20376689732074738,0.19203430712223052,2.0441701412200928,2.0396640300750732,18.492064774036407,0.043198272585868835,0.04063539728522301
affine,wrong_MNISTM,0.1,5,5,41.36666536331177,0.7579215771108393,-0.2666664123535156,0.20376689732074738,0.18568754494190215,2.0441701412200928,2.0411790370941163,18.412699699401855,0.06962157860398292,0.06411968469619751
affine,wrong_MNISTM,0.1,10,5,41.173332929611206,1.2202918718276055,-0.45999884605407715,0.20376689732074738,0.17243882566690444,2.0441701412200928,2.051727533340454,18.111112117767334,0.13081488162279128,0.1160380095243454
