salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S2,B,gaussian_noise,gaussian_blur,1,95,0.4519472392051812,0.5407380704358752,0.10283277391870739,0.01710166764679998,0.15636289704840842
T013-S3,A,clean,brightness_dark,0,94,0.2333336244708973,0.35909242322980395,-0.0067036227980733455,-0.1027277878027185,0.0776024084580787
T013-S3,A,clean,brightness_dark,1,93,0.19784734132000464,0.3,-0.017287151994564466,-0.11451207182318383,0.053592548846457685
T013-S3,A,clean,contrast_low,0,93,0.13522897978291823,0.19999999999999998,-0.16850457617139852,-0.21449604971838554,-0.09729500044337777
T013-S3,A,clean,contrast_low,1,94,0.16287485533513746,0.23680339887498947,-0.18620307535866865,-0.2380244281174134,-0.07369941137706762
T013-S3,A,clean,gaussian_noise,0,93,0.6543803188373875,0.8207826816681234,0.27263853175911573,0.23580530485715076,0.32949647441708185
T013-S3,A,clean,gaussian_noise,1,95,0.6140731979942254,0.8207826816681233,0.28416853910356465,0.24249032875091894,0.32575218682157
T013-S3,A,clean,gaussian_blur,0,96,0.547153692382286,0.6492324381118857,0.07454778858187638,-0.005769473628439139,0.1463539581268645
T013-S3,A,clean,gaussian_blur,1,96,0.5033687719866252,0.5867696673382021,-0.0019763750178328184,-0.09092998000201943,0.06793427747271144
T013-S3,A,brightness_dark,contrast_low,0,91,0.42828388972761605,0.6155870112510925,0.11762186262033693,0.03372090516595575,0.1965159643351756
T013-S3,A,brightness_dark,contrast_low,1,92,0.4905531139835101,0.7,0.10899866536793101,0.04392632894969282,0.19756701499354293
T013-S3,A,brightness_dark,gaussian_noise,0,92,0.1446138661453076,0.22360679774997894,-0.005570811814674337,-0.03388525324269594,0.05386457741011416
T013-S3,A,brightness_dark,gaussian_noise,1,94,0.15668902467419954,0.22360679774997894,-0.030805168482442993,-0.06361109703812938,0.015409944955626961
T013-S3,A,brightness_dark,gaussian_blur,0,93,0.35749105459485664,0.49999999999999994,0.07121766067831262,-0.04025873340899313,0.15924902250988665
T013-S3,A,brightness_dark,gaussian_blur,1,94,0.3850517035774081,0.39999999999999997,0.009380370626260667,-0.10154837748860308,0.08758324394314443
T013-S3,A,contrast_low,gaussian_noise,0,91,0.018221261488861065,0.1351845176089688,-0.20894697214480717,-0.25335186021775913,-0.13538734154427792
T013-S3,A,contrast_low,gaussian_noise,1,92,-0.007915943122937575,0.06620481408481949,-0.19803029541557848,-0.27716696288574666,-0.0874669347702576
T013-S3,A,contrast_low,gaussian_blur,0,94,0.4448810602966252,0.6578858066892002,-0.041983546493540566,-0.13696223012586692,0.028573300128927205
T013-S3,A,contrast_low,gaussian_blur,1,93,0.4488023723530091,0.5590169943749473,-0.001680556311624267,-0.09729348578681686,0.052435293111361934
T013-S3,A,gaussian_noise,gaussian_blur,0,95,0.46253428666792107,0.5773502691896257,0.08962190895047138,0.030342121557115992,0.1528804274632849
T013-S3,A,gaussian_noise,gaussian_blur,1,93,0.40204621382217887,0.408248290463863,0.017639370536901018,-0.029200354148372597,0.0673018751089669
T013-S3,B,clean,brightness_dark,0,96,0.2430744800237661,0.3220618004029213,0.015758317647821204,-0.05455328494481609,0.08300627492516768
T013-S3,B,clean,brightness_dark,1,93,0.2302097584674439,0.2894736842105264,0.019223120939551586,-0.04845481505015144,0.08406594261412847
T013-S3,B,clean,contrast_low,0,95,0.08858805046649497,0.22360679774997894,-0.18124887597517245,-0.26688865701323283,-0.12279928601970906
T013-S3,B,clean,contrast_low,1,94,0.14312338192224822,0.21440123408350487,-0.17795190275856715,-0.23517823365518234,-0.0889481474461426
T013-S3,B,clean,gaussian_noise,0,95,0.6875170009074726,0.892217816219194,0.32712770615381737,0.2956678814292081,0.366146479140176
T013-S3,B,clean,gaussian_noise,1,95,0.6339983356864807,0.8207826816681233,0.3367263459994394,0.28257780026559054,0.3687529241353389
T013-S3,B,clean,gaussian_blur,0,97,0.5313703379507309,0.6315789473684211,0.11116123871552543,0.03826855171111762,0.20356878061397654
T013-S3,B,clean,gaussian_blur,1,96,0.5181059125238824,0.6454972243679028,0.06399145887632768,-0.02818773284076452,0.15357026664170967
T013-S3,B,brightness_dark,contrast_low,0,92,0.43413521175670583,0.6061862178478972,0.08102610718436654,0.003709231686797189,0.146620170650141
T013-S3,B,brightness_dark,contrast_low,1,93,0.4561488745208195,0.6155870112510925,0.07295037525260428,0.0007806838929281692,0.1255193989460842
T013-S3,B,brightness_dark,gaussian_noise,0,93,0.19910716482399737,0.22360679774997894,0.030056153624249828,-0.02400064911505252,0.05907979547299224
T013-S3,B,brightness_dark,gaussian_noise,1,95,0.2070370170696736,0.22360679774997894,0.016353490873233838,-0.009036907000576938,0.05529146591728952
T013-S3,B,brightness_dark,gaussian_blur,0,93,0.3962132404082141,0.40555355282690636,0.08161176139845953,-0.008834649062069301,0.1611696043454151
T013-S3,B,brightness_dark,gaussian_blur,1,95,0.3595399290788469,0.39999999999999997,0.020618240852455644,-0.06497410441203079,0.11497396810601536
T013-S3,B,contrast_low,gaussian_noise,0,92,0.029149105321876624,0.09999999999999999,-0.19370982752418686,-0.2344827608244879,-0.12900679272857293
T013-S3,B,contrast_low,gaussian_noise,1,93,-0.002298514064247952,0.05735393346764044,-0.18973415890730458,-0.25032228012703184,-0.10646407881465002
T013-S3,B,contrast_low,gaussian_blur,0,94,0.42101924114745726,0.6077935056255462,-0.04723433109705512,-0.1260895655868938,0.045374326091269984
T013-S3,B,contrast_low,gaussian_blur,1,94,0.40418668387885814,0.5080927006043819,-0.04764894112512305,-0.13465893332937465,-0.0009464052570722944
T013-S3,B,gaussian_noise,gaussian_blur,0,95,0.46803284557251457,0.5773502691896257,0.12944788625674036,0.06490785858878757,0.19236834532621958
T013-S3,B,gaussian_noise,gaussian_blur,1,94,0.4552761461487727,0.5642880936468347,0.09287467502156459,0.026462841855189375,0.1554061038896832
