salt,client,half,n,normalized_entropy,max_class_fraction,represented_classes,halves_histogram_L1,halves_histogram_JS
T013-S0,36,1,9,0.499030285771763,0.5555555555555556,4,0.4444444444444444,0.05724962178757653
T013-S0,37,0,40,0.5253678693564829,0.5,5,0.30000000000000004,0.0410900291959615
T013-S0,37,1,40,0.3849540700068883,0.525,4,0.30000000000000004,0.0410900291959615
T013-S0,38,0,13,0.11777604826287535,0.9230769230769231,2,0.1538461538461538,0.027428942973443893
T013-S0,38,1,12,-0.0,1.0,1,0.1538461538461538,0.027428942973443893
T013-S0,39,0,80,-0.0,1.0,1,0.0,0.0
T013-S0,39,1,80,-0.0,1.0,1,0.0,0.0
T013-S0,40,0,125,0.06932286442846085,0.968,3,0.04800000000000002,0.003858590664502559
T013-S0,40,1,125,0.11309459793763331,0.944,4,0.04800000000000002,0.003858590664502559
T013-S0,41,0,50,0.3915597276412668,0.74,6,0.32000000000000006,0.06549452517031107
T013-S0,41,1,50,0.306756535730308,0.8,4,0.32000000000000006,0.06549452517031107
T013-S0,42,0,160,0.3875414839462022,0.56875,3,0.10000000000000005,0.006588604270792997
T013-S0,42,1,160,0.3456003885442473,0.56875,3,0.10000000000000005,0.006588604270792997
T013-S0,43,0,99,0.2892018955359784,0.6161616161616161,2,0.12121212121212116,0.0018936877334654323
T013-S0,43,1,99,0.2983436219957756,0.5555555555555556,2,0.12121212121212116,0.0018936877334654323
T013-S0,44,0,37,0.41009554134458565,0.5675675675675675,4,0.16216216216216223,0.004003850939519715
T013-S0,44,1,37,0.3863874053533056,0.6486486486486487,4,0.16216216216216223,0.004003850939519715
T013-S0,45,0,7,0.5010637592554211,0.5714285714285714,4,0.5714285714285714,0.11175850320040104
T013-S0,45,1,6,0.19567624677029458,0.8333333333333334,2,0.5714285714285714,0.11175850320040104
T013-S0,46,0,40,0.20139383392621027,0.825,2,0.042307692307692324,0.00040737278196234517
T013-S0,46,1,39,0.1864526193784954,0.8461538461538461,2,0.042307692307692324,0.00040737278196234517
T013-S0,47,0,16,0.44893044474129856,0.5625,4,0.75,0.10957823209682771
T013-S0,47,1,16,0.6044249021471159,0.375,5,0.75,0.10957823209682771
T013-S0,48,0,81,0.4524586846701718,0.6049382716049383,4,0.12037037037037039,0.004456544964032805
T013-S0,48,1,80,0.4512714926151975,0.6125,4,0.12037037037037039,0.004456544964032805
T013-S0,49,0,101,0.20354526725716093,0.8217821782178217,2,0.05940594059405932,0.000708453454957847
T013-S0,49,1,101,0.22200648122058517,0.7920792079207921,2,0.05940594059405932,0.000708453454957847
T013-S0,50,0,61,0.3787899863741879,0.6721311475409836,4,0.14153005464480875,0.017794994938650888
T013-S0,50,1,60,0.3051726158632729,0.6666666666666666,3,0.14153005464480875,0.017794994938650888
T013-S0,51,0,6,0.19567624677029458,0.8333333333333334,2,0.33333333333333326,0.06155537862300828
T013-S0,51,1,6,-0.0,1.0,1,0.33333333333333326,0.06155537862300828
T013-S0,52,0,12,-0.0,1.0,1,0.6666666666666667,0.1323041247188983
T013-S0,52,1,12,0.27643459094367495,0.6666666666666666,2,0.6666666666666667,0.1323041247188983
T013-S0,53,0,61,0.3857004693914887,0.639344262295082,4,0.2568306010928961,0.015538529636523357
T013-S0,53,1,60,0.3133276980241343,0.75,3,0.2568306010928961,0.015538529636523357
T013-S0,54,0,119,0.3255068181176537,0.7563025210084033,4,0.12277453354223039,0.0025932832615760404
T013-S0,54,1,118,0.3719268827757896,0.6949152542372882,4,0.12277453354223039,0.0025932832615760404
T013-S0,55,0,105,0.08314310838727053,0.9523809523809523,2,0.03809523809523817,0.004515744248698966
T013-S0,55,1,105,0.07959098939178674,0.9619047619047619,3,0.03809523809523817,0.004515744248698966
T013-S0,56,0,59,0.5703024235866753,0.5423728813559322,5,0.13559322033898302,0.006142717336149461
T013-S0,56,1,59,0.5647904344565424,0.5423728813559322,5,0.13559322033898302,0.006142717336149461
T013-S0,57,0,59,0.6187633356832773,0.4067796610169492,5,0.2618351841028638,0.022425519238502778
T013-S0,57,1,58,0.6198081734178219,0.4482758620689655,7,0.2618351841028638,0.022425519238502778
T013-S0,58,0,14,0.3606692820878256,0.6428571428571429,3,0.5714285714285714,0.0722334931118046
T013-S0,58,1,14,0.11175206567903244,0.9285714285714286,2,0.5714285714285714,0.0722334931118046
T013-S0,59,0,47,0.5843400982999811,0.3404255319148936,4,0.3829787234042553,0.02449453227730891
T013-S0,59,1,47,0.5137429601588306,0.48936170212765956,4,0.3829787234042553,0.02449453227730891
T013-S0,60,0,238,-0.0,1.0,1,0.0,0.0
T013-S0,60,1,237,-0.0,1.0,1,0.0,0.0
T013-S0,61,0,8,0.3909762353659365,0.625,3,0.6785714285714286,0.13228955127336972
T013-S0,61,1,7,0.58707232944513,0.2857142857142857,4,0.6785714285714286,0.13228955127336972
T013-S0,62,0,38,0.5036147789236575,0.5526315789473685,4,0.16927453769559034,0.016474949801966066
T013-S0,62,1,37,0.5289035493424765,0.5405405405405406,5,0.16927453769559034,0.016474949801966066
T013-S0,63,0,108,0.414958375854875,0.5092592592592593,3,0.1960886119764625,0.013534948481487508
T013-S0,63,1,107,0.47813293039840765,0.4392523364485981,5,0.1960886119764625,0.013534948481487508
T013-S0,64,0,64,0.525745144956651,0.5625,5,0.21577380952380953,0.01345449548125388
T013-S0,64,1,63,0.49405461589872285,0.5873015873015873,5,0.21577380952380953,0.01345449548125388
T013-S0,65,0,76,-0.0,1.0,1,0.0,0.0
T013-S0,65,1,76,-0.0,1.0,1,0.0,0.0
