client,bank,context,max_error,objective,iterations
16,A,gaussian_noise,6.661338147750939e-16,3.284312408287858e-32,1
16,A,gaussian_blur,7.7021722333370235e-16,1.9327007918479722e-32,1
16,B,clean,1.2211485016004747e-15,3.159277425179593e-32,1
16,B,brightness_dark,1.186550857568136e-15,5.1533672340049084e-33,1
16,B,contrast_low,1.2212453270876722e-15,7.574321359410426e-32,1
16,B,gaussian_noise,1.5543122344752192e-15,8.07942657998136e-32,1
16,B,gaussian_blur,4.440892098500626e-16,9.468654015647559e-33,1
17,A,clean,5.551115123125783e-16,3.366314894201221e-32,1
17,A,brightness_dark,8.881784197001252e-16,1.2920131124577153e-31,1
17,A,contrast_low,7.771561172376096e-16,6.185996703405658e-32,1
17,A,gaussian_noise,5.429745474133836e-16,2.69028339106592e-32,1
17,A,gaussian_blur,4.579669976578771e-16,3.6160839338639406e-32,1
17,B,clean,5.551115123125783e-16,3.366314894201221e-32,1
17,B,brightness_dark,8.881784197001252e-16,1.4644590741188255e-32,1
17,B,contrast_low,2.1649348980190553e-15,2.5404219672682883e-32,1
17,B,gaussian_noise,4.440892098500626e-16,9.13011164261074e-33,1
17,B,gaussian_blur,5.828670879282072e-16,2.1365785320545898e-33,1
18,A,clean,5.551115123125783e-16,2.3261622609552083e-32,1
18,A,brightness_dark,1.887379141862766e-15,2.259356566009276e-32,1
18,A,contrast_low,9.104640798076695e-16,8.42744813946321e-33,1
18,A,gaussian_noise,5.551115123125783e-16,3.269867933704954e-32,1
18,A,gaussian_blur,1.2212453270876722e-15,1.3812528819902207e-32,1
18,B,clean,5.551115123125783e-16,2.3261622609552083e-32,1
18,B,brightness_dark,1.2212453270876722e-15,1.698579932983399e-32,1
18,B,contrast_low,1.0286796243744385e-15,2.6583851763620065e-32,1
18,B,gaussian_noise,2.220446049250313e-16,1.6972257634912516e-33,1
18,B,gaussian_blur,3.95516952522712e-16,4.29723118841402e-33,1
19,A,clean,1.864748310990241e-15,3.4018242275508606e-32,1
19,A,brightness_dark,1.5543122344752192e-15,5.111538443025248e-32,1
19,A,contrast_low,1.970645868709653e-15,1.991908091310189e-31,1
19,A,gaussian_noise,7.771561172376096e-16,1.9048650856205005e-32,1
19,A,gaussian_blur,4.718447854656915e-16,1.3422828932717602e-32,1
19,B,clean,1.864748310990241e-15,3.4018242275508606e-32,1
19,B,brightness_dark,1.2212453270876722e-15,1.7736987239783463e-32,1
19,B,contrast_low,1.6206532485274393e-15,9.944117970668158e-33,1
19,B,gaussian_noise,1.0783109702682383e-15,1.869506215547766e-32,1
19,B,gaussian_blur,1.5543122344752192e-15,2.754079820473747e-32,1
20,A,clean,7.771561172376096e-16,2.633709198949545e-32,1
20,A,brightness_dark,1.9984014443252818e-15,1.451823920440707e-31,1
20,A,contrast_low,1.0681701398439524e-15,2.2539775038599133e-32,1
20,A,gaussian_noise,4.440892098500626e-16,8.317609947322375e-33,1
20,A,gaussian_blur,1.624056315646749e-16,3.1898214703913594e-34,1
20,B,clean,7.771561172376096e-16,2.633709198949545e-32,1
20,B,brightness_dark,2.55351295663786e-15,2.6555000430273483e-31,1
20,B,contrast_low,9.992007221626409e-16,3.09502960594105e-32,1
20,B,gaussian_noise,2.7453831905177987e-15,2.3918244349966606e-31,1
20,B,gaussian_blur,3.3728227829829584e-16,8.06483164212155e-33,1
21,A,clean,0.0,0.0,1
21,A,brightness_dark,1.5543122344752192e-15,2.1726897185118504e-33,1
21,A,contrast_low,1.3322676295501878e-15,6.766333562429218e-33,1
21,A,gaussian_noise,4.440892098500626e-16,1.0472244072605595e-32,1
21,A,gaussian_blur,6.661338147750939e-16,8.054299212738182e-33,1
21,B,clean,0.0,0.0,1
21,B,brightness_dark,1.7763568394002505e-15,3.3512685665106956e-32,1
21,B,contrast_low,3.826103485556893e-16,1.2037062152420224e-34,1
21,B,gaussian_noise,1.5543122344752192e-15,2.145004475561284e-32,1
21,B,gaussian_blur,0.0,0.0,1
22,A,clean,1.1102230246251565e-15,1.6490775148815707e-32,1
22,A,brightness_dark,3.3306690738754696e-16,6.748277969200588e-33,1
22,A,contrast_low,9.43689570931383e-16,1.2952029339281066e-31,1
22,A,gaussian_noise,3.3306690738754696e-16,1.1591690852780676e-32,1
22,A,gaussian_blur,7.793879998845208e-16,7.270385540061815e-33,1
22,B,clean,1.1102230246251565e-15,1.6490775148815707e-32,1
22,B,brightness_dark,2.7755575615628914e-16,6.1449202288105244e-33,1
22,B,contrast_low,2.7755575615628914e-15,1.1567616728475835e-32,1
22,B,gaussian_noise,4.4157991676208613e-16,1.7598184866838368e-32,1
22,B,gaussian_blur,2.220446049250313e-16,1.3361138989186449e-33,1
23,A,clean,3.648948032790991e-16,1.4137529498017553e-32,1
23,A,brightness_dark,1.0547118733938987e-15,3.502183233246664e-32,1
23,A,contrast_low,1.3600232051658168e-15,3.2572290184449126e-32,1
23,A,gaussian_noise,2.2106371585367018e-16,9.352797292430514e-33,1
23,A,gaussian_blur,1.096345236817342e-15,2.6704222385144267e-32,1
23,B,clean,3.648948032790991e-16,1.4137529498017553e-32,1
23,B,brightness_dark,6.38378239159465e-16,9.437056727497456e-33,1
23,B,contrast_low,1.609823385706477e-15,2.5620886791426447e-32,1
23,B,gaussian_noise,4.440892098500626e-16,2.9430616962667448e-33,1
23,B,gaussian_blur,5.551115123125783e-16,1.769448136405773e-32,1
24,A,clean,9.298117831235686e-16,5.255983188854291e-32,1
24,A,brightness_dark,5.620504062164855e-16,1.5708366108908392e-33,1
24,A,contrast_low,1.4540998414811742e-15,7.441913675733804e-32,1
24,A,gaussian_noise,8.881784197001252e-16,1.6225959781462462e-32,1
24,A,gaussian_blur,6.811708778503556e-16,2.0150042043151455e-32,1
24,B,clean,9.298117831235686e-16,5.255983188854291e-32,1
24,B,brightness_dark,1.061650767297806e-15,5.783808364237918e-32,1
24,B,contrast_low,7.216449660063518e-16,4.355610939853258e-32,1
