client,bank,context,pi,iterations,updates,trace,converged,cap_hit,direct_KKT,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
2,A,clean,"[0.0, 0.0, 0.006435571415680519, 0.0, 0.0, 0.010279073110641468, 0.057212205220859624, 0.0, 0.1848421873701307, 0.7412309628826876]",2,2,"[{'active': [2, 8, 9], 'minimum': 0.07724041368348411, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': 0.014727976226598605, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 6, 8, 9], 'minimum': 0.006435571415680519, 'action': 'accept'}]",True,False,5.334274688628682e-17,0.00021442915799958496,0.0011297166086283953,5,0,0.2932493018976334,True
2,A,brightness_dark,"[0.0, 0.059953539508342146, 0.0, 0.0, 0.0, 0.012625059058990473, 0.07812802925425899, 0.0, 0.15942670542219162, 0.6898666667557336]",4,4,"[{'active': [2, 8, 9], 'minimum': 0.08337432955265361, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': -0.013980434848658962, 'action': 'remove', 'coordinate': 2}, {'active': [6, 8, 9], 'minimum': 0.08063632927661873, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 8, 9], 'minimum': 0.013634199220382115, 'action': 'add', 'coordinate': 5}, {'active': [1, 5, 6, 8, 9], 'minimum': 0.012625059058990473, 'action': 'accept'}]",True,False,4.831690603168681e-13,0.0001706265729598244,0.0009894264020442495,5,0,0.3162091718052987,True
2,A,contrast_low,"[0.0, 0.06704079658189688, 0.0, 0.0, 0.0, 0.0, 0.11537248014685925, 0.0, 0.13000755792358765, 0.6875791653476888]",3,3,"[{'active': [2, 8, 9], 'minimum': 0.06103037278933732, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': -0.04630486708600501, 'action': 'remove', 'coordinate': 2}, {'active': [6, 8, 9], 'minimum': 0.10511388019745116, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 8, 9], 'minimum': 0.06704079658189688, 'action': 'accept'}]",True,False,3.26405569239796e-14,0.000284342513684026,0.0013008638854700235,4,0,0.3648265534574797,True
2,A,gaussian_noise,"[0.0, 0.05685195468296911, 0.0, 0.0, 0.0, 0.021607267884789394, 0.05207640062196406, 0.0, 0.16666939292894511, 0.7027949838812901]",4,4,"[{'active': [2, 8, 9], 'minimum': 0.06656693972264549, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': 0.004476412614996206, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 6, 8, 9], 'minimum': -0.01374557753497263, 'action': 'remove', 'coordinate': 2}, {'active': [5, 6, 8, 9], 'minimum': 0.01206001236129306, 'action': 'add', 'coordinate': 1}, {'active': [1, 5, 6, 8, 9], 'minimum': 0.021607267884789394, 'action': 'accept'}]",True,False,4.218847493575595e-14,0.00019162307662461286,0.0013903698636583669,5,0,0.3241987136974316,True
2,A,gaussian_blur,"[0.0, 0.0, 0.0, 0.04040933487760334, 0.0, 0.024955686017863243, 0.035170427778518754, 0.0, 0.18268660014088045, 0.7167779511851711]",4,4,"[{'active': [2, 8, 9], 'minimum': 0.10077010067466563, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': 0.04039964618799452, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 6, 8, 9], 'minimum': -0.006698783186483759, 'action': 'remove', 'coordinate': 2}, {'active': [5, 6, 8, 9], 'minimum': 0.044226358801797844, 'action': 'add', 'coordinate': 3}, {'active': [3, 5, 6, 8, 9], 'minimum': 0.024955686017863243, 'action': 'accept'}]",True,False,3.68594044175552e-14,0.00014150808164130414,0.0005202895874894328,5,0,0.28369895641159576,True
2,B,clean,"[0.0, 0.0, 0.006435571415680519, 0.0, 0.0, 0.010279073110641468, 0.057212205220859624, 0.0, 0.1848421873701307, 0.7412309628826876]",2,2,"[{'active': [2, 8, 9], 'minimum': 0.07724041368348411, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': 0.014727976226598605, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 6, 8, 9], 'minimum': 0.006435571415680519, 'action': 'accept'}]",True,False,5.334274688628682e-17,0.00021442915799958496,0.0011297166086283953,5,0,0.2932493018976334,True
2,B,brightness_dark,"[0.0, 0.0732081621334828, 0.0, 0.0, 0.0, 0.015983606863898103, 0.0761998494113314, 0.0, 0.15815092954264287, 0.6764574520486804]",4,4,"[{'active': [2, 8, 9], 'minimum': 0.08209073078283163, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': -0.013863450634721164, 'action': 'remove', 'coordinate': 2}, {'active': [6, 8, 9], 'minimum': 0.07959389784883875, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 8, 9], 'minimum': 0.014744292952234339, 'action': 'add', 'coordinate': 5}, {'active': [1, 5, 6, 8, 9], 'minimum': 0.015983606863898103, 'action': 'accept'}]",True,False,3.552713678800501e-14,0.00017514088953129078,0.001052996087028578,5,0,0.3565357839794905,True
2,B,contrast_low,"[0.0, 0.084287141402557, 0.0, 0.0, 0.0, 0.0, 0.127380691495884, 0.0, 0.1394495530155424, 0.6488826140860127]",4,4,"[{'active': [2, 5, 8, 9], 'minimum': 0.014313619330420524, 'action': 'add', 'coordinate': 6}, {'active': [2, 5, 6, 8, 9], 'minimum': -0.08460016124720049, 'action': 'remove', 'coordinate': 2}, {'active': [5, 6, 8, 9], 'minimum': -0.03577977096495788, 'action': 'remove', 'coordinate': 5}, {'active': [6, 8, 9], 'minimum': 0.1147756293261723, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 8, 9], 'minimum': 0.084287141402557, 'action': 'accept'}]",True,False,3.9968028886505635e-15,0.000247720953858663,0.0013561238310510983,4,0,0.42333566579688586,True
2,B,gaussian_noise,"[0.0, 0.06199619896872832, 0.0, 0.0, 0.0, 0.021226557271205593, 0.05205503903092823, 0.0, 0.16480394885701344, 0.6999182558720349]",4,4,"[{'active': [2, 8, 9], 'minimum': 0.06570048328018341, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': 0.0036876149324903684, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 6, 8, 9], 'minimum': -0.013478746094218286, 'action': 'remove', 'coordinate': 2}, {'active': [5, 6, 8, 9], 'minimum': 0.010808411536056495, 'action': 'add', 'coordinate': 1}, {'active': [1, 5, 6, 8, 9], 'minimum': 0.021226557271205593, 'action': 'accept'}]",True,False,8.948397578478762e-14,0.0001806935490749982,0.0014906752100709076,5,0,0.33415041541280266,True
2,B,gaussian_blur,"[0.0, 0.0, 0.0, 0.039153167069160943, 0.0, 0.02773875842485829, 0.03420915376559641, 0.0, 0.18210676980004648, 0.7167921509403365]",4,4,"[{'active': [2, 8, 9], 'minimum': 0.10148678687455226, 'action': 'add', 'coordinate': 6}, {'active': [2, 6, 8, 9], 'minimum': 0.04190990680968376, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 6, 8, 9], 'minimum': -0.007094563742202409, 'action': 'remove', 'coordinate': 2}, {'active': [5, 6, 8, 9], 'minimum': 0.04301270598635609, 'action': 'add', 'coordinate': 3}, {'active': [3, 5, 6, 8, 9], 'minimum': 0.02773875842485829, 'action': 'accept'}]",True,False,1.3322676295501878e-15,0.00013668863299384082,0.00047814810915979233,5,0,0.27701175653956717,True
3,A,clean,"[0.9630524006563603, 0.036947599343639656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0,"[{'active': [0, 1], 'minimum': 0.036947599343639656, 'action': 'accept'}]",True,False,2.949029909160572e-17,0.0012454556225911387,0.0013121878419906574,2,0,0.05548796514756198,True
3,A,brightness_dark,"[0.9218043462292044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07819565377079563, 0.0]",2,2,"[{'active': [0, 4], 'minimum': -0.09593479376632807, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 8}, {'active': [0, 8], 'minimum': 0.07819565377079563, 'action': 'accept'}]",True,False,3.469446951953614e-18,0.0012488618010332542,0.0022354950332949697,2,0,0.15639130754159136,True
3,A,contrast_low,"[0.4972059953744663, 0.07638756817568693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4264064364498452, 0.0]",3,3,"[{'active': [0, 4], 'minimum': -0.2038530369195004, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.1324221590340877, 'action': 'add', 'coordinate': 8}, {'active': [0, 1, 8], 'minimum': 0.07638756817568693, 'action': 'accept'}]",True,False,1.5543122344752192e-15,0.0018154849353222019,0.016330184359204306,3,0,1.005588009251066,True
3,A,gaussian_noise,"[0.9628165655425075, 0.037183434457492524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,2,"[{'active': [0, 4], 'minimum': -0.05933599406424106, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.037183434457492524, 'action': 'accept'}]",True,False,0.0,0.0010667850587098447,0.0015474136620069747,2,0,0.07436686891498498,True
3,A,gaussian_blur,"[0.9048532203604179, 0.09514677963958204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,2,"[{'active': [0, 4], 'minimum': -0.09453702645054907, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.09514677963958204, 'action': 'accept'}]",True,False,1.5612511283791264e-17,0.0012068372108653168,0.002579692251936324,2,0,0.1902935592791641,True
3,B,clean,"[0.9630524006563603, 0.036947599343639656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0,"[{'active': [0, 1], 'minimum': 0.036947599343639656, 'action': 'accept'}]",True,False,2.949029909160572e-17,0.0012454556225911387,0.0013121878419906574,2,0,0.05548796514756198,True
3,B,brightness_dark,"[0.9149178208043365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08508217919566363, 0.0]",2,2,"[{'active': [0, 4], 'minimum': -0.09765470691964329, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 8}, {'active': [0, 8], 'minimum': 0.08508217919566363, 'action': 'accept'}]",True,False,1.214306433183765e-17,0.0012511644917237513,0.0023717283284796662,2,0,0.17016435839132726,True
3,B,contrast_low,"[0.41633532124674844, 0.08190710319638539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5017575755568671, 0.0]",3,3,"[{'active': [0, 4], 'minimum': -0.21976974832698315, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.15088941055015193, 'action': 'add', 'coordinate': 8}, {'active': [0, 1, 8], 'minimum': 0.08190710319638539, 'action': 'accept'}]",True,False,8.881784197001252e-16,0.0016580289358103465,0.018914651745961415,3,0,1.167329357506504,True
3,B,gaussian_noise,"[0.9612503572153374, 0.038749642784662565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,2,"[{'active': [0, 4], 'minimum': -0.06361937288745967, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.038749642784662565, 'action': 'accept'}]",True,False,1.1102230246251565e-16,0.0010792557251520806,0.0016165531400456744,2,0,0.07749928556932525,True
