representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
H,context_vs_clean_same_state,B,clean,T013-S2,0.017180596763327397,0.017180596763327397,653386592357756496644888226004571740403834554145609656086558650476317365441657892345355339926917342933162421221372157172726078951291361/38030494595649533939846709624038912002012847439464754037718177962118749649614489622040709420916803471437769636999235766763983001968000000,653386592357756496644888226004571740403834554145609656086558650476317365441657892345355339926917342933162421221372157172726078951291361/38030494595649533939846709624038912002012847439464754037718177962118749649614489622040709420916803471437769636999235766763983001968000000,0.06445395780623651,0.06445395780623651,0.0,0.0,0,100,0
H,context_vs_clean_same_state,B,clean,T013-S3,0.016758759649320703,0.016758759649320703,23482425685209836105066576392256464038722865687540538231272755771714186110667543832572556671805516411755949576860678780096700667/1401203082840421749394335481533148125400472735693276528754092749068478855391502895572867652579155339883365925350582978939192000000,23482425685209836105066576392256464038722865687540538231272755771714186110667543832572556671805516411755949576860678780096700667/1401203082840421749394335481533148125400472735693276528754092749068478855391502895572867652579155339883365925350582978939192000000,0.0657887866115973,0.0657887866115973,0.0,0.0,0,100,0
H,context_vs_clean_same_state,B,brightness_dark,T013-S0,0.01964125855342891,0.03825065784166169,1238639633273670631730850413910196077773081559866901889755865643742634341858782278902552765621700177130650470774625969325633158457241/63063149945522852265091584603771028564606890856202439891315096440257129322903904079831539354479035363622799704938713156370181696000000,537742856267334419820799946958184745023028733867267473450479387523702057510509545645032921780519686696095995019769802387770284233/14058394982207022522790417958358137490915089387140959560150148891862778473725095521076588792010624015308185599536423793398592000000,0.058711185882791596,0.14726445134466737,-1.8609399288232782,0.48651187556737585,13,76,11
H,context_vs_clean_same_state,B,brightness_dark,T013-S1,0.019243690050819804,0.03822244633259109,629845380676648747231119348163529573709228671726807628569267984468308630380508947628654316077287900121296992171/32729969097055616029180365715493050590264594475548012007122353997819001859264431310737524215937625198986786000000,4363598887144204908974223665119126684569800984257699695375634829062420623555619304562410529905002856401169074116156055025887/114163254993532428024597483256251585302626914218890752544924114526218382423985305569698206477585301443140306419694586754000000,0.052718275612240593,0.15392184899629557,-1.8978756281771287,0.4965343169463408,13,77,10
H,context_vs_clean_same_state,B,brightness_dark,T013-S2,0.01905802534509878,0.038208673127212434,129995893212931913101581018990504128800590727759957568370386808742764035882987397502421480967103778037932669562934473279672955274480123/6821057840935416327644069425464235712439578878635810788112780646534191128675766305247785980414726121857083790982029082136274885810560000,16415040816088300653023683670330677975021430113756549044370194151081749976425599687497153077689137442745304689863466828364370060052023/429615568209758511886435114614518647711242476645988593326109340511798745898274901822828913066953012966983278221895782413409571309360000,0.05897678288765223,0.14752799759228719,-1.9150647782113657,0.5012120603705146,13,77,10
H,context_vs_clean_same_state,B,brightness_dark,T013-S3,0.019556690626693136,0.03823947930616409,2304356293399022911363579530092881755708506847859836777426482535148069126082794059371850073433145248611533898436606591/117829562137357847813926244388242623191911161028517452358573938993098026058603865487400829630364615615948268876092000000,136925186231187355481046595074093147149887624943929340117007381032899227811673046072419527469374986819939281598480898730749717118131823/3580728313136717458366385522712655087292170558410886151053409176767521783222300377558463610959061100682102042843974063278349286874000000,0.062116972107179834,0.14785770955460387,-1.8682788679470952,0.48857330221176265,13,76,11
H,context_vs_clean_same_state,B,contrast_low,T013-S0,0.03873083875527083,0.11821101832805207,14298202666721002306503675910952634567803787252663450311039500314076894020891509759900642971045249263027199574421357161194660548958552914799991/369168423050873848961335096526647168162548608195661872912726928394982008254129405285385151925953380927870872581345059917589773378498341299200000,8326739269808620434907308925428137467350141518835309491294271225892382959739794028766832991372150504050678590244576253937636319715698880114573513306911239097449000471085913/70439620498833342342108277811364999803844244820766524128679519499805886145911586045466530053185514264494973498678667680052236775806550041464896912735641384853365543808000000,0.1482348550293534,0.36249032025960143,-7.9480179572781235,0.6723584712908288,50,31,19
H,context_vs_clean_same_state,B,contrast_low,T013-S1,0.03864987722899762,0.11824860501992915,746174430989972810607280898458753586270371505813085697818594517515341100005888025559910579989282224730923928649637940210927722522904014655490443105362739/19305997443897308726291607320102608002817803511653469246570996203336107303279331084481139505867748882279601691119302597470655385122448246056821606624000000,23675892462481030703326735887749416089112072955341089503509493743559052917246643956260111530812860716999396235294652249608995945206121811133406005455428654572383323949723/200221325727189669510373524084365064243466626046602514315709395108126048719885208991307424559609756511544337792423155938397027062210013266970700655564132767907307392000000,0.1437920827064586,0.35290130755100396,-7.959872779093153,0.6731472881013377,51,26,23
H,context_vs_clean_same_state,B,contrast_low,T013-S2,0.04206099746898902,0.11831532722704277,19356392247174818965215424776519104261331950736747278805031740288460408743595373461406987435957792602388969602952694798415222266241662479708662288831410211/460198126814420328453237232802624983496623997828052458315423705832915139542838506140819043173044632053161400613339076491973840257388907244768734766768000000,52149901322528774656053557957467741142009955874846393586521048679963971886266719104238502640832448224979180203141059421601596232074197732801306548953849551560939364160135223/440770460977173556349976298677547289009734741276196058564961854453874605853164718923997385205555401967743327898944989518420659269641768963778359572996138651833704895896000000,0.18089877976646357,0.35994140036781574,-7.625432975805375,0.6445008566956375,53,20,27
H,context_vs_clean_same_state,B,contrast_low,T013-S3,0.03650438295001408,0.11810711531218511,3086604472542551684040051881616547594743662502178212001393589028095976442647668788014709506415840612126332313753870917417123141433361/84554352740849731982461667581512110735955143720896205100343006321772582137535147690540720777899422306615277162712232977548491310080000,287228766731749391907567248330885568857769562033145342585524057236019114689582763790997920899000431748975594630607388614922084803387737585037828433880299147979/2431934485678831830752310317786169661488888638082355648889396465209863595090377012715075198710126692593214443132723446319581492394125937920362107965904768000000,0.13330760874893963,0.3533767673034052,-8.160273236217103,0.6909213906924715,49,31,20
H,context_vs_clean_same_state,B,gaussian_noise,T013-S0,0.017969750336946207,0.07384223606807337,9342985003467304605252242499350646616770009495995909469469754432737988404732450058827511188648719121324272785911940711664155227583441/519928481380062291185334216586414122202064014126902406082944070055454036619753362100455461310308988806885849809242019252975947968000000,697075386863875057058436140833226273441881288805853641053538339320663459945909074691126674727022217072709012650388574252648898574287346569608463642065473735912485657541/9440063356440860028043174813554554601610552967561451528131030718827258332811902328464026025669689948700780317112259280256437885748566091386834585260680076643186931200000,0.07619593026119839,0.24800817337572728,-5.587248573112716,0.7566467201727162,47,42,11
H,context_vs_clean_same_state,B,gaussian_noise,T013-S1,0.018888835514247998,0.07268488062366445,5450397040246953655472499333583929647036657782141655101513925162777822117813505310342843205410464489459325553504145136572735520982537/288551246906442472243246902703421004100714138473185030398217402234767053550254462856095473972240495775695080824123874341781244712000000,399660105422919643135305934007309988191054687149014951006347236688165648940735461149034717259792551225335806316495308407304835163195591641189495053586139/5498531496422379178791010393810869014948075996834551682006878310729578125911681267775762025235565204891298263450508840635757829093831051913216779088000000,0.07622593529021537,0.24229341508450872,-5.379604510941644,0.7401270339556938,46,42,12
H,context_vs_clean_same_state,B,gaussian_noise,T013-S2,0.01798568156406033,0.07275265982678795,1767119919923174173095443462833741040940003191385182915800939821511814566981703233221529836580222475742822763938285411373561/98251484861952648540825091090530906503548894208764199841697815058377890195195675861575036136984687536525092727336581768000000,47050090489469793881225215216581911207354615025441771331710486413750884796118297495514450649558423870029526581644331985953412097269033788027682882335982135694854600909413921447/646712994431932398519218245443282934912227638300077819787537109845220853895824587075434584094885497164461479953756869870331847582982536767419393753255439808599708125871048000000,0.0747258951968784,0.24200867397212655,-5.476697826272763,0.7527831751185282,47,43,10
H,context_vs_clean_same_state,B,gaussian_noise,T013-S3,0.01811698532922477,0.07210736480664387,17046108764441587111280525944135378556915825889692089722663470975113678981565062819038257022459418607045770562416491180007943/940891017720495916999280382817671984655810749904479099252512541526445266817978835197072173897628572910893627663892113858500000,20487072175326073232182461824174477767131016652354248280871672715253912752518117632798668470473231783112694226043277785981998332375584171314507701037041/284118997140752885089623154894737309025428854122484451274373473505490267661706863878490321262538886138185670005505334402755493952659401425223138359000000,0.07436660950930225,0.24523009474812163,-5.39903794774191,0.7487498624057956,46,43,11
H,context_vs_clean_same_state,B,gaussian_blur,T013-S0,0.020897352436679322,0.07398986015785446,17179212444707696560228856670229178324112268528903799207220291769993616677216555652826086544909882898222914721660836064788222591750812115004537280333623/822076025982818084036170004535407748672079283968954744838240996018218225592831032833657341301810242525248207651264382710915402729654440377747233551360000,3816818022041218073993636645216429363438350663517585077293252613878361018044821132657992377396093187125076731032611678129646234180631874983524877212428574295597512006928793/51585690443233529691678261030034254706898978114292741065516099610361370948144824368303157691490288344847734136088736539693521806161140799814128005647275272901923119904000000,0.07179948551684914,0.2279694432616359,-5.3092507721175135,0.7175646447757079,44,38,18
H,context_vs_clean_same_state,B,gaussian_blur,T013-S1,0.022224239437476274,0.07527678694393708,134750060215874690499665720495041959243275101331024555727887262505647915839352053747144674233495652752530975301562881381124599186453603958332196584659/6063202324424585529572674622120476366207127623156545440584008458986645951411302717852140400280235484138343980974615100861140791469967144448082412000000,52799750517377970697967301543990562050771830572290729115713089389883747506988448877039293796006881021730814842071949505246276653168161716735528715139050960411567397690024547/701408132054054790324984996787731214278871714579682638995088073023089501826848581005331461951292627270113079284370690446549178009119558273104011319295583256282310613836800000,0.09908062573595013,0.22454710496499164,-5.305254750646081,0.7047663650412187,45,37,18
H,context_vs_clean_same_state,B,gaussian_blur,T013-S2,0.02196927788565654,0.073895270730502,14754407556839873167284535421105400797138836279519558916227099111401228078549293598339105155988839162063100466595076994307209541894652681745173690431493413/671592741173929843089052282034485044501581899661273010178324768861628394545791615257834833827682663764106875640065138103532075173180393115500028398832000000,141580982782736635405905785809830410230745777289260007919866531480724405354899688265901814118220826407308680794156816924380732516868137061786165179056442410017702748050451/1915968117893311426217702749097072916675660941735844690300172301128879139560039222466603122147338816958626468623641539902880421139483776166159573656632859527615922444800000,0.0796031542418091,0.22526270686541638,-5.1925992844845466,0.7026971053969194,46,37,17
H,context_vs_clean_same_state,B,gaussian_blur,T013-S3,0.020960100009719585,0.07628052801609775,84291160790606704873287409666510732281760940972384775438332595865021417478341546611967428947433317629111791813229060077248401214988551/4021505658442438002034706463432752383452751233280067230329331335190560355834685134875454329749080088186686149467035741485913555584000000,13270096386904587713437676176570145000888132560988993881443593348636750554147450010780106362807656523827074650123435540364130262630017062888365423756786324803/173964401296542581771800472425112407393131062462731102493537342890083525029928744411554559074467621350845409502545931706602394185125349784952691901299123200000,0.07247307838167148,0.22164866994450325,-5.532042800637816,0.725223454073413,45,37,18
