client,bank,context,true_score,scramble_p05,scramble_median,scramble_p95,true_beats_scramble_median
17,B,clean,0.2807978403796577,0.33603522325898527,0.4000869428414259,0.45619303941154554,True
17,B,brightness_dark,0.27646112376380105,0.33452735144075596,0.42587422806875813,0.491818552377737,True
17,B,contrast_low,0.4875014850947099,0.3945396469299508,0.5714867274999074,0.7321911113396209,True
17,B,gaussian_noise,0.27869848542902764,0.331498436892306,0.3676880337612557,0.4307057373113092,True
17,B,gaussian_blur,0.29707043927593635,0.3972472187007677,0.446467657440851,0.48818808675345315,True
18,A,clean,0.2394132493353066,0.35763853416540253,0.40877075114586525,0.4609187184681513,True
18,A,brightness_dark,0.3172040511068537,0.3773231409820256,0.4229805904210008,0.48264324949601867,True
18,A,contrast_low,0.32138556302681687,0.4154151446529307,0.5161236745092951,0.6123001810731246,True
18,A,gaussian_noise,0.24327404646288658,0.33481768665496164,0.37630611256731206,0.440785455407999,True
18,A,gaussian_blur,0.2961347139420771,0.3744640862325913,0.4839043516057111,0.5467857361941384,True
18,B,clean,0.2394132493353066,0.35763853416540253,0.40877075114586525,0.4609187184681513,True
18,B,brightness_dark,0.3172040511068537,0.3773231409820256,0.4229805904210008,0.48264324949601867,True
18,B,contrast_low,0.32138556302681687,0.4154151446529307,0.5161236745092951,0.6123001810731246,True
18,B,gaussian_noise,0.24327404646288658,0.33481768665496164,0.37630611256731206,0.440785455407999,True
18,B,gaussian_blur,0.2961347139420771,0.3744640862325913,0.4839043516057111,0.5467857361941384,True
19,A,clean,0.3531444419879413,0.38106973489139534,0.4382278731838644,0.5172377007494864,True
19,A,brightness_dark,0.3009268328391297,0.34893989916770685,0.4185004304223996,0.4913345007245956,True
19,A,contrast_low,0.43102435255345395,0.42659958812686977,0.5114930634210891,0.5634003193912437,True
19,A,gaussian_noise,0.3417796583055429,0.35957172385219766,0.397520611943487,0.4321058604981352,True
19,A,gaussian_blur,0.3766025228330908,0.4224420947623859,0.48722358775813135,0.5455554771534683,True
19,B,clean,0.3531444419879413,0.38106973489139534,0.4382278731838644,0.5172377007494864,True
19,B,brightness_dark,0.3009268328391297,0.34893989916770685,0.4185004304223996,0.4913345007245956,True
19,B,contrast_low,0.43102435255345395,0.42659958812686977,0.5114930634210891,0.5634003193912437,True
19,B,gaussian_noise,0.3417796583055429,0.35957172385219766,0.397520611943487,0.4321058604981352,True
19,B,gaussian_blur,0.3766025228330908,0.4224420947623859,0.48722358775813135,0.5455554771534683,True
20,A,clean,0.2771535949926441,0.3663680176053587,0.41701613414487565,0.45206280551069405,True
20,A,brightness_dark,0.24329747653603429,0.3258746212502649,0.3946810259691179,0.4314225100504986,True
20,A,contrast_low,0.41073126167112906,0.4094724115755183,0.469065273349343,0.5948161704844562,True
20,A,gaussian_noise,0.3261281888481674,0.34972098593161693,0.3780142878703881,0.40981058995213815,True
20,A,gaussian_blur,0.3585883786308777,0.4081426085597255,0.45993071226535814,0.500289504157769,True
20,B,clean,0.2771535949926441,0.3663680176053587,0.41701613414487565,0.45206280551069405,True
20,B,brightness_dark,0.24329747653603429,0.3258746212502649,0.3946810259691179,0.4314225100504986,True
20,B,contrast_low,0.41073126167112906,0.4094724115755183,0.469065273349343,0.5948161704844562,True
20,B,gaussian_noise,0.3261281888481674,0.34972098593161693,0.3780142878703881,0.40981058995213815,True
20,B,gaussian_blur,0.3585883786308777,0.4081426085597255,0.45993071226535814,0.500289504157769,True
21,A,clean,0.40283512684235623,0.4813074091535259,0.558622444369806,0.6560182298756114,True
21,A,brightness_dark,0.4298971578872879,0.440559657310086,0.5030916023552966,0.5757550065071295,True
21,A,contrast_low,0.5661397057126464,0.589055176644864,0.6758715678267826,0.7527828632116034,True
21,A,gaussian_noise,0.2791538356314577,0.35520497202576623,0.42520249801976684,0.49780565876967653,True
21,A,gaussian_blur,0.4333304939617171,0.5342919235423567,0.5814479571972595,0.7764285856414255,True
21,B,clean,0.40283512684235623,0.4813074091535259,0.558622444369806,0.6560182298756114,True
21,B,brightness_dark,0.4298971578872879,0.440559657310086,0.5030916023552966,0.5757550065071295,True
21,B,contrast_low,0.5661397057126464,0.589055176644864,0.6758715678267826,0.7527828632116034,True
21,B,gaussian_noise,0.2791538356314577,0.35520497202576623,0.42520249801976684,0.49780565876967653,True
21,B,gaussian_blur,0.4333304939617171,0.5342919235423567,0.5814479571972595,0.7764285856414255,True
22,A,clean,0.5546753500026951,0.3983414049558417,0.5691929374238055,0.703524585770387,True
22,A,brightness_dark,0.3955399774019026,0.3600146059241014,0.39067625280737717,0.46708067088048577,False
22,A,contrast_low,1.8861498537821795,0.50883406583372,1.1326377412571702,1.8155411142059377,False
22,A,gaussian_noise,0.5540047901857368,0.3430003995275591,0.4118060375898786,0.5212666411106643,False
22,A,gaussian_blur,0.5824865114660907,0.43200974991891145,0.6905364619073598,0.8757736010917818,True
22,B,clean,0.5546753500026951,0.3983414049558417,0.5691929374238055,0.703524585770387,True
22,B,brightness_dark,0.3955399774019026,0.3600146059241014,0.39067625280737717,0.46708067088048577,False
22,B,contrast_low,1.8861498537821795,0.50883406583372,1.1326377412571702,1.8155411142059377,False
22,B,gaussian_noise,0.5540047901857368,0.3430003995275591,0.4118060375898786,0.5212666411106643,False
22,B,gaussian_blur,0.5824865114660907,0.43200974991891145,0.6905364619073598,0.8757736010917818,True
23,A,clean,0.5046865426133762,0.3695617802270197,0.44493417320759443,0.51955183851323,False
23,A,brightness_dark,0.5451800479604622,0.4093855853763397,0.4737706064414372,0.5576802626958824,False
23,A,contrast_low,0.5890551972127857,0.421822155642425,0.4733346182740593,0.5868595066116269,False
23,A,gaussian_noise,0.46439627138791006,0.3875474150924292,0.42935269684801436,0.5006959758149704,False
23,A,gaussian_blur,0.6558977387101791,0.4545477425485393,0.4988199804235029,0.5656759475442319,False
23,B,clean,0.5046865426133762,0.3695617802270197,0.44493417320759443,0.51955183851323,False
23,B,brightness_dark,0.5451800479604622,0.4093855853763397,0.4737706064414372,0.5576802626958824,False
23,B,contrast_low,0.5890551972127857,0.421822155642425,0.4733346182740593,0.5868595066116269,False
23,B,gaussian_noise,0.46439627138791006,0.3875474150924292,0.42935269684801436,0.5006959758149704,False
23,B,gaussian_blur,0.6558977387101791,0.4545477425485393,0.4988199804235029,0.5656759475442319,False
24,A,clean,0.20971506991850547,0.3152369067770585,0.3552910660312422,0.4312851388682344,True
24,A,brightness_dark,0.25635815643023513,0.3273935481588671,0.3806361600626181,0.42537223010718156,True
24,A,contrast_low,0.24550854401088046,0.33693825508983255,0.36604220758724065,0.4291542632162606,True
24,A,gaussian_noise,0.22586789218975944,0.3133375490804664,0.3560230636803561,0.4147740769772441,True
24,A,gaussian_blur,0.21353694453524064,0.3335559873366958,0.3910136236989965,0.4794390782309307,True
24,B,clean,0.20971506991850547,0.3152369067770585,0.3552910660312422,0.4312851388682344,True
24,B,brightness_dark,0.25635815643023513,0.3273935481588671,0.3806361600626181,0.42537223010718156,True
24,B,contrast_low,0.24550854401088046,0.33693825508983255,0.36604220758724065,0.4291542632162606,True
24,B,gaussian_noise,0.22586789218975944,0.3133375490804664,0.3560230636803561,0.4147740769772441,True
24,B,gaussian_blur,0.21353694453524064,0.3335559873366958,0.3910136236989965,0.4794390782309307,True
25,A,clean,0.3189623399788586,0.362453767207116,0.4173505892392534,0.515038310337577,True
25,A,brightness_dark,0.3197946086097557,0.36840790786800937,0.4355217440301449,0.49753168933470393,True
25,A,contrast_low,0.32715287109836494,0.360901179448434,0.4157444240400774,0.48092792704609366,True
25,A,gaussian_noise,0.3024004761150829,0.3226377359124234,0.37392888251021805,0.43641130447024146,True
25,A,gaussian_blur,0.35950897471616616,0.4143563528096261,0.4457177480092386,0.5299758445017592,True
25,B,clean,0.3189623399788586,0.362453767207116,0.4173505892392534,0.515038310337577,True
25,B,brightness_dark,0.3197946086097557,0.36840790786800937,0.4355217440301449,0.49753168933470393,True
25,B,contrast_low,0.32715287109836494,0.360901179448434,0.4157444240400774,0.48092792704609366,True
25,B,gaussian_noise,0.3024004761150829,0.3226377359124234,0.37392888251021805,0.43641130447024146,True
