salt,bank,target,policy,zero,accuracy,gain_pp,capture_vs_P00,capture_vs_T014_class_context
T013-S2,B,clean,P11,34.13868991976854,35.08591268598671,0.9472227662181708,0.1552171117843084,0.15411144892803552
T013-S2,B,clean,zero_soft,34.13868991976854,35.26498528078198,1.1262953610134416,0.18456092820757386,0.18324623963559525
T013-S2,B,clean,zero_hard,34.13868991976854,35.52762125044893,1.3889313306803925,0.22759789703501646,0.2259766418910145
T013-S2,B,clean,uniform,34.13868991976854,34.20201827447402,0.063328354705481,0.01037733114321383,0.010303409979107649
T013-S2,B,brightness_dark,P00,17.54602645421106,35.34232442201864,17.796297967807583,1.0,0.9949771434536008
T013-S2,B,brightness_dark,P01,17.54602645421106,32.424807666744606,14.878781212533545,0.836060468275388,0.8318610564791253
T013-S2,B,brightness_dark,P10,17.54602645421106,35.34232442201864,17.796297967807583,1.0,0.9949771434536008
T013-S2,B,brightness_dark,P11,17.54602645421106,32.424807666744606,14.878781212533545,0.836060468275388,0.8318610564791253
T013-S2,B,brightness_dark,zero_soft,17.54602645421106,30.62631520030201,13.08028874609095,0.735000547290925,0.7313087449803577
T013-S2,B,brightness_dark,zero_hard,17.54602645421106,22.029677241556698,4.483650787345636,0.25194289258677766,0.2506774195794294
T013-S2,B,brightness_dark,uniform,17.54602645421106,32.424807666744606,14.878781212533545,0.836060468275388,0.8318610564791253
T013-S2,B,contrast_low,P00,19.95526398771052,33.28492088027388,13.32965689256336,1.0,0.9738856399728683
T013-S2,B,contrast_low,P01,19.95526398771052,28.215705251727467,8.260441264016947,0.6197039676711755,0.6035207951491685
T013-S2,B,contrast_low,P10,19.95526398771052,33.28492088027388,13.32965689256336,1.0,0.9738856399728683
T013-S2,B,contrast_low,P11,19.95526398771052,28.215705251727467,8.260441264016947,0.6197039676711755,0.6035207951491685
T013-S2,B,contrast_low,zero_soft,19.95526398771052,26.336401416980397,6.381137429269877,0.4787173053816505,0.46621590931769574
T013-S2,B,contrast_low,zero_hard,19.95526398771052,22.858370842591878,2.9031068548813574,0.21779306686438463,0.2121055403048749
T013-S2,B,contrast_low,uniform,19.95526398771052,28.1116255098242,8.15636152211368,0.6118958340678768,0.5959165659579262
T013-S2,B,gaussian_noise,P00,30.67664385146025,37.58709866661272,6.910454815152474,1.0,0.9943787052965415
T013-S2,B,gaussian_noise,P01,30.67664385146025,32.92890289681292,2.2522590453526754,0.3259205226860283,0.3240884273781049
T013-S2,B,gaussian_noise,P10,30.67664385146025,37.58709866661272,6.910454815152474,1.0,0.9943787052965415
T013-S2,B,gaussian_noise,P11,30.67664385146025,32.92890289681292,2.2522590453526754,0.3259205226860283,0.3240884273781049
T013-S2,B,gaussian_noise,zero_soft,30.67664385146025,32.683723795885264,2.007079944425018,0.29044107777452177,0.2888084228823611
T013-S2,B,gaussian_noise,zero_hard,30.67664385146025,32.5962140607215,1.9195702092612572,0.2777776948996523,0.276216224614574
T013-S2,B,gaussian_noise,uniform,30.67664385146025,32.40677112345036,1.7301272719901184,0.25036373412014623,0.24895636578759858
T013-S2,B,gaussian_blur,P00,30.901579176174376,39.89328394729362,8.99170477111924,1.0,0.9820446992502753
T013-S2,B,gaussian_blur,P01,30.901579176174376,34.143536656075895,3.241957479901521,0.3605498136809911,0.35407603334109167
T013-S2,B,gaussian_blur,P10,30.901579176174376,39.89328394729362,8.99170477111924,1.0,0.9820446992502753
T013-S2,B,gaussian_blur,P11,30.901579176174376,32.68974676809234,1.7881675919179654,0.19886858359289566,0.19529783836481346
T013-S2,B,gaussian_blur,zero_soft,30.901579176174376,33.19407147088305,2.2924922947086728,0.25495635733860017,0.2503785392645313
T013-S2,B,gaussian_blur,zero_hard,30.901579176174376,33.910850928058245,3.009271751883866,0.3346719925179758,0.3286628562398059
T013-S2,B,gaussian_blur,uniform,30.901579176174376,31.71666431644708,0.8150851402727047,0.09064856565250053,0.08902094339367872
T013-S3,A,clean,P00,34.13868991976854,40.38604609693085,6.247356177162305,1.0,0.9930661174591618
T013-S3,A,clean,P01,34.13868991976854,36.27397725248672,2.1352873327181876,0.3417905546227532,0.33942061906343113
T013-S3,A,clean,P10,34.13868991976854,40.24929453743073,6.110604617662191,0.9781104909625579,0.971328387706262
T013-S3,A,clean,P11,34.13868991976854,35.43671441972026,1.2980244999517245,0.2077718098892382,0.20633114456416887
T013-S3,A,clean,zero_soft,34.13868991976854,35.60923561691366,1.4705456971451178,0.23538688293790763,0.23375473793996215
T013-S3,A,clean,zero_hard,34.13868991976854,36.01260831927981,1.873918399511275,0.2999538278866713,0.29787398327643033
T013-S3,A,clean,uniform,34.13868991976854,34.32098622560271,0.18229630583417034,0.0291797523087556,0.02897742333367594
T013-S3,A,brightness_dark,P00,17.54602645421106,35.48452351780137,17.93849706359031,1.0,1.0031664587779958
T013-S3,A,brightness_dark,P01,17.54602645421106,32.296535703287994,14.75050924907693,0.8222823348459875,0.8248860579631514
T013-S3,A,brightness_dark,P10,17.54602645421106,35.48452351780137,17.93849706359031,1.0,1.0031664587779958
T013-S3,A,brightness_dark,P11,17.54602645421106,32.296535703287994,14.75050924907693,0.8222823348459875,0.8248860579631514
T013-S3,A,brightness_dark,zero_soft,17.54602645421106,30.400597898663946,12.854571444452885,0.7165913286316361,0.7188603855344174
T013-S3,A,brightness_dark,zero_hard,17.54602645421106,22.17416891371125,4.628142459500187,0.25800056956242484,0.2588175177306437
T013-S3,A,brightness_dark,uniform,17.54602645421106,32.296535703287994,14.75050924907693,0.8222823348459875,0.8248860579631514
T013-S3,A,contrast_low,P00,19.95526398771052,33.53922442849891,13.58396044078839,1.0,0.9860481633734949
T013-S3,A,contrast_low,P01,19.95526398771052,28.6003456271411,8.64508163943058,0.6364183462631487,0.6275391414699747
T013-S3,A,contrast_low,P10,19.95526398771052,33.53922442849891,13.58396044078839,1.0,0.9860481633734949
T013-S3,A,contrast_low,P11,19.95526398771052,28.6003456271411,8.64508163943058,0.6364183462631487,0.6275391414699747
T013-S3,A,contrast_low,zero_soft,19.95526398771052,28.323714131846064,8.368450144135544,0.6160537775866678,0.6074586959286373
T013-S3,A,contrast_low,zero_hard,19.95526398771052,23.20335649068271,3.2480925029721903,0.23911233525233064,0.23577627901550802
T013-S3,A,contrast_low,uniform,19.95526398771052,28.561473420506015,8.606209432795497,0.6335567208333247,0.6247174409706339
