bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,top_class_in_true_argmax,spearman_mean,spearman_median,spearman_valid
A,gaussian_noise,pi_zero_hard,quartile_2,25,1.5040000000000004,1.5,0.43882366198079603,0.44918523733161797,0.12,0.12,0.17779654080197166,0.27308444891971223,25
A,gaussian_noise,pi_zero_hard,quartile_3,25,1.2600000000000002,1.4000000000000001,0.37113341446822795,0.43774193805495054,0.24,0.24,0.147070777385736,0.050404153473376366,25
A,gaussian_noise,pi_zero_hard,quartile_4,25,1.2360000000000002,1.3,0.35044283840588425,0.34298991372915677,0.24,0.24,0.15484632049086178,0.12815593247855372,25
A,gaussian_noise,pi_oracle_state_soft,all,100,1.302194286105449,1.3318112792074057,0.33777475431891496,0.3317113922461049,0.27,0.27,0.24329348863920225,0.3027495893961478,100
A,gaussian_noise,pi_oracle_state_soft,quartile_1,25,1.4234970526189938,1.532183634662358,0.37797907491372884,0.41344955500644764,0.48,0.48,0.28250485594721064,0.2901294265928297,25
A,gaussian_noise,pi_oracle_state_soft,quartile_2,25,1.458982460928162,1.4895898690429314,0.39143923687847937,0.40829885190295623,0.12,0.12,0.24292268184814325,0.3027495893961478,25
A,gaussian_noise,pi_oracle_state_soft,quartile_3,25,1.22628033734744,1.2667858529209735,0.31067763028238665,0.32242675487426364,0.28,0.28,0.24912525451117581,0.3084435454322494,25
A,gaussian_noise,pi_oracle_state_soft,quartile_4,25,1.1000172935271997,1.1517352391815876,0.2710030752010649,0.27501023672138647,0.2,0.2,0.1986211622502793,0.23115669303779424,25
A,gaussian_noise,pi_source_state_soft,all,100,1.302194286105449,1.3318112792074057,0.33777475431891496,0.3317113922461049,0.27,0.27,0.24329348863920225,0.3027495893961478,100
A,gaussian_noise,pi_source_state_soft,quartile_1,25,1.4234970526189938,1.532183634662358,0.37797907491372884,0.41344955500644764,0.48,0.48,0.28250485594721064,0.2901294265928297,25
A,gaussian_noise,pi_source_state_soft,quartile_2,25,1.458982460928162,1.4895898690429314,0.39143923687847937,0.40829885190295623,0.12,0.12,0.24292268184814325,0.3027495893961478,25
A,gaussian_noise,pi_source_state_soft,quartile_3,25,1.22628033734744,1.2667858529209735,0.31067763028238665,0.32242675487426364,0.28,0.28,0.24912525451117581,0.3084435454322494,25
A,gaussian_noise,pi_source_state_soft,quartile_4,25,1.1000172935271997,1.1517352391815876,0.2710030752010649,0.27501023672138647,0.2,0.2,0.1986211622502793,0.23115669303779424,25
A,gaussian_noise,pi_source_state_soft,context_True,100,1.302194286105449,1.3318112792074057,0.33777475431891496,0.3317113922461049,0.27,0.27,0.24329348863920225,0.3027495893961478,100
A,gaussian_noise,pi_source_state_soft,context_False,0,,,,,,,,,0
A,gaussian_blur,pi_zero_soft,all,100,1.3293515808042264,1.3106388862427778,0.3408078097421047,0.3245526900008219,0.3,0.3,0.24199728187186725,0.2901294265928297,100
A,gaussian_blur,pi_zero_soft,quartile_1,25,1.4650924333201127,1.5730986776396687,0.3865651599665671,0.42450535207695417,0.44,0.44,0.26390711253425164,0.3113995776646092,25
A,gaussian_blur,pi_zero_soft,quartile_2,25,1.4698729004726956,1.532918939572542,0.3903758960554836,0.41145604452761564,0.2,0.2,0.22958372530689197,0.18164975363768868,25
A,gaussian_blur,pi_zero_soft,quartile_3,25,1.2419924381979597,1.2593593709862534,0.31115762442071876,0.31364400192738406,0.36,0.36,0.2629530464422079,0.23115669303779424,25
A,gaussian_blur,pi_zero_soft,quartile_4,25,1.1404485512261373,1.2053962584817586,0.27513255852564955,0.267083781962574,0.2,0.2,0.2115452432041174,0.3209107087394919,25
A,gaussian_blur,pi_zero_hard,all,100,1.3229999999999997,1.4,0.3845379620714582,0.3783752342796749,0.3,0.3,0.17271062621088507,0.1952722589783058,100
A,gaussian_blur,pi_zero_hard,quartile_1,25,1.296,1.6,0.3824303769010397,0.4228104552401626,0.44,0.44,0.20432066246668662,0.3069703067574603,25
A,gaussian_blur,pi_zero_hard,quartile_2,25,1.4879999999999998,1.5999999999999999,0.4367752825133958,0.43751800809102914,0.2,0.2,0.16038711435867192,0.1851851851851852,25
A,gaussian_blur,pi_zero_hard,quartile_3,25,1.232,1.3,0.3475682472468778,0.36260560740140235,0.36,0.36,0.2236317942402753,0.22681869063019364,25
A,gaussian_blur,pi_zero_hard,quartile_4,25,1.276,1.3,0.3713779416245198,0.36513629889508703,0.2,0.2,0.10250293377790659,0.08616076077126703,25
A,gaussian_blur,pi_oracle_state_soft,all,100,1.3029918275432835,1.3280455755891287,0.33800459975046154,0.33783575710733105,0.27,0.27,0.24552921538181954,0.29643950799448876,100
A,gaussian_blur,pi_oracle_state_soft,quartile_1,25,1.4356890548875187,1.5572176211089064,0.3814057812709011,0.4142330281676456,0.48,0.48,0.27786278512172535,0.3113995776646092,25
A,gaussian_blur,pi_oracle_state_soft,quartile_2,25,1.4564534442189054,1.4643439022168925,0.3897193530348805,0.39778895477606735,0.12,0.12,0.253206672687027,0.354649519006916,25
A,gaussian_blur,pi_oracle_state_soft,quartile_3,25,1.2260877113881887,1.300843716042565,0.31184236546321714,0.3376937595512379,0.28,0.28,0.24411530906360604,0.32900644846106597,25
A,gaussian_blur,pi_oracle_state_soft,quartile_4,25,1.0937370996785207,1.1433537740051767,0.26905089923284714,0.2726655402499132,0.2,0.2,0.20693209465491982,0.20133002296840144,25
A,gaussian_blur,pi_source_state_soft,all,100,1.3115815332006706,1.3280455755891287,0.3408623756280953,0.33783575710733105,0.27,0.27,0.2420476622627056,0.29643950799448876,100
A,gaussian_blur,pi_source_state_soft,quartile_1,25,1.4700478775170687,1.5572176211089064,0.3928368847814362,0.4142330281676456,0.48,0.48,0.2639365726452695,0.3113995776646092,25
A,gaussian_blur,pi_source_state_soft,quartile_2,25,1.4564534442189054,1.4643439022168925,0.3897193530348805,0.39778895477606735,0.12,0.12,0.253206672687027,0.354649519006916,25
A,gaussian_blur,pi_source_state_soft,quartile_3,25,1.2260877113881887,1.300843716042565,0.31184236546321714,0.3376937595512379,0.28,0.28,0.24411530906360604,0.32900644846106597,25
A,gaussian_blur,pi_source_state_soft,quartile_4,25,1.0937370996785207,1.1433537740051767,0.26905089923284714,0.2726655402499132,0.2,0.2,0.20693209465491982,0.20133002296840144,25
A,gaussian_blur,pi_source_state_soft,context_True,96,1.3099893940333258,1.3335040688529127,0.34053417606129005,0.33847540242982377,0.25,0.25,0.237802882330981,0.2901294265928297,96
A,gaussian_blur,pi_source_state_soft,context_False,4,1.349792873216951,1.2338830829734813,0.3487391652314216,0.2874360606906276,0.75,0.75,0.34392238062409564,0.4557412199739275,4
B,clean,pi_zero_soft,all,100,1.2869922052452523,1.2967403799166164,0.33223092264445486,0.32530580766506934,0.27,0.27,0.2662093949321779,0.318658036487809,100
B,clean,pi_zero_soft,quartile_1,25,1.408415798916098,1.5389301407230445,0.3720321572822348,0.3998131679914467,0.48,0.48,0.30874297460436545,0.37194949554383877,25
B,clean,pi_zero_soft,quartile_2,25,1.4466589147720008,1.4543962323179516,0.3861612119614542,0.39633100055710146,0.12,0.12,0.2695331911280991,0.3370999312316211,25
B,clean,pi_zero_soft,quartile_3,25,1.207355312539851,1.2676771376536604,0.30453744308361375,0.3196361007738735,0.28,0.28,0.2646084635472257,0.3504633733153655,25
B,clean,pi_zero_soft,quartile_4,25,1.0855387947530593,1.1578731693818956,0.26619287825051685,0.2682631213322253,0.2,0.2,0.2219529504490215,0.27589669814188345,25
B,clean,pi_zero_hard,all,100,1.264,1.3,0.3609625216568672,0.34352859132378344,0.29,0.29,0.20675758208886358,0.20718243331862085,100
B,clean,pi_zero_hard,quartile_1,25,1.236,1.3,0.3567732513130986,0.31452722203472094,0.44,0.44,0.2381547384402171,0.3831305140884606,25
B,clean,pi_zero_hard,quartile_2,25,1.4440000000000004,1.5,0.41660752635969805,0.425559122195069,0.16,0.16,0.20474883861678214,0.31337559712098123,25
B,clean,pi_zero_hard,quartile_3,25,1.1960000000000002,1.2999999999999998,0.3365706347789731,0.3317910444917114,0.28,0.28,0.20461173182763873,0.16761959991370148,25
B,clean,pi_zero_hard,quartile_4,25,1.18,1.3,0.3338986741756991,0.32214171981779427,0.28,0.28,0.17951501947081636,0.16508454493605446,25
B,clean,pi_oracle_state_soft,all,100,1.2869922052452523,1.2967403799166164,0.33223092264445486,0.32530580766506934,0.27,0.27,0.2662093949321779,0.318658036487809,100
B,clean,pi_oracle_state_soft,quartile_1,25,1.408415798916098,1.5389301407230445,0.3720321572822348,0.3998131679914467,0.48,0.48,0.30874297460436545,0.37194949554383877,25
B,clean,pi_oracle_state_soft,quartile_2,25,1.4466589147720008,1.4543962323179516,0.3861612119614542,0.39633100055710146,0.12,0.12,0.2695331911280991,0.3370999312316211,25
B,clean,pi_oracle_state_soft,quartile_3,25,1.207355312539851,1.2676771376536604,0.30453744308361375,0.3196361007738735,0.28,0.28,0.2646084635472257,0.3504633733153655,25
B,clean,pi_oracle_state_soft,quartile_4,25,1.0855387947530593,1.1578731693818956,0.26619287825051685,0.2682631213322253,0.2,0.2,0.2219529504490215,0.27589669814188345,25
B,clean,pi_source_state_soft,all,100,1.2953336478323265,1.3319333905189665,0.3354659986317635,0.3345696893678667,0.27,0.27,0.2520232921480773,0.29643950799448876,100
B,clean,pi_source_state_soft,quartile_1,25,1.4246670211848196,1.5389301407230445,0.3781763938121405,0.3998131679914467,0.48,0.48,0.29011684562345663,0.3113995776646092,25
B,clean,pi_source_state_soft,quartile_2,25,1.4466589147720008,1.4543962323179516,0.3861612119614542,0.39633100055710146,0.12,0.12,0.2695331911280991,0.3370999312316211,25
B,clean,pi_source_state_soft,quartile_3,25,1.2244698606194269,1.2800817162102023,0.31133351050294283,0.3271736720846079,0.28,0.28,0.22649018139173194,0.1797866299901979,25
B,clean,pi_source_state_soft,quartile_4,25,1.0855387947530593,1.1578731693818956,0.26619287825051685,0.2682631213322253,0.2,0.2,0.2219529504490215,0.27589669814188345,25
B,clean,pi_source_state_soft,context_True,93,1.2877710374311921,1.3144103178605537,0.33318196174537057,0.3317286652370922,0.25806451612903225,0.25806451612903225,0.25830725328125187,0.3027495893961478,93
B,clean,pi_source_state_soft,context_False,7,1.39580832887597,1.3879549843745276,0.365811060122413,0.34510491162844015,0.42857142857142855,0.42857142857142855,0.16853637995018644,0.1565900178643122,7
B,brightness_dark,pi_zero_soft,all,100,1.4755939924802903,1.5090927318794778,0.3999580516926695,0.4042294604369602,0.15,0.15,0.10371606459339067,0.17279050442735322,100
B,brightness_dark,pi_zero_soft,quartile_1,25,1.628487959811154,1.7247681534085308,0.4591732244603615,0.4833420041543386,0.24,0.24,0.12297176125190097,0.19894973017461143,25
B,brightness_dark,pi_zero_soft,quartile_2,25,1.596387231370265,1.657000990255885,0.45237057460683405,0.45187831666294875,0.12,0.12,0.014934341253621924,0.03728333758674101,25
B,brightness_dark,pi_zero_soft,quartile_3,25,1.3506001873614357,1.3840191157228392,0.3538556139339384,0.3748683997532185,0.16,0.16,0.19305200362002914,0.17150335289900864,25
B,brightness_dark,pi_zero_soft,quartile_4,25,1.3269005913783074,1.3379237756179938,0.3344327937695442,0.3420040867520835,0.08,0.08,0.08390615224801062,0.11185001276022301,25
B,brightness_dark,pi_zero_hard,all,100,1.574,1.7000000000000002,0.49285916192194884,0.5382673918496315,0.14,0.14,0.07419384140195584,0.07340263761140489,100
B,brightness_dark,pi_zero_hard,quartile_1,25,1.54,1.8,0.4845455567540221,0.5474673938870493,0.2,0.2,0.11855888698696793,0.19977432661993444,25
B,brightness_dark,pi_zero_hard,quartile_2,25,1.696,1.9,0.5490965836081907,0.621376824859474,0.12,0.12,0.01536973098042957,0.0638550856814101,25
B,brightness_dark,pi_zero_hard,quartile_3,25,1.452,1.7,0.4474316078050029,0.47050006482778794,0.16,0.16,0.10950126464204737,0.2084875972073649,25
B,brightness_dark,pi_zero_hard,quartile_4,25,1.6079999999999999,1.7000000000000002,0.4903628995205792,0.5163993119678616,0.08,0.08,0.05334548299837845,0.04035399987325775,25
B,brightness_dark,pi_oracle_state_soft,all,100,1.3083136651673075,1.298764009812854,0.34060186390775643,0.3262383619942417,0.29,0.29,0.2389516785349835,0.30707458353037853,100
B,brightness_dark,pi_oracle_state_soft,quartile_1,25,1.443669690578342,1.5303526652792199,0.3851349312495705,0.40850141309552634,0.48,0.48,0.29060692208008043,0.354649519006916,25
B,brightness_dark,pi_oracle_state_soft,quartile_2,25,1.464882160276817,1.4616983426464605,0.39576772357442086,0.3969954630736414,0.12,0.12,0.22617133896546845,0.3027495893961478,25
B,brightness_dark,pi_oracle_state_soft,quartile_3,25,1.2211364808441623,1.2712645317094624,0.3110261264325564,0.31638587763743464,0.32,0.32,0.2322244325103889,0.2472066162365221,25
B,brightness_dark,pi_oracle_state_soft,quartile_4,25,1.1035663289699085,1.1675886731342873,0.27047867437447776,0.2717221602040081,0.24,0.24,0.20680402058399636,0.24580394711961082,25
B,brightness_dark,pi_source_state_soft,all,100,1.3083136651673075,1.298764009812854,0.34060186390775643,0.3262383619942417,0.29,0.29,0.2389516785349835,0.30707458353037853,100
B,brightness_dark,pi_source_state_soft,quartile_1,25,1.443669690578342,1.5303526652792199,0.3851349312495705,0.40850141309552634,0.48,0.48,0.29060692208008043,0.354649519006916,25
