client,bank,target,role,candidate,delta_J,delta_accuracy,zero_accuracy,candidate_accuracy
30,B,gaussian_blur,true,gaussian_blur,30.969723176565218,-9.454545454545455,32.0,22.545454545454547
31,A,clean,selected,clean,0.0,0.0,62.87128712871287,62.87128712871287
31,A,clean,true,clean,0.0,0.0,62.87128712871287,62.87128712871287
31,B,clean,selected,clean,0.0,0.0,62.87128712871287,62.87128712871287
31,B,clean,true,clean,0.0,0.0,62.87128712871287,62.87128712871287
31,A,brightness_dark,selected,brightness_dark,148.44193519467578,44.55445544554456,11.386138613861387,55.940594059405946
31,A,brightness_dark,true,brightness_dark,148.44193519467578,44.55445544554456,11.386138613861387,55.940594059405946
31,B,brightness_dark,selected,brightness_dark,145.2640067329118,44.05940594059407,11.386138613861387,55.44554455445545
31,B,brightness_dark,true,brightness_dark,145.2640067329118,44.05940594059407,11.386138613861387,55.44554455445545
31,A,contrast_low,selected,contrast_low,61.693929414892736,20.2970297029703,42.07920792079208,62.37623762376238
31,A,contrast_low,true,contrast_low,61.693929414892736,20.2970297029703,42.07920792079208,62.37623762376238
31,B,contrast_low,selected,contrast_low,69.16047072627939,14.356435643564353,42.07920792079208,56.43564356435643
31,B,contrast_low,true,contrast_low,69.16047072627939,14.356435643564353,42.07920792079208,56.43564356435643
31,A,gaussian_noise,selected,gaussian_noise,13.043641241825657,10.89108910891089,51.48514851485149,62.37623762376238
31,A,gaussian_noise,true,gaussian_noise,13.043641241825657,10.89108910891089,51.48514851485149,62.37623762376238
31,B,gaussian_noise,selected,gaussian_noise,15.881123848675891,10.89108910891089,51.48514851485149,62.37623762376238
31,B,gaussian_noise,true,gaussian_noise,15.881123848675891,10.89108910891089,51.48514851485149,62.37623762376238
31,A,gaussian_blur,selected,gaussian_blur,12.308692558509392,-7.920792079207917,68.8118811881188,60.89108910891089
31,A,gaussian_blur,true,gaussian_blur,12.308692558509392,-7.920792079207917,68.8118811881188,60.89108910891089
31,B,gaussian_blur,selected,gaussian_blur,11.166015701148346,-8.415841584158413,68.8118811881188,60.396039603960396
31,B,gaussian_blur,true,gaussian_blur,11.166015701148346,-8.415841584158413,68.8118811881188,60.396039603960396
32,A,clean,selected,clean,0.0,0.0,29.797979797979796,29.797979797979796
32,A,clean,true,clean,0.0,0.0,29.797979797979796,29.797979797979796
32,B,clean,selected,clean,0.0,0.0,29.797979797979796,29.797979797979796
32,B,clean,true,clean,0.0,0.0,29.797979797979796,29.797979797979796
32,A,brightness_dark,selected,brightness_dark,144.39717738698408,19.191919191919194,7.07070707070707,26.262626262626267
32,A,brightness_dark,true,brightness_dark,144.39717738698408,19.191919191919194,7.07070707070707,26.262626262626267
32,B,brightness_dark,selected,brightness_dark,143.50658050615212,18.686868686868685,7.07070707070707,25.757575757575758
32,B,brightness_dark,true,brightness_dark,143.50658050615212,18.686868686868685,7.07070707070707,25.757575757575758
32,A,contrast_low,selected,contrast_low,66.5410008038992,4.545454545454547,21.71717171717172,26.262626262626267
32,A,contrast_low,true,contrast_low,66.5410008038992,4.545454545454547,21.71717171717172,26.262626262626267
32,B,contrast_low,selected,contrast_low,73.50354250702568,2.525252525252525,21.71717171717172,24.242424242424242
32,B,contrast_low,true,contrast_low,73.50354250702568,2.525252525252525,21.71717171717172,24.242424242424242
32,A,gaussian_noise,selected,gaussian_noise,17.15929869038108,5.555555555555553,25.252525252525253,30.808080808080806
32,A,gaussian_noise,true,gaussian_noise,17.15929869038108,5.555555555555553,25.252525252525253,30.808080808080806
