target,context,layer,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,negative_scale_fraction,cap_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
brightness_dark,random_derangement_2,1,0.5475831474137618,0.1835241387292291,0.10057609384360867,0.9884300357103348,0.2499646718800068,0.3078125,0.0,4.871858596801758,1.0793293714523315,0.0,0
brightness_dark,random_derangement_2,2,0.8529500853276604,0.19713207232892097,0.16804625870617337,1.5932587081193923,0.970154593884945,0.21234375,0.0140625,9.0,17.269298553466797,0.125,1
brightness_dark,random_derangement_3,1,0.5476797906551708,0.1834524186668223,0.10056523035957088,0.9818448030948639,0.24942067101597787,0.30125,0.0,4.721117973327637,1.0726981163024902,0.0,0
brightness_dark,random_derangement_3,2,0.8530270289527608,0.19702911666359182,0.1679791443105838,1.575887810587883,0.9454599303007126,0.19515625,0.01109375,9.0,15.452376365661621,0.09375,0
brightness_dark,random_derangement_4,1,0.5483614460982698,0.18331177663837925,0.10056238912089473,0.9871679610013961,0.24769269675016403,0.289375,0.0,4.959014892578125,0.9396558403968811,0.0,0
brightness_dark,random_derangement_4,2,0.8536516500017457,0.1970519946298931,0.1680934740638444,1.5258865767717362,0.9117542505264282,0.2046875,0.01203125,9.0,17.237892150878906,0.109375,1
brightness_dark,random_derangement_5,1,0.5475563901173881,0.18350609272029783,0.1005708511963946,0.9880094265937805,0.24979505121707915,0.3065625,0.0,4.410494327545166,1.0819672346115112,0.0,0
brightness_dark,random_derangement_5,2,0.8530031650559677,0.19713132245953932,0.16803618579415885,1.5258834171295166,0.9294740030169487,0.20578125,0.01109375,9.0,17.270145416259766,0.09375,0
brightness_dark,random_derangement_6,1,0.5476929462687816,0.18352900587789642,0.10058786408162719,0.9847301471233368,0.24955744698643684,0.296875,0.0,3.8978919982910156,0.955171525478363,0.0,0
brightness_dark,random_derangement_6,2,0.8529621698608335,0.1971655847062437,0.16807660202758773,1.5959577041864395,0.9789953354001045,0.20578125,0.015,9.0,16.825899124145508,0.171875,1
brightness_dark,random_derangement_7,1,0.5487903495777114,0.1830338917917471,0.10052898387461774,0.9837811970710755,0.24661378160119057,0.28375,0.0,3.1345903873443604,1.0504626035690308,0.0,0
brightness_dark,random_derangement_7,2,0.8540420400311907,0.19680327659422986,0.16798149137551377,1.4682604151964187,0.894418120086193,0.20984375,0.0096875,9.0,15.974671363830566,0.078125,0
contrast_low,correct_pair,1,0.522142625921633,0.04940727758804883,0.025375765282914842,0.8891460585594178,0.04744728598743677,0.0,0.0,3.4868922233581543,0.2338014841079712,0.0,0
contrast_low,correct_pair,2,0.8572748800890444,0.051810660082446044,0.04433719738771126,0.1692041726410389,0.09241886548697949,0.0034375,0.0,1.1928582191467285,0.6348704695701599,0.0,0
contrast_low,low_semantic_derangement,1,0.6858939301053293,0.14629870739062592,0.10031667624837505,0.9870144003629684,0.2557710465788841,0.45125,0.0,1.4465739727020264,0.9029845595359802,0.0,0
contrast_low,low_semantic_derangement,2,0.8519805405509238,0.19697365514576196,0.1676962566695909,1.1442600840330124,0.6355366817116738,0.1675,0.0021875,9.0,11.910426139831543,0.046875,0
