client,target,context,centered_acc,centered_same_label
16,brightness_dark,random_derangement_7,-1.190476305782795,0.014344262295081955
17,brightness_dark,random_derangement_0,-6.896549463272095,0.068359375
17,brightness_dark,random_derangement_1,0.0,0.021484375
17,brightness_dark,random_derangement_2,-2.2988498210906982,-0.025390625
17,brightness_dark,random_derangement_3,2.2988498210906982,0.005859375
17,brightness_dark,random_derangement_4,2.2988498210906982,-0.041015625
17,brightness_dark,random_derangement_5,1.149427890777588,0.005859375
17,brightness_dark,random_derangement_6,6.896549463272095,0.037109375
17,brightness_dark,random_derangement_7,-3.448277711868286,-0.072265625
18,brightness_dark,random_derangement_0,0.0,0.033333333333333326
18,brightness_dark,random_derangement_1,0.0,0.09999999999999998
18,brightness_dark,random_derangement_2,0.0,0.06666666666666665
18,brightness_dark,random_derangement_3,0.0,-0.033333333333333326
18,brightness_dark,random_derangement_4,0.0,-0.033333333333333326
18,brightness_dark,random_derangement_5,0.0,-0.06666666666666665
18,brightness_dark,random_derangement_6,0.0,-0.06666666666666665
18,brightness_dark,random_derangement_7,0.0,0.0
19,brightness_dark,random_derangement_0,0.0,-0.015625
19,brightness_dark,random_derangement_1,1.0989010334014893,0.109375
19,brightness_dark,random_derangement_2,0.0,-0.046875
19,brightness_dark,random_derangement_3,1.0989010334014893,-0.03125
19,brightness_dark,random_derangement_4,0.0,0.046875
19,brightness_dark,random_derangement_5,1.0989010334014893,-0.125
19,brightness_dark,random_derangement_6,1.0989010334014893,0.015625
19,brightness_dark,random_derangement_7,-4.395604133605957,0.046875
20,brightness_dark,random_derangement_0,0.08223652839660645,0.0
20,brightness_dark,random_derangement_1,0.08223652839660645,0.0
20,brightness_dark,random_derangement_2,0.08223652839660645,0.0
20,brightness_dark,random_derangement_3,0.08223652839660645,0.0
20,brightness_dark,random_derangement_4,0.08223652839660645,0.0
20,brightness_dark,random_derangement_5,0.08223652839660645,0.0
20,brightness_dark,random_derangement_6,0.08223652839660645,0.0
20,brightness_dark,random_derangement_7,-0.5756556987762451,0.0
21,brightness_dark,random_derangement_0,0.0,0.0
21,brightness_dark,random_derangement_1,0.0,0.0
21,brightness_dark,random_derangement_2,0.0,0.0
21,brightness_dark,random_derangement_3,0.0,0.0
21,brightness_dark,random_derangement_4,0.0,0.0
21,brightness_dark,random_derangement_5,0.0,0.0
21,brightness_dark,random_derangement_6,0.0,0.0
21,brightness_dark,random_derangement_7,0.0,0.0
22,brightness_dark,random_derangement_0,0.07142871618270874,-0.00390625
22,brightness_dark,random_derangement_1,0.07142871618270874,-0.03515625
22,brightness_dark,random_derangement_2,0.07142871618270874,-0.06640625
22,brightness_dark,random_derangement_3,0.07142871618270874,0.12109375
22,brightness_dark,random_derangement_4,-0.5000010132789612,-0.00390625
22,brightness_dark,random_derangement_5,0.07142871618270874,-0.03515625
22,brightness_dark,random_derangement_6,0.07142871618270874,0.02734375
22,brightness_dark,random_derangement_7,0.07142871618270874,-0.00390625
23,brightness_dark,random_derangement_0,-1.160714030265808,-0.01953125
23,brightness_dark,random_derangement_1,0.26785731315612793,-0.00390625
23,brightness_dark,random_derangement_2,0.26785731315612793,0.04296875
23,brightness_dark,random_derangement_3,-0.4464298486709595,0.01171875
23,brightness_dark,random_derangement_4,0.26785731315612793,-0.09765625
23,brightness_dark,random_derangement_5,0.26785731315612793,0.02734375
23,brightness_dark,random_derangement_6,0.26785731315612793,0.04296875
23,brightness_dark,random_derangement_7,0.26785731315612793,-0.00390625
24,brightness_dark,random_derangement_0,0.0,0.021484375
24,brightness_dark,random_derangement_1,0.0,-0.025390625
24,brightness_dark,random_derangement_2,0.0,-0.025390625
24,brightness_dark,random_derangement_3,0.0,0.005859375
24,brightness_dark,random_derangement_4,0.0,-0.025390625
24,brightness_dark,random_derangement_5,0.0,-0.009765625
24,brightness_dark,random_derangement_6,0.0,0.021484375
24,brightness_dark,random_derangement_7,0.0,0.037109375
25,brightness_dark,random_derangement_0,2.430556481704116,-0.013671875
25,brightness_dark,random_derangement_1,5.2083326037973166,-0.013671875
25,brightness_dark,random_derangement_2,2.430556481704116,-0.013671875
25,brightness_dark,random_derangement_3,-3.1250002328306437,-0.029296875
25,brightness_dark,random_derangement_4,5.2083326037973166,0.033203125
25,brightness_dark,random_derangement_5,2.430556481704116,-0.029296875
25,brightness_dark,random_derangement_6,-19.791667023673654,-0.013671875
25,brightness_dark,random_derangement_7,5.2083326037973166,0.080078125
26,brightness_dark,random_derangement_0,0.0,0.005859375
26,brightness_dark,random_derangement_1,0.0,-0.009765625
26,brightness_dark,random_derangement_2,0.0,0.021484375
26,brightness_dark,random_derangement_3,0.0,0.005859375
26,brightness_dark,random_derangement_4,0.0,-0.009765625
26,brightness_dark,random_derangement_5,0.0,-0.009765625
26,brightness_dark,random_derangement_6,0.0,-0.009765625
26,brightness_dark,random_derangement_7,0.0,0.005859375
27,brightness_dark,random_derangement_0,0.0,0.0
27,brightness_dark,random_derangement_1,0.0,0.0
27,brightness_dark,random_derangement_2,0.0,0.0
27,brightness_dark,random_derangement_3,0.0,0.0
27,brightness_dark,random_derangement_4,0.0,0.0
27,brightness_dark,random_derangement_5,0.0,0.0
27,brightness_dark,random_derangement_6,0.0,0.0
27,brightness_dark,random_derangement_7,0.0,0.0
28,brightness_dark,random_derangement_0,0.0,-0.029296875
28,brightness_dark,random_derangement_1,0.0,-0.044921875
28,brightness_dark,random_derangement_2,0.0,-0.044921875
28,brightness_dark,random_derangement_3,0.0,0.017578125
28,brightness_dark,random_derangement_4,0.0,0.033203125
28,brightness_dark,random_derangement_5,0.0,0.048828125
28,brightness_dark,random_derangement_6,0.0,-0.029296875
28,brightness_dark,random_derangement_7,0.0,0.048828125
29,brightness_dark,random_derangement_0,0.0,0.0
29,brightness_dark,random_derangement_1,0.0,0.0
29,brightness_dark,random_derangement_2,0.0,0.0
29,brightness_dark,random_derangement_3,0.0,0.0
29,brightness_dark,random_derangement_4,0.0,0.0
29,brightness_dark,random_derangement_5,0.0,0.0
29,brightness_dark,random_derangement_6,0.0,0.0
29,brightness_dark,random_derangement_7,0.0,0.0
30,brightness_dark,random_derangement_0,4.636362940073013,-0.01953125
30,brightness_dark,random_derangement_1,2.454543858766556,0.04296875
30,brightness_dark,random_derangement_2,3.909090906381607,0.01171875
30,brightness_dark,random_derangement_3,-3.363635390996933,0.01171875
30,brightness_dark,random_derangement_4,3.545454889535904,0.01171875
30,brightness_dark,random_derangement_5,-5.909090489149094,-0.11328125
30,brightness_dark,random_derangement_6,-4.818182438611984,0.10546875
30,brightness_dark,random_derangement_7,-0.4545442759990692,-0.05078125
31,brightness_dark,random_derangement_0,2.475246787071228,-0.001953125
31,brightness_dark,random_derangement_1,-2.9802322387695312e-06,-0.001953125
31,brightness_dark,random_derangement_2,1.9802004098892212,-0.001953125
31,brightness_dark,random_derangement_3,1.4851480722427368,-0.001953125
31,brightness_dark,random_derangement_4,-1.4851480722427368,-0.001953125
31,brightness_dark,random_derangement_5,-3.9603978395462036,-0.001953125
31,brightness_dark,random_derangement_6,1.9802004098892212,-0.001953125
31,brightness_dark,random_derangement_7,-2.475246787071228,0.013671875
32,brightness_dark,random_derangement_0,0.6313133984804153,0.0
32,brightness_dark,random_derangement_1,0.1262623816728592,0.015625
32,brightness_dark,random_derangement_2,0.1262623816728592,0.0
32,brightness_dark,random_derangement_3,0.1262623816728592,-0.015625
32,brightness_dark,random_derangement_4,0.1262623816728592,0.109375
32,brightness_dark,random_derangement_5,0.1262623816728592,-0.0625
32,brightness_dark,random_derangement_6,-1.8939387053251266,0.0
32,brightness_dark,random_derangement_7,0.6313133984804153,-0.046875
33,brightness_dark,random_derangement_0,-0.28409091755747795,0.03125
33,brightness_dark,random_derangement_1,0.4734848625957966,0.0625
33,brightness_dark,random_derangement_2,2.367424312978983,0.0
33,brightness_dark,random_derangement_3,-0.6628788076341152,-0.0625
