client,target,n_query,correct,low,high,random_mean,same_label_low,same_label_high,same_label_random_mean,correct_low,correct_high,high_low,correct_random_mean
73,brightness_dark,228,24.122807383537292,19.29824650287628,19.29824650287628,19.29824650287628,0.234375,0.46875,0.330078125,4.824560880661011,4.824560880661011,0.0,4.824560880661011
74,brightness_dark,164,70.7317054271698,92.07316637039185,92.07316637039185,92.07316637039185,0.59375,0.703125,0.634765625,-21.341460943222046,-21.341460943222046,0.0,-21.341460943222046
75,brightness_dark,200,51.499998569488525,42.49999821186066,42.49999821186066,42.374998331069946,0.28125,0.453125,0.3671875,9.000000357627869,9.000000357627869,0.0,9.125000238418579
76,brightness_dark,167,54.4910192489624,54.4910192489624,54.4910192489624,54.4910192489624,0.28125,0.515625,0.419921875,0.0,0.0,0.0,0.0
77,brightness_dark,172,36.62790656089783,45.34883797168732,47.67441749572754,48.40116277337074,0.375,0.625,0.48046875,-8.72093141078949,-11.046510934829712,2.325579524040222,-11.773256212472916
78,brightness_dark,98,9.183673560619354,0.0,0.0,0.0,0.421875,0.6875,0.56640625,9.183673560619354,9.183673560619354,0.0,9.183673560619354
79,brightness_dark,18,33.33333432674408,16.66666716337204,0.0,15.27777798473835,0.6666666666666666,0.8148148148148148,0.7083333333333333,16.66666716337204,33.33333432674408,-16.66666716337204,18.05555634200573
80,brightness_dark,80,63.749998807907104,81.25,81.25,81.25,0.59375,0.734375,0.66015625,-17.500001192092896,-17.500001192092896,0.0,-17.500001192092896
81,brightness_dark,17,5.882352963089943,0.0,0.0,0.0,0.9183673469387755,0.9387755102040817,0.9183673469387755,5.882352963089943,5.882352963089943,0.0,5.882352963089943
82,brightness_dark,163,14.723926782608032,0.0,0.0,0.0,0.625,0.734375,0.677734375,14.723926782608032,14.723926782608032,0.0,14.723926782608032
83,brightness_dark,509,58.153241872787476,79.1748583316803,78.192538022995,78.29076945781708,0.65625,0.84375,0.697265625,-21.021616458892822,-20.03929615020752,-0.9823203086853027,-20.137527585029602
84,brightness_dark,254,62.5984251499176,71.2598443031311,71.2598443031311,71.50590717792511,0.359375,0.546875,0.478515625,-8.661419153213501,-8.661419153213501,0.0,-8.907482028007507
85,brightness_dark,222,49.54954981803894,63.9639675617218,63.9639675617218,63.85135501623154,0.34375,0.59375,0.484375,-14.414417743682861,-14.414417743682861,0.0,-14.301805198192596
86,brightness_dark,40,12.5,10.000000149011612,10.000000149011612,6.250000162981451,0.28125,0.53125,0.3828125,2.499999850988388,2.499999850988388,0.0,6.249999837018549
87,brightness_dark,150,34.00000035762787,14.666667580604553,11.33333370089531,20.58333344757557,0.6875,0.78125,0.716796875,19.333332777023315,22.66666665673256,-3.3333338797092438,13.4166669100523
88,brightness_dark,77,35.0649356842041,48.051947355270386,48.051947355270386,48.051947355270386,0.359375,0.59375,0.462890625,-12.987011671066284,-12.987011671066284,0.0,-12.987011671066284
89,brightness_dark,155,11.612903326749802,3.870967775583267,3.870967775583267,3.870967775583267,0.265625,0.453125,0.37890625,7.741935551166534,7.741935551166534,0.0,7.741935551166534
90,brightness_dark,155,21.935483813285828,10.322580486536026,9.677419066429138,6.20967746945098,0.21875,0.40625,0.28125,11.612903326749802,12.25806474685669,-0.6451614201068878,15.725806343834847
91,brightness_dark,183,3.82513664662838,0.0,0.0,0.0,0.546875,0.6875,0.623046875,3.82513664662838,3.82513664662838,0.0,3.82513664662838
92,brightness_dark,96,73.95833730697632,71.875,71.875,71.875,0.484375,0.640625,0.552734375,2.0833373069763184,2.0833373069763184,0.0,2.0833373069763184
93,brightness_dark,218,4.128440096974373,0.0,0.0,0.0,0.65625,0.8125,0.703125,4.128440096974373,4.128440096974373,0.0,4.128440096974373
