client,bank,true_context,selected,zero_consistency,selected_consistency,consistency_improvement,selected_agreement,zero_agreement,true_state_rank_by_consistency
12,B,clean,gaussian_noise,0.003245247783942282,0.002715185219545545,0.0005300625643967368,0.8500000000000001,0.8,2
12,A,brightness_dark,gaussian_noise,0.0006834603934317733,0.0006107382192315405,7.27221742002328e-05,0.9500000000000001,0.9500000000000001,5
12,B,brightness_dark,gaussian_noise,0.0006834603934317733,0.0005992245042550674,8.42358891767059e-05,0.9500000000000001,0.9500000000000001,5
12,A,contrast_low,gaussian_noise,0.00042460819574162553,0.0003956273876969962,2.898080804462932e-05,1.0,0.9500000000000001,4
12,B,contrast_low,gaussian_noise,0.00042460819574162553,0.0003937225198764153,3.088567586521023e-05,1.0,0.9500000000000001,4
12,A,gaussian_noise,gaussian_noise,0.003795199306519917,0.0032904809363887427,0.0005047183701311743,0.9,0.8500000000000001,1
12,B,gaussian_noise,gaussian_noise,0.003795199306519917,0.0032506393234602547,0.0005445599830596623,0.9,0.8500000000000001,1
12,A,gaussian_blur,gaussian_noise,0.00210143816250241,0.001879955555807003,0.00022148260669540708,0.9,0.9,3
12,B,gaussian_blur,gaussian_noise,0.00210143816250241,0.0018507907903487202,0.0002506473721536899,0.9,0.9,3
13,A,clean,gaussian_blur,0.0017193891506717567,0.0012938108475272353,0.00042557830314452144,1.0,1.0,2
13,B,clean,gaussian_blur,0.0017193891506717567,0.0012796492370003194,0.0004397399136714373,1.0,1.0,3
13,A,brightness_dark,gaussian_noise,0.0006290688605947664,0.0005594144284151447,6.965443217962178e-05,1.0,0.9500000000000001,5
13,B,brightness_dark,gaussian_noise,0.0006290688605947664,0.0005490143113358862,8.005454925888022e-05,1.0,0.9500000000000001,5
13,A,contrast_low,clean,0.0003660380835963374,0.0003660380835963374,0.0,1.0,1.0,4
13,B,contrast_low,clean,0.0003660380835963374,0.0003660380835963374,0.0,1.0,1.0,4
13,A,gaussian_noise,contrast_low,0.0012916344851808704,0.0011680764602773265,0.0001235580249035438,1.0,1.0,4
13,B,gaussian_noise,contrast_low,0.0012916344851808704,0.0006483869088828516,0.0006432475762980187,1.0,1.0,4
13,A,gaussian_blur,gaussian_blur,0.0016385733607690728,0.001610353978109342,2.8219382659730842e-05,1.0,0.8500000000000001,1
13,B,gaussian_blur,gaussian_blur,0.0016385733607690728,0.0015847544147495293,5.381894601954348e-05,1.0,0.8500000000000001,1
14,A,clean,gaussian_noise,0.0028748783209839378,0.0025323949158091805,0.0003424834051747572,0.9500000000000001,0.9500000000000001,2
14,B,clean,gaussian_noise,0.0028748783209839378,0.002539805274627476,0.0003350730463564616,0.9500000000000001,0.9500000000000001,2
14,A,brightness_dark,gaussian_noise,0.00065064830148811,0.0005594188378770213,9.122946361108861e-05,1.0,1.0,5
14,B,brightness_dark,gaussian_noise,0.00065064830148811,0.0005720917819559645,7.855651953214541e-05,1.0,1.0,5
14,A,contrast_low,gaussian_noise,0.00026705363662605104,0.00019890750000754306,6.814613661850798e-05,1.0,1.0,4
14,B,contrast_low,gaussian_noise,0.00026705363662605104,0.00020440730902542595,6.264632760062509e-05,1.0,1.0,4
14,A,gaussian_noise,clean,0.003166617459804551,0.003166617459804551,0.0,0.9500000000000001,0.9500000000000001,1
14,B,gaussian_noise,clean,0.003166617459804551,0.003166617459804551,0.0,0.9500000000000001,0.9500000000000001,1
14,A,gaussian_blur,gaussian_noise,0.001797635549945468,0.0015735032447859486,0.00022413230515951933,0.9500000000000001,0.9,3
14,B,gaussian_blur,clean,0.001797635549945468,0.001797635549945468,0.0,0.9,0.9,3
15,A,clean,clean,0.001412709217518987,0.001412709217518987,0.0,0.9500000000000001,0.9500000000000001,2
15,B,clean,gaussian_noise,0.001412709217518987,0.0013454179463775907,6.729127114139637e-05,0.9500000000000001,0.9500000000000001,2
15,A,brightness_dark,clean,0.00030545741947189724,0.00030545741947189724,0.0,1.0,1.0,5
15,B,brightness_dark,clean,0.00030545741947189724,0.00030545741947189724,0.0,1.0,1.0,5
15,A,contrast_low,clean,0.00017137281453580137,0.00017137281453580137,0.0,1.0,1.0,4
15,B,contrast_low,clean,0.00017137281453580137,0.00017137281453580137,0.0,1.0,1.0,4
15,A,gaussian_noise,gaussian_noise,0.0019269847780653854,0.0018028890486711864,0.00012409572939419897,0.8500000000000001,0.8500000000000001,1
15,B,gaussian_noise,gaussian_noise,0.0019269847780653854,0.001777171151302339,0.00014981362676304635,0.8500000000000001,0.8500000000000001,1
15,A,gaussian_blur,clean,0.0010212564264412032,0.0010212564264412032,0.0,0.9500000000000001,0.9500000000000001,3
15,B,gaussian_blur,clean,0.0010212564264412032,0.0010212564264412032,0.0,0.9500000000000001,0.9500000000000001,3
16,A,clean,gaussian_noise,0.0023069186755277555,0.0019913191367776756,0.0003155995387500799,1.0,0.9500000000000001,2
16,B,clean,gaussian_noise,0.0023069186755277555,0.0019658219717077286,0.00034109670382002693,1.0,0.9500000000000001,2
16,A,brightness_dark,gaussian_noise,0.0005242860247071798,0.00047649607878205594,4.778994592512383e-05,1.0,0.9500000000000001,5
16,B,brightness_dark,clean,0.0005242860247071798,0.0005242860247071798,0.0,0.9500000000000001,0.9500000000000001,5
16,A,contrast_low,clean,0.0003519669055763357,0.0003519669055763357,0.0,1.0,1.0,4
16,B,contrast_low,gaussian_noise,0.0003519669055763357,0.00031386039489665184,3.810651067968386e-05,1.0,1.0,4
16,A,gaussian_noise,gaussian_noise,0.002614978281118387,0.0022003938363287837,0.0004145844447896031,1.0,1.0,1
16,B,gaussian_noise,contrast_low,0.002614978281118387,0.0018651631992918014,0.0007498150818265855,1.0,1.0,2
16,A,gaussian_blur,gaussian_noise,0.0016733824095739654,0.0015631160382921323,0.00011026637128183311,1.0,0.9500000000000001,3
16,B,gaussian_blur,gaussian_noise,0.0016733824095739654,0.0015440654867736236,0.00012931692280034176,0.9500000000000001,0.9500000000000001,3
17,A,clean,gaussian_noise,0.002173217724140148,0.0019659494591284404,0.0002072682650117075,0.9500000000000001,0.9,2
17,B,clean,gaussian_noise,0.002173217724140148,0.001942269945841866,0.00023094777829828195,0.9,0.9,2
17,A,brightness_dark,clean,0.00044302524760707297,0.00044302524760707297,0.0,1.0,1.0,5
17,B,brightness_dark,clean,0.00044302524760707297,0.00044302524760707297,0.0,1.0,1.0,5
17,A,contrast_low,gaussian_noise,0.00027607658713094634,0.0002310815391679597,4.499504796298665e-05,1.0,0.8500000000000001,4
17,B,contrast_low,gaussian_noise,0.00027607658713094634,0.00023587877481031033,4.0197812320636004e-05,1.0,0.8500000000000001,4
17,A,gaussian_noise,contrast_low,0.003180004318350516,0.002326186068142575,0.0008538182502079408,1.0,0.9500000000000001,2
17,B,gaussian_noise,contrast_low,0.003180004318350516,0.0017846054880871279,0.001395398830263388,1.0,0.9500000000000001,2
17,A,gaussian_blur,gaussian_noise,0.0014548147465976748,0.0013735770920805105,8.123765451716427e-05,0.9500000000000001,0.9,3
17,B,gaussian_blur,clean,0.0014548147465976748,0.0014548147465976748,0.0,0.9,0.9,3
18,A,clean,gaussian_noise,0.001367680858446332,0.0012723865264377228,9.52943320086093e-05,1.0,0.9,2
18,B,clean,gaussian_noise,0.001367680858446332,0.0012558254245184906,0.00011185543392784147,1.0,0.9,2
18,A,brightness_dark,gaussian_noise,0.0004102246287438395,0.0003541627390318812,5.6061889711958286e-05,0.9500000000000001,0.9500000000000001,5
18,B,brightness_dark,gaussian_noise,0.0004102246287438395,0.00036133094048420666,4.889368825963282e-05,1.0,0.9500000000000001,5
18,A,contrast_low,gaussian_noise,0.0001792409367039694,0.00015806970865888246,2.1171228045086942e-05,0.9500000000000001,0.9,4
18,B,contrast_low,gaussian_noise,0.0001792409367039694,0.0001592857074745248,1.995522922944461e-05,1.0,0.9,4
