client,bank,context,max_abs_error,L1
10,A,clean,2.248201624865942e-15,4.6351811278100286e-15
10,A,brightness_dark,1.6375789613221059e-15,5.051514762044462e-15
10,A,contrast_low,8.049116928532385e-16,2.1094237467877974e-15
10,A,gaussian_noise,1.3322676295501878e-15,4.4131365228849965e-15
10,A,gaussian_blur,7.494005416219807e-16,1.722233466949774e-15
10,B,clean,2.248201624865942e-15,4.6351811278100286e-15
10,B,brightness_dark,8.604228440844963e-16,3.0776472640222806e-15
10,B,contrast_low,2.0539125955565396e-15,4.3576253716537394e-15
10,B,gaussian_noise,4.440892098500626e-16,1.0547118733938987e-15
10,B,gaussian_blur,1.0269562977782698e-15,2.040034807748725e-15
11,A,clean,8.881784197001252e-16,1.794860556477336e-15
11,A,brightness_dark,5.551115123125783e-16,1.0500859441246273e-15
11,A,contrast_low,9.43689570931383e-16,2.55351295663786e-15
11,A,gaussian_noise,5.551115123125783e-17,5.551115123125783e-17
11,A,gaussian_blur,1.1102230246251565e-15,2.229697907788856e-15
11,B,clean,8.881784197001252e-16,1.794860556477336e-15
11,B,brightness_dark,4.440892098500626e-16,9.020562075079397e-16
11,B,contrast_low,8.881784197001252e-16,1.8226161320929655e-15
11,B,gaussian_noise,3.885780586188048e-16,7.216449660063518e-16
11,B,gaussian_blur,4.440892098500626e-16,1.1310397063368782e-15
12,A,clean,5.273559366969494e-16,1.5979281390140647e-15
12,A,brightness_dark,1.0547118733938987e-15,2.7478019859472624e-15
12,A,contrast_low,8.049116928532385e-16,1.7541523789077472e-15
12,A,gaussian_noise,5.689893001203927e-16,1.2073675392798577e-15
12,A,gaussian_blur,1.0269562977782698e-15,2.0284699845755467e-15
12,B,clean,5.273559366969494e-16,1.5979281390140647e-15
12,B,brightness_dark,8.326672684688674e-16,1.6132928326584306e-15
12,B,contrast_low,1.8318679906315083e-15,4.3298697960381105e-15
12,B,gaussian_noise,3.0531133177191805e-16,5.273559366969494e-16
12,B,gaussian_blur,7.494005416219807e-16,1.817990202823694e-15
13,A,clean,2.914335439641036e-16,4.672188561964201e-16
13,A,brightness_dark,3.608224830031759e-16,1.1657341758564144e-15
13,A,contrast_low,1.915134717478395e-15,6.494804694057166e-15
13,A,gaussian_noise,1.3877787807814457e-15,3.497202527569243e-15
13,A,gaussian_blur,5.273559366969494e-16,9.992007221626409e-16
13,B,clean,2.914335439641036e-16,4.672188561964201e-16
13,B,brightness_dark,1.4849232954361469e-15,2.8088642523016457e-15
13,B,contrast_low,1.3600232051658168e-15,3.2751579226442118e-15
13,B,gaussian_noise,6.938893903907228e-16,1.6167622796103842e-15
13,B,gaussian_blur,1.27675647831893e-15,2.86992651865603e-15
14,A,clean,1.2351231148954867e-15,3.566591466608315e-15
14,A,brightness_dark,1.3322676295501878e-15,2.617350780553806e-15
14,A,contrast_low,4.440892098500626e-16,1.069746143519031e-15
14,A,gaussian_noise,7.494005416219807e-16,1.734723475976807e-15
14,A,gaussian_blur,8.881784197001252e-16,1.6792123247455493e-15
14,B,clean,1.2351231148954867e-15,3.566591466608315e-15
14,B,brightness_dark,1.9984014443252818e-15,3.95516952522712e-15
14,B,contrast_low,1.1102230246251565e-15,2.1788126858268697e-15
14,B,gaussian_noise,8.881784197001252e-16,1.8434328138046867e-15
14,B,gaussian_blur,9.62193288008469e-16,1.787921662573429e-15
15,A,clean,0.0,0.0
15,A,brightness_dark,0.0,0.0
15,A,contrast_low,0.0,0.0
15,A,gaussian_noise,0.0,0.0
15,A,gaussian_blur,1.3322676295501878e-15,2.5885543708525916e-15
15,B,clean,0.0,0.0
15,B,brightness_dark,1.9984014443252818e-15,3.982925100842749e-15
15,B,contrast_low,2.886579864025407e-15,5.828670879282072e-15
15,B,gaussian_noise,4.440892098500626e-16,8.465450562766819e-16
15,B,gaussian_blur,8.881784197001252e-16,2.014509590887924e-15
16,A,clean,1.1934897514720433e-15,3.3480163086352377e-15
16,A,brightness_dark,1.339206523454095e-15,4.991047258024699e-15
16,A,contrast_low,1.1032841307212493e-15,3.353468296702593e-15
16,A,gaussian_noise,7.216449660063518e-16,1.826508934178937e-15
16,A,gaussian_blur,8.118505867571457e-16,3.2483936175862837e-15
16,B,clean,1.1934897514720433e-15,3.3480163086352377e-15
16,B,brightness_dark,1.1796119636642288e-15,3.5388358909926865e-15
16,B,contrast_low,1.3322676295501878e-15,3.675300804436195e-15
16,B,gaussian_noise,1.6653345369377348e-15,3.4833247397614286e-15
16,B,gaussian_blur,4.440892098500626e-16,1.7486012637846216e-15
17,A,clean,5.273559366969494e-16,1.0685896612017132e-15
17,A,brightness_dark,1.0547118733938987e-15,2.78388423424758e-15
17,A,contrast_low,8.881784197001252e-16,2.581268532253489e-15
17,A,gaussian_noise,6.106226635438361e-16,1.9928503292021563e-15
17,A,gaussian_blur,5.134781488891349e-16,1.124100812432971e-15
17,B,clean,5.273559366969494e-16,1.0685896612017132e-15
17,B,brightness_dark,9.992007221626409e-16,2.4345604897137364e-15
17,B,contrast_low,2.1649348980190553e-15,6.006306563222097e-15
17,B,gaussian_noise,4.551914400963141e-16,1.4238610290817632e-15
17,B,gaussian_blur,5.828670879282072e-16,1.1657341758564144e-15
18,A,clean,5.551115123125783e-16,1.491862189340054e-15
18,A,brightness_dark,1.887379141862766e-15,5.065392549852277e-15
18,A,contrast_low,9.769962616701378e-16,2.210731597784843e-15
18,A,gaussian_noise,6.661338147750939e-16,1.2906342661267445e-15
18,A,gaussian_blur,1.2212453270876722e-15,2.3846665383094506e-15
18,B,clean,5.551115123125783e-16,1.491862189340054e-15
18,B,brightness_dark,1.2212453270876722e-15,3.344546861683284e-15
18,B,contrast_low,1.0880185641326535e-15,2.5854318685958335e-15
18,B,gaussian_noise,2.498001805406602e-16,6.499430623326438e-16
18,B,gaussian_blur,4.0245584642661925e-16,1.8110513089197866e-15
19,A,clean,1.9012569296705806e-15,3.816391647148976e-15
19,A,brightness_dark,1.5543122344752192e-15,3.209932319947484e-15
19,A,contrast_low,2.0816681711721685e-15,4.773959005888173e-15
19,A,gaussian_noise,7.771561172376096e-16,2.262079412673756e-15
19,A,gaussian_blur,5.273559366969494e-16,1.7872608155349617e-15
19,B,clean,1.9012569296705806e-15,3.816391647148976e-15
19,B,brightness_dark,1.2212453270876722e-15,2.8370163361403556e-15
19,B,contrast_low,1.609823385706477e-15,3.2890357104520263e-15
19,B,gaussian_noise,1.1102230246251565e-15,2.6645352591003757e-15
19,B,gaussian_blur,1.5543122344752192e-15,4.198030811863873e-15
20,A,clean,7.771561172376096e-16,1.5705029869176692e-15
20,A,brightness_dark,1.9984014443252818e-15,4.0098133147203896e-15
20,A,contrast_low,1.0547118733938987e-15,2.0539125955565396e-15
