client,bank,K,primary,true_context,selected,second,distance,second_distance,margin,signed_true_margin,d_clean,d_brightness_dark,d_contrast_low,d_gaussian_noise,d_gaussian_blur
79,B,20,True,gaussian_blur,gaussian_blur,contrast_low,10.535930829228489,19.94215029443441,9.40621946520592,9.40621946520592,40.48581746611717,199.69492808645623,19.94215029443441,99.75881914257045,10.535930829228489
80,A,20,True,clean,clean,gaussian_blur,18.948454320560703,25.341870730473545,6.393416409912842,6.393416409912842,18.948454320560703,244.66532067473577,70.23104563414348,37.15334502314761,25.341870730473545
80,B,20,True,clean,clean,gaussian_blur,17.55458955005745,25.706476817457183,8.151887267399733,8.151887267399733,17.55458955005745,248.7687438976028,73.9869856901436,36.39441575996683,25.706476817457183
80,A,20,True,brightness_dark,brightness_dark,contrast_low,9.645445617449006,210.42130769913945,200.77586208169043,200.77586208169043,338.9285685980291,9.645445617449006,210.42130769913945,385.9170263119571,286.58659577870253
80,B,20,True,brightness_dark,brightness_dark,contrast_low,8.40343947313754,220.76546624021006,212.3620267670725,212.3620267670725,338.4363834890413,8.40343947313754,220.76546624021006,390.2252326075029,284.49161979688404
80,A,20,True,contrast_low,contrast_low,gaussian_blur,14.227371493840096,67.35065773770285,53.12328624386275,53.12328624386275,130.83030515746248,171.675389480952,14.227371493840096,197.511606942929,67.35065773770285
80,B,20,True,contrast_low,contrast_low,gaussian_blur,16.20529840586392,63.73356962797476,47.52827122211084,47.52827122211084,130.01682433065145,169.25078821471158,16.20529840586392,199.82540991341259,63.73356962797476
80,A,20,True,gaussian_noise,gaussian_noise,clean,17.382334325673614,39.976297466052856,22.59396314037924,22.59396314037924,39.976297466052856,301.4872495220677,149.30158075775742,17.382334325673614,78.9718016233712
80,B,20,True,gaussian_noise,gaussian_noise,clean,14.839390793237047,38.4255697212094,23.58617892797235,23.58617892797235,38.4255697212094,310.6364064140958,156.09055230190194,14.839390793237047,83.40159438864711
80,A,20,True,gaussian_blur,gaussian_blur,contrast_low,14.867026075026217,22.31489633800129,7.447870262975073,7.447870262975073,44.46049547697064,208.55265778766054,22.31489633800129,94.49608341760246,14.867026075026217
80,B,20,True,gaussian_blur,gaussian_blur,contrast_low,13.04064723036979,23.612261628792186,10.571614398422396,10.571614398422396,43.99257884140039,209.34602083521338,23.612261628792186,96.10710695683301,13.04064723036979
81,A,20,True,clean,clean,gaussian_noise,6.844531346966344,16.530524281271337,9.685992934304993,9.685992934304993,6.844531346966344,312.96415100198635,116.9831643971028,16.530524281271337,36.47841935078845
81,B,20,True,clean,clean,gaussian_noise,4.343513699058688,17.710615173110487,13.367101474051799,13.367101474051799,4.343513699058688,318.309461774856,118.75087576094086,17.710615173110487,39.13023381960426
81,A,20,True,brightness_dark,brightness_dark,contrast_low,2.9651442825158063,185.05430011007877,182.08915582756296,182.08915582756296,282.9662819053545,2.9651442825158063,185.05430011007877,327.54006256473326,240.79089391541515
81,B,20,True,brightness_dark,brightness_dark,contrast_low,2.1218014451772134,194.0662185176473,191.94441707247006,191.94441707247006,282.97689818150013,2.1218014451772134,194.0662185176473,331.9682599660295,239.3945122153936
81,A,20,True,contrast_low,contrast_low,gaussian_blur,6.024627938395978,51.96199193078368,45.9373639923877,45.9373639923877,114.77331529282326,170.6475147368044,6.024627938395978,185.82386947396827,51.96199193078368
81,B,20,True,contrast_low,contrast_low,gaussian_blur,5.583967735975467,48.99704211206115,43.41307437608569,43.41307437608569,114.49437005601534,168.01670401664325,5.583967735975467,188.59309919931428,48.99704211206115
81,A,20,True,gaussian_noise,gaussian_noise,clean,3.3716955457379227,30.985234924959528,27.613539379221606,27.613539379221606,30.985234924959528,357.84346500896277,181.9151195533463,3.3716955457379227,83.99419566115526
81,B,20,True,gaussian_noise,gaussian_noise,clean,2.6700365026367407,30.37619653284006,27.706160030203318,27.706160030203318,30.37619653284006,368.6023277092197,187.68954586618094,2.6700365026367407,89.99935816604105
