client,bank,context,max_error,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
81,A,clean,9.020562075079397e-17,0,0,"[{'active': [7, 9], 'minimum': 0.05000000000000009, 'action': 'accept'}]",True,False,1.3414868589134067e-17,0.0,1.6746562719554637e-33,9.644696049626705e-34,2,0,1.186550857568136e-15,False
81,A,brightness_dark,2.220446049250313e-16,0,0,"[{'active': [7, 9], 'minimum': 0.04999999999999986, 'action': 'accept'}]",True,False,2.298406637302578e-17,0.0,2.9144736736547468e-33,7.357654240666862e-32,2,0,2.589942149633373e-15,False
81,A,contrast_low,1.1102230246251565e-16,0,0,"[{'active': [7, 9], 'minimum': 0.04999999999999996, 'action': 'accept'}]",True,False,6.128097231863949e-18,0.0,1.0126178535723514e-33,3.334266216220402e-32,2,0,1.5242436942249544e-15,False
81,A,gaussian_noise,3.3306690738754696e-16,0,0,"[{'active': [7, 9], 'minimum': 0.04999999999999975, 'action': 'accept'}]",True,False,2.643439671125623e-17,0.0,5.36852971997942e-33,5.783808364237918e-33,2,0,1.3917438630122499e-15,False
81,A,gaussian_blur,1.3877787807814457e-16,0,0,"[{'active': [7, 9], 'minimum': 0.05000000000000014, 'action': 'accept'}]",True,False,1.7959100100191965e-17,0.0,2.5518571763130875e-33,1.6298182154376983e-32,2,0,2.725597525454759e-15,False
81,B,clean,9.020562075079397e-17,0,0,"[{'active': [7, 9], 'minimum': 0.05000000000000009, 'action': 'accept'}]",True,False,1.3414868589134067e-17,0.0,1.6746562719554637e-33,9.644696049626705e-34,2,0,1.186550857568136e-15,False
81,B,brightness_dark,1.3183898417423734e-16,0,0,"[{'active': [7, 9], 'minimum': 0.050000000000000135, 'action': 'accept'}]",True,False,2.1077319454787352e-17,0.0,1.8792863285466075e-33,5.084605516459208e-32,2,0,1.7156415177410622e-15,False
81,B,contrast_low,2.220446049250313e-16,0,0,"[{'active': [7, 9], 'minimum': 0.04999999999999987, 'action': 'accept'}]",True,False,1.5310838099876857e-17,0.0,1.855212204241767e-33,7.703719777548943e-34,2,0,1.734723475976807e-16,False
81,B,gaussian_noise,1.457167719820518e-16,0,0,"[{'active': [7, 9], 'minimum': 0.05000000000000015, 'action': 'accept'}]",True,False,2.541795851963727e-17,0.0,3.0333396624098965e-33,1.251613722608655e-31,2,0,2.5905203907920318e-15,False
81,B,gaussian_blur,9.020562075079397e-17,0,0,"[{'active': [7, 9], 'minimum': 0.05000000000000009, 'action': 'accept'}]",True,False,1.0231319435028797e-17,0.0,1.2578729949279134e-33,1.1048217496598903e-31,2,0,3.141005973835339e-15,False
82,A,clean,4.85722573273506e-16,0,0,"[{'active': [3, 7], 'minimum': 0.05000000000000049, 'action': 'accept'}]",True,False,1.0170893675405756e-17,0.0,3.009265538105056e-33,1.6626192098030435e-33,2,0,1.314226505400029e-15,False
82,A,brightness_dark,1.5959455978986625e-15,0,0,"[{'active': [3, 7], 'minimum': 0.0500000000000016, 'action': 'accept'}]",True,False,3.718278042267036e-17,0.0,1.8705594584861028e-32,3.395956159751556e-33,2,0,3.999115853285199e-15,False
82,A,contrast_low,1.2545520178264269e-14,0,0,"[{'active': [3, 7], 'minimum': 0.0499999999999875, 'action': 'accept'}]",True,False,5.689505556697876e-17,0.0,3.121345633071779e-31,2.887841673642517e-32,2,0,2.6495009889752435e-14,False
