client,bank,target,alpha,prediction_key,reused_key,query_accuracy,class_total,class_correct,source_J,source_C,source_agreement,DeltaAcc_vs_alpha0
0,B,gaussian_blur,0.25,B|gaussian_blur|0.25|c0,,26.96629213483146,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 20, 0, 0, 0, 0, 7, 21, 0, 0]",13.206367744573928,0.0033056441626863418,0.8500000000000001,1.6853932584269629
0,B,gaussian_blur,0.5,B|gaussian_blur|0.5|c0,,28.651685393258425,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 22, 0, 0, 0, 0, 7, 22, 0, 0]",9.167032892001384,0.003555720091408853,0.9,3.3707865168539293
0,B,gaussian_blur,0.75,B|gaussian_blur|0.75|c0,,30.337078651685395,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 22, 0, 0]",7.430274316622249,0.0038163295334581503,0.8500000000000001,5.056179775280899
0,B,gaussian_blur,1.0,B|gaussian_blur|1.0|c0,r51,32.02247191011236,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 25, 0, 0]",7.909490954252779,0.00409420854170816,0.8500000000000001,6.741573033707862
0,B,gaussian_blur,1.25,B|gaussian_blur|1.25|c0,,34.26966292134831,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 29, 0, 0]",10.528552154373639,0.00438786318821892,0.9,8.988764044943817
0,B,gaussian_blur,1.5,B|gaussian_blur|1.5|c0,,35.95505617977528,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 26, 0, 0, 0, 0, 6, 32, 0, 0]",15.22779214692411,0.004700869624775433,0.8500000000000001,10.674157303370787
1,A,brightness_dark,0.0,A|brightness_dark|0.0|c1,r56,0.0,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",297.1123901147682,0.0007166979859860369,0.9500000000000001,0.0
1,A,brightness_dark,0.25,A|brightness_dark|0.25|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",220.41222239547585,0.0012786728382711944,0.9,3.0303030303030303
1,A,brightness_dark,0.5,A|brightness_dark|0.5|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",170.49128644801883,0.0020140262435054436,0.9,3.0303030303030303
1,A,brightness_dark,0.75,A|brightness_dark|0.75|c1,,7.07070707070707,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 4, 0, 0]",142.49443365021367,0.002940755263518978,0.8500000000000001,7.07070707070707
1,A,brightness_dark,1.0,A|brightness_dark|1.0|c1,r58,14.14141414141414,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 11, 0, 0]",131.03860069455888,0.004049092736376699,0.8,14.14141414141414
1,A,brightness_dark,1.25,A|brightness_dark|1.25|c1,,21.21212121212121,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 18, 0, 0]",137.4857335820278,0.005285114927396127,0.8500000000000001,21.21212121212121
1,A,brightness_dark,1.5,A|brightness_dark|1.5|c1,,27.27272727272727,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 24, 0, 0]",164.2735815710625,0.006690725112411547,0.9,27.27272727272727
1,B,brightness_dark,0.0,B|brightness_dark|0.0|c1,r63,0.0,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",297.87363884214227,0.0007166979859860369,0.9500000000000001,0.0
1,B,brightness_dark,0.25,B|brightness_dark|0.25|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",220.4609591018188,0.0012870128674184835,0.9,3.0303030303030303
