client,bank,context,pi,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
59,B,contrast_low,"[0.15331704209511549, 0.41849069523985244, 0.022055522379411444, 0.10024479839286392, 0.0, 0.0, 0.2970103080380213, 0.0088816338547354, 0.0, 0.0]",2,2,"[{'active': [0, 1, 3, 6], 'minimum': 0.12687993551006393, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 3, 6], 'minimum': 0.025807612867414405, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 2, 3, 6, 7], 'minimum': 0.0088816338547354, 'action': 'accept'}]",True,False,1.6588293239028218e-17,0.0,2.033959801897781e-05,0.001305660690694838,6,0,0.6972102494368544,True
59,B,gaussian_noise,"[0.07520477451986735, 0.4831225359608045, 0.1515280095138256, 0.0, 0.0, 0.0, 0.2901446800055026, 0.0, 0.0, 0.0]",0,0,"[{'active': [0, 1, 2, 6], 'minimum': 0.07520477451986735, 'action': 'accept'}]",True,False,4.445228907190568e-17,0.0,0.00010978794515317488,0.0005653855626243249,4,0,0.24000625121205404,True
59,B,gaussian_blur,"[0.08243362968082224, 0.4651421395800316, 0.10321970283706099, 0.0, 0.0, 0.0, 0.3492045279020853, 0.0, 0.0, 0.0]",0,0,"[{'active': [0, 1, 2, 6], 'minimum': 0.08243362968082224, 'action': 'accept'}]",True,False,3.729655473350135e-17,0.0,0.00010110267307476584,0.0005144654472944284,4,0,0.25824569144559545,True
60,A,clean,"[0.6103154193260377, 0.02694605146578719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36273852920817506, 0.0]",2,2,"[{'active': [0, 2, 8], 'minimum': -0.050551843798307586, 'action': 'remove', 'coordinate': 2}, {'active': [0, 8], 'minimum': 0.38198102778529947, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 8], 'minimum': 0.02694605146578719, 'action': 'accept'}]",True,False,2.949029909160572e-17,0.0,0.0012100101917647738,0.008669791924298705,3,0,0.4975294094079488,True
60,A,brightness_dark,"[0.5082640171856644, 0.10174106479049926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38999491802383635, 0.0]",3,3,"[{'active': [0, 1, 2, 5, 7, 8], 'minimum': -0.3089161767353785, 'action': 'remove', 'coordinate': 5}, {'active': [0, 1, 2, 7, 8], 'minimum': -0.022274828389281243, 'action': 'remove', 'coordinate': 7}, {'active': [0, 1, 2, 8], 'minimum': -0.03725249481587015, 'action': 'remove', 'coordinate': 2}, {'active': [0, 1, 8], 'minimum': 0.10174106479049926, 'action': 'accept'}]",True,False,1.5178830414797062e-17,0.0,0.0008770495354375642,0.003489103274431797,3,0,0.4447064071882267,True
60,A,contrast_low,"[0.3989154611879826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6010845388120174, 0.0]",2,2,"[{'active': [0, 2, 5, 8], 'minimum': -0.12810531926244928, 'action': 'remove', 'coordinate': 2}, {'active': [0, 5, 8], 'minimum': -0.10007149136632333, 'action': 'remove', 'coordinate': 5}, {'active': [0, 8], 'minimum': 0.3989154611879826, 'action': 'accept'}]",True,False,1.431146867680866e-17,0.0,0.0011807513445937382,0.009279661657383212,2,0,0.6846013569959876,True
60,A,gaussian_noise,"[0.5898877488977836, 0.01980871385305186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3903035372491646, 0.0]",3,3,"[{'active': [0, 2, 5, 8], 'minimum': -0.03798023374968586, 'action': 'remove', 'coordinate': 5}, {'active': [0, 2, 8], 'minimum': -0.05272573492374176, 'action': 'remove', 'coordinate': 2}, {'active': [0, 8], 'minimum': 0.4031375342480877, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 8], 'minimum': 0.01980871385305186, 'action': 'accept'}]",True,False,2.992397996059992e-17,0.0,0.0010550255814383755,0.009756237222211342,3,0,0.5734627486646426,True
60,A,gaussian_blur,"[0.5473868938967985, 0.0217274231629589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4308856829402425, 0.0]",1,1,"[{'active': [0, 1, 2, 8], 'minimum': -0.10930292017609486, 'action': 'remove', 'coordinate': 2}, {'active': [0, 1, 8], 'minimum': 0.0217274231629589, 'action': 'accept'}]",True,False,1.3010426069826053e-17,0.0,0.001286350558233786,0.005397396278383705,3,0,0.37522327401111044,True
60,B,clean,"[0.6103154193260377, 0.02694605146578719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36273852920817506, 0.0]",2,2,"[{'active': [0, 2, 8], 'minimum': -0.050551843798307586, 'action': 'remove', 'coordinate': 2}, {'active': [0, 8], 'minimum': 0.38198102778529947, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 8], 'minimum': 0.02694605146578719, 'action': 'accept'}]",True,False,2.949029909160572e-17,0.0,0.0012100101917647738,0.008669791924298705,3,0,0.4975294094079488,True
60,B,brightness_dark,"[0.513720227852633, 0.09971706318779762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38656270895956935, 0.0]",3,3,"[{'active': [0, 1, 2, 5, 7, 8], 'minimum': -0.30099191668747755, 'action': 'remove', 'coordinate': 5}, {'active': [0, 1, 2, 7, 8], 'minimum': -0.024862923621345526, 'action': 'remove', 'coordinate': 2}, {'active': [0, 1, 7, 8], 'minimum': -0.036063660240950354, 'action': 'remove', 'coordinate': 7}, {'active': [0, 1, 8], 'minimum': 0.09971706318779762, 'action': 'accept'}]",True,False,5.204170427930421e-18,0.0,0.0008598411028498364,0.0032809715856715617,3,0,0.42711324797920835,True
60,B,contrast_low,"[0.3917509196311908, 0.015227578146898704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5930215022219105, 0.0]",2,2,"[{'active': [0, 1, 2, 5, 8], 'minimum': -0.11520139950525524, 'action': 'remove', 'coordinate': 2}, {'active': [0, 1, 5, 8], 'minimum': -0.11105732426768708, 'action': 'remove', 'coordinate': 5}, {'active': [0, 1, 8], 'minimum': 0.015227578146898704, 'action': 'accept'}]",True,False,2.5370330836160804e-17,0.0,0.001242324799609444,0.011735254099279764,3,0,0.7337849989567167,True
60,B,gaussian_noise,"[0.5922552368354222, 0.018710263529366642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38903449963521103, 0.0]",3,3,"[{'active': [0, 2, 5, 8], 'minimum': -0.032789423127036324, 'action': 'remove', 'coordinate': 5}, {'active': [0, 2, 8], 'minimum': -0.05695557548790299, 'action': 'remove', 'coordinate': 2}, {'active': [0, 8], 'minimum': 0.4013296668917495, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 8], 'minimum': 0.018710263529366642, 'action': 'accept'}]",True,False,2.2551405187698492e-17,0.0,0.0010393070883384528,0.009851947177113367,3,0,0.5753979571800163,True
60,B,gaussian_blur,"[0.54204587628883, 0.024176824880613557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4337772988305564, 0.0]",1,1,"[{'active': [0, 1, 2, 8], 'minimum': -0.10921385546110982, 'action': 'remove', 'coordinate': 2}, {'active': [0, 1, 8], 'minimum': 0.024176824880613557, 'action': 'accept'}]",True,False,2.0816681711721685e-17,0.0,0.001279940938591379,0.005283742457285747,3,0,0.3742961771418154,True
61,A,clean,"[0.0, 0.0, 0.25717236514340014, 0.0, 0.0, 0.01676504010290802, 0.0, 0.6360498668868491, 0.09001272786684275, 0.0]",1,1,"[{'active': [2, 7, 8], 'minimum': 0.08891161896646489, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 7, 8], 'minimum': 0.01676504010290802, 'action': 'accept'}]",True,False,1.5612511283791264e-17,0.0,0.00012067316651512562,0.00016644887452286352,4,0,0.13664135205669092,True
61,A,brightness_dark,"[0.0, 0.0, 0.25359553258404455, 0.0, 0.0, 0.0, 0.0, 0.6754058876344883, 0.07099857978146716, 0.0]",0,0,"[{'active': [2, 7, 8], 'minimum': 0.07099857978146716, 'action': 'accept'}]",True,False,3.2255014631443757e-17,0.0,0.00013910292061245145,0.000555216976267745,3,0,0.1940281211758783,True
61,A,contrast_low,"[0.0, 0.019222272422285136, 0.4334135714915081, 0.0, 0.05133095788961809, 0.0, 0.0, 0.4960331981965887, 0.0, 0.0]",2,2,"[{'active': [2, 7], 'minimum': 0.4374004683246794, 'action': 'add', 'coordinate': 1}, {'active': [1, 2, 7], 'minimum': 0.017732182659375262, 'action': 'add', 'coordinate': 4}, {'active': [1, 2, 4, 7], 'minimum': 0.019222272422285136, 'action': 'accept'}]",True,False,3.361026734705064e-17,0.0,0.00012496574054096977,0.0001742158328442457,4,0,0.1411064606238063,True
61,A,gaussian_noise,"[0.0, 0.0, 0.28843952188791555, 0.0, 0.0, 0.0, 0.0, 0.6245980139477522, 0.08696246416433227, 0.0]",0,0,"[{'active': [2, 7, 8], 'minimum': 0.08696246416433227, 'action': 'accept'}]",True,False,1.0733601507606494e-17,0.0,0.00022031540638285424,0.00024485250642740066,3,0,0.04814521866590181,True
61,A,gaussian_blur,"[0.0, 0.0, 0.23213209008101743, 0.0, 0.0, 0.0, 0.0, 0.6959406599441331, 0.07192724997484948, 0.0]",0,0,"[{'active': [2, 7, 8], 'minimum': 0.07192724997484948, 'action': 'accept'}]",True,False,2.190088388420719e-17,0.0,0.00025632033828295437,0.0003268161227951472,3,0,0.14689642721586255,True
61,B,clean,"[0.0, 0.0, 0.25717236514340014, 0.0, 0.0, 0.01676504010290802, 0.0, 0.6360498668868491, 0.09001272786684275, 0.0]",1,1,"[{'active': [2, 7, 8], 'minimum': 0.08891161896646489, 'action': 'add', 'coordinate': 5}, {'active': [2, 5, 7, 8], 'minimum': 0.01676504010290802, 'action': 'accept'}]",True,False,1.5612511283791264e-17,0.0,0.00012067316651512562,0.00016644887452286352,4,0,0.13664135205669092,True
61,B,brightness_dark,"[0.0, 0.0, 0.2500733948829428, 0.0, 0.0, 0.0, 0.0, 0.6787666826212957, 0.07115992249576154, 0.0]",0,0,"[{'active': [2, 7, 8], 'minimum': 0.07115992249576154, 'action': 'accept'}]",True,False,1.452830911130576e-17,0.0,0.00014142080380400533,0.0004988144344808767,3,0,0.1795797276690389,True
61,B,contrast_low,"[0.0, 0.0199997462100287, 0.45455274280248487, 0.0, 0.0, 0.0, 0.0, 0.5254475109874864, 0.0, 0.0]",2,2,"[{'active': [2, 7, 8], 'minimum': 0.01141500506982849, 'action': 'add', 'coordinate': 1}, {'active': [1, 2, 7, 8], 'minimum': -0.021462908432570392, 'action': 'remove', 'coordinate': 8}, {'active': [1, 2, 7], 'minimum': 0.0199997462100287, 'action': 'accept'}]",True,False,1.4216600986716177e-17,0.0,0.00013617026561263702,0.00017258848855629592,3,0,0.05272513887497353,True
61,B,gaussian_noise,"[0.0, 0.0, 0.2810114870242095, 0.0, 0.0, 0.0, 0.0, 0.6338719773303011, 0.0851165356454894, 0.0]",0,0,"[{'active': [2, 7, 8], 'minimum': 0.0851165356454894, 'action': 'accept'}]",True,False,1.6696713456276768e-17,0.0,0.00021007172764970385,0.00023039164365552014,3,0,0.06464077838628662,True
61,B,gaussian_blur,"[0.0, 0.0, 0.23027886208069803, 0.0, 0.0, 0.0, 0.0, 0.6987602257055713, 0.07096091221373063, 0.0]",0,0,"[{'active': [2, 7, 8], 'minimum': 0.07096091221373063, 'action': 'accept'}]",True,False,9.107298248878237e-18,0.0,0.0002701007514405315,0.00034471670268846076,3,0,0.14723294785266855,True
62,A,clean,"[0.06423153061464565, 0.3542262851365276, 0.007471928208581127, 0.0, 0.0, 0.2546349882553749, 0.22322158629817468, 0.09621368148669604, 0.0, 0.0]",2,2,"[{'active': [0, 1, 5, 6], 'minimum': 0.0805454168795422, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.0659390614984458, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 5, 6, 7], 'minimum': 0.007471928208581127, 'action': 'accept'}]",True,False,4.141652298894627e-17,0.0,0.0005514004031182378,0.004089187922419184,6,0,0.7136726192444929,True
62,A,brightness_dark,"[0.10379800544271389, 0.3160214326627924, 0.004779968450987582, 0.0, 0.0, 0.17548257725052935, 0.34659410464224866, 0.053323911550727965, 0.0, 0.0]",2,2,"[{'active': [0, 1, 5, 6], 'minimum': 0.11038706874274656, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.05615556019004198, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 5, 6, 7], 'minimum': 0.004779968450987582, 'action': 'accept'}]",True,False,3.404394821604484e-17,0.0,0.00030072342500009705,0.011926853997944858,6,0,1.0226142532760203,True
62,A,contrast_low,"[0.16996781545276274, 0.2428401514642825, 0.0, 0.0, 0.0, 0.16126053110942415, 0.27218929772972583, 0.15374220424380483, 0.0, 0.0]",3,3,"[{'active': [0, 5, 6, 9], 'minimum': 0.12663124224803057, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 5, 6, 9], 'minimum': -0.303325719838378, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 5, 6], 'minimum': 0.18334892777490988, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.15374220424380483, 'action': 'accept'}]",True,False,1.8431436932253575e-17,0.0,0.00010977182198947718,0.003949857223679202,5,0,0.9764637240903477,True
62,A,gaussian_noise,"[0.03917390633801493, 0.37444115911243553, 0.06297396566641053, 0.0, 0.0, 0.1815586770129774, 0.18769813272845356, 0.15415415914170802, 0.0, 0.0]",3,3,"[{'active': [0, 1, 4, 5, 6], 'minimum': 0.04607909376778213, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 4, 5, 6, 7], 'minimum': 0.04558674664602225, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 4, 5, 6, 7], 'minimum': -0.3391778778371635, 'action': 'remove', 'coordinate': 4}, {'active': [0, 1, 2, 5, 6, 7], 'minimum': 0.03917390633801493, 'action': 'accept'}]",True,False,5.139118297581291e-17,0.0,0.0005983062897146409,0.0033184960385577423,6,0,0.9122513573163437,True
62,A,gaussian_blur,"[0.016190961736006815, 0.39076862814264324, 0.0, 0.0, 0.0, 0.24325088935339484, 0.25238776117185924, 0.09740175959609582, 0.0, 0.0]",1,1,"[{'active': [0, 1, 5, 6], 'minimum': 0.032272772586866505, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.016190961736006815, 'action': 'accept'}]",True,False,2.1250362580715887e-17,0.0,0.0005146656321037534,0.0038846375037717854,5,0,0.7282309586385998,True
62,B,clean,"[0.06423153061464565, 0.3542262851365276, 0.007471928208581127, 0.0, 0.0, 0.2546349882553749, 0.22322158629817468, 0.09621368148669604, 0.0, 0.0]",2,2,"[{'active': [0, 1, 5, 6], 'minimum': 0.0805454168795422, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.0659390614984458, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 5, 6, 7], 'minimum': 0.007471928208581127, 'action': 'accept'}]",True,False,4.141652298894627e-17,0.0,0.0005514004031182378,0.004089187922419184,6,0,0.7136726192444929,True
62,B,brightness_dark,"[0.10476435425717906, 0.31539243078904644, 0.003762782087254606, 0.0, 0.0, 0.1739588218675997, 0.3499584676592171, 0.05216314333970308, 0.0, 0.0]",2,2,"[{'active': [0, 1, 5, 6], 'minimum': 0.1110382441931283, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.05435430928626397, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 5, 6, 7], 'minimum': 0.003762782087254606, 'action': 'accept'}]",True,False,1.734723475976807e-17,0.0,0.0003113577156552925,0.012003514985873372,6,0,1.0422968516744868,True
62,B,contrast_low,"[0.16718218210017133, 0.25479875898255533, 0.0, 0.0, 0.0, 0.12549351372335282, 0.3018782203160905, 0.15064732487783006, 0.0, 0.0]",4,4,"[{'active': [0, 4, 5, 6, 9], 'minimum': 0.03878371034265574, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 4, 5, 6, 9], 'minimum': -0.2925935757700055, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 4, 5, 6], 'minimum': 0.013533158393495238, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 4, 5, 6, 7], 'minimum': -0.09167507116875641, 'action': 'remove', 'coordinate': 4}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.12549351372335282, 'action': 'accept'}]",True,False,2.3635607360183997e-17,0.0,9.98091366819428e-05,0.006022742966186754,5,0,1.0331315156016354,True
62,B,gaussian_noise,"[0.037060643513759206, 0.37570388703467616, 0.062146567400768, 0.0, 0.0, 0.18335624390994745, 0.18910143137885435, 0.1526312267619948, 0.0, 0.0]",3,3,"[{'active': [0, 1, 4, 5, 6], 'minimum': 0.04321387852026087, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 4, 5, 6, 7], 'minimum': 0.04353143441671148, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 4, 5, 6, 7], 'minimum': -0.3557012925069423, 'action': 'remove', 'coordinate': 4}, {'active': [0, 1, 2, 5, 6, 7], 'minimum': 0.037060643513759206, 'action': 'accept'}]",True,False,2.5370330836160804e-17,0.0,0.0005803400648550474,0.0033147567016689667,6,0,0.9214897026593387,True
62,B,gaussian_blur,"[0.01675742828244936, 0.39089322921078257, 0.0, 0.0, 0.0, 0.24351380364317607, 0.25101559709977117, 0.09781994176382082, 0.0, 0.0]",1,1,"[{'active': [0, 1, 5, 6], 'minimum': 0.032895257349903895, 'action': 'add', 'coordinate': 7}, {'active': [0, 1, 5, 6, 7], 'minimum': 0.01675742828244936, 'action': 'accept'}]",True,False,1.7997756063259374e-17,0.0,0.0005011830481344005,0.003961643760147137,5,0,0.7249039337444817,True
63,A,clean,"[0.0, 0.01566406752338198, 0.0, 0.09696486843194649, 0.2644317885729744, 0.0, 0.5811664339776107, 0.04177284149408643, 0.0, 0.0]",2,2,"[{'active': [3, 4, 6], 'minimum': 0.1296349802118566, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 4, 6], 'minimum': 0.01885446032611786, 'action': 'add', 'coordinate': 7}, {'active': [1, 3, 4, 6, 7], 'minimum': 0.01566406752338198, 'action': 'accept'}]",True,False,6.113545000102638e-17,0.0,0.00010505435310552502,0.0016234289434873678,5,0,0.5236800311024894,True
