method,context,support_seed,lr,steps,checkpoint_sha256,source_tensor_sha256,baseline_accuracy,query_loss_before,gain_pp,accuracy,loss,worst_class_accuracy,gamma_norm,beta_norm,support_loss_trajectory,prediction_key,support_loss_before,support_loss_after
affine,wrong_USPS,11,0.1,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.06666779518127441,41.69999957084656,2.044187545776367,18.25396865606308,0.002527290489524603,0.0037778436671942472,,r0043,0.0009361339616589248,0.0009155241423286498
bn,wrong_MNISTM,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,2.099999785423279,43.73333156108856,2.0564849376678467,17.0634925365448,0.0,0.0,,r0044,0.24188561737537384,0.28203079104423523
prior,wrong_MNISTM,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.3999978303909302,41.23333394527435,2.0500497817993164,17.85714328289032,0.0,0.0,,r0045,0.24188561737537384,0.24401462078094482
affine,wrong_MNISTM,11,0.001,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.03333389759063721,41.66666567325592,2.0441536903381348,18.65079402923584,0.00016103322559501976,0.0001603391719982028,,r0046,0.24188561737537384,0.24183407425880432
affine,wrong_MNISTM,11,0.001,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.044121026992798,18.65079402923584,0.00048287276877090335,0.00048063736176118255,,r0047,0.24188561737537384,0.24173091351985931
affine,wrong_MNISTM,11,0.001,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.03333091735839844,41.600000858306885,2.0440900325775146,18.65079402923584,0.0008044907008297741,0.0008011405006982386,,r0048,0.24188561737537384,0.24162794649600983
affine,wrong_MNISTM,11,0.001,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.03333389759063721,41.66666567325592,2.0440139770507812,19.04762089252472,0.0016045779921114445,0.0015987101942300797,,r0049,0.24188561737537384,0.2413729429244995
affine,wrong_MNISTM,11,0.01,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.03333389759063721,41.66666567325592,2.0440173149108887,19.04762089252472,0.0016103321686387062,0.0016033914871513844,,r0050,0.24188561737537384,0.24137133359909058
affine,wrong_MNISTM,11,0.01,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.03333091735839844,41.600000858306885,2.0437793731689453,19.04762089252472,0.00479055056348443,0.004751379601657391,,r0051,0.24188561737537384,0.2403729408979416
affine,wrong_MNISTM,11,0.01,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.13333261013031006,41.49999916553497,2.0436558723449707,19.04762089252472,0.00792996771633625,0.007857845164835453,,r0052,0.24188561737537384,0.23940140008926392
affine,wrong_MNISTM,11,0.01,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.13333261013031006,41.49999916553497,2.0437655448913574,19.04762089252472,0.015628285706043243,0.015407257713377476,,r0053,0.24188561737537384,0.23708249628543854
affine,wrong_MNISTM,11,0.1,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.13333261013031006,41.49999916553497,2.0439205169677734,19.04762089252472,0.016103321686387062,0.016033915802836418,,r0054,0.24188561737537384,0.23692259192466736
affine,wrong_MNISTM,11,0.1,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.4999995231628418,41.13333225250244,2.049764394760132,18.65079402923584,0.04582987725734711,0.04477563500404358,,r0055,0.24188561737537384,0.22855158150196075
affine,wrong_MNISTM,11,0.1,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.9000003337860107,40.73333144187927,2.0614826679229736,19.04762089252472,0.07370080798864365,0.07033038139343262,,r0056,0.24188561737537384,0.22141720354557037
affine,wrong_MNISTM,11,0.1,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-1.4666646718978882,40.166667103767395,2.102360486984253,18.333333730697632,0.1378817856311798,0.12347511202096939,,r0057,0.24188561737537384,0.20747917890548706
bn,shuffled,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,2.933335304260254,44.56666707992554,2.7019436359405518,15.47619104385376,0.0,0.0,,r0058,4.827887058258057,8.170684814453125
