K,bank,context,L1_mean,L1_median,L1_p05,L1_p95,JS_mean,JS_median,JS_p05,JS_p95,projection_L1_mean,projection_L1_median,projection_L1_p05,projection_L1_p95,dominant_class_agreement,negative_entry_fraction
40,A,gaussian_noise,0.5383022255812765,0.48965052939692677,0.05729001204753281,1.1840658818739793,0.11475470035356898,0.09394110261158944,0.003756908694401715,0.29676475520632284,0.8541467126672444,0.7757567869934492,0.26732628734661146,1.720092077222825,0.820625,0.4103359375
40,A,gaussian_blur,0.5117836492400033,0.46867143888209584,0.04614307790557492,1.1203212565580845,0.10712492476242072,0.08772829411407118,0.002107124677016487,0.27631996109354384,0.8152793445424428,0.7511600836901502,0.2497776108275873,1.6087383737419525,0.8334375,0.41114843749999996
40,B,clean,0.5075134470756698,0.4585855001531737,0.05161740854982485,1.1409351536082495,0.10636303932528535,0.08598131819094174,0.002758609535105147,0.28222819606569344,0.7932474684148739,0.7164375380605734,0.23546974266466442,1.6099083203982814,0.836171875,0.40953906250000005
40,B,brightness_dark,0.5762136438585513,0.5070222088600037,0.07093584306122738,1.308952325669826,0.12719306058544722,0.10137105575502389,0.0050753994694951055,0.3385934443268226,1.0174999659910333,0.9158300923771657,0.31785842538256565,2.0342851912928817,0.789609375,0.41288281250000003
40,B,contrast_low,0.6156106718604643,0.5530315210490189,0.0897673966235692,1.3612407060317004,0.13886941579062553,0.11166071185036436,0.007176320172119299,0.3612115013032198,1.1379901095400988,1.043024201791387,0.37233923046706213,2.2154975007070954,0.77609375,0.4163984375
40,B,gaussian_noise,0.5271987496608158,0.4794023045773545,0.04771352235387849,1.1733415888926133,0.1120892864745031,0.09032886654817901,0.0028252964926084216,0.29222534065238703,0.8578370398532781,0.7799155215144644,0.26197393055156026,1.7248181984627842,0.821796875,0.41196093749999996
40,B,gaussian_blur,0.5135839586264059,0.4682239784510104,0.050744779612653605,1.1242394335233992,0.107547199098533,0.08840903107139295,0.0030737820062095283,0.27659327080375523,0.8201201972459405,0.7502869375466472,0.25411551247030634,1.616553955686955,0.83546875,0.410828125
80,A,clean,0.3790588948640669,0.34230973285649174,0.030177591889022717,0.8470796260361728,0.07307359444331545,0.05988345798640693,0.001069564209669255,0.1881895351896015,0.5484544489596036,0.4938767192765412,0.157222768042197,1.1248521133464675,0.897734375,0.395265625
80,A,brightness_dark,0.4327579145622565,0.39288579330740914,0.049659502247700306,0.9577224144218093,0.08718597924878488,0.07108378822016281,0.002931262968982497,0.22138540278478316,0.6932347893258843,0.626584460802487,0.20148194863789423,1.4229598483582981,0.870625,0.399296875
80,A,contrast_low,0.4563734669744065,0.4118757620760082,0.05488487114327123,1.0,0.09311860865152395,0.07691069163682307,0.0031869510152110663,0.23777789839819108,0.7425146593597693,0.6812368774841464,0.22290194273453154,1.4856663839963724,0.86609375,0.3996484375
