bank,context,stratum,n,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp
A,gaussian_blur,singleton,794,3.165192537699145,0.5667506297229219,0.5667506297229219,0.7448705124372362,9.52010323778784,2.252777906241293,0.6459973236775819,0.6459973236775819,0.6783438550711838,8.821907401436963
B,clean,all,800,2.582629998525158,0.63875,0.6425,0.7322503284248316,9.51466381804026,1.671345442026267,0.68650390625,0.689404296875,0.6686991760447307,9.063902426306294
B,clean,legacy_quartile_1,228,0.9197261706620307,0.5394736842105263,0.5526315789473685,0.6924078107666788,7.567967553195539,1.1649272220211302,0.4477110745614035,0.45788788377192985,0.6519944362021615,7.516262611544381
B,clean,legacy_quartile_2,241,2.2232637874208043,0.6556016597510373,0.6556016597510373,0.6470643850934102,8.678118636412892,1.4192048339405496,0.7078578838174274,0.7078578838174274,0.6452338671202001,8.874512907007725
B,clean,legacy_quartile_3,196,2.234033243032294,0.7193877551020408,0.7193877551020408,0.7687471554153504,9.678358696178627,1.381530316539453,0.8465800382653061,0.8465800382653061,0.6465731523825466,8.72620505522034
B,clean,legacy_quartile_4,135,6.5387358778254825,0.6592592592592592,0.6592592592592592,0.8986246119714224,14.058144862793387,3.3975158516947466,0.8192708333333333,0.8192708333333333,0.7709252558425511,12.506076031117544
B,clean,best_tied,5,0.031007751937984496,0.2,0.8,1.2549292734187296,7.0812324942698925,0.016806455712288733,0.4609375,0.925,0.37218494012576164,3.4234146249423896
B,clean,singleton,795,2.598677937182939,0.6415094339622641,0.6415094339622641,0.728963039462606,9.529968417560829,1.6817513476005688,0.6879225628930817,0.6879225628930817,0.6705640454530261,9.099377192352607
B,brightness_dark,all,800,2.272398136873207,0.665,0.675,0.7518928098132427,10.602367739257964,2.243033719623013,0.69775390625,0.711005859375,0.7509471854698749,11.692946153105735
B,brightness_dark,legacy_quartile_1,138,0.7681715476694243,0.3695652173913043,0.427536231884058,0.6404980559408798,7.440761259946648,1.0072850852962343,0.4336503623188406,0.5104732789855072,0.6893069531872712,9.227130241466492
B,brightness_dark,legacy_quartile_2,219,3.0599362305322644,0.5799086757990868,0.5799086757990868,0.8269288658616901,11.285649011734662,2.525727809910613,0.646689497716895,0.646689497716895,0.7688567273490052,11.341617906649438
B,brightness_dark,legacy_quartile_3,207,3.250474515838783,0.6811594202898551,0.6811594202898551,0.7355165041318472,10.989588577212665,3.3111053226388765,0.7047478864734299,0.7047478864734299,0.8174905150755757,12.168040211186803
B,brightness_dark,legacy_quartile_4,236,1.5632905790465725,0.902542372881356,0.902542372881356,0.7617634667447046,11.477403256274668,1.766476448181602,0.8934388241525424,0.8934388241525424,0.7120052073134753,13.044128406314917
B,brightness_dark,best_tied,15,0.0,0.4666666666666667,1.0,0.5374789208528213,4.8377310891218235,0.0,0.29322916666666665,1.0,0.5367238675823993,7.398770819381562
B,brightness_dark,singleton,785,2.3158197573230135,0.6687898089171974,0.6687898089171974,0.7559898904940151,10.712520031935723,2.2858942365584842,0.7054836783439491,0.7054836783439491,0.755040624665177,11.775000458845689
B,contrast_low,all,800,4.237354323059045,0.55125,0.56125,0.8532605068287742,11.050743769257405,3.501773748663577,0.605810546875,0.613974609375,0.7908363297116443,10.95090749834314
B,contrast_low,legacy_quartile_1,186,2.3569882986907937,0.23118279569892472,0.27419354838709675,0.8876753080556714,8.658480584836168,1.1757513490757066,0.3654233870967742,0.40053763440860213,0.7643764182897238,8.000722281168258
B,contrast_low,legacy_quartile_2,142,5.264349497627655,0.38028169014084506,0.38028169014084506,0.9691219894626464,11.447018936970196,2.6302866235297344,0.5305347711267606,0.5305347711267606,0.8228097470884174,9.208521208662711
B,contrast_low,legacy_quartile_3,169,3.899125286249204,0.6035502958579881,0.6035502958579881,0.7966753962075767,9.231442815339042,3.0851184576128774,0.6488073224852071,0.6488073224852071,0.7103568505108248,8.590920039586
B,contrast_low,legacy_quartile_4,303,5.098989547364706,0.7986798679867987,0.7986798679867987,0.8093971409303242,13.348274263314623,5.570440686881128,0.764670998349835,0.764670998349835,0.8369827001470038,14.894772792267585
B,contrast_low,best_tied,9,0.0,0.1111111111111111,1.0,1.024312710185376,16.26388165000701,0.04724801061007958,0.2604166666666667,0.9861111111111112,0.41756004478484887,5.132634510802844
B,contrast_low,singleton,791,4.285566951260728,0.5562579013906448,0.5562579013906448,0.8513142744264869,10.991428673269104,3.541079351245728,0.6097404393173198,0.6097404393173198,0.7950834682253499,11.017107823106558
B,gaussian_noise,all,800,2.666951528938514,0.6425,0.64375,0.7645025836040457,10.310605487381313,1.7913467798339189,0.684892578125,0.693623046875,0.6956633137644775,9.837727733326721
