client,bank,context,D_actual,p50,p90,p95,maximum,percentile,above_p95
15,B,brightness_dark,0.19868312402552207,0.13858019994434323,0.23766272573696476,0.2641662130237753,0.3520284095360267,0.796875,False
15,B,contrast_low,0.3216267411625545,0.14407476311241235,0.22386090823833804,0.2533719472485579,0.38082273960529833,0.9921875,True
15,B,gaussian_noise,0.2641648726475686,0.13643611418210672,0.21158467283282145,0.23395652467655775,0.34042166419036973,0.9765625,True
15,B,gaussian_blur,0.2790859419345275,0.14693634718369986,0.2305213939806375,0.2680665637961391,0.37615513868862194,0.9609375,True
16,A,clean,0.09747683728654435,0.13818598764768508,0.22155126889817006,0.2577355402686859,0.3293849668649562,0.234375,False
16,A,brightness_dark,0.11079873338594849,0.13595288882956408,0.21499891960899703,0.2574918679806488,0.3493715733408958,0.3203125,False
16,A,contrast_low,0.10164702594183425,0.14320544915513778,0.21336439314911493,0.23843862846629452,0.30982741277551107,0.25,False
16,A,gaussian_noise,0.12165662058390814,0.13583739479404744,0.20234613172787577,0.2500408746332475,0.3068707617415974,0.3984375,False
16,A,gaussian_blur,0.09991479691975402,0.13962069905680852,0.2162664098981403,0.23281827336989228,0.32963486732717323,0.1640625,False
16,B,clean,0.09747683728654435,0.13604974459887056,0.21636462754308286,0.23423437037605177,0.3107053046116659,0.1953125,False
16,B,brightness_dark,0.11237507905206061,0.14539487043565613,0.22059390972911908,0.25282322845945493,0.31214110661245265,0.296875,False
16,B,contrast_low,0.09991671334169788,0.14974838817413594,0.22881161993859056,0.2638263798904755,0.30746845348750745,0.1640625,False
16,B,gaussian_noise,0.11952496414129016,0.13533930250976534,0.21774453305382288,0.22980345066038393,0.32247957747779904,0.3671875,False
16,B,gaussian_blur,0.10127426872555301,0.12962488864186233,0.212472084051631,0.2615024972156436,0.29865028653710757,0.2734375,False
17,A,clean,0.09514192457910567,0.14388586095606548,0.24397386095669008,0.27711164960194207,0.42052362827889117,0.1640625,False
17,A,brightness_dark,0.09996221485271264,0.13847039446373877,0.21584915466870372,0.24012199636442155,0.34967143096721354,0.2109375,False
17,A,contrast_low,0.09089789796781779,0.14419437890780595,0.23603751121491356,0.2608125778118156,0.35420730802045997,0.1875,False
17,A,gaussian_noise,0.10854786139143809,0.13785798051987735,0.23294233447372692,0.24797311992557544,0.32712154528275644,0.28125,False
17,A,gaussian_blur,0.07993113827102036,0.15257003759694765,0.20999139440731004,0.2424349920674403,0.3239095671769876,0.1484375,False
17,B,clean,0.09514192457910567,0.1394754279695048,0.23055631827429973,0.26343505453562177,0.3674407334106861,0.171875,False
17,B,brightness_dark,0.10035732964709455,0.13356687008900153,0.22427761889543188,0.2507027052627396,0.30647752275024664,0.28125,False
17,B,contrast_low,0.08353970758530987,0.1354070246246103,0.2134889505880685,0.24107054712313206,0.3182505656045564,0.125,False
17,B,gaussian_noise,0.1076503384345926,0.14766947446785167,0.2303854847366013,0.2874150774209456,0.36257820180107125,0.2890625,False
17,B,gaussian_blur,0.0770712692808756,0.14244352005176442,0.23096059713345676,0.2509538689990613,0.2747612557271553,0.0859375,False
18,A,clean,0.12447304299632833,0.17367812982325417,0.26478693435753897,0.2878933769995349,0.37750145595004075,0.203125,False
18,A,brightness_dark,0.12031047082175396,0.15460027999378526,0.25835611934063935,0.31076479305410926,0.40888235804040995,0.25,False
18,A,contrast_low,0.18685406851528108,0.16338083554916416,0.2395217118915344,0.270674323470481,0.3780191537489188,0.6640625,False
18,A,gaussian_noise,0.11309476934928725,0.16513977416077064,0.2583150437531057,0.3096313164472558,0.539513841011893,0.140625,False
18,A,gaussian_blur,0.14998709599274385,0.1749838257742145,0.2842300470482527,0.3075151549244416,0.4211328286746109,0.328125,False
18,B,clean,0.12447304299632833,0.16867079830168996,0.2592385831382787,0.29109732371829655,0.37248958809995536,0.203125,False
18,B,brightness_dark,0.12088115303536358,0.15454342620184686,0.25367177550635434,0.2773676513058752,0.48030178700309506,0.28125,False
18,B,contrast_low,0.19906011645262034,0.16101359702277712,0.24343420233516802,0.2849799759261926,0.39277091062597985,0.71875,False
18,B,gaussian_noise,0.11271925470720631,0.17158479536278626,0.25343262253676846,0.27781193063148546,0.32677294023486125,0.1484375,False
18,B,gaussian_blur,0.1531458101276154,0.16319037685500984,0.24108887256531666,0.2613934559564652,0.3075880077536343,0.3984375,False
19,A,clean,0.19717343472443316,0.17373005948983078,0.2492500213133454,0.2871883968698592,0.34946947790216126,0.6328125,False
19,A,brightness_dark,0.17306611586962609,0.16313280818735357,0.2395177454273302,0.2643076710410601,0.36980732113125053,0.5703125,False
19,A,contrast_low,0.1939009661750988,0.14599576895392535,0.22568843388170506,0.24953485727925295,0.3627284716572613,0.765625,False
19,A,gaussian_noise,0.2195032515575883,0.16541825020592416,0.2535803450408288,0.28525656788818765,0.35893059720618137,0.8125,False
19,A,gaussian_blur,0.2214502517280523,0.17403930607975904,0.26508484246589553,0.2866466565429297,0.36664278191824917,0.7421875,False
19,B,clean,0.19717343472443316,0.1648044114997244,0.2365810718107953,0.26125738366751977,0.3277586089799738,0.7109375,False
19,B,brightness_dark,0.17384982655330924,0.1609084660401328,0.2505425475979642,0.2792947815393528,0.3415366804763351,0.5859375,False
19,B,contrast_low,0.20320531642814005,0.1457616224477407,0.2547591956738105,0.288329922227178,0.3719959910639885,0.7578125,False
19,B,gaussian_noise,0.2187012091532416,0.16486815027002472,0.23409337131214702,0.24546372116201232,0.2990274823789712,0.8125,False
19,B,gaussian_blur,0.2224284522400852,0.16443003972918563,0.25313914246575503,0.2730480001611799,0.4334325778976096,0.8203125,False
20,A,clean,0.12927367601151357,0.128734122972945,0.20871120423682948,0.23812341021370015,0.2714152776596668,0.5078125,False
20,A,brightness_dark,0.1013991363046847,0.13285562817882965,0.19652565152772086,0.21304865681151733,0.38311805464750714,0.28125,False
20,A,contrast_low,0.11528959466376604,0.12536934241826908,0.19213779604055917,0.2052051847099418,0.28452937665048267,0.3984375,False
20,A,gaussian_noise,0.12191152813697335,0.11917024920273128,0.1853371370675809,0.2159224499439912,0.26527967398136026,0.53125,False
20,A,gaussian_blur,0.13314979136206878,0.11431940035377952,0.2084174239728203,0.22502307175531122,0.3348468001866462,0.6796875,False
20,B,clean,0.12927367601151357,0.10424495875478251,0.16792497615034443,0.20834730476841143,0.2935504838474227,0.7421875,False
20,B,brightness_dark,0.10401622623203041,0.12487595930603948,0.204237179103463,0.2533236064582759,0.3387326253278379,0.375,False
