client,bank,context,salt,train_half,argmax_size,best_tied,legacy_margin_pp,distinct_level_margin_pp,legacy_margin_quartile,actual_state,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_true_regret_p05_pp,boot_true_regret_median_pp,boot_true_regret_p95_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp,boot_DU_median_pp,boot_query_oracle_regret_mean_pp,boot_query_oracle_regret_p95_pp
0,B,clean,T013-S1,1,1,False,4.773167118512378,4.773167118512378,3,1,0.0,True,True,1.3362858256225123,3.342420007111317,1.2241912260706842,0.0,0.0,9.938560534154004,0.8515625,0.8515625,0.6191273481236682,6.143444825591943,5.351282498211295,1.9662921348314606,14.606741573033707
0,B,clean,T013-S2,0,1,False,6.90354603693541,6.90354603693541,3,1,0.0,True,True,1.3362858256225123,2.7249602190553,1.204857471182394,0.0,0.0,9.69299184116543,0.8671875,0.8671875,0.6191273481236682,5.92022676813045,5.389663189204643,1.4396067415730338,12.359550561797754
0,B,clean,T013-S2,1,1,False,5.357795802270975,5.357795802270975,3,1,0.0,True,True,1.3362858256225123,4.3574816286697935,1.3162082788145975,0.0,0.0,9.088525658309509,0.8359375,0.8359375,0.6191273481236682,5.717298694949847,5.104781417681631,1.290379213483146,7.865168539325842
0,B,clean,T013-S3,0,1,False,4.605459420682897,4.605459420682897,3,1,0.0,True,True,1.3362858256225123,3.591307764117728,1.2875887754577584,0.0,0.0,8.838209820920854,0.828125,0.828125,0.6191273481236682,6.068464409270217,5.218896519126254,2.7124297752808992,16.853932584269664
0,B,clean,T013-S3,1,1,False,7.629576315214469,7.629576315214469,3,1,0.0,True,True,1.3362858256225123,3.5032090887149274,1.0927393591457677,0.0,0.0,9.9411211554364,0.8828125,0.8828125,0.6191273481236682,5.567555613005525,5.26653902666986,0.2896769662921348,3.3707865168539324
0,B,brightness_dark,T013-S0,0,1,False,11.263941764544757,11.263941764544757,4,1,0.0,True,True,1.0869492664660234,7.655098686418393,1.4662782245074075,0.0,0.0,20.64446615098233,0.921875,0.921875,0.7111008469136155,10.20276224166362,8.944207631282008,1.8609550561797752,25.84269662921348
0,B,brightness_dark,T013-S0,1,1,False,12.195237023600617,12.195237023600617,4,1,0.0,True,True,1.0869492664660234,8.55834916790424,1.294875032180486,0.0,0.0,12.195237023600617,0.9296875,0.9296875,0.7111008469136155,10.226892500450436,9.044869811087244,1.7380617977528088,13.48314606741573
0,B,brightness_dark,T013-S1,0,1,False,12.925258027121858,12.925258027121858,4,1,0.0,True,True,1.0869492664660234,8.772565105534873,0.9848753484751808,0.0,0.0,0.0,0.953125,0.953125,0.7111008469136155,10.56665581648088,9.365312034594487,1.1060393258426968,0.0
0,B,brightness_dark,T013-S1,1,1,False,10.551449437404257,10.551449437404257,4,1,0.0,True,True,1.0869492664660234,7.449510552012889,1.7756888367639365,0.0,0.0,19.56338227935711,0.8984375,0.8984375,0.7111008469136155,9.86984669666184,8.53762150157453,2.721207865168539,31.46067415730337
0,B,brightness_dark,T013-S2,0,1,False,10.692929950836373,10.692929950836373,4,1,0.0,True,True,1.0869492664660234,8.342186056709194,2.1516057760548435,0.0,0.0,20.277229123542572,0.8828125,0.8828125,0.7111008469136155,10.2925802807351,8.973355799074294,2.896769662921348,26.96629213483146
0,B,brightness_dark,T013-S2,1,1,False,12.748398694117286,12.748398694117286,4,1,0.0,True,True,1.0869492664660234,7.850035830638865,1.0539029188264648,0.0,0.0,8.286459151176127,0.9453125,0.9453125,0.7111008469136155,10.131354172897181,9.035075086054983,1.351825842696629,8.76404494382011
0,B,brightness_dark,T013-S3,0,1,False,10.218540859264962,10.218540859264962,4,1,0.0,True,True,1.0869492664660234,7.5492662539588835,1.4013263247493593,0.0,0.0,16.906343880952107,0.9140625,0.9140625,0.7111008469136155,9.872162466831364,8.64306206707856,1.975070224719101,23.426966292134743
0,B,brightness_dark,T013-S3,1,1,False,13.225019943119593,13.225019943119593,4,1,0.0,True,True,1.0869492664660234,8.659566966589358,1.267855099270796,0.0,0.0,13.225019943119593,0.9375,0.9375,0.7111008469136155,10.570186567311406,9.431384432011644,1.5800561797752808,13.48314606741573
