client,target,n_query,none,oracle_correct,oracle_wrong_clean,oracle_wrong_alt,oracle_noise_source,oracle_wrong_clean_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
3,contrast_low,216,4.16666679084301,6.94444477558136,4.16666679084301,4.16666679084301,0.0,2.77777798473835,2.77777798473835,6.94444477558136
4,contrast_low,105,0.9523809887468815,4.76190485060215,0.9523809887468815,0.9523809887468815,0.0,3.8095238618552685,3.8095238618552685,4.76190485060215
5,contrast_low,158,24.683545529842377,20.253165066242218,24.683545529842377,19.620253145694733,5.0632912665605545,-4.430380463600159,0.6329119205474854,15.189873799681664
6,contrast_low,261,44.06130015850067,46.74329459667206,44.06130015850067,48.65900278091431,54.7892689704895,2.6819944381713867,-1.9157081842422485,-8.045974373817444
7,contrast_low,197,1.5228426083922386,16.243654489517212,1.5228426083922386,3.553299605846405,0.0,14.720811881124973,12.690354883670807,16.243654489517212
8,contrast_low,193,2.590673416852951,9.84455943107605,2.590673416852951,3.10880821198225,0.0,7.253886014223099,6.7357512190938,9.84455943107605
9,contrast_low,176,6.818182021379471,15.340909361839294,6.818182021379471,8.522727340459824,0.0,8.522727340459824,6.818182021379471,15.340909361839294
10,contrast_low,282,15.2482271194458,13.120566308498383,15.2482271194458,12.765957415103912,20.21276503801346,-2.127660810947418,0.3546088933944702,-7.092198729515076
11,contrast_low,180,54.44444417953491,44.44444477558136,54.44444417953491,51.66666507720947,57.777780294418335,-9.999999403953552,-7.222220301628113,-13.333335518836975
12,contrast_low,164,10.36585345864296,9.756097197532654,10.36585345864296,9.146340936422348,6.707316637039185,-0.6097562611103058,0.6097562611103058,3.0487805604934692
13,contrast_low,80,2.500000037252903,56.25,2.500000037252903,21.250000596046448,76.2499988079071,53.7499999627471,34.99999940395355,-19.999998807907104
14,contrast_low,71,59.1549277305603,50.70422291755676,59.1549277305603,52.112674713134766,33.80281627178192,-8.45070481300354,-1.408451795578003,16.90140664577484
15,contrast_low,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,contrast_low,21,38.0952388048172,52.3809552192688,38.0952388048172,52.3809552192688,9.5238097012043,14.2857164144516,0.0,42.8571455180645
17,contrast_low,87,40.229883790016174,47.12643623352051,40.229883790016174,48.27586114406586,74.71264600753784,6.8965524435043335,-1.1494249105453491,-27.586209774017334
18,contrast_low,10,0.0,10.000000149011612,0.0,0.0,0.0,10.000000149011612,10.000000149011612,10.000000149011612
19,contrast_low,91,48.351648449897766,36.263737082481384,48.351648449897766,42.85714328289032,65.93406796455383,-12.087911367416382,-6.5934062004089355,-29.67033088207245
20,contrast_low,152,69.73684430122375,67.1052634716034,69.73684430122375,76.97368264198303,100.0,-2.6315808296203613,-9.868419170379639,-32.894736528396606
21,contrast_low,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,contrast_low,175,32.57142901420593,58.28571319580078,32.57142901420593,37.71428465843201,69.1428542137146,25.71428418159485,20.571428537368774,-10.857141017913818
23,contrast_low,140,32.14285671710968,30.000001192092896,32.14285671710968,30.000001192092896,27.142858505249023,-2.1428555250167847,0.0,2.857142686843872
24,contrast_low,179,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.0,0.0,0.0
25,contrast_low,36,13.88888955116272,36.11111044883728,13.88888955116272,19.44444477558136,19.44444477558136,22.22222089767456,16.66666567325592,16.66666567325592
26,contrast_low,284,69.01408433914185,72.53521084785461,69.01408433914185,80.28168678283691,94.71830725669861,3.5211265087127686,-7.7464759349823,-22.183096408843994
27,contrast_low,195,7.179487496614456,76.4102578163147,7.179487496614456,40.00000059604645,98.46154451370239,69.23077031970024,36.41025722026825,-22.051286697387695
28,contrast_low,26,0.0,11.538462340831757,0.0,3.8461539894342422,0.0,11.538462340831757,7.692308351397514,11.538462340831757
29,contrast_low,382,5.235601961612701,69.1099464893341,5.235601961612701,31.15183413028717,100.0,63.874344527721405,37.958112359046936,-30.890053510665894
30,contrast_low,275,25.45454502105713,21.090909838676453,25.45454502105713,21.090909838676453,39.636364579200745,-4.363635182380676,0.0,-18.545454740524292
31,contrast_low,202,42.07920730113983,52.970296144485474,42.07920730113983,56.43564462661743,98.01980257034302,10.891088843345642,-3.465348482131958,-45.049506425857544
32,contrast_low,198,21.717171370983124,24.242424964904785,21.717171370983124,22.22222238779068,19.696970283985138,2.5252535939216614,2.0202025771141052,4.545454680919647
33,contrast_low,264,5.303030461072922,11.742424964904785,5.303030461072922,4.545454680919647,0.0,6.439394503831863,7.196970283985138,11.742424964904785
34,contrast_low,102,11.764706671237946,17.64705926179886,11.764706671237946,8.82352963089943,9.803921729326248,5.882352590560913,8.82352963089943,7.8431375324726105
35,contrast_low,175,30.85714280605316,65.71428775787354,30.85714280605316,47.42857217788696,47.999998927116394,34.85714495182037,18.285715579986572,17.71428883075714
36,contrast_low,18,5.55555559694767,11.11111119389534,5.55555559694767,5.55555559694767,16.66666716337204,5.55555559694767,5.55555559694767,-5.5555559694767
37,contrast_low,80,32.50000178813934,27.500000596046448,32.50000178813934,26.250001788139343,10.000000149011612,-5.0000011920928955,1.2499988079071045,17.500000447034836
38,contrast_low,25,59.99999642372131,68.00000071525574,59.99999642372131,63.999998569488525,95.99999785423279,8.000004291534424,4.000002145767212,-27.99999713897705
39,contrast_low,160,59.375,43.75,59.375,49.37500059604645,89.3750011920929,-15.625,-5.625000596046448,-45.625001192092896
40,contrast_low,250,0.0,0.0,0.0,0.4000000189989805,0.0,0.0,-0.4000000189989805,0.0
41,contrast_low,100,0.9999999776482582,10.999999940395355,0.9999999776482582,2.9999999329447746,63.999998569488525,9.999999962747097,8.00000000745058,-52.99999862909317
42,contrast_low,320,38.43750059604645,48.12500178813934,38.43750059604645,36.56249940395355,37.18750178813934,9.687501192092896,11.562502384185791,10.9375
43,contrast_low,198,3.030303120613098,2.0202020183205605,3.030303120613098,1.515151560306549,0.0,-1.0101011022925377,0.5050504580140114,2.0202020183205605
44,contrast_low,74,17.56756752729416,17.56756752729416,17.56756752729416,18.918919563293457,0.0,0.0,-1.351352035999298,17.56756752729416
45,contrast_low,13,61.538463830947876,15.384615957736969,61.538463830947876,38.46153914928436,15.384615957736969,-46.15384787321091,-23.076923191547394,0.0
46,contrast_low,79,1.2658228166401386,5.0632912665605545,1.2658228166401386,1.2658228166401386,0.0,3.797468449920416,3.797468449920416,5.0632912665605545
47,contrast_low,32,37.5,56.25,37.5,37.5,25.0,18.75,18.75,31.25
48,contrast_low,161,0.0,1.2422360479831696,0.0,0.0,0.0,1.2422360479831696,1.2422360479831696,1.2422360479831696
49,contrast_low,202,1.4851484447717667,22.772276401519775,1.4851484447717667,6.435643136501312,0.0,21.28712795674801,16.336633265018463,22.772276401519775
50,contrast_low,121,40.495866537094116,34.71074104309082,40.495866537094116,36.36363446712494,58.677685260772705,-5.785125494003296,-1.6528934240341187,-23.966944217681885
51,contrast_low,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,contrast_low,24,41.66666865348816,33.33333432674408,41.66666865348816,41.66666865348816,83.33333730697632,-8.33333432674408,-8.33333432674408,-50.00000298023224
53,contrast_low,121,0.0,18.18181723356247,0.0,4.1322313249111176,0.0,18.18181723356247,14.049585908651352,18.18181723356247
54,contrast_low,237,19.409281015396118,21.09704613685608,19.409281015396118,19.409281015396118,15.611813962459564,1.687765121459961,1.687765121459961,5.485232174396515
55,contrast_low,210,50.47619342803955,60.00000238418579,50.47619342803955,60.952383279800415,95.71428894996643,9.52380895614624,-0.952380895614624,-35.71428656578064
56,contrast_low,118,13.55932205915451,13.55932205915451,13.55932205915451,13.55932205915451,0.0,0.0,0.0,13.55932205915451
57,contrast_low,117,16.239316761493683,37.60683834552765,16.239316761493683,23.076924681663513,21.367523074150085,21.367521584033966,14.529913663864136,16.239315271377563
58,contrast_low,28,0.0,3.57142873108387,0.0,0.0,3.57142873108387,3.57142873108387,3.57142873108387,0.0
59,contrast_low,94,22.340424358844757,42.553189396858215,22.340424358844757,23.404254019260406,31.91489279270172,20.21276503801346,19.14893537759781,10.638296604156494
60,contrast_low,475,8.210525661706924,9.473683685064316,8.210525661706924,6.947368383407593,0.0,1.2631580233573914,2.526315301656723,9.473683685064316
61,contrast_low,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,contrast_low,75,15.999999642372131,15.999999642372131,15.999999642372131,14.666667580604553,0.0,0.0,1.3333320617675781,15.999999642372131
63,contrast_low,215,29.30232584476471,32.55814015865326,29.30232584476471,33.95348787307739,40.93023240566254,3.25581431388855,-1.3953477144241333,-8.372092247009277
