client,n_query,none,oracle,delta,logit_abs_diff_mean,logit_abs_diff_max
58,28,3.57142873108387,3.57142873108387,0.0,0.0001521075755590573,0.0020265579223632812
59,94,47.87233769893646,47.87233769893646,0.0,0.00010180959361605346,0.0007038116455078125
60,475,17.89473593235016,17.89473593235016,0.0,0.00012799096293747425,0.0029654502868652344
61,15,6.666667014360428,6.666667014360428,0.0,0.000153833330841735,0.0016838014125823975
62,75,15.999999642372131,15.999999642372131,0.0,0.00011321063357172534,0.0014529228210449219
63,215,35.348838567733765,35.348838567733765,0.0,0.00012144107313361019,0.0015985965728759766
64,127,22.834645211696625,22.834645211696625,0.0,0.00011021354293916374,0.0010107755661010742
65,152,23.02631586790085,23.02631586790085,0.0,0.00014760174963157624,0.003491640090942383
66,194,3.0927833169698715,3.0927833169698715,0.0,9.62819394771941e-05,0.0012691020965576172
67,82,25.609755516052246,25.609755516052246,0.0,0.00013184956333134323,0.0013992786407470703
68,229,24.017468094825745,24.017468094825745,0.0,8.856668864609674e-05,0.0009312629699707031
69,142,21.12676054239273,21.12676054239273,0.0,0.00011694402201101184,0.003509521484375
70,77,62.337660789489746,62.337660789489746,0.0,0.00010766465857159346,0.0009675025939941406
71,36,11.11111119389534,11.11111119389534,0.0,9.800431871553883e-05,0.0006400346755981445
72,161,45.34161686897278,45.34161686897278,0.0,0.00010656240192474797,0.0021430253982543945
73,228,30.263158679008484,30.263158679008484,0.0,0.00010648002353264019,0.001102745532989502
74,164,71.95121645927429,71.95121645927429,0.0,0.00012157557648606598,0.002224266529083252
75,200,46.50000035762787,46.50000035762787,0.0,0.0001041038558469154,0.0007364749908447266
76,167,56.28742575645447,56.28742575645447,0.0,0.00011989998165518045,0.0014744997024536133
77,172,36.62790656089783,36.62790656089783,0.0,0.00012269633589312434,0.0015380382537841797
78,98,15.306122601032257,15.306122601032257,0.0,0.0001134296617237851,0.001581430435180664
79,18,38.88888955116272,38.88888955116272,0.0,0.00011188955249963328,0.0008606910705566406
80,80,73.7500011920929,73.7500011920929,0.0,0.00014441463281400502,0.0039653778076171875
81,17,11.764705926179886,11.764705926179886,0.0,8.830073056742549e-05,0.00036263465881347656
82,163,13.49693238735199,13.49693238735199,0.0,9.54973729676567e-05,0.0008691549301147461
83,509,58.74263644218445,58.74263644218445,0.0,0.00011975121742580086,0.0023723840713500977
84,254,64.56692814826965,64.56692814826965,0.0,0.00011315521987853572,0.0030629634857177734
85,222,60.36036014556885,60.36036014556885,0.0,0.00012402725405991077,0.0019528865814208984
86,40,12.5,12.5,0.0,0.00013955734902992845,0.0013731718063354492
87,150,26.66666805744171,26.66666805744171,0.0,0.0001436713064322248,0.0023639872670173645
88,77,40.25973975658417,40.25973975658417,0.0,0.00013402910553850234,0.0011159181594848633
89,155,15.483871102333069,15.483871102333069,0.0,0.00011059050302719697,0.001551210880279541
90,155,21.935483813285828,21.935483813285828,0.0,0.00011513062781887129,0.002232193946838379
91,183,3.2786883413791656,3.2786883413791656,0.0,0.00010212721826974303,0.0014569759368896484
92,96,71.875,71.875,0.0,0.00010982736421283334,0.0012284517288208008
93,218,4.58715558052063,4.58715558052063,0.0,0.00011921907571377233,0.0012652873992919922
94,293,26.962456107139587,26.962456107139587,0.0,0.00010828459198819473,0.0010685920715332031
95,38,60.52631735801697,60.52631735801697,0.0,0.00013952734298072755,0.002340078353881836
96,215,4.1860464960336685,4.1860464960336685,0.0,8.999677811516449e-05,0.0006402134895324707
97,170,37.05882430076599,37.05882430076599,0.0,0.00013995908375363797,0.002125978469848633
98,66,21.212121844291687,21.212121844291687,0.0,0.00011192770034540445,0.0013371258974075317
99,145,13.793103396892548,13.793103396892548,0.0,0.00010530433064559475,0.0013488531112670898
