bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,capture_delta_vs_BBSE,clean_delta_vs_zero,L1,JS,dominant_agreement,canonical_agreement,optimal_set_agreement,true_template_regret,DU,active_classes,objective
A,contrast_low,T013-S2,31.178121717851884,2094294444034770897583/67171924690884293865,0.8248648495361796,3769304771327822385031/4569602854876526239254,1.4479117041871914,0.106419550058842,11.222857730141365,0.9182003322799165,0.23881190748964248,0.59,0.64,0.65,0.0259783509919807,0.11888880534196591,3.87,0.0007674957067424587
A,contrast_low,T013-S3,31.171350325912705,20938395966053799310301/671719246908842938650,0.8256860278040699,7534061068361735104533/9124607677325891101811,1.4350532723485463,0.10564321639508974,11.216086338202187,0.9182003322799165,0.23881190748964248,0.59,0.63,0.64,0.025299277978226165,0.11880575997324122,3.87,0.0007674957067424587
A,gaussian_noise,T013-S0,36.09418639538801,24245159703297434470489/671719246908842938650,0.7917721941291489,1819533798851885225128/2298052157354612021949,0.8306091031392284,0.12139326765293626,5.417542543927757,0.7416556901538719,0.1800160617584357,0.67,0.685,0.685,0.013178013494602934,0.09777299586882751,4.17,0.0008678663583510371
A,gaussian_noise,T013-S1,36.06206984800984,12111793200139631833513/335859623454421469325,0.7833401673790112,3617494294685599646793/4618037533795086817289,0.7782854913923899,0.1132059538997615,5.385425996549596,0.7416556901538719,0.1800160617584357,0.67,0.68,0.68,0.013077970197830791,0.0976835417173722,4.17,0.0008678663583510371
A,gaussian_noise,T013-S2,36.108610746908646,24254848817838029454901/671719246908842938650,0.7948121565116447,3648756712244365434668/4590715784039354734789,0.8781141411509611,0.12848675399262585,5.431966895448401,0.7416556901538719,0.1800160617584357,0.67,0.67,0.67,0.013230630373728881,0.09768230491202289,4.17,0.0008678663583510371
A,gaussian_noise,T013-S3,36.06918300080455,24228364441917673364351/671719246908842938650,0.7866043669063877,1811136168162004672059/2302474082727212323157,0.778978872928123,0.11362887986591316,5.392539149344305,0.7416556901538719,0.1800160617584357,0.67,0.69,0.69,0.012981213800667652,0.09771599458660322,4.17,0.0008678663583510371
A,gaussian_blur,T013-S0,36.18271693187246,8101542456197737340883/223906415636280979550,0.5772270057295578,3547441876079376741263/6145661656276392848916,1.3436662395669783,0.14686237626130974,5.281137755698088,0.7828642082631717,0.19479109895945598,0.68,0.54,0.54,0.025806911865810283,0.09983124940591606,4.2,0.0008787555861812166
A,gaussian_blur,T013-S1,36.1486226619982,12140862795654682599829/335859623454421469325,0.5730751879933925,881135024698882479568/1537555705009936310829,1.2499205944217893,0.13651468328027694,5.247043485823825,0.7828642082631717,0.19479109895945598,0.68,0.55,0.555,0.02504820077113257,0.10014365010128437,4.2,0.0008787555861812166
A,gaussian_blur,T013-S2,36.551390185208255,533745049753899198448/14602592324105281275,0.6225253097388455,632514466027587974537/1016046185002394551511,1.6400020683721974,0.1807038844225572,5.64981100903388,0.7828642082631717,0.19479109895945598,0.68,0.545,0.545,0.023793540206576,0.10001020402913209,4.2,0.0008787555861812166
A,gaussian_blur,T013-S3,36.55629620203694,12277783877304423876571/335859623454421469325,0.6221477229964935,1899191131047506235878/3052636955577526814733,1.751577156555962,0.19271339920634434,5.6547170258625625,0.7828642082631717,0.19479109895945598,0.68,0.555,0.56,0.02322271342363496,0.09996800490039105,4.2,0.0008787555861812166
B,clean,T013-S0,38.38736613631627,12892766335950191833606/335859623454421469325,0.6888207598089561,1426958794269476421397/2071596672935993351968,0.5408094278126403,0.08767925395841111,4.24867621654773,0.7457769729400766,0.1837274545205207,0.68,0.6,0.6,0.018622538393189562,0.0896802931963537,4.24,0.0008499462094804852
B,clean,T013-S1,38.32647781494436,373110620500331891323/9735061549403520850,0.6916412324181624,2813017731161469676869/4067163146601900121861,0.6598599007942529,0.10898028420551197,4.187787895175819,0.7457769729400766,0.1837274545205207,0.68,0.625,0.63,0.01864029182892678,0.0897213519695287,4.24,0.0008499462094804852
B,clean,T013-S2,38.373738791453015,12888189461035736102981/335859623454421469325,0.6939783096142905,711190959677510345386/1024802864620922387933,0.5000004064229935,0.08193280582329464,4.2350488716844765,0.7457769729400766,0.1837274545205207,0.68,0.615,0.62,0.01875613133894943,0.08970031735660575,4.24,0.0008499462094804852
B,clean,T013-S3,38.30074215177921,25727345674242906695489/671719246908842938650,0.671826308415835,399390084411639410153/594484138844458678398,0.4200470744161659,0.06780277123758136,4.162052232010669,0.7457769729400766,0.1837274545205207,0.68,0.59,0.595,0.019698903694022194,0.08988424326594917,4.24,0.0008499462094804852
B,brightness_dark,T013-S0,33.800153171702945,329046571505794802279/9735061549403520850,0.917828397730856,5459104878917276062913/5947849175743311063642,0.6728418747073301,0.03799363635600761,16.254126717491886,0.7683893438949474,0.19681565383419655,0.68,0.675,0.695,0.01825437435604899,0.1298670314441227,4.02,0.0008201035306983473
B,brightness_dark,T013-S1,33.78020166890782,493278513597121743022/14602592324105281275,0.9146259726800982,10904807949402310947587/11922696572292074619309,0.5667419463006231,0.03192998086065698,16.23417521469676,0.7683893438949474,0.19681565383419655,0.68,0.675,0.685,0.019024591315903505,0.12986745962548707,4.02,0.0008201035306983473
B,brightness_dark,T013-S2,33.80015745309184,11352108154895583564929/335859623454421469325,0.9133433834544415,10918212633725877898433/11954115868701082530484,0.6128638577807177,0.03443771614126438,16.254130998880782,0.7683893438949474,0.19681565383419655,0.68,0.68,0.695,0.018140619540135856,0.12983625390540493,4.02,0.0008201035306983473
B,brightness_dark,T013-S3,33.81324364724439,22713006558272217998917/671719246908842938650,0.9175279089207541,2731750720551732191873/2977294416869525981346,0.652633203125086,0.036810793822317854,16.26721719303333,0.7683893438949474,0.19681565383419655,0.68,0.68,0.7,0.018073268864106817,0.12991137865080804,4.02,0.0008201035306983473
B,contrast_low,T013-S0,30.242584905525078,3385754392886007842992/111953207818140489775,0.7671749647928036,1727547864905995713046/2251830344037056589399,0.7409559964219553,0.05525664991005164,10.28732091781456,0.9182514495453833,0.23837994723094108,0.58,0.62,0.63,0.030747832962941944,0.12116645647471266,3.84,0.0007811576477895518
B,contrast_low,T013-S1,30.528056895513163,20506283387444412304261/671719246908842938650,0.800007774177147,7101948489752348098493/8877349344582434514917,0.9988756230948618,0.0755815677920065,10.572792907802645,0.9182514495453833,0.23837994723094108,0.58,0.625,0.635,0.029405457234345414,0.12129517528256771,3.84,0.0007811576477895518
B,contrast_low,T013-S2,30.0496883216394,403699080185141426237/13434384938176858773,0.7572906351070882,3390309555782503553041/4476893544712964012842,0.36813278736146793,0.027617574130272618,10.094424333928883,0.9182514495453833,0.23837994723094108,0.58,0.605,0.62,0.03163709316235362,0.12117406788017022,3.84,0.0007811576477895518
B,contrast_low,T013-S3,30.18946870387832,20278847182347227373611/671719246908842938650,0.7598029864902919,2291504094885054389281/3015918778458675061002,0.5143820385445714,0.03818850803968243,10.234204716167799,0.9182514495453833,0.23837994723094108,0.58,0.605,0.615,0.030968087569511766,0.12135754921224112,3.84,0.0007811576477895518
B,gaussian_noise,T013-S0,36.21542507453864,1871276773657901959723/51670711300680226050,0.8030118344444077,3720505951959061456166/4633189440518302623787,0.7718354368307038,0.11190060864584025,5.538781223078398,0.7434919764874425,0.1812020151306192,0.68,0.71,0.71,0.012506677980768816,0.10257182296571493,4.19,0.0008488228922975083
B,gaussian_noise,T013-S1,36.26924029609495,256449966080513242061/7070728914829925670,0.8108007787582652,3756654672055093975562/4633264755626382303719,0.8123173250536736,0.11776775354213312,5.592596444634701,0.7434919764874425,0.1812020151306192,0.68,0.7,0.7,0.012662662762279755,0.10250921345047084,4.19,0.0008488228922975083
B,gaussian_noise,T013-S2,36.335529555968385,128459339733521503463/3535364457414962835,0.8188875921885723,543026063396488805391/663126500604543865538,0.8919487953132594,0.12907237210458183,5.658885704508135,0.7434919764874425,0.1812020151306192,0.68,0.68,0.695,0.011799907990129392,0.10248468394443318,4.19,0.0008488228922975083
B,gaussian_noise,T013-S3,36.23604182574099,24340446726144072259829/671719246908842938650,0.8043783392302322,311196218379200686633/386877919508631790019,0.8658571921354179,0.12527917113373185,5.559397974280744,0.7434919764874425,0.1812020151306192,0.68,0.7,0.7,0.012649836833747598,0.10253824134618346,4.19,0.0008488228922975083
B,gaussian_blur,T013-S0,36.182968236377846,24304796174666310742157/671719246908842938650,0.5895698841440419,3547610682152475460771/6017286122582431926481,0.8786822455710832,0.09808870049441352,5.281389060203468,0.7859335118389269,0.1960246131846197,0.68,0.565,0.57,0.02506026969983276,0.10275998806782911,4.21,0.0008708028962669957
B,gaussian_blur,T013-S1,36.29329658787862,325052078024654746859/8956256625451239182,0.6023263001967626,3621720359335270733039/6012887629433016010913,0.9025671949974186,0.10082871889050438,5.391717411704244,0.7859335118389269,0.1960246131846197,0.68,0.56,0.56,0.02394597607728812,0.10302204788899669,4.21,0.0008708028962669957
B,gaussian_blur,T013-S2,36.14332757803728,24278168781498817044823/671719246908842938650,0.5829537930003055,3520983288984981763437/6039901157282866179256,0.7468808113524448,0.08306331561856617,5.241748401862905,0.7859335118389269,0.1960246131846197,0.68,0.585,0.585,0.025288649317308044,0.10289365475475282,4.21,0.0008708028962669957
B,gaussian_blur,T013-S3,36.229111858220826,12167895866790162091124/335859623454421469325,0.5911692526908814,18073768894275196469/30572917674603512478,0.8371813148348065,0.0928977599565943,5.327532682046449,0.7859335118389269,0.1960246131846197,0.68,0.565,0.57,0.02501330893398176,0.1028137137824709,4.21,0.0008708028962669957
