bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95,L1_p05,L1_median,L1_p95,JS_p05,JS_median,JS_p95,dominant_agreement_p05,dominant_agreement_median,dominant_agreement_p95,DU_p05,DU_median,DU_p95,true_template_regret_p05,true_template_regret_median,true_template_regret_p95,canonical_agreement_p05,canonical_agreement_median,canonical_agreement_p95,optimal_set_agreement_p05,optimal_set_agreement_median,optimal_set_agreement_p95
B,clean,T013-S0,38.82114066215912,39.358984101106735,39.73280805592828,0.7591468762856844,0.8463452664174678,0.9069518383167496,0.6047561653833565,0.6670182135312466,0.7213031315723498,0.13887206945200542,0.15720318527884541,0.17278577336080192,0.68,0.74,0.8065,0.0812008477328767,0.08901997764667152,0.10049468315957741,0.007034882724145676,0.011363297716601765,0.01648504003828598,0.625,0.68,0.73825,0.625,0.68,0.73825
B,clean,T013-S1,38.77212738238541,39.31144405675889,39.708128580583164,0.7652432446897535,0.8543150073158012,0.9198301145291081,0.6047561653833565,0.6670182135312466,0.7213031315723498,0.13887206945200542,0.15720318527884541,0.17278577336080192,0.68,0.74,0.8065,0.08113505541252468,0.08899337508560057,0.100388523183464,0.007199012644214151,0.01162367485968319,0.016449156783521334,0.63,0.69,0.74325,0.635,0.695,0.74825
B,clean,T013-S2,38.87001308199752,39.31706455556902,39.695044112458994,0.7753005336763997,0.8485568372846093,0.9104946382183988,0.6047561653833565,0.6670182135312466,0.7213031315723498,0.13887206945200542,0.15720318527884541,0.17278577336080192,0.68,0.74,0.8065,0.08118632630628657,0.08905305472792702,0.1005287110941736,0.007200106356651488,0.011554603614647212,0.01630116132113453,0.63,0.685,0.73825,0.635,0.69,0.74325
B,clean,T013-S3,38.81483974944457,39.329142056111976,39.76623558465667,0.7548104402699702,0.8378276156529872,0.908381975700692,0.6047561653833565,0.6670182135312466,0.7213031315723498,0.13887206945200542,0.15720318527884541,0.17278577336080192,0.68,0.74,0.8065,0.08123693668475931,0.08904849299441833,0.10051274517932217,0.007141275153468566,0.01165401525566592,0.016234661222127876,0.63,0.68,0.73825,0.64,0.69,0.745
B,brightness_dark,T013-S0,33.09462419384773,33.90076348220304,34.6001868199002,0.8779890053997579,0.9235096011376273,0.9630042237975649,0.6767349366617815,0.7392821663091674,0.8040735911489205,0.1623542225365068,0.1832833943786079,0.20477235854144016,0.63,0.7,0.77,0.11003486635211453,0.12399302918542904,0.13956244546382726,0.009899442081874786,0.015536764677456617,0.02163018715163309,0.67,0.72,0.785,0.695,0.745,0.81
B,brightness_dark,T013-S1,33.07622562834113,33.861293924400414,34.48744878750006,0.8749642860017447,0.9191946730960938,0.9544719503914889,0.6767349366617815,0.7392821663091674,0.8040735911489205,0.1623542225365068,0.1832833943786079,0.20477235854144016,0.63,0.7,0.77,0.11006136858876103,0.12401798176002615,0.13958960426259603,0.009505409482603843,0.015522319926673571,0.021298845087365157,0.6717500000000001,0.73,0.79325,0.6817500000000001,0.74,0.80325
B,brightness_dark,T013-S2,33.07941948872216,33.89328313853473,34.544999684291064,0.8728440635580533,0.918576251864003,0.9551971573430668,0.6767349366617815,0.7392821663091674,0.8040735911489205,0.1623542225365068,0.1832833943786079,0.20477235854144016,0.63,0.7,0.77,0.11003825429049402,0.1239793120080362,0.1395976774209586,0.009768840593567136,0.015512100975635762,0.021653342657538686,0.6717500000000001,0.725,0.7865,0.68675,0.74,0.8015
B,brightness_dark,T013-S3,33.06903308382806,33.86880854937491,34.54357515855955,0.8755518318852452,0.9206619636183848,0.9587211589059399,0.6767349366617815,0.7392821663091674,0.8040735911489205,0.1623542225365068,0.1832833943786079,0.20477235854144016,0.63,0.7,0.77,0.11006126209465186,0.1240255558204519,0.139632073978708,0.00965469794389037,0.01552926899476836,0.02103167540213997,0.67,0.725,0.78825,0.695,0.75,0.81
B,contrast_low,T013-S0,30.001036601423717,31.178985009638318,32.13632851533412,0.7491615468023312,0.8370068211764249,0.9084005276763314,0.7358561608176684,0.8206834096608131,0.9066886887766711,0.18159046817197258,0.2093862723072774,0.238160684875587,0.5735,0.65,0.72,0.09903923790261038,0.11711237641549829,0.1345468098693314,0.019200432367760558,0.0259322769222297,0.03622863052938655,0.56175,0.62,0.67825,0.57175,0.63,0.6882499999999999
B,contrast_low,T013-S1,30.224509174287455,31.192237338613808,32.05888294837347,0.7770393363261504,0.8502640803935304,0.9158402466260646,0.7358561608176684,0.8206834096608131,0.9066886887766711,0.18159046817197258,0.2093862723072774,0.238160684875587,0.5735,0.65,0.72,0.09909502857069274,0.11720470657517591,0.13462687758815067,0.018754383463385524,0.02563211417290504,0.03562761163259651,0.565,0.625,0.67825,0.575,0.635,0.6882499999999999
B,contrast_low,T013-S2,29.957114487352257,31.20634264670096,32.08305034126432,0.7503456825825567,0.8440636356714808,0.9098348480612363,0.7358561608176684,0.8206834096608131,0.9066886887766711,0.18159046817197258,0.2093862723072774,0.238160684875587,0.5735,0.65,0.72,0.09903171122925541,0.11722728333903149,0.1345542148968622,0.01853733564530646,0.02613428489450573,0.03579634569183652,0.565,0.62,0.67325,0.57675,0.635,0.6882499999999999
B,contrast_low,T013-S3,30.023386110266802,31.193120746094237,32.09331774014366,0.7474727611205831,0.8343156467527966,0.9011476462561688,0.7358561608176684,0.8206834096608131,0.9066886887766711,0.18159046817197258,0.2093862723072774,0.238160684875587,0.5735,0.65,0.72,0.09909827990341803,0.11722465110846197,0.13481080781023425,0.018852322522120366,0.025730084980597777,0.036638816539711246,0.56175,0.615,0.675,0.57175,0.625,0.685
B,gaussian_noise,T013-S0,35.90440182536554,36.54325966201914,36.983588285728835,0.7579197212494144,0.8505412534418821,0.9143800442592935,0.6299183607815264,0.6899383988444706,0.7566751230654104,0.14297774047975562,0.16276561983954302,0.18315366698752597,0.67,0.73,0.7965,0.0896841989844948,0.10027669360516148,0.11071564062172608,0.007176077864238411,0.011526744589085586,0.01749520173517799,0.645,0.695,0.76,0.655,0.705,0.77
B,gaussian_noise,T013-S1,35.87966284051307,36.53961203685052,37.01416556756383,0.7543208042956917,0.8499986039775613,0.9187981993129202,0.6299183607815264,0.6899383988444706,0.7566751230654104,0.14297774047975562,0.16276561983954302,0.18315366698752597,0.67,0.73,0.7965,0.08965294573111303,0.10015671581576929,0.11069263742495525,0.007065571565087431,0.011590985857921513,0.01716267769314906,0.635,0.7,0.76325,0.645,0.705,0.77325
B,gaussian_noise,T013-S2,35.90699746549639,36.51447142945353,36.9812080373386,0.7568754523316772,0.8447819621355088,0.9123226118278653,0.6299183607815264,0.6899383988444706,0.7566751230654104,0.14297774047975562,0.16276561983954302,0.18315366698752597,0.67,0.73,0.7965,0.08963533186107799,0.10017546264862252,0.11066703893817947,0.007351872396586624,0.011474963214534162,0.017282950713414787,0.635,0.69,0.7565,0.6567500000000001,0.715,0.7815
B,gaussian_noise,T013-S3,35.8959705007232,36.535057684260806,36.97066689793832,0.755174089255122,0.8476423546492381,0.9106697934964523,0.6299183607815264,0.6899383988444706,0.7566751230654104,0.14297774047975562,0.16276561983954302,0.18315366698752597,0.67,0.73,0.7965,0.08970482981784615,0.10020825622160964,0.11067682287735925,0.007139736105357251,0.011732976747458199,0.016959020977485067,0.635,0.695,0.755,0.645,0.705,0.765
B,gaussian_blur,T013-S0,37.77823459809447,38.50770465953674,38.98779423629685,0.76765201241276,0.8490839188124935,0.9026770839671007,0.6309278866054169,0.6858858202653344,0.7456683911375038,0.14602718869933276,0.16596612877725886,0.1833687221979522,0.67,0.73,0.8,0.08506359884054311,0.09354102851254423,0.10424111167712206,0.011162222550384127,0.016395725195400765,0.022847809972968047,0.57675,0.63,0.69,0.57675,0.635,0.695
B,gaussian_blur,T013-S1,37.650327175138415,38.453260474668674,38.94625686270011,0.7539246037546771,0.8436228959094156,0.8986971269454749,0.6309278866054169,0.6858858202653344,0.7456683911375038,0.14602718869933276,0.16596612877725886,0.1833687221979522,0.67,0.73,0.8,0.0851467057023428,0.09360224800763217,0.10440295418440587,0.01162522931885699,0.016691023421767842,0.023500911067545937,0.58,0.635,0.69,0.58,0.635,0.69
B,gaussian_blur,T013-S2,37.62061409894069,38.47127080602402,39.012208298787556,0.74724816859506,0.8418527768130235,0.9020123913169371,0.6309278866054169,0.6858858202653344,0.7456683911375038,0.14602718869933276,0.16596612877725886,0.1833687221979522,0.67,0.73,0.8,0.08512895922203571,0.09363793218795351,0.10428668986118922,0.011883793770518692,0.01674317998175039,0.02237345463641786,0.585,0.64,0.7,0.58675,0.64,0.7
B,gaussian_blur,T013-S3,37.7025142243734,38.458884891954156,38.98282660349906,0.7546652324803118,0.8385958452042601,0.8967349967689959,0.6309278866054169,0.6858858202653344,0.7456683911375038,0.14602718869933276,0.16596612877725886,0.1833687221979522,0.67,0.73,0.8,0.08513893487912821,0.09355172580247874,0.10428842176921033,0.011879923226101236,0.016674358033508106,0.023351888861467756,0.575,0.6325000000000001,0.6932499999999999,0.58,0.635,0.6982499999999999
